,s,t,o,h,l,c,v
0,ok,2008-10-05,40.0,40.0,15.8,16.83,23501730
1,ok,2008-10-06,16.0,19.0,13.93,15.05,9113422
2,ok,2008-10-07,14.0,14.6,12.55,13.25,2464384
3,ok,2008-10-09,12.45,12.45,10.83,11.6,1207928
4,ok,2008-10-12,12.15,13.3,11.65,12.33,898692
5,ok,2008-10-13,12.83,13.0,10.75,11.08,673088
6,ok,2008-10-14,10.65,12.78,10.03,12.18,1126836
7,ok,2008-10-15,11.03,14.63,10.8,13.7,1944174
8,ok,2008-10-16,14.03,14.35,10.98,11.03,1806268
9,ok,2008-10-19,11.25,11.63,9.85,10.88,722818
10,ok,2008-10-20,11.4,11.48,10.55,10.85,177410
11,ok,2008-10-21,10.93,11.1,10.0,10.15,328698
12,ok,2008-10-22,9.15,10.13,8.15,9.5,108936
13,ok,2008-10-23,8.63,9.95,8.03,8.15,122300
14,ok,2008-10-26,7.63,8.48,6.75,7.3,141450
15,ok,2008-10-27,7.75,8.78,7.75,8.78,88760
16,ok,2008-10-28,9.55,9.55,8.0,8.3,120276
17,ok,2008-10-30,8.6,9.3,8.35,8.63,141526
18,ok,2008-11-02,8.9,9.0,8.38,8.63,109362
19,ok,2008-11-03,8.5,9.75,8.25,9.08,227414
20,ok,2008-11-04,9.15,9.73,7.45,9.05,233216
21,ok,2008-11-05,8.58,9.4,8.55,9.0,81298
22,ok,2008-11-06,8.8,10.8,8.8,10.35,490888
23,ok,2008-11-09,10.6,11.18,9.83,9.95,304862
24,ok,2008-11-10,10.03,10.03,9.13,9.2,71050
25,ok,2008-11-11,9.2,9.43,8.78,9.23,137950
26,ok,2008-11-13,9.5,9.6,9.08,9.15,48202
27,ok,2008-11-16,9.1,9.23,8.65,8.88,26806
28,ok,2008-11-17,8.85,9.0,8.35,8.63,26082
29,ok,2008-11-18,8.58,8.83,8.25,8.33,33194
30,ok,2008-11-19,8.0,8.5,8.0,8.15,19784
31,ok,2008-11-20,7.9,8.18,7.65,7.98,21100
32,ok,2008-11-23,7.88,8.78,7.88,8.28,34138
33,ok,2008-11-24,8.4,9.95,8.13,8.53,252226
34,ok,2008-11-25,8.63,8.83,8.28,8.4,22260
35,ok,2008-11-27,8.13,8.68,8.13,8.3,7086
36,ok,2008-11-30,7.53,8.58,7.53,8.15,30842
37,ok,2008-12-01,8.15,8.15,7.55,7.85,27134
38,ok,2008-12-02,8.0,8.23,7.85,7.95,12046
39,ok,2008-12-03,7.38,8.5,7.38,7.98,18264
40,ok,2008-12-04,8.3,8.75,7.83,8.1,40104
41,ok,2008-12-07,9.0,9.0,8.0,8.18,23222
42,ok,2008-12-09,8.25,8.98,8.03,8.7,68424
43,ok,2008-12-10,8.38,9.4,8.25,9.18,114544
44,ok,2008-12-11,8.63,9.23,8.03,8.4,74766
45,ok,2008-12-14,8.83,8.83,8.38,8.53,37698
46,ok,2008-12-15,8.73,9.0,8.53,8.78,31146
47,ok,2008-12-16,8.98,9.25,8.35,8.45,52140
48,ok,2008-12-17,8.25,8.5,8.13,8.33,21636
49,ok,2008-12-18,8.48,8.73,8.13,8.18,75652
50,ok,2008-12-21,8.45,8.6,8.18,8.28,26384
51,ok,2008-12-22,8.13,8.28,8.0,8.13,22350
52,ok,2008-12-23,8.18,8.18,7.75,8.0,34636
53,ok,2008-12-25,8.15,8.25,7.75,7.83,10050
54,ok,2008-12-28,7.75,8.15,7.55,7.85,28012
55,ok,2008-12-29,8.0,8.15,7.45,7.63,107000
56,ok,2008-12-30,7.93,8.0,7.55,7.83,32658
57,ok,2008-12-31,7.85,9.2,7.7,8.88,178788
58,ok,2009-01-01,8.65,9.85,8.65,9.1,241044
59,ok,2009-01-04,9.45,9.75,9.0,9.13,73986
60,ok,2009-01-05,8.85,9.15,8.78,8.98,33086
61,ok,2009-01-06,8.75,8.93,7.58,8.0,58126
62,ok,2009-01-08,7.55,7.73,6.6,7.53,71160
63,ok,2009-01-11,7.5,7.93,7.2,7.35,25708
64,ok,2009-01-12,7.28,7.53,7.1,7.3,16718
65,ok,2009-01-13,7.13,7.75,7.13,7.53,15904
66,ok,2009-01-14,7.38,7.5,7.0,7.33,11726
67,ok,2009-01-15,7.4,7.5,7.18,7.3,19440
68,ok,2009-01-18,7.25,7.45,7.15,7.25,7536
69,ok,2009-01-19,7.5,7.5,7.1,7.43,18918
70,ok,2009-01-20,7.25,7.48,7.15,7.33,20182
71,ok,2009-01-21,7.85,7.85,7.08,7.23,18506
72,ok,2009-01-22,7.23,7.23,6.88,7.13,40752
73,ok,2009-01-26,7.03,7.2,7.0,7.2,10474
74,ok,2009-01-27,7.08,7.4,6.93,7.1,19490
75,ok,2009-01-28,7.25,7.5,7.0,7.3,14728
76,ok,2009-01-29,7.08,7.85,7.05,7.43,103630
77,ok,2009-02-01,7.75,7.75,7.25,7.43,24576
78,ok,2009-02-02,7.63,8.23,7.35,8.03,41320
79,ok,2009-02-03,8.05,8.43,7.63,7.8,34098
80,ok,2009-02-04,8.0,8.08,7.78,7.95,8178
81,ok,2009-02-05,7.75,8.23,7.75,7.85,38064
82,ok,2009-02-08,7.8,8.4,7.8,8.33,24126
83,ok,2009-02-09,8.38,9.23,8.33,8.5,87666
84,ok,2009-02-10,8.85,8.98,8.13,8.88,44522
85,ok,2009-02-11,9.0,9.23,8.68,8.88,35064
86,ok,2009-02-12,10.0,10.0,8.4,8.7,17236
87,ok,2009-02-15,8.4,9.0,7.75,8.03,31964
88,ok,2009-02-16,7.85,8.43,7.85,8.28,20574
89,ok,2009-02-17,8.35,8.73,8.0,8.45,35852
90,ok,2009-02-18,8.68,8.88,8.25,8.3,35936
91,ok,2009-02-19,8.68,8.68,7.93,8.03,5444
92,ok,2009-02-23,8.0,8.15,7.55,7.58,5260
93,ok,2009-02-25,8.25,8.8,8.03,8.28,34764
94,ok,2009-02-26,8.45,8.45,7.78,8.08,5940
95,ok,2009-03-01,8.25,9.3,7.6,8.0,88872
96,ok,2009-03-02,8.93,8.93,7.75,7.78,10340
97,ok,2009-03-03,7.85,7.95,7.53,7.65,31030
98,ok,2009-03-04,7.98,7.98,7.3,7.53,85466
99,ok,2009-03-05,7.5,7.9,7.38,7.43,12836
100,ok,2009-03-08,7.25,7.55,7.2,7.28,7954
101,ok,2009-03-11,7.18,7.45,7.18,7.25,10694
102,ok,2009-03-12,7.18,7.65,7.18,7.25,10710
103,ok,2009-03-15,7.03,7.7,7.03,7.5,127118
104,ok,2009-03-16,7.13,7.7,7.13,7.4,85626
105,ok,2009-03-17,7.3,7.88,7.3,7.8,16170
106,ok,2009-03-18,7.75,7.98,7.45,7.48,8348
107,ok,2009-03-19,7.08,7.63,7.08,7.6,8786
108,ok,2009-03-22,7.75,7.9,7.35,7.68,71582
109,ok,2009-03-23,7.8,7.95,7.5,7.58,10816
110,ok,2009-03-24,7.58,7.95,7.35,7.48,22180
111,ok,2009-03-25,7.5,7.63,7.38,7.48,16106
112,ok,2009-03-26,7.33,7.55,7.33,7.43,28614
113,ok,2009-03-29,7.03,7.55,7.03,7.5,7200
114,ok,2009-03-30,7.3,7.73,6.75,7.55,39774
115,ok,2009-03-31,7.28,7.7,7.28,7.58,8080
116,ok,2009-04-01,7.38,8.15,7.38,7.85,24116
117,ok,2009-04-05,8.2,8.23,7.75,8.0,17372
118,ok,2009-04-07,7.53,8.18,7.53,8.1,19814
119,ok,2009-04-08,8.4,8.75,8.13,8.55,49102
120,ok,2009-04-12,8.5,9.6,8.3,9.38,74050
121,ok,2009-04-14,8.33,9.55,8.33,9.15,58478
122,ok,2009-04-15,9.95,9.95,8.65,8.8,38592
123,ok,2009-04-16,8.8,9.38,8.28,8.6,35550
124,ok,2009-04-19,9.13,9.13,8.5,8.73,26752
125,ok,2009-04-20,8.5,10.48,8.33,10.48,280434
126,ok,2009-04-21,10.98,12.45,10.95,11.53,648410
127,ok,2009-04-22,11.63,11.63,10.38,10.55,121414
128,ok,2009-04-23,10.78,11.5,10.28,10.98,106984
129,ok,2009-04-26,11.0,11.75,9.55,10.85,70878
130,ok,2009-04-27,11.3,13.03,11.18,12.58,700720
131,ok,2009-04-28,12.88,13.05,11.58,11.8,390844
132,ok,2009-05-03,12.0,12.0,11.15,11.33,103166
133,ok,2009-05-04,11.98,11.98,11.03,11.23,58732
134,ok,2009-05-05,11.0,11.75,10.5,11.05,64218
135,ok,2009-05-06,11.05,11.38,10.75,11.1,56142
136,ok,2009-05-07,10.38,11.3,10.0,10.93,38704
137,ok,2009-05-10,10.7,10.93,10.0,10.23,72706
138,ok,2009-05-11,10.05,10.75,9.25,10.43,49698
139,ok,2009-05-12,10.5,10.75,10.15,10.18,32228
140,ok,2009-05-13,9.88,10.15,9.73,10.03,22836
141,ok,2009-05-14,9.95,10.28,9.88,10.0,27342
142,ok,2009-05-18,10.38,11.0,10.25,10.53,65182
143,ok,2009-05-19,11.5,11.5,10.03,11.28,62102
144,ok,2009-05-20,11.78,12.08,11.13,11.5,123198
145,ok,2009-05-21,12.0,12.25,11.5,12.03,77582
146,ok,2009-05-24,12.48,13.1,12.03,13.0,168614
147,ok,2009-05-25,13.5,13.65,12.53,12.75,143698
148,ok,2009-05-26,12.88,13.33,12.85,13.0,60350
149,ok,2009-05-27,13.6,13.6,12.55,12.68,39944
150,ok,2009-05-28,12.95,13.25,12.13,12.45,58026
151,ok,2009-05-31,12.95,13.08,12.55,13.08,71900
152,ok,2009-06-01,13.48,13.75,12.85,13.68,178074
153,ok,2009-06-02,14.35,14.38,14.05,14.38,185330
154,ok,2009-06-03,14.9,15.1,14.25,15.1,179564
155,ok,2009-06-04,15.88,15.88,14.88,15.2,135904
156,ok,2009-06-07,15.2,15.2,14.45,14.45,35014
157,ok,2009-06-08,13.75,13.75,13.73,13.73,19560
158,ok,2009-06-09,14.3,14.3,13.05,13.1,51692
159,ok,2009-06-10,13.25,13.5,12.45,13.15,29556
160,ok,2009-06-11,13.65,13.7,12.53,12.63,38432
161,ok,2009-06-14,12.75,12.75,12.0,12.13,38874
162,ok,2009-06-15,12.0,12.75,11.55,12.55,26106
163,ok,2009-06-16,12.5,13.13,12.03,12.18,24348
164,ok,2009-06-17,11.75,12.18,11.58,11.6,28654
165,ok,2009-06-18,11.75,12.15,11.25,11.8,15262
166,ok,2009-06-21,11.88,12.3,11.5,11.8,15720
167,ok,2009-06-22,11.28,11.83,11.23,11.55,27450
168,ok,2009-06-23,11.35,11.85,11.3,11.55,20020
