,s,t,o,h,l,c,v
0,ok,2000-01-02,3.52,4.1,3.52,3.82,2500
1,ok,2000-01-03,3.52,4.09,3.52,3.72,11500
2,ok,2000-01-04,3.8,4.0,3.75,3.79,5500
3,ok,2000-01-05,3.8,3.8,3.75,3.75,1500
4,ok,2000-01-06,3.2,3.55,3.2,3.55,1000
5,ok,2000-01-09,3.6,3.6,3.57,3.58,1500
6,ok,2000-01-10,3.3,3.3,3.3,3.3,1500
7,ok,2000-01-11,2.92,2.92,2.92,2.92,500
8,ok,2000-01-12,3.04,3.04,3.04,3.04,500
9,ok,2000-01-17,3.2,3.2,3.2,3.2,1500
10,ok,2000-01-18,3.2,3.2,3.2,3.2,2500
11,ok,2000-01-19,3.13,3.13,3.1,3.1,2500
12,ok,2000-01-20,3.58,3.58,3.58,3.58,500
13,ok,2000-01-23,3.7,3.7,3.7,3.7,1000
14,ok,2000-01-26,3.3,3.3,3.23,3.23,4000
15,ok,2000-01-30,3.1,3.12,3.1,3.11,5000
16,ok,2000-01-31,3.02,3.2,3.02,3.2,1500
17,ok,2000-02-01,3.05,3.05,3.05,3.05,500
18,ok,2000-02-02,3.1,3.11,3.1,3.1,2000
19,ok,2000-02-03,3.1,3.1,3.1,3.1,2000
20,ok,2000-02-06,3.1,3.1,3.1,3.1,500
21,ok,2000-02-08,3.0,3.0,3.0,3.0,500
22,ok,2000-02-10,3.1,3.14,3.1,3.14,1000
23,ok,2000-02-13,3.35,3.35,3.1,3.11,1500
24,ok,2000-02-14,2.8,3.19,2.8,3.19,1000
25,ok,2000-02-15,3.2,3.2,3.2,3.2,1500
26,ok,2000-02-16,3.19,3.2,3.06,3.2,2500
27,ok,2000-02-17,3.8,3.8,3.2,3.2,1500
28,ok,2000-02-21,3.04,3.04,3.04,3.04,1000
29,ok,2000-02-28,3.0,3.16,3.0,3.16,1000
30,ok,2000-02-29,3.16,3.16,3.16,3.16,500
31,ok,2000-03-07,2.64,2.64,2.64,2.64,500
32,ok,2000-03-08,2.6,2.6,2.6,2.6,500
33,ok,2000-03-12,2.1,2.1,2.1,2.1,2500
34,ok,2000-03-13,2.59,2.6,2.59,2.59,1000
35,ok,2000-03-21,2.33,2.33,2.33,2.33,500
36,ok,2000-03-26,2.22,2.22,2.22,2.22,1000
37,ok,2000-04-03,2.0,2.0,2.0,2.0,1000
38,ok,2000-04-09,2.3,2.3,2.3,2.3,2500
39,ok,2000-04-19,2.6,2.6,2.6,2.6,500
40,ok,2000-05-17,1.95,1.95,1.95,1.95,3000
41,ok,2000-06-21,1.83,1.83,1.83,1.83,500
42,ok,2000-06-26,2.1,2.1,2.1,2.1,500
43,ok,2000-06-28,2.2,2.44,2.2,2.44,2000
44,ok,2000-06-29,2.5,2.5,2.5,2.5,1500
45,ok,2000-07-02,3.1,3.13,3.0,3.0,4000
46,ok,2000-07-04,2.9,2.92,2.9,2.9,4000
47,ok,2000-07-05,3.1,3.1,3.1,3.1,2500
48,ok,2000-07-06,3.0,3.0,3.0,3.0,2500
49,ok,2000-07-09,2.8,2.8,2.64,2.64,1000
50,ok,2000-07-10,2.6,2.6,2.6,2.6,1500
51,ok,2000-07-16,2.35,2.35,2.34,2.34,5000
52,ok,2000-07-24,2.08,2.08,2.08,2.08,1000
53,ok,2000-07-25,2.12,2.27,2.12,2.27,3000
54,ok,2000-07-26,2.25,2.32,2.25,2.31,9000
55,ok,2000-07-27,2.4,2.4,2.38,2.38,16000
56,ok,2000-08-06,2.17,2.17,2.16,2.16,3500
57,ok,2000-08-07,2.25,2.25,2.25,2.25,500
58,ok,2000-08-16,2.4,2.4,2.4,2.4,500
59,ok,2000-08-17,2.35,2.35,2.27,2.27,2000
60,ok,2000-08-21,2.33,2.34,2.33,2.33,2500
61,ok,2000-08-23,2.0,2.2,2.0,2.2,1000
62,ok,2000-08-24,2.45,2.45,2.45,2.45,1500
63,ok,2000-08-27,2.4,2.98,2.4,2.96,8500
64,ok,2000-08-28,3.3,3.48,3.0,3.0,9000
65,ok,2000-08-30,2.6,2.6,2.6,2.6,1000
66,ok,2000-09-20,2.1,2.1,2.1,2.1,500
