,s,t,o,h,l,c,v
0,ok,2005-06-20,392.9,424.4,383.0,405.7,41380
1,ok,2005-06-21,415.0,449.0,415.0,437.9,145355
2,ok,2005-06-22,444.9,453.8,425.5,437.1,63692
3,ok,2005-06-23,432.1,439.85,425.0,434.85,34179
4,ok,2005-06-26,430.0,441.9,425.0,430.4,67333
5,ok,2005-06-27,432.0,449.0,421.1,440.4,62193
6,ok,2005-06-28,446.0,480.0,446.0,473.05,202178
7,ok,2005-06-29,482.0,498.0,480.0,487.3,98909
8,ok,2005-06-30,490.15,540.0,490.0,517.35,265825
9,ok,2005-07-03,526.2,564.8,519.05,555.05,300662
10,ok,2005-07-04,570.0,603.0,540.15,591.5,512653
11,ok,2005-07-05,600.0,692.0,600.0,656.65,1128301
12,ok,2005-07-06,667.0,732.9,663.1,693.5,1301679
13,ok,2005-07-07,700.0,714.0,690.0,706.55,71591
14,ok,2005-07-10,710.0,730.0,701.2,721.5,41867
15,ok,2005-07-11,730.0,749.9,690.0,709.7,27214
16,ok,2005-07-12,722.9,722.9,701.0,705.65,27899
17,ok,2005-07-13,700.0,707.9,690.0,700.15,43296
18,ok,2005-07-14,708.0,708.0,695.0,700.3,17345
19,ok,2005-07-17,714.0,759.95,705.1,741.25,33301
20,ok,2005-07-18,767.0,824.5,756.75,817.3,36147
21,ok,2005-07-19,889.4,924.95,830.0,913.95,49444
22,ok,2005-07-20,950.0,960.0,780.0,800.4,44951
23,ok,2005-07-21,796.0,830.0,760.0,801.4,43866
24,ok,2005-07-24,839.95,860.0,810.0,837.9,728746
25,ok,2005-07-25,819.0,855.9,780.05,801.4,18172
26,ok,2005-07-26,799.0,799.0,780.1,791.05,2562
27,ok,2005-07-28,655.0,805.0,655.0,800.0,18474
28,ok,2005-07-31,770.0,814.7,770.0,800.25,10210
29,ok,2005-08-01,817.9,843.0,801.0,810.35,15247
30,ok,2005-08-02,815.0,824.5,780.0,799.4,21359
31,ok,2005-08-03,795.0,818.7,791.5,801.7,11841
32,ok,2005-08-04,740.0,827.0,740.0,810.55,17785
33,ok,2005-08-07,810.0,824.7,800.0,802.35,20469
34,ok,2005-08-08,798.0,810.0,795.0,805.2,8471
35,ok,2005-08-09,802.05,820.0,802.0,814.0,6583
36,ok,2005-08-10,815.0,865.0,810.0,846.75,11911
37,ok,2005-08-11,850.0,969.4,835.0,938.45,39803
38,ok,2005-08-15,970.0,1035.0,940.0,962.25,35142
39,ok,2005-08-16,974.0,987.0,932.1,941.85,23691
40,ok,2005-08-17,970.0,990.0,901.0,908.4,27131
41,ok,2005-08-18,901.0,943.0,901.0,905.3,4961
42,ok,2005-08-21,940.0,959.0,889.0,895.7,11240
43,ok,2005-08-22,935.0,935.0,900.0,910.35,12896
44,ok,2005-08-23,894.0,954.4,860.0,935.8,17091
45,ok,2005-08-24,935.0,978.0,935.0,955.9,12557
46,ok,2005-08-25,965.0,965.0,910.0,919.05,4703
47,ok,2005-08-28,921.0,921.0,890.3,901.0,3499
48,ok,2005-08-29,892.0,922.0,880.0,912.55,7854
49,ok,2005-08-30,925.0,959.95,910.0,940.05,9947
50,ok,2005-08-31,960.0,960.0,940.0,940.95,4948
51,ok,2005-09-01,940.0,952.4,930.0,949.85,63800
52,ok,2005-09-04,960.0,1114.0,960.0,1063.15,167110
53,ok,2005-09-05,920.0,1160.0,920.0,1144.7,150365
54,ok,2005-09-07,1141.0,1324.5,1141.0,1282.7,193721
55,ok,2005-09-08,1325.0,1329.75,1240.0,1257.15,32111
56,ok,2005-09-11,1275.0,1300.0,1201.0,1255.25,38474
57,ok,2005-09-12,1245.0,1350.0,1245.0,1343.5,22801
58,ok,2005-09-13,1351.0,1410.0,1351.0,1392.9,47225
59,ok,2005-09-14,1394.95,1475.0,1394.95,1468.6,19570
60,ok,2005-09-15,1494.0,1500.0,1399.0,1413.7,37764
61,ok,2005-09-18,1475.0,1490.0,1440.0,1482.8,28316
62,ok,2005-09-19,1470.0,1621.0,1432.0,1580.15,56257
63,ok,2005-09-20,1659.0,1659.0,1501.15,1501.15,63586
64,ok,2005-09-21,1426.1,1426.1,1426.1,1426.1,33325
65,ok,2005-09-22,1354.8,1354.8,1354.8,1354.8,1853
66,ok,2005-09-25,1287.1,1287.1,1287.1,1287.1,3234
67,ok,2005-09-26,1222.75,1351.5,1222.75,1311.0,43954
68,ok,2005-09-27,1349.0,1370.0,1290.0,1318.1,15282
69,ok,2005-09-28,1340.0,1340.0,1252.2,1286.05,51066
70,ok,2005-09-29,1230.0,1350.35,1221.75,1333.45,37631
71,ok,2005-10-02,1345.0,1345.0,1267.0,1286.4,19206
72,ok,2005-10-03,1300.0,1300.0,1231.1,1258.55,5417
73,ok,2005-10-04,1216.0,1252.95,1195.65,1195.65,9912
74,ok,2005-10-05,1136.1,1160.0,1135.9,1136.0,63135
75,ok,2005-10-06,1080.1,1192.8,1080.1,1151.85,35143
76,ok,2005-10-09,1203.95,1209.0,1096.0,1121.45,12105
