,s,t,o,h,l,c,v
0,ok,2000-01-02,4.25,4.3,4.01,4.3,70400
1,ok,2000-01-03,4.19,4.5,4.06,4.16,160000
2,ok,2000-01-04,4.0,4.19,3.94,4.1,100000
3,ok,2000-01-05,3.78,4.0,3.77,3.85,77600
4,ok,2000-01-06,3.94,3.94,3.82,3.88,32800
5,ok,2000-01-09,3.85,4.0,3.85,3.88,39200
6,ok,2000-01-10,3.85,3.89,3.7,3.76,80000
7,ok,2000-01-11,3.88,3.9,3.73,3.81,20000
8,ok,2000-01-12,3.75,3.78,3.62,3.66,119200
9,ok,2000-01-13,3.66,3.66,3.53,3.58,148000
10,ok,2000-01-16,3.5,3.56,3.5,3.52,129600
11,ok,2000-01-17,3.5,3.78,3.41,3.45,107200
12,ok,2000-01-18,3.41,3.72,3.41,3.72,113600
13,ok,2000-01-19,3.5,4.01,3.44,4.01,282400
14,ok,2000-01-20,3.81,4.33,3.8,4.33,216000
15,ok,2000-01-23,4.13,4.5,4.0,4.13,302400
16,ok,2000-01-24,3.88,4.24,3.88,4.16,244000
17,ok,2000-01-26,4.4,4.41,3.88,3.94,44000
18,ok,2000-01-27,4.21,4.21,3.84,4.05,65600
19,ok,2000-01-30,4.24,4.35,3.95,3.97,76000
20,ok,2000-01-31,3.94,4.19,3.91,4.1,89600
21,ok,2000-02-01,4.2,4.43,4.2,4.43,61600
22,ok,2000-02-02,4.78,4.78,4.54,4.78,262400
23,ok,2000-02-03,5.12,5.12,4.64,4.72,210400
24,ok,2000-02-06,5.0,5.0,4.38,4.39,131200
25,ok,2000-02-07,4.44,4.73,4.13,4.17,192800
26,ok,2000-02-08,4.38,4.5,4.25,4.48,119200
27,ok,2000-02-09,4.56,4.59,4.13,4.18,82400
28,ok,2000-02-10,3.85,4.35,3.85,4.3,152000
29,ok,2000-02-13,3.96,4.24,3.96,3.97,220800
30,ok,2000-02-14,3.78,4.19,3.78,3.98,211200
31,ok,2000-02-15,3.95,4.11,3.76,3.97,136000
32,ok,2000-02-16,4.0,4.29,3.9,4.29,147200
33,ok,2000-02-17,4.13,4.63,4.13,4.63,117600
34,ok,2000-02-20,4.5,5.01,4.5,4.99,405600
35,ok,2000-02-21,5.0,5.39,4.69,5.28,522400
36,ok,2000-02-22,5.61,5.61,5.61,5.61,28000
37,ok,2000-02-23,6.0,6.0,5.28,5.81,882400
38,ok,2000-02-24,6.23,6.23,5.75,5.8,449600
39,ok,2000-02-27,5.83,5.83,5.36,5.52,231200
