,s,t,o,h,l,c,v
0,ok,2000-01-02,550.0,567.3,550.0,567.0,2550
1,ok,2000-01-03,570.0,570.0,540.0,542.1,3750
2,ok,2000-01-04,563.0,563.0,522.3,526.6,4650
3,ok,2000-01-05,543.0,543.0,528.0,530.15,7050
4,ok,2000-01-06,540.0,540.0,503.0,508.05,9400
5,ok,2000-01-09,522.0,522.0,512.0,517.2,4300
6,ok,2000-01-10,515.0,515.0,500.0,501.15,8100
7,ok,2000-01-11,539.0,541.25,539.0,541.15,6148
8,ok,2000-01-12,553.0,553.9,528.9,532.05,1826
9,ok,2000-01-13,524.0,530.0,522.15,529.5,2003
10,ok,2000-01-16,534.0,534.0,512.0,516.05,3295
11,ok,2000-01-17,523.0,523.0,510.0,517.3,4870
12,ok,2000-01-18,526.1,527.0,520.0,521.8,3313
13,ok,2000-01-19,525.0,527.5,515.0,522.1,40216
14,ok,2000-01-20,526.95,526.95,521.0,524.25,12352
15,ok,2000-01-23,515.0,521.0,514.0,515.8,9453
16,ok,2000-01-24,515.0,518.95,512.0,512.25,15856
17,ok,2000-01-26,520.0,520.0,505.0,507.8,1575
18,ok,2000-01-27,512.9,515.0,500.0,503.2,4204
19,ok,2000-01-30,517.95,525.0,502.25,502.65,3631
20,ok,2000-01-31,500.0,509.9,485.0,492.1,5153
21,ok,2000-02-01,524.0,524.0,500.0,504.0,4471
22,ok,2000-02-02,503.0,503.0,487.0,490.9,2270
23,ok,2000-02-03,485.05,495.0,462.0,470.3,12389
24,ok,2000-02-06,471.0,480.0,470.0,470.05,5224
25,ok,2000-02-07,465.0,470.0,436.0,451.5,14597
26,ok,2000-02-08,455.0,484.0,454.0,460.4,9396
27,ok,2000-02-09,470.0,470.0,425.0,430.35,17354
28,ok,2000-02-10,438.0,438.0,412.5,417.6,13939
29,ok,2000-02-13,430.0,434.0,405.0,405.15,4477
30,ok,2000-02-14,396.25,407.5,395.0,400.25,7788
31,ok,2000-02-15,428.0,430.0,418.0,429.75,3910
32,ok,2000-02-16,420.0,464.15,420.0,464.0,16204
33,ok,2000-02-17,499.75,499.75,435.0,453.2,10301
34,ok,2000-02-20,455.0,455.0,421.0,422.7,3986
35,ok,2000-02-21,417.05,425.0,400.0,406.6,11531
36,ok,2000-02-22,420.0,429.0,395.0,400.25,6853
37,ok,2000-02-23,407.0,419.0,402.0,405.0,3528
38,ok,2000-02-24,410.0,410.0,392.25,402.85,1582
39,ok,2000-02-27,410.0,420.0,408.0,412.9,1640
40,ok,2000-02-28,411.0,422.0,380.0,391.65,7685
41,ok,2000-02-29,401.0,418.5,395.0,405.2,12944
42,ok,2000-03-01,406.0,406.0,373.2,375.1,4374
43,ok,2000-03-02,360.0,400.0,360.0,392.3,2052
44,ok,2000-03-05,376.0,405.0,376.0,398.1,2788
45,ok,2000-03-06,405.0,405.0,367.0,370.4,7184
46,ok,2000-03-07,385.0,390.0,370.0,370.2,6454
47,ok,2000-03-08,369.0,380.0,355.05,368.1,2181
48,ok,2000-03-09,365.0,389.0,361.1,385.1,7728
49,ok,2000-03-12,400.0,415.95,400.0,415.95,3990
50,ok,2000-03-13,449.25,449.25,420.0,432.95,13741
51,ok,2000-03-14,452.0,459.0,422.0,425.7,9347
52,ok,2000-03-15,421.0,421.0,401.5,404.2,3790
53,ok,2000-03-20,395.0,423.0,390.0,406.95,11278
54,ok,2000-03-21,421.9,439.55,411.3,433.5,11736
55,ok,2000-03-22,436.0,464.0,416.5,426.85,14395
56,ok,2000-03-23,439.7,461.0,420.0,457.45,10316
57,ok,2000-03-26,469.0,469.0,433.0,444.6,11866
58,ok,2000-03-27,433.2,470.0,433.2,459.0,28200
59,ok,2000-03-28,440.0,440.0,385.25,390.0,11419
60,ok,2000-03-29,382.0,400.0,370.0,395.7,11299
61,ok,2000-03-30,383.5,406.9,383.5,398.6,11024
62,ok,2000-04-02,403.5,404.0,385.0,385.45,7064
63,ok,2000-04-03,375.0,380.0,361.0,366.8,9013
64,ok,2000-04-04,369.9,380.0,365.05,372.9,4177
65,ok,2000-04-05,370.0,374.8,346.65,359.2,4870
66,ok,2000-04-06,384.0,384.0,360.0,377.85,8516
67,ok,2000-04-09,376.7,376.7,365.0,367.25,5116
68,ok,2000-04-11,374.1,376.0,362.0,362.65,3300
69,ok,2000-04-12,363.0,370.0,359.9,361.95,4023
70,ok,2000-04-16,335.0,351.5,334.0,343.65,8791
71,ok,2000-04-17,349.0,349.0,335.45,338.1,11800
72,ok,2000-04-18,347.05,351.9,341.05,344.0,3664
73,ok,2000-04-19,340.0,342.95,325.0,328.85,4547
74,ok,2000-04-23,328.95,328.95,311.1,316.0,3380
