,s,t,o,h,l,c,v
0,ok,2013-07-16,174.0,174.0,165.3,166.0,115310
1,ok,2013-07-17,157.7,165.0,157.7,164.85,22149
2,ok,2013-07-18,160.0,161.8,156.65,156.65,28708
3,ok,2013-07-21,150.0,155.0,148.85,149.6,11739
4,ok,2013-07-22,142.5,147.0,142.15,144.55,9163
5,ok,2013-07-23,137.5,144.95,137.5,142.0,3964
6,ok,2013-07-24,135.15,139.0,134.9,135.65,12209
7,ok,2013-07-25,128.9,142.4,128.9,142.4,5735
8,ok,2013-07-28,135.5,149.5,135.5,141.4,23956
9,ok,2013-07-29,136.0,148.45,135.0,146.0,26174
10,ok,2013-07-30,140.0,164.9,131.0,154.2,14136
11,ok,2013-07-31,158.8,164.95,155.0,161.35,19948
12,ok,2013-08-01,163.0,172.0,155.0,155.35,38303
13,ok,2013-08-04,155.0,164.0,152.15,158.75,29410
14,ok,2013-08-05,153.0,160.0,130.25,147.5,12462
15,ok,2013-08-06,145.0,152.0,144.0,147.35,18507
16,ok,2013-08-07,141.1,154.4,141.0,144.05,20670
17,ok,2013-08-11,145.0,153.7,143.25,144.4,11958
18,ok,2013-08-12,137.25,153.8,137.25,148.25,15162
19,ok,2013-08-13,147.25,153.9,147.25,152.4,10550
20,ok,2013-08-15,152.4,152.4,142.5,143.55,13893
21,ok,2013-08-18,142.0,147.0,137.0,139.6,6607
22,ok,2013-08-19,138.0,145.0,136.05,139.55,29038
23,ok,2013-08-20,140.1,143.75,138.25,139.0,24666
24,ok,2013-08-21,127.0,140.3,127.0,136.5,9676
25,ok,2013-08-22,135.1,137.0,128.0,130.8,40028
26,ok,2013-08-25,132.0,139.7,130.0,135.9,12983
27,ok,2013-08-26,132.0,133.0,130.1,132.15,2790
28,ok,2013-08-27,131.9,135.25,121.5,133.05,22909
29,ok,2013-08-28,133.05,133.05,127.0,130.15,1845
30,ok,2013-08-29,130.0,131.0,126.0,127.0,1972
31,ok,2013-09-01,125.4,129.95,125.1,126.2,1560
32,ok,2013-09-02,125.0,127.9,121.0,124.55,2057
33,ok,2013-09-03,124.5,133.85,116.0,125.9,8762
34,ok,2013-09-04,125.0,129.0,122.05,125.35,2044
35,ok,2013-09-05,125.0,125.0,121.1,123.3,3905
36,ok,2013-09-09,128.95,130.8,121.0,129.25,7865
37,ok,2013-09-10,122.5,128.5,122.5,125.45,5045
38,ok,2013-09-11,124.15,135.0,119.0,124.75,15066
39,ok,2013-09-12,124.0,127.65,123.1,124.05,1443
40,ok,2013-09-15,123.7,126.7,120.05,121.6,2572
41,ok,2013-09-16,118.05,123.0,117.6,119.0,2461
42,ok,2013-09-17,124.0,124.0,116.1,118.6,2537
43,ok,2013-09-18,120.0,122.0,119.5,120.55,3504
44,ok,2013-09-19,120.0,121.75,116.0,118.15,2785
45,ok,2013-09-22,111.0,118.9,111.0,115.75,3357
46,ok,2013-09-23,111.5,126.0,107.05,118.1,11676
47,ok,2013-09-24,113.0,118.75,113.0,114.2,2699
48,ok,2013-09-25,109.0,121.0,109.0,119.85,13875
