,s,t,o,h,l,c,v
0,ok,2021-10-10,715.0,722.9,695.35,699.45,7876940
1,ok,2021-10-11,700.0,700.0,678.3,682.3,1649958
2,ok,2021-10-12,681.1,681.95,672.0,678.2,1050858
3,ok,2021-10-13,676.05,703.0,672.8,697.15,1009332
4,ok,2021-10-17,698.25,701.95,680.0,683.95,435065
5,ok,2021-10-18,683.0,692.95,675.0,678.9,372408
6,ok,2021-10-19,681.55,683.15,661.2,662.15,391114
7,ok,2021-10-20,667.5,671.9,657.0,658.7,266001
8,ok,2021-10-21,659.0,667.4,654.65,658.65,216987
9,ok,2021-10-24,658.65,662.0,635.75,651.25,395106
10,ok,2021-10-25,660.0,665.0,637.8,639.2,545362
11,ok,2021-10-26,640.95,642.0,620.5,623.35,1043401
12,ok,2021-10-27,621.1,649.8,616.15,630.05,1491570
13,ok,2021-10-28,627.0,651.0,622.3,649.1,424720
14,ok,2021-10-31,651.0,665.0,646.15,652.35,235406
15,ok,2021-11-01,652.35,662.1,645.35,648.7,206419
16,ok,2021-11-02,650.0,651.65,639.0,640.6,89927
17,ok,2021-11-03,642.0,648.9,638.0,646.35,59104
18,ok,2021-11-07,645.65,645.65,631.1,632.4,309066
19,ok,2021-11-08,632.45,638.0,630.55,631.15,302366
20,ok,2021-11-09,630.1,635.65,624.2,626.0,345759
21,ok,2021-11-10,627.2,632.4,623.1,624.45,196212
22,ok,2021-11-11,629.85,629.85,619.05,619.7,352841
23,ok,2021-11-14,618.5,623.4,617.0,617.6,338667
24,ok,2021-11-15,617.5,619.95,608.0,609.35,394924
25,ok,2021-11-16,609.35,611.55,598.2,603.8,528097
26,ok,2021-11-17,602.0,604.35,583.8,584.9,628805
27,ok,2021-11-21,585.0,598.25,578.05,594.7,341218
28,ok,2021-11-22,594.0,600.0,587.2,597.8,168137
29,ok,2021-11-23,599.9,605.5,596.5,598.55,153716
30,ok,2021-11-24,589.0,599.4,589.0,595.05,75456
31,ok,2021-11-25,590.0,599.55,588.8,593.45,654445
32,ok,2021-11-28,582.05,587.95,570.0,575.9,193867
33,ok,2021-11-29,572.0,595.0,572.0,577.15,307291
34,ok,2021-11-30,582.0,586.15,573.0,574.5,169375
35,ok,2021-12-01,575.0,579.8,574.0,577.95,118834
36,ok,2021-12-02,579.45,584.8,576.3,581.45,123164
37,ok,2021-12-05,581.45,587.75,576.0,577.15,140344
38,ok,2021-12-06,578.0,583.75,575.0,577.0,86643
39,ok,2021-12-07,578.0,585.9,578.0,582.5,119154
40,ok,2021-12-08,584.95,595.0,583.7,593.55,198486
41,ok,2021-12-09,593.55,597.0,587.0,589.45,109805
42,ok,2021-12-12,596.0,598.0,583.7,585.6,221403
43,ok,2021-12-13,585.0,587.65,579.5,580.65,76250
44,ok,2021-12-14,582.05,585.15,575.0,576.4,161586
45,ok,2021-12-15,577.0,580.25,568.8,572.2,155670
46,ok,2021-12-16,579.0,579.0,545.1,550.95,525443
47,ok,2021-12-19,550.95,552.0,505.1,531.85,796915
48,ok,2021-12-20,542.0,544.55,525.0,528.1,153588
49,ok,2021-12-21,534.95,534.95,526.0,527.55,266721
50,ok,2021-12-22,530.0,535.0,518.0,523.8,475702
51,ok,2021-12-23,527.0,528.0,509.9,511.4,356275
52,ok,2021-12-26,513.9,513.9,499.25,503.6,465096
53,ok,2021-12-27,505.5,525.0,503.1,523.8,459489
54,ok,2021-12-28,524.0,538.0,521.0,523.05,322957
55,ok,2021-12-29,523.55,529.55,523.5,525.05,91330
56,ok,2021-12-30,527.9,534.6,523.9,531.35,179844
57,ok,2022-01-02,531.0,536.9,527.0,529.35,134692
58,ok,2022-01-03,535.25,538.5,528.0,535.6,179585
59,ok,2022-01-04,535.95,548.2,535.95,540.75,228418
60,ok,2022-01-05,540.0,562.5,533.05,553.15,220079
61,ok,2022-01-06,559.0,559.1,541.0,542.2,163983
62,ok,2022-01-09,542.2,549.8,532.2,547.75,313236
63,ok,2022-01-10,552.95,555.25,537.2,539.65,199215
64,ok,2022-01-11,541.0,559.85,541.0,551.5,406510
65,ok,2022-01-12,555.0,576.55,552.0,571.85,475117
66,ok,2022-01-13,574.85,587.95,567.6,586.6,354577
67,ok,2022-01-16,588.0,590.0,575.0,577.35,343790
68,ok,2022-01-17,577.35,578.7,561.0,563.6,156291
69,ok,2022-01-18,563.95,565.0,546.2,558.65,334062
70,ok,2022-01-19,562.9,562.9,548.05,549.35,101082
71,ok,2022-01-20,549.0,555.85,538.65,540.35,164630
72,ok,2022-01-23,540.0,540.35,520.0,534.6,304432
73,ok,2022-01-24,527.0,533.55,521.0,523.95,400766
74,ok,2022-01-26,523.95,525.95,518.2,520.05,375582
75,ok,2022-01-27,525.0,525.0,511.0,512.6,1188295
76,ok,2022-01-30,519.9,522.0,516.25,519.4,338165
77,ok,2022-01-31,521.8,526.5,517.55,519.35,380068
78,ok,2022-02-01,520.0,538.2,519.0,530.85,338089
79,ok,2022-02-02,536.5,536.5,524.0,531.5,343383
80,ok,2022-02-03,531.5,532.5,522.0,528.3,296466
81,ok,2022-02-06,529.9,529.9,519.6,524.5,199069
82,ok,2022-02-07,527.9,527.9,519.5,524.75,326204
83,ok,2022-02-08,523.5,524.75,516.45,517.7,354893
84,ok,2022-02-09,518.0,519.8,512.45,514.75,139291
85,ok,2022-02-10,514.7,520.3,512.0,513.9,378158
86,ok,2022-02-13,510.0,511.5,503.6,508.55,373826
87,ok,2022-02-14,513.4,515.5,504.85,508.1,422047
88,ok,2022-02-15,514.9,519.55,509.0,510.5,255778
89,ok,2022-02-16,511.05,514.95,508.0,509.15,324525
90,ok,2022-02-17,508.9,511.8,506.5,510.15,257674
91,ok,2022-02-20,506.5,523.25,502.5,510.15,156452
92,ok,2022-02-21,502.1,509.85,500.9,506.2,350901
93,ok,2022-02-22,506.6,512.65,506.5,511.25,194814
94,ok,2022-02-23,500.05,505.95,496.0,497.7,652308
95,ok,2022-02-24,500.0,510.0,499.05,508.5,242929
96,ok,2022-02-27,503.0,509.05,496.5,506.45,185694
97,ok,2022-03-01,501.25,510.65,499.05,500.9,332073
98,ok,2022-03-02,504.0,506.6,500.55,503.1,201100
99,ok,2022-03-03,500.05,503.95,498.65,499.55,315166
100,ok,2022-03-06,497.0,499.1,486.2,493.25,602596
101,ok,2022-03-07,490.6,496.4,483.15,491.5,592217
102,ok,2022-03-08,492.0,495.35,484.8,490.45,1077765
103,ok,2022-03-09,498.7,500.75,488.25,498.7,447753
104,ok,2022-03-10,498.7,503.7,495.5,496.25,215232
105,ok,2022-03-13,496.0,498.85,491.15,497.25,134463
106,ok,2022-03-14,498.95,498.95,490.2,491.8,212373
107,ok,2022-03-15,493.55,499.55,493.0,498.1,136635
108,ok,2022-03-16,503.0,503.0,494.9,498.0,457217
109,ok,2022-03-20,501.5,506.5,496.45,502.45,359118
110,ok,2022-03-21,499.95,504.65,497.45,501.9,129554
111,ok,2022-03-22,503.0,509.9,501.0,506.15,162647
112,ok,2022-03-23,506.0,512.45,504.5,511.4,181721
113,ok,2022-03-24,511.4,519.15,503.0,506.4,164894
