,s,t,o,h,l,c,v
0,ok,2000-01-02,258.9,271.45,255.1,268.55,5447617
1,ok,2000-01-03,268.0,269.5,255.1,256.6,2978528
2,ok,2000-01-04,249.9,268.0,244.5,250.3,2802364
3,ok,2000-01-05,252.8,262.9,247.0,248.45,2412955
4,ok,2000-01-06,247.0,257.45,238.8,241.4,2432829
5,ok,2000-01-09,244.9,247.0,232.35,234.15,1374693
6,ok,2000-01-10,236.5,236.9,217.55,219.0,2218464
7,ok,2000-01-11,224.8,231.4,222.0,226.8,1692248
8,ok,2000-01-12,228.0,231.5,220.1,225.45,2004269
9,ok,2000-01-13,226.5,227.95,212.1,214.05,2362602
10,ok,2000-01-16,218.0,222.0,214.0,216.25,1490262
11,ok,2000-01-17,216.8,216.9,211.35,212.75,1524975
12,ok,2000-01-18,217.0,226.3,212.15,221.6,4845595
13,ok,2000-01-19,218.2,218.2,205.1,206.7,2578755
14,ok,2000-01-20,207.0,209.8,202.2,205.95,1579068
15,ok,2000-01-23,203.0,213.45,202.5,205.45,2006928
16,ok,2000-01-24,203.05,205.0,192.0,193.8,2335062
17,ok,2000-01-26,196.9,200.0,191.0,192.4,1101029
18,ok,2000-01-27,192.5,199.2,192.35,193.95,1794597
19,ok,2000-01-30,194.75,194.75,178.45,178.45,1690706
20,ok,2000-01-31,180.0,183.9,175.0,179.85,1800428
21,ok,2000-02-01,185.0,194.25,184.5,194.05,2264676
22,ok,2000-02-02,198.0,199.0,190.25,192.0,1611929
23,ok,2000-02-03,193.0,197.0,187.25,188.75,1427283
24,ok,2000-02-06,189.9,194.25,189.05,190.3,1228049
25,ok,2000-02-07,191.8,205.55,190.15,205.55,2809289
26,ok,2000-02-08,218.0,221.9,195.0,199.25,3653324
27,ok,2000-02-09,199.0,203.9,192.0,197.7,2946282
28,ok,2000-02-10,199.5,207.15,195.65,200.55,2791141
29,ok,2000-02-13,203.9,205.7,198.0,199.2,2621709
30,ok,2000-02-14,197.0,203.0,183.3,183.3,2407276
31,ok,2000-02-15,187.0,191.9,184.4,185.85,2095573
32,ok,2000-02-16,186.0,190.0,182.0,184.2,1719050
33,ok,2000-02-17,185.0,186.4,175.0,176.35,2132388
34,ok,2000-02-20,178.0,179.0,170.25,173.4,1550089
35,ok,2000-02-21,171.1,176.0,165.1,166.4,2667390
36,ok,2000-02-22,177.0,177.0,162.15,163.65,1185040
37,ok,2000-02-23,164.5,167.0,161.2,164.65,1152584
38,ok,2000-02-24,165.5,174.9,163.05,167.0,1971916
39,ok,2000-02-27,168.4,174.0,164.05,171.9,1788229
40,ok,2000-02-28,174.0,179.0,158.15,160.05,2301663
41,ok,2000-02-29,167.0,167.0,155.5,161.35,1580858
42,ok,2000-03-01,162.1,164.25,148.45,149.05,1963947
43,ok,2000-03-02,148.0,148.0,137.15,138.5,1197988
44,ok,2000-03-05,142.9,149.6,142.9,149.6,1149038
45,ok,2000-03-06,149.6,159.0,142.25,153.1,3159708
46,ok,2000-03-07,158.0,158.5,144.0,145.05,1097355
47,ok,2000-03-08,146.0,148.0,138.05,140.9,948144
48,ok,2000-03-09,143.45,143.45,131.0,132.25,847457
49,ok,2000-03-12,134.9,136.0,126.05,127.15,824021
50,ok,2000-03-13,128.9,137.35,126.35,135.7,1828253
51,ok,2000-03-14,138.0,145.9,132.1,137.35,1434550
52,ok,2000-03-15,136.05,137.9,128.7,130.2,1696352
53,ok,2000-03-20,130.0,132.5,126.6,129.45,2361597
54,ok,2000-03-21,131.9,139.85,131.0,139.85,2325066
55,ok,2000-03-22,143.4,144.0,135.2,136.85,1314727
56,ok,2000-03-23,135.05,137.8,134.2,136.8,645263
57,ok,2000-03-26,137.8,138.85,130.25,131.5,1128028
58,ok,2000-03-27,132.5,137.4,129.05,135.4,1651702
59,ok,2000-03-28,138.0,140.0,129.0,129.95,1439172
60,ok,2000-03-29,129.55,133.7,127.4,131.45,1314890
61,ok,2000-03-30,130.5,142.0,128.2,141.35,3440484
62,ok,2000-04-02,143.0,152.7,142.0,152.7,2139460
63,ok,2000-04-03,153.0,161.0,140.5,143.7,6155333
64,ok,2000-04-04,148.0,155.2,140.5,155.2,3304779
65,ok,2000-04-05,159.2,164.4,149.1,156.2,3597743
66,ok,2000-04-06,157.0,168.7,157.0,167.9,4177291
67,ok,2000-04-09,170.8,174.9,163.3,165.45,6134472
68,ok,2000-04-11,162.0,162.0,154.1,155.6,1445112
69,ok,2000-04-12,154.05,154.05,144.15,144.8,1159620
70,ok,2000-04-16,143.5,156.4,134.05,154.2,6057567
71,ok,2000-04-17,158.0,159.0,148.65,151.05,1766942
72,ok,2000-04-18,155.0,156.75,145.15,148.45,1549073
73,ok,2000-04-19,145.25,148.0,139.5,144.1,1246356
