,s,t,o,h,l,c,v
0,ok,2017-03-23,5.4,5.4,5.14,5.39,23760000
1,ok,2017-03-26,5.56,6.46,5.55,6.46,12090000
2,ok,2017-03-27,6.63,7.75,6.63,7.75,3360000
3,ok,2017-03-28,8.0,8.53,8.0,8.36,5040000
4,ok,2017-03-29,8.9,8.9,7.53,7.53,5910000
5,ok,2017-03-30,7.2,7.2,6.78,6.78,1980000
6,ok,2017-04-02,6.1,7.4,6.1,7.28,2700000
7,ok,2017-04-04,7.3,7.3,6.99,7.1,630000
8,ok,2017-04-05,7.01,7.19,6.84,6.87,360000
9,ok,2017-04-06,6.78,7.2,6.78,6.89,360000
10,ok,2017-04-09,6.79,7.0,6.73,6.99,480000
11,ok,2017-04-10,6.36,7.01,6.36,6.83,330000
12,ok,2017-04-11,6.8,6.93,6.55,6.8,360000
13,ok,2017-04-12,6.9,6.9,6.53,6.63,210000
14,ok,2017-04-16,6.61,6.71,6.5,6.68,420000
15,ok,2017-04-17,6.7,6.7,6.56,6.56,180000
16,ok,2017-04-18,6.5,6.5,6.37,6.38,240000
17,ok,2017-04-19,6.7,6.7,6.5,6.5,180000
18,ok,2017-04-20,6.45,6.6,6.4,6.58,900000
19,ok,2017-04-23,6.55,6.69,6.55,6.6,120000
20,ok,2017-04-24,6.6,6.9,6.6,6.87,510000
21,ok,2017-04-25,6.99,7.05,6.83,6.9,330000
22,ok,2017-04-26,6.85,6.85,6.85,6.85,90000
23,ok,2017-04-27,6.73,7.35,6.73,7.07,840000
24,ok,2017-05-01,7.08,7.2,7.07,7.18,270000
25,ok,2017-05-02,7.1,7.8,6.47,7.74,1080000
26,ok,2017-05-03,7.95,8.48,7.82,8.35,750000
27,ok,2017-05-04,8.5,9.1,8.3,8.92,1260000
28,ok,2017-05-07,9.12,9.37,8.81,9.37,1290000
29,ok,2017-05-08,9.66,9.7,9.48,9.63,510000
30,ok,2017-05-09,9.67,9.67,9.15,9.15,1170000
31,ok,2017-05-10,9.15,9.2,8.69,9.2,300000
32,ok,2017-05-11,9.2,9.4,9.1,9.34,330000
33,ok,2017-05-14,9.33,9.6,9.33,9.6,90000
34,ok,2017-05-15,9.6,9.6,9.32,9.5,180000
35,ok,2017-05-16,9.33,9.33,9.33,9.33,60000
36,ok,2017-05-17,9.0,9.55,9.0,9.45,840000
37,ok,2017-05-18,9.3,9.44,9.05,9.37,780000
38,ok,2017-05-21,9.69,9.69,9.42,9.43,210000
39,ok,2017-05-22,9.35,9.87,9.35,9.86,1050000
40,ok,2017-05-23,10.0,10.18,9.78,10.15,960000
41,ok,2017-05-24,10.1,10.65,10.1,10.65,780000
42,ok,2017-05-25,11.18,11.18,11.0,11.18,510000
43,ok,2017-05-28,11.74,11.74,11.74,11.74,330000
44,ok,2017-05-29,12.32,12.32,12.32,12.32,90000
45,ok,2017-05-30,12.94,12.94,12.94,12.94,120000
46,ok,2017-05-31,13.58,13.58,12.34,12.8,1680000
47,ok,2017-06-01,12.5,12.87,12.25,12.44,480000
48,ok,2017-06-04,12.4,13.06,12.4,13.04,330000
49,ok,2017-06-05,13.65,13.69,13.5,13.69,300000
50,ok,2017-06-06,14.3,14.37,14.3,14.37,240000
51,ok,2017-06-07,15.03,15.08,14.41,15.0,780000
52,ok,2017-06-08,15.4,15.74,15.2,15.74,840000
53,ok,2017-06-11,15.41,16.47,15.07,15.18,1200000
54,ok,2017-06-12,15.21,15.51,15.21,15.51,90000
55,ok,2017-06-13,15.84,15.84,15.32,15.48,300000
56,ok,2017-06-14,15.03,15.74,15.03,15.74,240000
57,ok,2017-06-15,16.01,16.19,15.8,15.96,180000
58,ok,2017-06-18,16.4,16.42,16.4,16.41,120000
59,ok,2017-06-19,16.4,16.4,16.0,16.0,120000
60,ok,2017-06-20,15.7,15.97,15.2,15.33,450000
61,ok,2017-06-21,15.11,15.8,15.1,15.8,150000
62,ok,2017-06-22,15.9,15.9,15.33,15.7,120000
63,ok,2017-06-26,15.7,15.7,15.05,15.2,360000
64,ok,2017-06-27,15.39,15.39,15.39,15.39,30000
65,ok,2017-06-28,15.11,15.84,15.11,15.55,90000
66,ok,2017-06-29,15.02,15.02,15.0,15.0,90000
67,ok,2017-07-02,15.2,15.2,15.2,15.2,30000
68,ok,2017-07-03,15.3,15.35,15.11,15.35,150000
69,ok,2017-07-04,15.55,15.55,15.21,15.21,60000
70,ok,2017-07-05,15.49,15.49,15.2,15.2,90000
71,ok,2017-07-06,15.45,15.49,15.45,15.49,60000
72,ok,2017-07-09,15.1,15.1,15.1,15.1,90000
73,ok,2017-07-10,15.18,15.2,15.1,15.1,120000
74,ok,2017-07-11,15.03,15.03,15.03,15.03,30000
75,ok,2017-07-12,15.19,15.19,15.19,15.19,30000
76,ok,2017-07-13,15.15,15.15,14.45,14.79,120000
77,ok,2017-07-17,14.26,14.26,14.05,14.05,300000
78,ok,2017-07-18,13.35,14.1,13.35,14.1,330000
79,ok,2017-07-19,14.1,14.1,13.4,13.57,120000
80,ok,2017-07-20,13.53,14.09,13.53,14.09,330000
81,ok,2017-07-24,14.0,14.05,14.0,14.05,60000
82,ok,2017-07-25,14.69,14.69,14.69,14.69,240000
83,ok,2017-07-30,13.97,14.58,13.96,14.58,240000
84,ok,2017-08-01,13.97,13.97,13.97,13.97,30000
85,ok,2017-08-02,14.05,14.05,13.27,13.4,120000
86,ok,2017-08-03,13.0,13.46,12.73,13.08,360000
87,ok,2017-08-06,13.5,14.38,13.5,14.38,270000
88,ok,2017-08-07,14.39,15.25,13.53,15.25,750000
89,ok,2017-08-09,14.9,14.9,14.4,14.4,90000
90,ok,2017-08-10,14.3,14.9,13.8,13.9,270000
91,ok,2017-08-13,14.4,14.91,14.31,14.31,120000
92,ok,2017-08-15,14.4,14.4,14.4,14.4,60000
93,ok,2017-08-16,14.95,15.0,14.95,15.0,60000
94,ok,2017-08-17,15.5,15.5,15.0,15.0,180000
95,ok,2017-08-20,15.1,15.1,15.0,15.07,120000
96,ok,2017-08-21,15.1,15.1,14.9,14.9,120000
97,ok,2017-08-22,15.1,15.1,15.05,15.05,60000
98,ok,2017-08-23,16.55,16.55,16.0,16.39,180000
99,ok,2017-08-27,16.0,17.23,16.0,17.22,270000
100,ok,2017-08-28,15.8,17.1,15.8,17.1,90000
101,ok,2017-08-29,16.03,17.25,16.03,17.13,150000
102,ok,2017-08-30,16.36,17.0,15.71,16.5,600000
103,ok,2017-08-31,16.2,16.8,16.0,16.8,450000
