,s,t,o,h,l,c,v
0,ok,2006-10-17,288.6,291.45,280.15,291.45,503943
1,ok,2006-10-18,306.05,306.05,278.0,299.1,257201
2,ok,2006-10-19,302.0,308.8,297.9,302.1,130379
3,ok,2006-10-20,306.55,309.0,302.0,304.55,42177
4,ok,2006-10-22,304.0,319.8,295.6,319.8,272018
5,ok,2006-10-25,323.0,335.8,322.0,335.8,652621
6,ok,2006-10-26,349.7,352.6,338.55,352.6,183080
7,ok,2006-10-29,366.9,370.25,366.9,370.25,43787
8,ok,2006-10-30,370.25,388.8,363.0,388.8,717225
9,ok,2006-10-31,408.25,408.25,391.0,408.25,394326
10,ok,2006-11-01,426.25,428.7,411.1,415.45,408989
11,ok,2006-11-02,419.5,419.5,394.7,396.75,157765
12,ok,2006-11-05,380.0,416.6,376.95,416.6,918831
13,ok,2006-11-06,425.0,437.45,396.6,402.3,219460
14,ok,2006-11-07,405.0,406.9,382.2,382.4,126641
15,ok,2006-11-08,390.8,401.55,390.8,401.55,177642
16,ok,2006-11-09,421.45,421.65,406.0,421.65,180206
17,ok,2006-11-12,433.0,442.75,400.6,414.75,271759
18,ok,2006-11-13,420.0,435.5,412.25,435.5,219973
19,ok,2006-11-14,435.0,457.3,429.9,454.75,322553
20,ok,2006-11-15,460.0,477.5,451.15,460.65,349606
21,ok,2006-11-16,451.0,460.0,437.65,437.65,83752
22,ok,2006-11-19,430.0,459.55,415.8,458.2,403325
23,ok,2006-11-20,462.0,481.15,462.0,481.15,242737
24,ok,2006-11-21,502.95,504.0,475.0,481.1,215106
25,ok,2006-11-22,492.0,494.0,460.0,485.25,144071
26,ok,2006-11-23,480.0,503.0,480.0,500.95,62592
27,ok,2006-11-26,507.0,522.0,500.1,509.1,137182
28,ok,2006-11-27,507.0,531.0,490.05,523.15,190919
29,ok,2006-11-28,513.0,549.0,513.0,539.1,26066
30,ok,2006-11-29,563.0,566.1,536.0,563.8,170136
31,ok,2006-11-30,587.0,592.0,579.0,592.0,39123
32,ok,2006-12-03,615.0,621.6,611.1,621.05,127997
33,ok,2006-12-04,640.0,640.0,603.3,630.3,378540
34,ok,2006-12-05,630.0,650.0,605.0,645.95,98272
35,ok,2006-12-06,649.0,650.0,616.4,631.9,55711
36,ok,2006-12-07,630.0,630.0,600.3,608.2,39176
37,ok,2006-12-10,578.0,615.0,577.8,577.8,12051
38,ok,2006-12-11,549.7,590.0,548.95,548.95,37492
39,ok,2006-12-12,521.5,569.0,521.5,534.9,131223
40,ok,2006-12-13,548.4,561.65,541.0,561.65,30592
41,ok,2006-12-14,589.7,589.75,582.25,589.75,81519
42,ok,2006-12-17,616.6,619.25,590.0,613.55,108199
43,ok,2006-12-18,608.0,618.0,582.9,585.6,39865
44,ok,2006-12-19,600.0,608.0,556.35,556.35,63108
45,ok,2006-12-20,551.05,560.0,528.55,529.85,53322
46,ok,2006-12-21,553.0,553.0,512.0,518.3,15307
47,ok,2006-12-25,535.0,544.25,535.0,544.25,12551
48,ok,2006-12-26,565.0,571.5,565.0,571.5,5934
49,ok,2006-12-27,600.1,600.1,577.05,597.85,34880
50,ok,2006-12-28,568.0,622.9,568.0,602.7,40534
51,ok,2007-01-01,614.9,621.45,586.0,592.65,19788
52,ok,2007-01-02,610.5,610.5,575.0,583.8,28403
53,ok,2007-01-03,588.0,613.0,577.1,595.3,54821
54,ok,2007-01-04,595.3,605.0,570.1,573.85,19251
55,ok,2007-01-07,550.05,589.95,550.05,561.9,38706
56,ok,2007-01-08,550.05,578.95,537.5,550.35,37465
57,ok,2007-01-09,530.05,560.0,524.0,535.0,69173
58,ok,2007-01-10,540.0,557.0,536.1,554.15,82732
59,ok,2007-01-11,570.0,581.9,565.0,581.9,101249
60,ok,2007-01-14,594.7,608.95,579.0,594.8,46481
61,ok,2007-01-15,590.1,600.95,565.5,569.3,19061
62,ok,2007-01-16,582.5,588.0,565.55,569.75,18043
63,ok,2007-01-17,583.7,585.0,550.1,556.25,47635
64,ok,2007-01-18,561.25,564.0,536.0,539.6,19413
65,ok,2007-01-21,560.0,564.8,540.5,548.95,45931
66,ok,2007-01-22,556.9,556.9,529.25,531.55,13276
67,ok,2007-01-23,549.85,558.15,546.1,557.5,128349
68,ok,2007-01-24,557.05,560.0,537.05,542.6,29147
69,ok,2007-01-28,548.9,559.35,534.05,539.5,13007
70,ok,2007-01-30,563.95,564.0,520.0,527.2,28132
71,ok,2007-01-31,539.8,539.8,510.0,518.1,21099
72,ok,2007-02-01,525.0,544.05,515.0,525.6,58952
73,ok,2007-02-04,535.05,540.0,520.15,524.0,17011
74,ok,2007-02-05,525.0,525.0,512.0,518.4,11653
75,ok,2007-02-06,514.0,530.0,500.0,509.7,29893
76,ok,2007-02-07,501.0,505.0,485.1,490.4,59670
77,ok,2007-02-08,500.0,514.95,470.0,506.05,142875
78,ok,2007-02-11,511.0,511.0,480.75,480.75,20801
79,ok,2007-02-12,456.8,483.0,456.75,456.75,77142
80,ok,2007-02-13,433.95,433.95,433.95,433.95,10145
81,ok,2007-02-14,412.25,455.65,412.25,455.65,66754
82,ok,2007-02-18,460.05,478.45,460.0,470.15,65979
83,ok,2007-02-19,477.0,481.0,446.65,446.8,7797
84,ok,2007-02-20,444.95,469.15,424.5,462.9,98184
85,ok,2007-02-21,460.0,460.0,439.8,440.15,5868
86,ok,2007-02-22,418.15,418.15,418.15,418.15,4757
87,ok,2007-02-25,397.25,397.25,397.25,397.25,805
88,ok,2007-02-26,377.4,406.0,377.4,377.4,48460
89,ok,2007-02-27,358.55,358.55,358.55,358.55,14245
90,ok,2007-02-28,340.65,340.65,340.65,340.65,4816
91,ok,2007-03-01,323.65,350.0,323.65,328.45,142989
92,ok,2007-03-04,312.1,312.1,312.05,312.05,280
93,ok,2007-03-05,296.45,311.0,296.45,298.1,197353
94,ok,2007-03-06,283.2,285.0,283.2,283.2,20208
95,ok,2007-03-07,269.05,269.05,269.05,269.05,571
96,ok,2007-03-08,255.6,282.5,255.6,278.9,151580
97,ok,2007-03-11,289.9,292.85,287.5,292.85,34801
98,ok,2007-03-12,307.5,307.5,307.5,307.5,15529
99,ok,2007-03-13,314.0,322.9,292.2,322.9,108636
100,ok,2007-03-14,337.0,339.05,337.0,339.05,8556
101,ok,2007-03-15,356.0,356.0,339.05,355.9,192851
102,ok,2007-03-18,369.7,370.0,338.1,347.35,130132
103,ok,2007-03-19,348.0,348.5,330.0,330.0,32637
104,ok,2007-03-20,315.0,330.5,313.5,313.5,47020
105,ok,2007-03-21,314.9,329.2,311.1,329.2,62264
106,ok,2007-03-22,329.9,345.7,321.0,345.7,42086
107,ok,2007-03-25,350.3,361.8,330.1,336.9,41879
108,ok,2007-03-27,329.0,353.75,321.05,325.15,78581
109,ok,2007-03-28,331.8,336.0,313.0,322.6,27041
110,ok,2007-03-29,324.0,336.0,323.25,325.95,23645
111,ok,2007-04-01,310.1,318.1,309.65,309.65,20715
112,ok,2007-04-02,309.0,309.0,294.2,294.2,23963
113,ok,2007-04-03,294.95,297.0,279.5,279.5,63354
114,ok,2007-04-04,270.0,284.0,265.55,270.2,100406
115,ok,2007-04-08,274.8,283.75,270.05,283.75,4531
116,ok,2007-04-09,310.0,312.15,288.0,312.15,157448
117,ok,2007-04-10,328.0,343.4,321.1,343.4,223636
118,ok,2007-04-11,343.0,375.0,343.0,360.4,120072
119,ok,2007-04-12,364.75,374.4,343.0,364.3,99888
120,ok,2007-04-15,365.65,367.0,346.1,346.1,33965
121,ok,2007-04-16,331.0,363.45,328.8,355.25,112157
122,ok,2007-04-17,359.6,362.0,337.5,340.1,38659
123,ok,2007-04-18,347.0,347.0,327.05,330.6,26990
124,ok,2007-04-19,340.0,347.15,330.1,347.15,39802
125,ok,2007-04-22,364.5,364.55,342.3,364.55,182473
126,ok,2007-04-23,375.0,375.0,351.55,355.45,69366
127,ok,2007-04-24,354.0,373.25,354.0,373.25,139821
128,ok,2007-04-25,382.0,389.95,370.05,383.0,102013
129,ok,2007-04-26,380.0,380.0,363.85,363.85,20964
130,ok,2007-04-29,355.0,372.4,350.1,367.3,14808
131,ok,2007-05-02,376.0,378.0,353.0,357.55,27356
132,ok,2007-05-03,360.0,364.5,348.0,350.55,20421
133,ok,2007-05-06,367.0,368.1,366.0,368.1,14491
134,ok,2007-05-07,375.0,386.55,349.75,352.7,88441
135,ok,2007-05-08,350.0,359.5,340.0,345.2,18618
136,ok,2007-05-09,347.6,357.5,336.35,339.85,47500
137,ok,2007-05-10,330.0,356.85,330.0,356.85,56968
138,ok,2007-05-13,364.4,364.4,352.1,356.6,54310
139,ok,2007-05-14,358.0,359.0,349.75,350.2,18416
140,ok,2007-05-15,350.05,364.0,350.05,352.0,73137
141,ok,2007-05-16,355.0,369.6,350.15,363.25,94655
142,ok,2007-05-17,370.0,375.0,349.0,352.55,56269
143,ok,2007-05-20,355.05,355.05,340.3,346.65,63119
144,ok,2007-05-21,342.0,349.75,330.05,331.15,15847
145,ok,2007-05-22,338.9,339.9,318.0,324.15,36284
146,ok,2007-05-23,324.0,324.0,309.0,311.6,18314
147,ok,2007-05-24,309.75,324.9,299.4,309.05,40201
148,ok,2007-05-27,315.95,316.0,298.5,300.0,39675
149,ok,2007-05-28,295.5,315.0,295.5,315.0,97553
150,ok,2007-05-29,318.1,330.75,317.1,330.75,152021
151,ok,2007-05-30,338.8,346.0,331.25,337.35,63996
152,ok,2007-05-31,340.0,354.25,340.0,354.25,108354
153,ok,2007-06-03,367.5,372.0,361.0,372.0,115562
154,ok,2007-06-04,380.0,384.9,372.7,379.9,85366
155,ok,2007-06-05,379.8,383.5,361.0,361.3,61175
156,ok,2007-06-06,359.95,377.0,351.0,355.75,24806
157,ok,2007-06-07,353.5,364.0,338.0,341.65,41325
158,ok,2007-06-10,348.0,356.0,345.0,353.05,30327
159,ok,2007-06-11,357.0,362.0,336.1,347.85,52559
160,ok,2007-06-12,350.0,353.95,331.0,338.7,44852
161,ok,2007-06-13,340.0,345.0,335.0,337.45,51385
162,ok,2007-06-14,339.0,349.0,331.0,335.3,25867
163,ok,2007-06-17,340.0,340.0,318.55,319.25,29954
164,ok,2007-06-18,321.0,334.0,317.6,329.75,32812
165,ok,2007-06-19,333.95,338.7,322.1,325.15,15738
166,ok,2007-06-20,329.8,333.2,315.5,330.5,34910
167,ok,2007-06-21,323.0,331.6,323.0,327.65,43584
168,ok,2007-06-24,329.0,329.0,319.25,322.65,27873
169,ok,2007-06-25,322.95,338.8,322.95,331.3,51438
170,ok,2007-06-26,344.0,344.0,328.0,338.3,41997
171,ok,2007-06-27,343.0,343.6,326.2,330.05,18377
172,ok,2007-06-28,330.0,337.0,328.0,330.5,19875
173,ok,2007-07-01,334.85,334.85,323.15,329.2,25449
174,ok,2007-07-02,335.95,335.95,326.0,328.2,12345
175,ok,2007-07-03,332.65,344.65,325.0,344.65,54483
176,ok,2007-07-04,348.0,361.9,336.05,361.9,109394
177,ok,2007-07-05,369.75,398.1,369.75,398.1,77085
178,ok,2007-07-08,416.0,416.0,380.25,409.95,131414
179,ok,2007-07-09,406.25,408.95,380.25,385.4,38675
180,ok,2007-07-10,382.8,404.9,380.0,387.0,27003
181,ok,2007-07-11,394.7,397.95,382.1,384.45,16606
182,ok,2007-07-12,392.0,420.0,387.0,409.05,146670
183,ok,2007-07-15,413.0,439.9,406.2,422.2,95825
184,ok,2007-07-16,427.0,439.0,381.55,414.6,59032
185,ok,2007-07-17,405.0,425.0,401.05,408.15,36044
