,s,t,o,h,l,c,v
0,ok,2008-04-02,33.03,35.94,28.56,30.73,65508174
1,ok,2008-04-03,31.08,32.74,30.33,31.84,20738769
2,ok,2008-04-06,32.35,33.21,31.49,32.71,9183869
3,ok,2008-04-07,32.5,33.34,32.06,32.76,6335475
4,ok,2008-04-08,32.45,33.4,31.76,32.85,2757474
5,ok,2008-04-09,32.66,34.12,32.46,32.83,4015123
6,ok,2008-04-10,33.1,33.79,31.49,31.82,992351
7,ok,2008-04-14,31.57,33.22,30.16,32.23,1096366
8,ok,2008-04-15,32.39,32.83,31.53,31.75,479210
9,ok,2008-04-16,32.06,32.44,31.57,31.76,230121
10,ok,2008-04-20,31.96,32.83,31.81,32.59,531228
11,ok,2008-04-21,31.96,32.93,31.86,32.16,195059
12,ok,2008-04-22,32.06,32.83,31.57,31.76,154416
13,ok,2008-04-23,32.34,32.34,31.51,31.67,109239
14,ok,2008-04-24,32.24,32.24,31.32,31.52,50710
15,ok,2008-04-27,31.48,33.51,31.3,32.77,536314
16,ok,2008-04-28,32.64,32.79,31.98,32.54,113300
17,ok,2008-04-29,32.28,34.39,32.08,33.27,886314
18,ok,2008-05-01,34.0,34.0,32.25,32.56,149037
19,ok,2008-05-04,32.99,34.18,32.64,33.69,1108833
20,ok,2008-05-05,33.99,33.99,32.5,32.97,199882
21,ok,2008-05-06,32.63,34.35,32.47,33.84,801544
22,ok,2008-05-07,33.14,34.37,33.03,33.99,491919
23,ok,2008-05-08,34.0,34.0,32.83,33.77,377646
24,ok,2008-05-11,33.06,33.9,32.25,33.58,330755
25,ok,2008-05-12,33.04,34.57,32.48,34.14,619750
26,ok,2008-05-13,33.13,34.0,32.64,32.82,200597
27,ok,2008-05-14,33.22,34.0,32.66,33.79,2989232
28,ok,2008-05-15,33.79,34.19,33.03,33.12,145193
29,ok,2008-05-19,32.44,33.57,32.08,32.78,122498
30,ok,2008-05-20,33.02,33.22,32.54,32.7,162070
31,ok,2008-05-21,32.06,33.55,32.05,32.31,542099
32,ok,2008-05-22,32.44,32.83,31.76,32.04,140370
33,ok,2008-05-25,32.06,32.06,30.99,31.15,66981
34,ok,2008-05-26,31.47,31.47,30.55,30.67,59461
35,ok,2008-05-27,29.57,31.28,29.57,30.81,68355
36,ok,2008-05-28,30.89,31.38,30.02,30.31,26421
37,ok,2008-05-29,30.5,32.64,29.19,31.52,162631
