,s,t,o,h,l,c,v
0,ok,2018-10-09,20.63,20.94,20.63,20.94,19200
1,ok,2018-10-15,20.47,20.47,20.16,20.31,19200
2,ok,2018-10-16,20.31,20.31,20.06,20.06,12800
3,ok,2018-10-18,20.63,20.63,20.31,20.31,12800
4,ok,2018-10-22,20.31,20.31,20.13,20.13,12800
5,ok,2018-10-23,20.44,20.44,20.38,20.38,12800
6,ok,2018-10-24,20.31,20.31,20.25,20.25,12800
7,ok,2018-10-25,20.38,20.38,20.31,20.31,12800
8,ok,2018-10-28,20.38,20.38,20.19,20.19,12800
9,ok,2018-10-30,20.31,20.31,20.31,20.31,12800
10,ok,2018-11-04,20.31,20.31,20.19,20.19,12800
11,ok,2018-11-05,20.63,20.63,20.31,20.47,12800
12,ok,2018-11-11,20.63,20.63,20.31,20.31,12800
13,ok,2018-11-12,21.25,21.41,21.25,21.41,12800
14,ok,2018-11-14,21.25,21.25,20.13,20.13,19200
15,ok,2018-11-15,20.03,20.03,20.03,20.03,12800
16,ok,2018-11-18,20.31,20.31,20.0,20.0,12800
17,ok,2018-11-19,20.31,20.31,20.0,20.0,12800
18,ok,2018-11-25,20.31,20.31,20.0,20.0,25600
19,ok,2018-11-27,20.0,20.0,20.0,20.0,12800
20,ok,2018-11-28,20.31,20.31,20.31,20.31,12800
21,ok,2018-11-29,20.31,20.31,20.19,20.25,12800
22,ok,2018-12-03,21.25,21.5,21.25,21.5,12800
23,ok,2018-12-04,20.31,20.31,20.0,20.16,12800
24,ok,2018-12-06,20.06,20.06,20.06,20.06,12800
25,ok,2018-12-09,20.06,20.06,20.06,20.06,12800
26,ok,2018-12-10,20.06,20.06,20.06,20.06,12800
27,ok,2018-12-11,20.0,20.0,20.0,20.0,12800
28,ok,2018-12-13,20.31,20.31,20.0,20.0,19200
29,ok,2018-12-20,20.13,20.31,20.0,20.0,128000
30,ok,2018-12-23,20.06,20.06,20.06,20.06,12800
31,ok,2018-12-25,20.31,20.31,20.13,20.13,19200
32,ok,2018-12-26,20.5,20.5,20.13,20.13,19200
33,ok,2018-12-27,20.5,20.5,20.13,20.13,19200
