,s,t,o,h,l,c,v
0,ok,2017-03-27,740.65,740.65,726.95,728.75,9748
1,ok,2017-03-28,728.75,750.0,726.95,728.85,30220
2,ok,2017-03-29,742.5,742.5,725.0,732.2,9465
3,ok,2017-03-30,738.4,738.4,725.0,727.0,9512
4,ok,2017-04-02,728.0,799.0,727.0,773.2,53279
5,ok,2017-04-04,781.0,850.5,781.0,823.9,113230
6,ok,2017-04-05,838.9,838.9,795.0,805.8,27105
7,ok,2017-04-06,805.0,810.0,792.0,796.95,12561
8,ok,2017-04-09,815.0,854.0,801.0,824.95,67108
9,ok,2017-04-10,832.95,842.8,814.35,822.0,16908
10,ok,2017-04-11,822.0,850.0,795.0,827.15,42775
11,ok,2017-04-12,829.6,836.2,822.8,827.7,17406
12,ok,2017-04-16,808.0,849.0,808.0,838.05,16310
13,ok,2017-04-17,822.15,846.7,820.0,823.05,10826
14,ok,2017-04-18,813.3,830.9,805.0,825.7,7016
15,ok,2017-04-19,825.95,841.0,820.0,824.75,9936
16,ok,2017-04-20,821.0,829.9,820.0,826.4,5857
17,ok,2017-04-23,820.0,852.2,820.0,847.1,15299
18,ok,2017-04-24,849.0,859.8,831.0,835.55,14792
19,ok,2017-04-25,821.5,848.4,821.5,827.8,6968
20,ok,2017-04-26,840.0,842.2,818.0,825.65,3257
21,ok,2017-04-27,817.4,836.2,817.4,827.15,5331
22,ok,2017-05-01,840.0,848.4,830.0,834.9,6769
23,ok,2017-05-02,831.2,834.05,818.4,829.8,9537
24,ok,2017-05-03,830.0,860.8,820.0,836.85,22679
25,ok,2017-05-04,864.0,864.0,822.0,832.9,16889
26,ok,2017-05-07,810.6,844.0,810.6,831.2,4766
27,ok,2017-05-08,831.25,836.8,820.0,822.0,4463
28,ok,2017-05-09,833.4,872.0,833.4,867.65,74572
29,ok,2017-05-10,900.0,929.0,890.1,914.35,90176
30,ok,2017-05-11,927.9,943.15,916.0,928.3,38711
31,ok,2017-05-14,927.9,945.0,922.0,940.2,10268
32,ok,2017-05-15,938.0,938.0,910.7,926.9,8291
33,ok,2017-05-16,935.0,936.0,908.0,915.3,10815
34,ok,2017-05-17,910.0,925.0,900.0,906.55,9018
35,ok,2017-05-18,908.0,917.0,878.0,884.6,10072
36,ok,2017-05-21,900.25,917.5,884.0,890.8,7090
37,ok,2017-05-22,890.0,894.3,825.55,862.1,14852
38,ok,2017-05-23,870.0,874.35,841.65,866.1,6638
39,ok,2017-05-24,871.25,880.0,862.0,872.75,5215
40,ok,2017-05-25,884.0,919.0,880.0,907.5,21871
41,ok,2017-05-28,800.1,803.65,726.0,790.55,163246
42,ok,2017-05-29,780.0,810.0,771.1,774.95,21788
43,ok,2017-05-30,780.0,793.85,757.5,768.85,12765
44,ok,2017-05-31,760.0,772.0,740.1,744.7,15715
