,s,t,o,h,l,c,v
0,ok,2000-08-23,63.0,64.6,62.8,64.1,44125
1,ok,2000-08-24,65.5,67.2,64.9,65.6,36190
2,ok,2000-08-27,66.5,67.0,65.15,65.5,16415
3,ok,2000-08-28,65.5,68.0,65.0,67.5,24210
4,ok,2000-08-29,67.95,67.95,66.0,67.05,18865
5,ok,2000-08-30,67.0,67.35,66.0,67.05,25705
6,ok,2000-09-03,67.5,68.0,65.0,67.45,77310
7,ok,2000-09-04,66.65,67.35,66.65,67.1,11250
8,ok,2000-09-05,68.0,69.0,67.5,67.85,15846
9,ok,2000-09-06,68.9,70.2,68.5,69.1,28065
10,ok,2000-09-07,70.0,74.65,70.0,74.65,85919
11,ok,2000-09-10,79.0,80.65,79.0,80.65,232581
12,ok,2000-09-11,86.7,87.1,83.25,87.1,269923
13,ok,2000-09-12,94.1,94.1,88.0,91.65,423993
14,ok,2000-09-13,98.65,98.65,86.0,92.55,298372
15,ok,2000-09-14,94.75,94.75,85.15,85.15,102151
16,ok,2000-09-17,80.5,80.5,78.35,78.35,48559
17,ok,2000-09-18,72.85,81.7,72.1,72.15,140088
18,ok,2000-09-19,76.8,77.0,69.5,73.7,51134
19,ok,2000-09-20,71.8,73.45,69.0,69.6,42228
20,ok,2000-09-21,68.1,70.4,67.95,69.4,42589
21,ok,2000-09-24,72.5,74.95,70.5,74.95,25311
22,ok,2000-09-25,80.0,80.95,76.05,80.95,41590
23,ok,2000-09-26,84.5,86.65,81.0,84.6,60053
24,ok,2000-09-27,82.05,84.95,80.1,81.75,24487
25,ok,2000-09-28,83.0,83.0,78.0,80.35,21944
26,ok,2000-10-02,79.6,82.8,77.9,79.15,29754
27,ok,2000-10-03,79.8,85.5,79.25,81.3,53662
28,ok,2000-10-04,82.9,83.9,80.0,80.15,15529
29,ok,2000-10-05,79.1,79.8,75.0,77.3,24088
30,ok,2000-10-08,75.8,77.25,73.65,73.85,9540
31,ok,2000-10-09,73.0,73.7,68.0,70.55,31823
32,ok,2000-10-10,68.0,74.0,68.0,70.65,9011
33,ok,2000-10-11,69.1,71.75,69.0,71.75,8185
34,ok,2000-10-12,69.6,73.8,69.6,70.3,11594
35,ok,2000-10-15,73.25,74.9,72.8,73.0,8445
36,ok,2000-10-16,70.2,73.0,69.5,72.65,22874
37,ok,2000-10-17,69.5,74.0,69.5,73.95,8562
38,ok,2000-10-18,74.95,79.9,73.25,79.9,17516
39,ok,2000-10-19,86.3,86.3,82.55,86.3,45205
40,ok,2000-10-22,87.55,89.75,83.35,83.9,28246
41,ok,2000-10-23,85.8,90.65,80.05,90.65,61552
42,ok,2000-10-24,95.0,97.9,94.75,97.9,176136
43,ok,2000-10-25,100.0,103.0,96.5,100.95,65303
44,ok,2000-10-26,103.0,109.05,100.6,107.15,92817
45,ok,2000-10-29,104.25,105.9,98.6,98.6,29193
46,ok,2000-10-30,90.75,105.7,90.75,104.0,104005
47,ok,2000-10-31,110.95,111.5,104.2,108.0,164909
48,ok,2000-11-01,109.0,109.0,101.0,105.65,80083
49,ok,2000-11-02,108.9,114.1,108.9,114.1,51272
50,ok,2000-11-05,123.2,123.25,123.2,123.25,6150
51,ok,2000-11-06,133.15,133.15,125.0,133.15,366516
52,ok,2000-11-07,143.8,143.8,143.8,143.8,8346
53,ok,2000-11-08,155.3,155.3,153.15,155.3,220316
54,ok,2000-11-09,166.9,167.75,145.2,167.65,944610
55,ok,2000-11-12,163.2,172.3,154.25,157.45,482570
56,ok,2000-11-13,158.0,168.8,150.0,160.9,399650
57,ok,2000-11-14,172.9,173.0,159.3,160.9,270806
58,ok,2000-11-15,161.95,162.0,155.0,155.7,156978
59,ok,2000-11-16,153.25,164.0,150.2,157.5,348470
60,ok,2000-11-19,159.0,159.9,152.6,153.85,127918
61,ok,2000-11-20,152.0,153.5,141.55,141.55,337566
62,ok,2000-11-21,142.25,144.45,130.25,130.4,362077
63,ok,2000-11-22,126.0,134.5,122.05,129.45,312571
64,ok,2000-11-23,130.5,139.85,128.3,137.2,345653
65,ok,2000-11-26,139.7,139.7,130.65,137.75,256876
66,ok,2000-11-27,137.9,137.9,128.0,129.0,242501
67,ok,2000-11-28,126.0,134.5,119.0,120.65,354648
68,ok,2000-11-29,119.0,127.0,113.0,118.55,584547
69,ok,2000-11-30,116.0,128.05,114.1,128.05,495756
70,ok,2000-12-03,129.0,138.3,129.0,138.3,293830
71,ok,2000-12-04,147.0,149.4,144.0,149.4,281247
72,ok,2000-12-05,161.35,161.35,149.65,156.4,703112
73,ok,2000-12-06,152.15,157.45,143.9,143.9,378247
74,ok,2000-12-07,141.1,155.45,140.4,155.2,734204
75,ok,2000-12-10,157.0,158.0,146.5,153.95,511539
76,ok,2000-12-11,155.0,159.0,151.15,152.8,534177
77,ok,2000-12-12,153.95,165.05,152.0,165.05,836773
78,ok,2000-12-13,168.0,170.9,158.5,160.15,667150
79,ok,2000-12-14,157.1,164.55,148.0,150.2,460983
80,ok,2000-12-17,148.6,154.9,142.0,153.6,333921
81,ok,2000-12-18,154.4,154.4,141.5,142.3,411009
82,ok,2000-12-19,140.0,144.95,138.0,141.65,239090
83,ok,2000-12-20,135.65,139.0,132.0,135.95,132732
84,ok,2000-12-21,136.9,139.7,125.1,127.05,370353
85,ok,2000-12-25,126.25,129.0,116.9,117.2,259688
86,ok,2000-12-26,119.0,126.6,115.0,126.6,85175
87,ok,2000-12-27,134.8,136.75,130.05,135.6,303569
88,ok,2000-12-28,135.5,146.45,130.6,146.4,387485
89,ok,2000-12-31,151.0,154.5,143.0,146.05,336526
90,ok,2001-01-01,149.0,149.0,141.1,143.2,163737
91,ok,2001-01-02,141.9,147.0,138.0,142.5,170321
92,ok,2001-01-03,145.0,153.9,145.0,146.05,244467
93,ok,2001-01-04,147.0,149.7,142.15,148.5,206337
94,ok,2001-01-07,147.5,149.5,140.0,141.15,197410
95,ok,2001-01-08,141.0,142.85,137.0,138.05,184270
96,ok,2001-01-09,147.0,149.1,143.0,147.8,337520
97,ok,2001-01-10,149.8,151.7,144.0,144.5,185923
98,ok,2001-01-11,146.45,147.0,132.95,133.2,328714
99,ok,2001-01-14,130.0,133.0,122.55,128.4,211268
100,ok,2001-01-15,129.05,130.0,124.0,125.3,208961
101,ok,2001-01-16,128.0,132.95,128.0,130.0,158929
102,ok,2001-01-17,132.2,132.85,128.5,131.35,105166
103,ok,2001-01-18,133.5,141.9,131.0,140.8,430285
104,ok,2001-01-21,145.0,151.9,143.0,144.1,343997
105,ok,2001-01-22,145.0,145.0,136.2,138.55,222678
106,ok,2001-01-23,147.0,147.0,139.1,141.95,144104
107,ok,2001-01-24,142.7,143.75,136.0,137.6,223327
108,ok,2001-01-28,135.0,135.0,126.6,129.95,130411
109,ok,2001-01-29,131.9,135.4,130.0,134.45,188838
110,ok,2001-01-30,135.05,136.45,133.0,133.45,92938
111,ok,2001-01-31,134.5,134.5,126.3,128.95,129394
112,ok,2001-02-01,128.0,132.0,123.25,128.05,177691
113,ok,2001-02-04,127.25,130.05,127.0,129.35,94281
114,ok,2001-02-05,129.1,139.7,129.1,139.7,306653
115,ok,2001-02-06,148.45,149.0,137.15,143.15,500905
116,ok,2001-02-07,141.55,147.0,141.55,143.65,152032
117,ok,2001-02-08,145.85,145.85,137.15,139.8,214163
118,ok,2001-02-11,141.0,141.0,137.0,138.55,72385
119,ok,2001-02-12,139.4,139.5,136.1,136.9,92187
120,ok,2001-02-13,138.9,140.0,136.0,136.55,50376
121,ok,2001-02-14,138.0,143.0,137.5,138.35,195531
122,ok,2001-02-15,140.0,144.7,136.0,136.85,210085
123,ok,2001-02-18,138.0,138.0,126.0,130.95,237598
124,ok,2001-02-19,131.85,133.95,128.1,129.4,260605
125,ok,2001-02-20,133.0,133.0,126.0,130.45,162685
126,ok,2001-02-21,129.9,129.9,122.0,123.0,363159
127,ok,2001-02-22,126.0,126.0,115.25,117.85,259743
128,ok,2001-02-25,116.0,126.9,116.0,125.6,185267
129,ok,2001-02-26,126.0,127.0,115.6,116.15,221944
130,ok,2001-02-27,116.0,125.45,113.0,124.65,138180
131,ok,2001-02-28,127.0,127.9,121.0,122.2,85792
132,ok,2001-03-01,123.0,123.0,112.45,113.9,138655
133,ok,2001-03-04,110.0,111.0,104.8,106.2,269196
134,ok,2001-03-06,114.45,114.45,106.0,110.8,123970
135,ok,2001-03-07,109.0,111.0,105.0,106.35,99117
136,ok,2001-03-08,105.0,105.0,97.85,97.95,177175
137,ok,2001-03-11,97.0,98.9,90.15,90.15,57018
138,ok,2001-03-12,82.95,82.95,82.95,82.95,13761
139,ok,2001-03-13,76.35,87.0,76.35,85.35,115738
140,ok,2001-03-14,80.65,92.2,80.2,92.2,109700
141,ok,2001-03-15,90.0,99.0,87.1,93.95,82490
142,ok,2001-03-18,95.0,101.5,92.0,101.5,89977
143,ok,2001-03-19,102.1,102.9,93.55,94.55,224904
144,ok,2001-03-20,94.0,101.25,88.25,99.1,67024
145,ok,2001-03-21,98.0,99.1,92.0,92.5,41416
146,ok,2001-03-22,93.0,97.0,86.65,89.45,64867
147,ok,2001-03-25,87.05,95.1,85.95,93.5,43487
148,ok,2001-03-26,93.35,94.9,90.0,91.15,46831
149,ok,2001-03-27,94.4,96.5,93.45,94.9,53928
150,ok,2001-03-28,93.0,94.85,90.25,91.9,34017
151,ok,2001-03-29,91.0,91.5,87.1,89.8,37638
152,ok,2001-04-01,86.25,86.25,82.65,85.35,39956
153,ok,2001-04-02,83.2,89.95,83.1,87.9,46441
154,ok,2001-04-03,83.65,86.0,82.05,84.9,19999
155,ok,2001-04-05,90.5,90.9,81.4,83.2,30959
156,ok,2001-04-08,84.0,86.5,82.7,85.0,33183
157,ok,2001-04-09,86.6,86.6,80.1,83.1,32328
158,ok,2001-04-10,81.5,83.0,76.5,77.55,34272
159,ok,2001-04-11,72.4,74.5,71.35,72.5,36471
160,ok,2001-04-15,75.0,78.3,75.0,78.3,40381
161,ok,2001-04-16,83.95,84.6,81.0,84.6,10201
162,ok,2001-04-17,91.4,91.4,91.4,91.4,3295
163,ok,2001-04-18,98.75,98.75,92.0,98.2,111436
164,ok,2001-04-19,98.7,106.1,92.0,105.95,281990
165,ok,2001-04-22,108.0,110.05,101.5,104.55,182898
166,ok,2001-04-23,102.0,105.0,98.5,104.1,71369
167,ok,2001-04-24,110.95,111.9,104.1,106.4,64332
168,ok,2001-04-25,107.0,108.0,102.0,102.65,62598
169,ok,2001-04-26,98.0,98.0,94.45,94.65,65069
170,ok,2001-04-29,92.2,102.0,92.2,99.45,58274
171,ok,2001-05-01,104.9,104.9,100.0,101.25,29982
172,ok,2001-05-02,99.45,105.8,98.3,102.65,60810
173,ok,2001-05-03,99.25,105.1,99.25,103.5,77039
174,ok,2001-05-06,103.0,104.5,99.0,100.9,118684
175,ok,2001-05-07,101.9,109.0,101.9,109.0,158610
176,ok,2001-05-08,112.95,113.0,103.1,105.0,175316
177,ok,2001-05-09,105.0,107.5,103.1,105.55,41003
178,ok,2001-05-10,105.0,106.75,103.55,105.05,31924
179,ok,2001-05-13,105.0,106.0,103.0,103.8,34059
180,ok,2001-05-14,102.5,109.0,96.5,107.3,133510
181,ok,2001-05-15,109.5,109.5,103.8,104.45,105950
182,ok,2001-05-16,105.0,106.85,103.55,105.3,50547
183,ok,2001-05-17,106.45,113.75,104.9,113.6,387475
184,ok,2001-05-20,112.05,121.0,112.0,115.85,279048
185,ok,2001-05-21,119.0,125.15,117.1,125.15,314020
186,ok,2001-05-22,129.7,135.2,128.25,132.1,408679
187,ok,2001-05-23,130.1,137.5,127.0,134.4,588654
188,ok,2001-05-24,134.0,134.5,129.1,130.45,214416
189,ok,2001-05-27,132.5,140.9,132.0,140.9,451367
190,ok,2001-05-28,142.0,152.2,142.0,152.2,223088
191,ok,2001-05-29,164.4,164.4,158.0,163.95,972812
192,ok,2001-05-30,160.8,160.8,150.85,157.1,800080
193,ok,2001-05-31,158.25,161.8,151.1,152.5,483007
194,ok,2001-06-03,154.0,154.5,143.1,145.0,362535
195,ok,2001-06-04,143.25,146.0,134.6,135.65,413565
196,ok,2001-06-05,139.7,142.95,137.0,138.0,260950
197,ok,2001-06-06,138.0,144.6,133.25,141.45,543967
198,ok,2001-06-07,144.0,145.7,138.1,140.55,355478
199,ok,2001-06-10,142.95,143.9,137.0,138.8,164039
