,s,t,o,h,l,c,v
0,ok,2016-06-13,334.0,334.0,311.0,312.25,2885
1,ok,2016-06-14,286.0,322.5,286.0,313.3,965
2,ok,2016-06-15,304.55,320.0,304.55,311.5,1498
3,ok,2016-06-16,322.0,322.0,310.05,320.0,335
4,ok,2016-06-19,321.0,321.0,305.15,315.55,232
5,ok,2016-06-20,306.5,320.45,306.5,313.0,245
6,ok,2016-06-21,305.5,314.9,297.0,312.75,317
7,ok,2016-06-22,312.5,312.8,300.3,300.8,626
8,ok,2016-06-23,295.0,308.95,291.05,301.0,782
9,ok,2016-06-26,305.95,308.0,300.0,304.85,647
10,ok,2016-06-27,300.5,310.5,300.0,310.5,502
11,ok,2016-06-28,301.0,308.5,292.1,304.75,3813
12,ok,2016-06-29,307.0,314.0,307.0,311.0,701
13,ok,2016-06-30,312.95,312.95,303.0,304.25,1012
14,ok,2016-07-03,309.95,326.0,303.1,310.0,4734
15,ok,2016-07-04,303.0,319.5,303.0,306.55,1499
16,ok,2016-07-06,310.95,336.6,308.0,322.45,5714
17,ok,2016-07-07,328.6,331.0,323.0,325.55,1539
18,ok,2016-07-10,329.95,336.5,322.0,324.5,1501
19,ok,2016-07-11,326.05,328.9,318.25,322.15,1420
20,ok,2016-07-12,312.0,327.95,312.0,322.5,1561
21,ok,2016-07-13,318.5,323.0,315.3,316.25,1694
22,ok,2016-07-14,322.1,322.1,314.2,318.95,1678
23,ok,2016-07-17,325.95,325.95,315.0,315.75,363
24,ok,2016-07-18,320.0,320.95,310.1,311.95,656
25,ok,2016-07-19,312.5,319.9,312.2,318.1,932
26,ok,2016-07-20,318.0,318.8,309.95,316.55,3007
27,ok,2016-07-21,314.25,317.9,313.0,315.0,527
28,ok,2016-07-24,316.0,322.8,312.0,313.05,1322
29,ok,2016-07-25,319.95,319.95,311.0,312.8,975
30,ok,2016-07-26,313.0,315.5,311.0,312.85,592
31,ok,2016-07-27,315.65,315.65,309.1,311.4,1367
32,ok,2016-07-28,311.4,328.0,310.1,315.0,1035
33,ok,2016-07-31,316.0,323.0,315.0,315.05,1652
34,ok,2016-08-01,319.0,331.0,313.0,319.95,5681
35,ok,2016-08-02,320.0,321.45,314.0,315.6,691
36,ok,2016-08-03,318.0,319.5,312.0,315.05,1225
37,ok,2016-08-04,321.8,323.9,317.0,320.5,799
38,ok,2016-08-07,321.0,325.0,317.0,322.1,2786
39,ok,2016-08-08,324.85,336.6,324.6,330.05,8425
40,ok,2016-08-09,335.5,337.0,328.0,330.8,2911
41,ok,2016-08-10,335.5,335.5,325.3,326.0,715
42,ok,2016-08-11,325.25,332.0,301.05,324.6,2288
43,ok,2016-08-15,316.05,317.95,291.0,294.05,10986
44,ok,2016-08-16,295.0,303.0,277.6,282.75,19746
45,ok,2016-08-17,287.5,297.0,283.0,293.7,2683
46,ok,2016-08-18,292.75,293.8,287.0,291.05,1773
47,ok,2016-08-21,294.95,307.95,293.0,303.9,2983
48,ok,2016-08-22,307.9,312.0,295.5,304.95,1571
49,ok,2016-08-23,307.0,308.9,301.0,301.8,929
50,ok,2016-08-24,301.0,302.75,295.2,296.3,1333
51,ok,2016-08-25,296.0,300.0,296.0,298.3,952
52,ok,2016-08-28,306.85,310.0,302.1,309.45,5484
53,ok,2016-08-29,315.0,319.4,305.0,305.8,5102
54,ok,2016-08-30,311.45,311.8,305.2,306.1,2169
55,ok,2016-08-31,307.0,308.9,303.25,305.1,1470
56,ok,2016-09-01,305.2,308.0,299.95,301.05,1750
57,ok,2016-09-05,302.0,313.0,296.0,305.05,2564
58,ok,2016-09-06,303.05,309.0,298.0,300.85,2947
59,ok,2016-09-07,300.05,309.45,300.05,305.9,1335
60,ok,2016-09-08,305.9,308.0,303.05,306.9,1742
61,ok,2016-09-11,300.0,306.1,298.0,305.15,2294
62,ok,2016-09-13,306.9,307.0,301.05,306.2,1394
63,ok,2016-09-14,302.05,304.85,300.0,302.8,1784
64,ok,2016-09-15,304.0,308.0,304.0,304.2,3506
65,ok,2016-09-18,303.2,309.9,303.2,308.95,2899
66,ok,2016-09-19,310.0,312.0,304.35,305.05,3209
67,ok,2016-09-20,307.9,309.5,304.8,305.5,2646
68,ok,2016-09-21,301.05,306.65,301.05,306.25,1963
69,ok,2016-09-22,306.05,317.0,306.05,314.1,6249
70,ok,2016-09-25,316.5,319.0,312.15,314.9,3091
71,ok,2016-09-26,316.0,316.0,311.0,312.35,2523
72,ok,2016-09-27,317.45,319.5,308.5,312.95,3665
73,ok,2016-09-28,313.1,319.5,295.0,298.5,6910
74,ok,2016-09-29,303.0,309.0,300.6,307.45,1011
75,ok,2016-10-02,312.0,314.0,307.1,308.0,2051
76,ok,2016-10-03,318.8,318.8,308.3,313.95,1583
77,ok,2016-10-04,314.0,314.65,309.4,313.65,1456
78,ok,2016-10-05,312.05,321.0,312.05,315.35,5216
79,ok,2016-10-06,315.0,317.65,313.2,316.0,3820
80,ok,2016-10-09,319.45,331.9,313.2,329.85,11065
81,ok,2016-10-12,339.0,339.0,323.0,326.85,5790
82,ok,2016-10-13,314.1,333.0,314.1,327.9,2861
83,ok,2016-10-16,330.0,334.3,321.0,323.85,2949
84,ok,2016-10-17,329.95,330.0,326.2,327.7,2020
85,ok,2016-10-18,324.25,329.9,324.25,327.05,2004
86,ok,2016-10-19,336.0,336.0,327.5,331.65,5757
87,ok,2016-10-20,328.0,336.0,328.0,331.45,3499
88,ok,2016-10-23,331.5,397.7,331.0,397.7,81847
89,ok,2016-10-24,412.0,425.0,385.15,393.8,141873
90,ok,2016-10-25,392.05,398.55,375.2,381.75,20114
91,ok,2016-10-26,380.0,393.0,374.0,377.5,9252
92,ok,2016-10-27,375.0,385.95,366.0,376.45,13326
93,ok,2016-10-29,370.0,395.0,370.0,385.55,5277
94,ok,2016-10-31,385.5,392.0,383.5,387.2,6544
95,ok,2016-11-01,372.6,383.9,371.05,375.15,5381
96,ok,2016-11-02,370.05,380.0,358.0,360.4,9811
97,ok,2016-11-03,371.5,371.5,341.0,347.65,10759
98,ok,2016-11-06,354.95,364.0,350.0,351.35,3547
99,ok,2016-11-07,350.9,363.0,350.9,357.35,3745
100,ok,2016-11-08,330.0,350.0,285.9,348.1,14294
101,ok,2016-11-09,359.7,364.9,351.0,354.3,1979
102,ok,2016-11-10,344.4,359.5,344.35,350.5,1624
103,ok,2016-11-14,349.8,349.9,321.1,323.6,7280
104,ok,2016-11-15,335.0,339.8,322.0,324.2,3342
105,ok,2016-11-16,320.0,327.0,318.0,324.35,2079
106,ok,2016-11-17,321.0,332.55,317.1,323.2,5394
107,ok,2016-11-20,320.0,327.0,309.5,314.6,30825
108,ok,2016-11-21,315.5,325.0,310.0,319.55,3442
109,ok,2016-11-22,317.1,324.0,313.8,317.75,4246
110,ok,2016-11-23,315.05,324.55,315.0,324.55,2302
111,ok,2016-11-24,325.0,334.95,324.8,333.65,2722
112,ok,2016-11-27,337.9,370.0,334.0,366.3,13557
113,ok,2016-11-28,371.0,380.1,360.1,363.3,8440
114,ok,2016-11-29,358.75,367.95,357.0,361.55,1047
115,ok,2016-11-30,370.0,370.0,346.0,354.2,3565
116,ok,2016-12-01,350.5,351.85,346.05,350.0,28614
