,s,t,o,h,l,c,v
0,ok,2000-01-02,22.11,23.36,21.45,23.04,233330
1,ok,2000-01-03,23.2,23.2,21.2,21.83,213640
2,ok,2000-01-04,20.3,22.77,20.3,21.32,174240
3,ok,2000-01-05,20.96,21.12,19.8,20.61,171210
4,ok,2000-01-06,20.63,20.63,19.72,19.86,63640
5,ok,2000-01-09,20.23,20.79,20.23,20.47,71210
6,ok,2000-01-10,19.97,20.56,19.97,20.43,222730
7,ok,2000-01-11,21.12,21.12,20.23,20.34,39390
8,ok,2000-01-12,20.63,20.63,20.3,20.46,39390
9,ok,2000-01-13,20.3,21.32,20.3,21.23,192420
10,ok,2000-01-16,20.79,21.01,20.36,20.51,122730
11,ok,2000-01-17,20.1,20.79,19.97,20.59,374240
12,ok,2000-01-18,21.42,21.62,20.76,21.3,122730
13,ok,2000-01-19,21.42,22.14,19.64,20.13,353030
14,ok,2000-01-20,20.13,20.3,18.99,19.35,437880
15,ok,2000-01-23,19.64,20.1,18.15,19.05,183330
16,ok,2000-01-24,18.15,18.4,17.53,17.53,160610
17,ok,2000-01-26,17.66,18.15,16.13,16.17,462120
18,ok,2000-01-27,16.17,16.8,16.17,16.73,187880
19,ok,2000-01-30,16.52,16.73,16.24,16.46,113640
20,ok,2000-01-31,16.37,16.4,15.84,16.06,83330
21,ok,2000-02-01,17.13,17.33,16.93,17.18,115150
22,ok,2000-02-02,18.15,18.15,16.87,17.13,87880
23,ok,2000-02-03,17.49,17.49,16.12,16.43,83330
24,ok,2000-02-06,16.5,16.5,15.12,15.2,263640
25,ok,2000-02-07,15.35,15.77,14.85,15.71,500000
26,ok,2000-02-08,16.5,16.5,15.18,15.27,146970
27,ok,2000-02-09,15.78,16.49,15.02,16.3,103030
28,ok,2000-02-10,16.17,17.16,15.91,16.24,154550
29,ok,2000-02-13,16.01,16.27,15.17,15.35,253030
30,ok,2000-02-14,14.26,15.48,14.26,14.63,169700
31,ok,2000-02-15,15.51,15.51,14.24,14.66,184850
32,ok,2000-02-16,15.48,15.78,14.1,15.59,374240
33,ok,2000-02-17,16.07,16.07,14.75,14.97,168180
34,ok,2000-02-20,14.85,15.12,14.36,14.36,56060
35,ok,2000-02-21,14.36,14.36,13.21,13.56,154550
36,ok,2000-02-22,14.19,14.36,12.71,13.14,128790
37,ok,2000-02-23,13.22,13.47,13.07,13.07,39390
38,ok,2000-02-24,12.61,13.2,12.61,13.1,18180
39,ok,2000-02-27,13.14,13.37,12.54,12.94,33330
40,ok,2000-02-28,13.53,13.53,12.06,12.11,154550
41,ok,2000-02-29,13.0,13.0,12.87,12.94,21210
42,ok,2000-03-01,12.71,12.71,11.91,11.91,201520
43,ok,2000-03-02,11.06,11.65,10.96,10.98,74240
44,ok,2000-03-05,11.02,11.19,10.6,10.76,57580
45,ok,2000-03-06,10.17,10.23,9.91,9.95,40910
46,ok,2000-03-07,9.54,10.66,9.54,9.96,22730
47,ok,2000-03-08,9.31,9.57,9.21,9.57,16670
48,ok,2000-03-09,9.08,9.08,9.08,9.08,1520
49,ok,2000-03-12,8.98,9.8,8.98,9.8,18180
50,ok,2000-03-13,10.2,10.59,10.2,10.59,95450
51,ok,2000-03-14,11.39,11.42,11.26,11.26,145450
52,ok,2000-03-15,11.4,11.55,10.47,10.52,62120
53,ok,2000-03-20,10.4,10.81,9.68,9.68,178790
54,ok,2000-03-21,10.33,10.33,9.77,9.77,140910
55,ok,2000-03-22,9.74,9.74,9.57,9.57,16670
56,ok,2000-03-23,9.18,9.9,9.18,9.9,25760
57,ok,2000-03-26,10.07,10.07,9.28,9.68,18180
58,ok,2000-03-27,9.25,9.41,9.01,9.07,130300
59,ok,2000-03-28,9.8,9.8,9.74,9.76,531820
60,ok,2000-03-29,9.67,9.74,9.08,9.25,274240
61,ok,2000-03-30,9.34,9.98,9.34,9.79,268180
62,ok,2000-04-02,10.07,10.07,9.64,9.78,127270
63,ok,2000-04-03,9.57,9.64,9.28,9.55,100000
64,ok,2000-04-04,9.54,9.55,9.08,9.55,60610
65,ok,2000-04-05,9.5,9.87,9.41,9.71,221210
66,ok,2000-04-06,9.83,10.23,9.83,10.18,178790
67,ok,2000-04-09,10.53,10.53,9.74,9.91,187880
68,ok,2000-04-11,9.74,9.96,9.57,9.87,37880
69,ok,2000-04-12,9.74,9.74,9.72,9.74,18180
70,ok,2000-04-16,9.57,9.74,9.57,9.65,19700
71,ok,2000-04-17,9.44,9.77,9.41,9.58,71210
72,ok,2000-04-18,10.19,10.19,9.11,9.32,272730
73,ok,2000-04-19,9.24,9.24,8.58,9.08,48480
74,ok,2000-04-23,8.48,8.98,8.45,8.52,37880
75,ok,2000-04-24,7.92,8.18,7.86,8.13,45450
76,ok,2000-04-25,8.25,8.51,7.99,8.39,46970
77,ok,2000-04-26,8.61,8.61,7.96,7.97,22730
78,ok,2000-04-27,7.92,7.92,7.56,7.85,80300
79,ok,2000-05-01,7.59,7.59,7.23,7.23,254550
80,ok,2000-05-02,7.38,7.72,6.8,7.33,18180
81,ok,2000-05-03,7.86,7.86,7.56,7.56,7580
82,ok,2000-05-04,7.65,8.16,7.59,8.02,24240
83,ok,2000-05-07,8.23,8.25,7.43,7.43,28790
84,ok,2000-05-08,7.43,7.43,7.26,7.39,28790
85,ok,2000-05-09,7.76,7.76,7.14,7.14,18180
86,ok,2000-05-10,6.84,7.13,6.8,6.8,48480
87,ok,2000-05-11,6.7,6.7,6.6,6.69,19700
88,ok,2000-05-14,6.5,6.54,6.31,6.52,24240
89,ok,2000-05-15,6.44,6.52,6.34,6.46,28790
90,ok,2000-05-16,6.93,6.93,6.54,6.54,43940
91,ok,2000-05-17,6.67,6.67,6.54,6.6,9090
92,ok,2000-05-18,6.7,6.7,6.57,6.6,6060
93,ok,2000-05-21,6.34,6.34,6.27,6.29,10610
94,ok,2000-05-22,6.31,6.42,5.88,6.11,24240
95,ok,2000-05-23,6.47,6.47,6.27,6.44,7580
96,ok,2000-05-24,6.77,6.77,6.45,6.47,12120
97,ok,2000-05-25,6.17,6.53,6.17,6.5,13640
98,ok,2000-05-28,6.54,6.76,6.54,6.76,19700
99,ok,2000-05-29,6.97,7.0,6.73,6.83,18180
100,ok,2000-05-30,7.03,7.26,6.87,7.08,146970
101,ok,2000-05-31,6.93,7.05,6.6,6.6,95450
102,ok,2000-06-01,6.9,6.9,6.57,6.57,18180
103,ok,2000-06-04,7.1,7.1,6.77,6.8,34850
104,ok,2000-06-05,6.93,6.93,6.58,6.62,36360
105,ok,2000-06-06,6.64,6.77,6.6,6.63,12120
106,ok,2000-06-07,6.64,6.7,6.45,6.7,24240
107,ok,2000-06-08,6.6,6.87,6.6,6.67,31820
108,ok,2000-06-11,6.6,6.6,6.41,6.41,65150
109,ok,2000-06-12,6.44,6.44,6.27,6.27,42420
110,ok,2000-06-13,6.4,6.54,6.4,6.53,100000
111,ok,2000-06-14,7.03,7.03,6.54,6.57,34850
112,ok,2000-06-15,6.85,6.85,6.06,6.2,101520
113,ok,2000-06-18,6.31,6.6,6.3,6.54,53030
114,ok,2000-06-19,6.44,6.93,6.44,6.84,86360
115,ok,2000-06-20,7.26,7.39,7.0,7.09,128790
116,ok,2000-06-21,7.33,7.33,7.0,7.04,34850
117,ok,2000-06-22,6.97,6.97,6.48,6.58,81820
118,ok,2000-06-25,6.27,6.4,6.06,6.06,151520
119,ok,2000-06-26,6.2,6.21,5.94,5.98,140910
120,ok,2000-06-27,6.19,6.19,5.56,5.7,809090
121,ok,2000-06-28,6.04,6.04,5.71,5.79,162120
122,ok,2000-06-29,5.94,6.04,5.86,5.9,72730
123,ok,2000-07-02,5.94,5.94,5.85,5.89,69700
124,ok,2000-07-03,5.81,5.89,5.78,5.85,134850
125,ok,2000-07-04,6.04,6.27,5.84,5.94,128790
126,ok,2000-07-05,5.94,5.94,5.84,5.94,13640
127,ok,2000-07-06,5.88,5.97,5.83,5.96,34850
128,ok,2000-07-09,5.8,5.91,5.62,5.76,65150
129,ok,2000-07-10,5.65,5.78,5.39,5.51,137880
130,ok,2000-07-11,5.51,5.61,5.45,5.46,140910
131,ok,2000-07-12,5.59,5.74,5.5,5.55,280300
132,ok,2000-07-13,5.52,5.84,5.52,5.6,377270
133,ok,2000-07-16,5.61,5.68,5.56,5.57,112120
134,ok,2000-07-17,5.45,5.61,5.38,5.42,131820
135,ok,2000-07-18,5.45,5.48,5.22,5.26,221210
136,ok,2000-07-19,5.12,5.37,5.12,5.26,43940
137,ok,2000-07-20,5.18,5.28,5.12,5.24,56060
138,ok,2000-07-23,4.86,5.02,4.82,4.82,77270
139,ok,2000-07-24,4.46,4.94,4.46,4.83,84850
140,ok,2000-07-25,5.08,5.12,4.9,4.99,96970
141,ok,2000-07-26,4.93,4.95,4.79,4.92,71210
142,ok,2000-07-27,5.02,5.02,4.86,4.88,36360
143,ok,2000-07-30,4.8,4.85,4.69,4.69,53030
144,ok,2000-07-31,4.66,4.66,4.41,4.43,84850
145,ok,2000-08-01,4.38,4.39,4.13,4.28,174240
146,ok,2000-08-02,4.21,4.55,4.17,4.24,172730
147,ok,2000-08-03,4.34,4.34,3.9,3.97,325760
148,ok,2000-08-06,3.93,4.13,3.87,4.05,101520
149,ok,2000-08-07,4.03,4.12,3.96,3.98,122730
150,ok,2000-08-08,4.03,4.3,4.03,4.3,109090
151,ok,2000-08-09,4.52,4.52,4.3,4.34,125760
152,ok,2000-08-10,4.23,4.37,4.13,4.3,63640
153,ok,2000-08-13,4.16,4.39,4.15,4.32,118180
154,ok,2000-08-15,4.42,4.66,4.42,4.52,89390
155,ok,2000-08-16,4.49,4.61,4.34,4.52,84850
156,ok,2000-08-17,4.51,4.62,4.46,4.62,184850
157,ok,2000-08-20,4.38,4.74,4.38,4.63,71210
158,ok,2000-08-21,4.69,4.69,4.36,4.55,77270
159,ok,2000-08-22,4.69,4.92,4.69,4.85,234180
160,ok,2000-08-23,4.93,4.93,4.8,4.85,26820
161,ok,2000-08-24,4.9,5.03,4.85,5.0,60300
162,ok,2000-08-27,5.08,5.28,4.95,5.28,144550
163,ok,2000-08-28,5.16,5.28,5.12,5.22,144390
164,ok,2000-08-29,5.45,5.64,5.25,5.64,85670
165,ok,2000-08-30,5.86,6.09,5.86,6.09,81670
166,ok,2000-09-03,6.56,6.58,6.56,6.58,75610
167,ok,2000-09-04,7.0,7.1,7.0,7.1,121970
168,ok,2000-09-05,7.16,7.67,7.16,7.67,89730
169,ok,2000-09-06,8.29,8.29,8.09,8.29,231700
170,ok,2000-09-07,8.91,8.91,7.63,7.63,374910
171,ok,2000-09-10,7.18,7.23,7.02,7.02,84030
172,ok,2000-09-11,6.47,6.6,6.46,6.46,190790
173,ok,2000-09-12,6.44,6.44,5.95,5.99,114700
174,ok,2000-09-13,6.02,6.02,5.65,5.79,63940
175,ok,2000-09-14,5.78,6.14,5.68,6.08,50700
176,ok,2000-09-17,5.63,5.93,5.6,5.62,95610
177,ok,2000-09-18,5.29,5.45,5.18,5.19,109700
178,ok,2000-09-19,5.44,5.44,5.28,5.37,41090
179,ok,2000-09-20,5.44,5.61,5.4,5.58,47360
180,ok,2000-09-21,5.38,5.51,5.38,5.39,31670
181,ok,2000-09-24,5.45,5.61,5.38,5.58,25610
182,ok,2000-09-25,5.48,5.57,5.36,5.48,42880
183,ok,2000-09-26,5.28,5.53,5.28,5.29,37480
184,ok,2000-09-27,5.37,5.53,5.22,5.28,77910
185,ok,2000-09-28,5.25,5.32,5.25,5.26,44850
186,ok,2000-10-02,5.31,5.31,5.12,5.16,35910
187,ok,2000-10-03,5.51,5.51,5.23,5.28,113180
188,ok,2000-10-04,5.28,5.28,4.89,5.25,33640
189,ok,2000-10-05,5.02,5.18,5.02,5.14,22580
190,ok,2000-10-08,4.99,5.11,4.99,5.02,6670
191,ok,2000-10-09,5.1,5.1,4.85,4.91,45450
192,ok,2000-10-10,5.18,5.18,4.79,5.03,55670
193,ok,2000-10-11,4.79,5.23,4.79,5.11,108330
194,ok,2000-10-12,4.85,5.34,4.85,5.13,53480
195,ok,2000-10-15,5.28,5.28,5.02,5.12,81820
196,ok,2000-10-16,5.07,5.12,4.95,5.02,72420
197,ok,2000-10-17,4.99,5.05,4.89,4.89,28480
198,ok,2000-10-18,4.96,5.28,4.96,5.25,14700
199,ok,2000-10-19,5.35,5.6,5.15,5.21,29000
200,ok,2000-10-22,4.86,5.45,4.86,5.3,74850
201,ok,2000-10-23,5.45,5.46,5.16,5.41,372820
202,ok,2000-10-24,5.43,5.84,5.43,5.63,231480
203,ok,2000-10-25,5.61,5.61,5.48,5.58,7880
204,ok,2000-10-26,5.83,5.83,5.51,5.64,84300
205,ok,2000-10-29,5.6,5.6,5.39,5.48,10910
206,ok,2000-10-30,5.2,5.38,5.15,5.21,32450
207,ok,2000-10-31,5.48,5.48,5.13,5.41,80150
208,ok,2000-11-01,5.44,5.46,5.36,5.42,69300
209,ok,2000-11-02,5.58,5.58,5.28,5.3,37000
210,ok,2000-11-05,5.44,5.53,5.24,5.32,69150
211,ok,2000-11-06,5.41,5.41,5.19,5.29,32180
212,ok,2000-11-07,5.49,5.71,5.49,5.7,65180
213,ok,2000-11-08,5.68,5.78,5.61,5.68,38880
214,ok,2000-11-09,5.49,5.55,5.26,5.31,104150
215,ok,2000-11-12,5.28,5.35,4.89,4.94,152330
216,ok,2000-11-13,5.02,5.12,4.95,5.06,114450
217,ok,2000-11-14,5.37,5.38,5.12,5.17,68030
218,ok,2000-11-15,5.02,5.16,4.86,4.9,143060
219,ok,2000-11-16,4.95,5.0,4.89,4.96,71360
220,ok,2000-11-19,4.82,4.95,4.82,4.87,117300
221,ok,2000-11-20,4.88,4.92,4.83,4.85,94550
222,ok,2000-11-21,4.85,5.02,4.79,4.82,188330
223,ok,2000-11-22,4.95,5.15,4.69,5.15,270300
224,ok,2000-11-23,5.02,5.12,4.95,5.0,58640
225,ok,2000-11-26,5.12,5.12,4.95,4.98,51240
226,ok,2000-11-27,4.96,5.21,4.95,5.03,89270
227,ok,2000-11-28,5.12,5.25,5.12,5.13,52240
228,ok,2000-11-29,5.21,5.21,5.05,5.1,12270
229,ok,2000-11-30,5.05,5.14,4.92,4.95,64700
230,ok,2000-12-03,5.01,5.02,4.92,4.94,93210
231,ok,2000-12-04,4.9,4.95,4.8,4.88,81970
232,ok,2000-12-05,5.11,5.12,4.95,4.99,263480
233,ok,2000-12-06,5.0,5.05,4.99,5.0,36520
234,ok,2000-12-07,5.12,5.25,4.95,5.0,347240
235,ok,2000-12-10,5.08,5.08,4.97,5.0,286450
236,ok,2000-12-11,5.04,5.08,5.01,5.06,477090
237,ok,2000-12-12,5.08,5.45,5.08,5.38,880850
238,ok,2000-12-13,5.45,5.61,5.35,5.36,732450
239,ok,2000-12-14,5.35,5.38,5.02,5.04,554790
