,s,t,o,h,l,c,v
0,ok,2006-10-30,194.5,200.0,188.5,188.5,132
1,ok,2006-11-01,179.0,197.5,178.5,192.55,908
2,ok,2006-11-02,199.5,199.5,187.25,190.4,1424
3,ok,2006-11-05,228.48,228.48,185.5,185.5,4
4,ok,2006-11-06,191.75,191.75,191.75,191.75,100
5,ok,2006-11-07,229.65,229.65,185.0,195.98,44
6,ok,2006-11-08,183.0,183.0,183.0,183.0,2
7,ok,2006-11-09,219.38,219.38,170.5,191.33,702
8,ok,2006-11-12,219.7,223.5,178.2,180.63,6686
9,ok,2006-11-13,214.7,214.7,185.0,187.4,2810
10,ok,2006-11-14,193.5,193.5,175.0,180.35,1332
11,ok,2006-11-15,175.75,175.75,168.58,170.43,4740
12,ok,2006-11-16,167.5,167.5,157.0,161.38,17568
13,ok,2006-11-19,162.2,162.2,140.58,157.5,4524
14,ok,2006-11-20,164.0,169.0,162.5,163.75,1230
15,ok,2006-11-21,160.53,160.53,157.5,158.15,1240
16,ok,2006-11-22,154.0,157.5,154.0,155.65,272
17,ok,2006-11-23,150.0,159.45,150.0,153.03,3910
18,ok,2006-11-26,153.5,158.88,153.5,158.5,166
19,ok,2006-11-27,151.5,162.5,151.5,162.48,928
20,ok,2006-11-28,163.55,167.98,163.0,167.33,502
21,ok,2006-11-29,167.0,167.5,163.0,163.0,630
22,ok,2006-11-30,161.5,169.0,161.5,164.75,386
23,ok,2006-12-03,154.0,169.0,152.15,159.1,7716
24,ok,2006-12-04,155.15,164.0,155.15,161.75,4903
25,ok,2006-12-05,160.1,165.0,160.0,163.05,3338
26,ok,2006-12-06,163.1,165.5,163.1,165.05,1307
27,ok,2006-12-07,165.0,190.0,165.0,178.65,7682
28,ok,2006-12-10,179.0,184.0,165.7,175.15,3452
29,ok,2006-12-11,166.15,178.9,158.0,159.95,309
30,ok,2006-12-12,150.0,167.85,150.0,160.6,348
31,ok,2006-12-13,165.0,169.8,165.0,168.0,188
32,ok,2006-12-14,165.5,166.0,163.0,166.0,1322
33,ok,2006-12-17,156.0,159.9,155.1,159.0,120
34,ok,2006-12-18,159.0,160.0,155.0,160.0,1030
35,ok,2006-12-19,157.0,157.0,155.0,155.0,137
36,ok,2006-12-20,150.0,161.0,142.3,155.0,413
37,ok,2006-12-21,159.0,160.9,147.0,160.0,450
38,ok,2006-12-25,163.8,163.8,151.7,151.9,234
39,ok,2006-12-26,154.0,156.0,152.0,155.5,405
40,ok,2006-12-27,148.5,152.0,144.6,151.0,853
41,ok,2006-12-28,150.5,151.05,150.5,151.05,40
42,ok,2007-01-01,143.15,151.0,143.15,150.4,1220
43,ok,2007-01-02,151.1,153.0,151.1,153.0,40
44,ok,2007-01-03,152.5,152.5,152.5,152.5,16
45,ok,2007-01-04,146.1,164.0,146.1,155.6,176
46,ok,2007-01-07,150.5,158.5,150.5,158.5,52
47,ok,2007-01-08,154.1,154.1,152.0,153.45,152
48,ok,2007-01-09,152.0,156.0,146.25,155.9,189
49,ok,2007-01-10,160.0,160.0,155.0,155.0,445
50,ok,2007-01-11,160.0,167.0,159.1,160.65,1083
51,ok,2007-01-14,165.0,176.65,161.4,176.65,1816
52,ok,2007-01-15,176.0,181.0,170.0,171.25,767
53,ok,2007-01-16,173.0,173.0,165.0,165.4,764
54,ok,2007-01-17,174.0,174.0,166.0,166.0,140
55,ok,2007-01-18,165.0,165.0,155.0,156.95,1698
56,ok,2007-01-21,165.0,165.0,155.0,161.5,725
57,ok,2007-01-22,165.0,165.0,160.2,161.9,515
58,ok,2007-01-23,164.05,164.05,160.0,160.0,2675
59,ok,2007-01-24,152.5,164.85,152.5,157.5,2025
60,ok,2007-01-28,157.5,160.0,155.0,155.0,3405
61,ok,2007-01-30,154.0,158.0,150.0,155.4,673
62,ok,2007-01-31,154.0,156.6,150.0,153.5,4729
63,ok,2007-02-01,150.0,151.1,149.5,150.0,565
64,ok,2007-02-04,148.05,157.0,148.05,153.8,435
65,ok,2007-02-05,149.25,150.0,149.0,149.15,1510
66,ok,2007-02-06,149.3,149.3,147.25,148.9,204
67,ok,2007-02-07,158.0,158.0,146.1,147.6,850
68,ok,2007-02-08,158.0,158.0,142.2,146.95,1720
69,ok,2007-02-11,146.0,146.0,137.0,138.1,1438
70,ok,2007-02-12,145.0,145.0,137.25,137.25,909
71,ok,2007-02-13,138.0,139.5,138.0,139.0,350
72,ok,2007-02-14,145.0,149.0,138.0,138.0,410
73,ok,2007-02-18,138.0,146.0,138.0,144.0,269
74,ok,2007-02-19,137.05,140.0,137.05,139.95,345
75,ok,2007-02-20,145.0,145.0,134.0,137.5,825
76,ok,2007-02-21,143.0,145.0,136.0,144.0,6681
77,ok,2007-02-22,145.0,145.0,135.0,138.85,463
78,ok,2007-02-25,140.0,143.65,128.0,137.0,600
79,ok,2007-02-26,137.0,140.5,137.0,140.05,151
80,ok,2007-02-27,131.45,131.45,131.4,131.45,150
81,ok,2007-02-28,135.0,135.0,131.0,131.0,75
82,ok,2007-03-01,132.0,132.0,129.1,129.95,114
83,ok,2007-03-04,127.0,127.0,116.95,116.95,2020
84,ok,2007-03-05,110.0,114.95,107.1,110.05,1914
85,ok,2007-03-06,115.45,115.45,108.0,108.85,3010
86,ok,2007-03-07,107.0,107.0,104.0,105.1,2689
87,ok,2007-03-08,102.0,110.25,102.0,110.25,400
88,ok,2007-03-11,109.0,115.5,106.4,115.5,4664
89,ok,2007-03-12,120.0,121.3,113.65,118.65,3233
90,ok,2007-03-13,119.0,119.0,115.0,115.0,750
91,ok,2007-03-14,115.05,118.0,115.05,115.35,220
92,ok,2007-03-15,119.0,119.0,119.0,119.0,700
93,ok,2007-03-18,115.0,115.5,113.1,113.1,110
94,ok,2007-03-19,114.0,114.0,107.7,107.7,80
95,ok,2007-03-21,111.0,111.0,111.0,111.0,2000
96,ok,2007-03-22,116.0,116.0,116.0,116.0,10
97,ok,2007-03-25,116.0,116.0,111.5,111.5,9968
98,ok,2007-03-27,113.0,113.0,113.0,113.0,770
99,ok,2007-03-28,108.0,108.0,107.5,107.5,2225
100,ok,2007-03-29,105.2,105.2,104.6,105.0,80
101,ok,2007-04-01,105.0,109.0,104.6,109.0,440
102,ok,2007-04-02,103.55,103.55,103.55,103.55,100
103,ok,2007-04-03,100.0,100.0,100.0,100.0,10
104,ok,2007-04-04,102.5,102.5,99.05,102.5,60
105,ok,2007-04-08,105.95,107.5,105.95,107.5,1100
106,ok,2007-04-09,104.05,115.8,104.0,115.8,62
107,ok,2007-04-10,112.0,121.5,112.0,112.0,170
108,ok,2007-04-11,110.0,117.0,110.0,112.0,10
109,ok,2007-04-12,110.0,115.0,110.0,112.55,32
110,ok,2007-04-15,115.0,121.95,115.0,121.7,120
111,ok,2007-04-16,133.0,133.0,122.0,122.0,470
112,ok,2007-04-17,117.1,117.1,117.1,117.1,25
113,ok,2007-04-18,119.0,126.0,119.0,126.0,45
114,ok,2007-04-19,125.0,126.05,125.0,126.0,242
115,ok,2007-04-23,135.0,137.0,128.0,132.0,192
116,ok,2007-04-24,131.3,131.3,131.3,131.3,15
117,ok,2007-04-25,132.0,132.0,119.0,132.0,407
118,ok,2007-04-26,129.05,129.05,129.0,129.0,83
119,ok,2007-04-29,122.0,131.0,119.1,128.0,121
120,ok,2007-05-02,130.0,135.0,121.5,132.0,4696
121,ok,2007-05-03,132.0,142.0,132.0,142.0,1182
122,ok,2007-05-06,155.0,156.2,146.5,156.0,5814
123,ok,2007-05-07,154.9,155.9,148.5,150.15,5802
124,ok,2007-05-08,150.0,150.0,145.05,150.0,2347
125,ok,2007-05-09,150.0,150.0,148.2,149.5,2620
126,ok,2007-05-10,150.0,153.0,149.9,152.85,1519
127,ok,2007-05-13,150.5,151.9,146.45,151.9,1152
128,ok,2007-05-14,146.05,163.0,146.05,162.0,980
129,ok,2007-05-15,149.05,160.0,149.05,151.65,44
130,ok,2007-05-16,166.35,166.7,140.0,155.45,1857
131,ok,2007-05-17,150.0,150.0,150.0,150.0,10
132,ok,2007-05-20,151.0,151.0,148.05,148.05,46
133,ok,2007-05-21,148.0,152.9,148.0,150.0,1471
134,ok,2007-05-22,143.0,151.0,143.0,150.65,743
135,ok,2007-05-23,150.0,151.0,145.1,150.6,922
136,ok,2007-05-24,150.0,150.0,150.0,150.0,2152
137,ok,2007-05-27,150.0,152.0,150.0,150.0,309
138,ok,2007-05-28,150.1,150.1,150.0,150.0,1550
139,ok,2007-05-29,143.3,152.1,143.3,150.0,534
140,ok,2007-05-30,150.0,150.0,150.0,150.0,200
141,ok,2007-05-31,150.0,150.0,150.0,150.0,100
142,ok,2007-06-03,159.0,160.0,150.2,154.85,1476
143,ok,2007-06-04,150.0,150.0,150.0,150.0,395
144,ok,2007-06-05,150.15,155.8,150.0,150.0,2810
145,ok,2007-06-06,145.25,154.5,145.05,146.9,1740
146,ok,2007-06-07,143.75,153.0,143.55,148.2,376
147,ok,2007-06-11,153.0,153.0,141.2,150.3,327
148,ok,2007-06-12,145.0,145.0,145.0,145.0,7
149,ok,2007-06-14,145.5,145.5,144.0,144.0,221
150,ok,2007-06-17,150.0,150.0,150.0,150.0,76
151,ok,2007-06-18,149.95,150.0,149.95,150.0,1546
152,ok,2007-06-19,145.25,152.85,145.25,150.0,901
153,ok,2007-06-20,145.25,145.25,145.25,145.25,18
154,ok,2007-06-21,152.25,154.0,147.5,154.0,1175
155,ok,2007-06-24,149.0,151.9,145.45,149.65,2010
156,ok,2007-06-25,145.25,150.0,145.25,150.0,1610
157,ok,2007-06-26,150.0,152.0,149.15,150.0,620
158,ok,2007-06-27,161.0,163.0,145.65,154.5,803
159,ok,2007-06-28,159.85,159.85,149.5,149.5,61
160,ok,2007-07-01,147.0,150.0,146.2,150.0,176
161,ok,2007-07-02,150.0,152.4,147.55,148.8,351
162,ok,2007-07-03,151.95,154.0,146.05,146.3,1280
163,ok,2007-07-04,149.0,154.0,149.0,150.05,2807
164,ok,2007-07-05,150.0,152.0,150.0,150.6,847
165,ok,2007-07-08,131.0,155.0,131.0,151.0,2848
166,ok,2007-07-09,145.25,153.4,145.25,150.0,289
167,ok,2007-07-10,150.0,150.05,150.0,150.05,160
168,ok,2007-07-11,157.8,157.8,146.1,150.0,2165
169,ok,2007-07-12,150.0,150.0,142.3,148.8,2625
170,ok,2007-07-15,127.15,151.0,127.15,151.0,353
171,ok,2007-07-16,148.25,150.7,142.05,143.35,290
172,ok,2007-07-17,141.9,148.8,140.35,145.0,748
173,ok,2007-07-19,148.0,148.0,141.0,142.5,1445
174,ok,2007-07-22,133.55,149.1,133.55,139.2,70
175,ok,2007-07-23,134.0,142.95,134.0,137.4,329
176,ok,2007-07-25,133.0,143.5,132.5,143.5,124
177,ok,2007-07-26,130.2,142.7,127.05,133.35,335
178,ok,2007-07-29,141.0,141.0,132.0,134.7,879
179,ok,2007-07-30,138.5,138.5,130.0,134.5,604
180,ok,2007-07-31,128.7,129.0,125.0,127.6,1310
181,ok,2007-08-01,130.1,135.0,130.0,130.0,4650
182,ok,2007-08-02,128.65,131.5,128.65,130.0,1276
183,ok,2007-08-05,130.0,130.0,121.3,127.45,255
184,ok,2007-08-06,142.95,142.95,118.0,124.15,2267
185,ok,2007-08-07,129.45,130.0,127.5,127.5,161
186,ok,2007-08-08,127.0,127.0,127.0,127.0,200
187,ok,2007-08-12,127.0,127.0,121.75,121.75,224
188,ok,2007-08-13,136.0,136.0,121.1,123.95,155
189,ok,2007-08-15,124.0,124.0,118.0,118.0,30
190,ok,2007-08-16,121.65,121.65,106.05,117.0,1410
191,ok,2007-08-19,109.8,125.0,109.8,121.45,2480
192,ok,2007-08-20,120.0,125.0,120.0,121.15,1605
193,ok,2007-08-21,120.0,124.0,120.0,122.0,50
194,ok,2007-08-22,119.5,123.4,119.0,123.0,306
195,ok,2007-08-23,119.0,119.05,117.0,118.2,250
196,ok,2007-08-26,123.8,130.0,113.1,124.5,1255
197,ok,2007-08-27,113.2,129.9,113.2,118.55,482
198,ok,2007-08-29,120.0,120.0,120.0,120.0,100
199,ok,2007-08-30,114.0,120.0,113.2,113.2,176
200,ok,2007-09-02,114.0,122.95,114.0,117.5,1321
201,ok,2007-09-03,118.0,118.0,118.0,118.0,1070
202,ok,2007-09-05,140.0,140.0,118.1,118.1,141
203,ok,2007-09-06,123.7,123.7,118.2,119.0,153
204,ok,2007-09-09,122.0,122.0,115.1,116.95,708
205,ok,2007-09-10,130.0,130.0,118.0,121.0,6
206,ok,2007-09-11,119.0,120.0,119.0,120.0,79
207,ok,2007-09-12,120.0,120.0,120.0,120.0,55
208,ok,2007-09-13,124.0,124.0,115.0,115.5,1430
209,ok,2007-09-16,118.8,118.8,115.1,115.1,52
210,ok,2007-09-17,136.0,136.0,115.1,116.3,1153
211,ok,2007-09-18,129.9,129.9,114.9,115.35,149
212,ok,2007-09-19,136.0,136.0,116.0,116.05,359
213,ok,2007-09-20,137.0,137.0,110.0,112.85,1950
214,ok,2007-09-23,117.9,120.0,110.15,117.3,1037
215,ok,2007-09-24,136.1,136.1,120.0,124.0,1118
216,ok,2007-09-25,141.0,141.0,119.1,119.3,171
217,ok,2007-09-26,127.0,127.0,114.55,124.1,682
218,ok,2007-09-27,117.55,124.0,117.55,123.95,3
219,ok,2007-09-30,129.0,129.0,105.35,124.75,947
220,ok,2007-10-02,130.0,132.9,125.0,126.45,1905
221,ok,2007-10-03,125.0,128.0,125.0,125.0,284
222,ok,2007-10-04,133.0,133.0,125.0,128.45,2045
223,ok,2007-10-07,134.0,134.0,116.5,125.0,384
224,ok,2007-10-08,146.0,146.0,120.0,132.0,882
225,ok,2007-10-09,143.0,143.0,130.0,130.0,127
226,ok,2007-10-10,105.0,144.0,105.0,130.5,262
227,ok,2007-10-11,150.0,150.0,130.5,136.15,2691
228,ok,2007-10-14,149.0,149.0,132.0,135.85,736
229,ok,2007-10-15,142.8,142.8,130.0,130.15,552
230,ok,2007-10-16,125.5,135.0,125.05,131.0,106
231,ok,2007-10-17,133.95,133.95,125.0,125.0,260
232,ok,2007-10-18,133.5,134.0,115.0,120.15,229
233,ok,2007-10-21,142.0,142.0,103.0,121.6,1355
234,ok,2007-10-22,115.0,125.95,115.0,115.1,1360
235,ok,2007-10-23,136.0,136.0,113.0,119.2,671
236,ok,2007-10-24,142.0,142.0,116.15,119.0,487
237,ok,2007-10-25,140.0,140.0,102.0,117.05,790
238,ok,2007-10-28,123.8,123.8,107.0,107.9,3759
239,ok,2007-10-29,116.5,116.5,110.5,113.95,367
240,ok,2007-10-30,132.0,132.0,106.05,116.1,2830
241,ok,2007-10-31,132.0,132.0,104.4,110.0,1925
242,ok,2007-11-01,126.0,126.0,106.05,107.25,1960
243,ok,2007-11-04,106.3,118.5,96.5,115.45,795
244,ok,2007-11-05,111.0,118.0,106.1,107.75,715
245,ok,2007-11-06,127.0,127.0,105.7,109.0,67
