,s,t,o,h,l,c,v
0,ok,2006-06-22,66.5,68.5,57.21,66.96,43589100
1,ok,2006-06-24,66.8,69.4,66.8,67.93,3230630
2,ok,2006-06-25,67.7,68.55,57.81,60.36,9980120
3,ok,2006-06-26,59.4,60.2,56.61,58.15,5978730
4,ok,2006-06-27,56.15,62.9,55.9,61.12,9713750
5,ok,2006-06-28,62.1,66.7,61.62,64.99,10653410
6,ok,2006-06-29,66.0,68.7,65.0,65.8,8120460
7,ok,2006-07-02,66.0,66.7,65.0,65.51,1799600
8,ok,2006-07-03,65.98,66.49,65.0,65.31,539760
9,ok,2006-07-04,64.9,68.0,64.21,67.64,2019150
10,ok,2006-07-05,66.9,69.99,65.39,66.19,5854700
11,ok,2006-07-06,66.5,67.72,64.51,64.8,1363600
12,ok,2006-07-09,63.5,66.3,63.5,65.38,744090
13,ok,2006-07-10,65.69,66.7,65.4,66.18,604520
14,ok,2006-07-11,65.01,66.8,63.02,65.63,212360
15,ok,2006-07-12,65.02,66.79,65.02,65.46,306400
16,ok,2006-07-13,64.1,65.5,63.36,64.05,232010
17,ok,2006-07-16,63.32,65.25,61.52,62.65,187350
18,ok,2006-07-17,63.39,63.56,61.0,61.79,181020
19,ok,2006-07-18,62.1,62.85,61.4,61.52,362030
20,ok,2006-07-19,62.89,62.89,60.1,60.67,261650
21,ok,2006-07-20,60.11,61.25,58.4,59.41,58600
22,ok,2006-07-23,60.0,60.0,56.43,57.27,38330
23,ok,2006-07-24,57.6,58.4,57.26,57.53,29020
24,ok,2006-07-25,57.5,59.79,57.21,59.38,94630
25,ok,2006-07-26,60.4,60.88,59.03,59.63,36830
26,ok,2006-07-27,58.8,60.1,56.55,56.99,48140
27,ok,2006-07-30,59.0,61.6,57.6,59.84,70530
28,ok,2006-07-31,59.0,59.7,58.63,59.16,17640
29,ok,2006-08-01,59.0,61.17,59.0,60.35,168750
30,ok,2006-08-02,60.65,63.1,60.6,62.09,121180
31,ok,2006-08-03,62.2,62.49,61.51,62.04,22650
32,ok,2006-08-06,61.8,61.8,60.6,60.84,10860
33,ok,2006-08-07,61.2,64.0,61.2,63.23,79630
34,ok,2006-08-08,63.9,65.9,62.65,65.36,90420
35,ok,2006-08-09,65.36,69.4,60.5,67.15,1014730
36,ok,2006-08-10,68.9,68.9,64.55,65.37,120200
37,ok,2006-08-13,66.5,66.5,64.5,65.33,37480
