,s,t,o,h,l,c,v
0,ok,2005-05-18,151.0,177.3,151.0,169.75,8309835
1,ok,2005-05-19,169.7,179.5,164.3,168.3,5914970
2,ok,2005-05-22,170.0,172.9,165.1,166.4,1738770
3,ok,2005-05-23,167.4,170.7,158.2,159.4,1069036
4,ok,2005-05-24,160.0,163.45,152.65,153.9,734394
5,ok,2005-05-25,155.35,161.0,153.0,155.0,916761
6,ok,2005-05-26,157.0,159.25,149.35,150.4,520009
7,ok,2005-05-29,151.1,152.55,145.5,146.85,335106
8,ok,2005-05-30,147.75,156.4,143.0,154.45,1509854
9,ok,2005-05-31,154.75,154.9,147.1,147.85,486023
10,ok,2005-06-01,148.8,153.8,147.0,148.15,987793
11,ok,2005-06-02,148.75,152.9,148.0,149.6,684174
12,ok,2005-06-03,150.85,150.85,147.65,148.45,207718
13,ok,2005-06-05,148.75,153.4,148.45,149.25,463448
14,ok,2005-06-06,150.35,156.0,149.5,153.1,671396
15,ok,2005-06-07,154.0,158.7,153.6,154.8,779488
16,ok,2005-06-08,155.8,155.8,150.15,151.15,268526
17,ok,2005-06-09,150.1,152.8,131.4,151.0,232726
18,ok,2005-06-12,151.0,162.7,151.0,159.0,860477
19,ok,2005-06-13,160.35,162.3,154.05,154.9,562816
20,ok,2005-06-14,155.6,156.4,148.0,154.2,215989
21,ok,2005-06-15,154.0,157.8,153.0,154.25,295491
22,ok,2005-06-16,153.1,155.75,140.1,154.4,197955
23,ok,2005-06-19,155.5,155.7,148.05,150.05,102394
24,ok,2005-06-20,151.0,154.45,148.6,152.2,170361
25,ok,2005-06-21,153.7,154.0,147.0,148.5,74679
26,ok,2005-06-22,148.1,152.0,147.0,150.8,101413
27,ok,2005-06-23,149.2,152.0,148.1,150.35,80532
28,ok,2005-06-26,150.55,154.55,149.7,150.15,85222
29,ok,2005-06-27,151.1,151.9,149.1,150.55,52349
30,ok,2005-06-28,151.0,153.0,149.35,151.6,50093
31,ok,2005-06-29,152.9,157.0,151.0,154.75,198324
32,ok,2005-06-30,154.6,155.95,150.5,151.6,49407
33,ok,2005-07-03,152.9,159.0,150.0,158.3,133481
34,ok,2005-07-04,159.45,164.0,155.0,160.95,126457
35,ok,2005-07-05,161.0,172.45,161.0,167.5,364670
36,ok,2005-07-06,151.0,168.0,151.0,164.95,73937
37,ok,2005-07-07,166.0,171.9,166.0,169.6,98273
38,ok,2005-07-10,172.0,172.0,167.95,169.95,49284
39,ok,2005-07-11,167.1,172.0,167.1,170.25,78905
40,ok,2005-07-12,172.0,172.0,168.0,169.1,33909
