,s,t,o,h,l,c,v
0,ok,2007-08-05,61.0,62.0,53.75,55.15,9793868
1,ok,2007-08-06,56.5,57.2,54.0,54.8,1981437
2,ok,2007-08-07,55.5,55.8,51.7,52.2,712835
3,ok,2007-08-08,53.2,57.0,50.3,54.05,2005024
4,ok,2007-08-09,50.6,52.8,50.0,51.4,326031
5,ok,2007-08-12,53.0,53.35,51.0,51.45,476807
6,ok,2007-08-13,52.0,55.75,51.2,52.0,1140344
7,ok,2007-08-15,49.0,50.75,48.25,48.8,198662
8,ok,2007-08-16,49.2,50.0,42.0,44.1,294919
9,ok,2007-08-19,45.75,52.95,44.95,49.35,1510233
10,ok,2007-08-20,50.25,50.25,45.0,45.45,193306
11,ok,2007-08-21,46.6,51.1,46.0,48.0,584938
12,ok,2007-08-22,49.7,50.45,45.1,45.6,194192
13,ok,2007-08-23,47.55,47.6,45.1,46.3,139322
14,ok,2007-08-26,47.35,47.4,45.1,45.95,64613
15,ok,2007-08-27,42.0,47.4,42.0,45.9,115701
16,ok,2007-08-28,44.1,45.9,43.25,45.4,46028
17,ok,2007-08-29,46.35,46.4,45.0,45.35,40810
18,ok,2007-08-30,45.4,46.2,44.5,44.95,42567
19,ok,2007-09-02,45.85,45.85,44.3,44.95,100383
20,ok,2007-09-03,45.1,45.65,44.35,44.6,70956
21,ok,2007-09-04,45.35,45.7,44.35,44.6,120918
22,ok,2007-09-05,44.75,45.3,44.55,44.95,47465
23,ok,2007-09-06,46.5,51.4,44.75,46.9,358373
24,ok,2007-09-09,55.3,55.3,46.0,47.3,195625
25,ok,2007-09-10,48.0,48.0,47.0,47.35,74889
26,ok,2007-09-11,48.8,51.0,47.2,48.95,455219
27,ok,2007-09-12,50.0,52.0,48.05,48.5,116935
28,ok,2007-09-13,49.7,49.9,47.4,47.65,84167
29,ok,2007-09-16,47.65,49.5,47.5,48.6,117297
30,ok,2007-09-17,48.5,49.35,48.0,48.5,130980
31,ok,2007-09-18,49.5,49.5,46.55,47.3,66000
32,ok,2007-09-19,47.9,48.0,46.1,46.35,38396
33,ok,2007-09-20,49.0,49.0,46.0,46.1,39522
34,ok,2007-09-23,45.6,47.1,45.05,45.3,50440
35,ok,2007-09-24,45.55,45.85,44.15,44.55,42821
36,ok,2007-09-25,44.55,47.0,44.5,45.5,66467
37,ok,2007-09-26,45.7,46.5,45.2,45.45,43477
38,ok,2007-09-27,45.05,45.85,44.45,44.6,108290
39,ok,2007-09-30,44.85,45.8,44.6,44.8,38253
40,ok,2007-10-02,44.5,45.15,43.7,43.95,44558
