,s,t,o,h,l,c,v
0,ok,2007-05-20,281.0,288.5,279.0,283.45,1378
1,ok,2007-05-21,278.55,288.0,275.0,278.9,391
2,ok,2007-05-22,275.0,285.0,275.0,277.15,4470
3,ok,2007-05-23,276.0,285.0,276.0,283.0,590
4,ok,2007-05-24,288.0,291.0,277.0,278.0,3282
5,ok,2007-05-27,290.0,290.0,280.3,283.35,597
6,ok,2007-05-28,296.0,297.55,287.0,297.55,4119
7,ok,2007-05-29,300.0,312.45,300.0,312.45,5242
8,ok,2007-05-30,320.0,328.1,315.0,328.1,6229
9,ok,2007-05-31,344.45,344.55,344.45,344.55,1351
10,ok,2007-06-03,361.8,361.8,361.8,361.8,165
11,ok,2007-06-04,343.8,375.0,343.8,365.9,24626
12,ok,2007-06-05,356.25,369.85,347.6,347.6,1860
13,ok,2007-06-06,335.05,348.0,330.3,340.0,5389
14,ok,2007-06-07,340.0,357.0,340.0,357.0,3623
15,ok,2007-06-10,369.9,374.85,360.05,368.65,11930
16,ok,2007-06-11,377.0,377.0,350.25,350.25,1971
17,ok,2007-06-12,333.5,343.7,332.8,335.4,8880
18,ok,2007-06-13,347.0,352.2,347.0,352.2,899
19,ok,2007-06-14,369.85,369.85,369.85,369.85,1475
20,ok,2007-06-17,388.35,388.35,370.0,378.0,1171
21,ok,2007-06-18,377.75,377.75,359.1,365.25,1001
22,ok,2007-06-19,380.5,380.5,352.0,365.0,2297
23,ok,2007-06-20,369.0,370.5,368.95,370.0,1483
24,ok,2007-06-21,379.8,379.8,365.0,371.5,2727
25,ok,2007-06-24,357.1,375.0,357.0,371.0,3088
26,ok,2007-06-25,365.0,374.95,360.1,361.7,146
27,ok,2007-06-26,379.8,379.8,379.8,379.8,2663
28,ok,2007-06-27,394.0,398.8,394.0,398.8,365
29,ok,2007-06-28,418.75,418.75,414.0,418.75,7381
30,ok,2007-07-01,439.0,439.7,424.0,439.7,4559
31,ok,2007-07-02,459.4,461.7,425.0,441.15,4765
32,ok,2007-07-03,440.0,440.0,419.1,422.7,883
