,s,t,o,h,l,c,v
0,ok,2008-02-11,117.0,120.0,115.6,119.85,564
1,ok,2008-02-12,118.0,118.0,101.55,115.0,1050
2,ok,2008-02-13,115.0,127.3,115.0,117.2,837
3,ok,2008-02-14,115.05,127.4,115.05,121.65,456
4,ok,2008-02-17,120.0,134.9,120.0,121.55,267
5,ok,2008-02-18,120.0,129.8,120.0,124.0,4
6,ok,2008-02-19,119.0,127.0,119.0,127.0,101
7,ok,2008-02-20,121.0,125.0,121.0,125.0,301
8,ok,2008-02-21,119.5,126.5,116.3,116.3,209
9,ok,2008-02-24,115.1,124.75,115.1,119.0,481
10,ok,2008-02-25,119.4,126.5,117.0,124.9,223
11,ok,2008-02-26,119.0,129.9,119.0,121.0,275
12,ok,2008-02-27,124.0,124.05,121.05,121.5,586
13,ok,2008-02-28,121.5,122.05,121.5,122.0,128
14,ok,2008-03-02,106.15,120.1,106.15,117.5,252
15,ok,2008-03-03,116.1,120.9,115.25,120.9,1521
16,ok,2008-03-04,117.55,117.55,113.4,114.2,2647
17,ok,2008-03-06,111.2,114.45,107.75,111.0,1656
18,ok,2008-03-09,105.05,114.0,105.0,106.1,396
19,ok,2008-03-10,105.9,108.9,105.0,107.15,618
20,ok,2008-03-11,108.0,117.0,106.2,108.1,2536
21,ok,2008-03-12,108.0,108.0,104.0,104.5,1250
22,ok,2008-03-13,95.0,108.8,90.25,108.8,1611
23,ok,2008-03-16,105.9,105.9,94.0,100.25,1100
24,ok,2008-03-17,96.5,109.8,96.5,108.1,638
25,ok,2008-03-18,100.05,103.9,98.7,100.25,5390
26,ok,2008-03-23,97.0,109.9,97.0,101.15,2867
27,ok,2008-03-24,111.5,111.5,96.3,99.9,2658
28,ok,2008-03-25,101.0,102.0,101.0,101.0,150
29,ok,2008-03-26,100.0,100.0,98.1,98.1,1550
30,ok,2008-03-27,102.5,102.5,98.1,99.4,85
31,ok,2008-03-30,102.0,102.0,93.2,100.1,1295
32,ok,2008-03-31,101.0,101.0,99.35,99.55,534
33,ok,2008-04-01,107.9,107.9,100.1,100.1,600
34,ok,2008-04-02,97.05,101.0,97.05,101.0,43
35,ok,2008-04-03,108.8,108.8,108.0,108.0,40
36,ok,2008-04-07,102.45,102.45,102.45,102.45,70
37,ok,2008-04-08,102.15,105.9,102.15,105.9,162
38,ok,2008-04-09,101.65,104.8,101.6,103.0,589
39,ok,2008-04-10,102.0,106.7,101.05,106.15,729
40,ok,2008-04-14,112.5,112.9,106.0,106.0,120
41,ok,2008-04-15,113.0,113.65,109.0,111.9,3858
42,ok,2008-04-16,110.5,117.9,110.5,114.0,1232
43,ok,2008-04-20,113.5,119.75,113.5,119.75,20
44,ok,2008-04-21,119.6,119.6,114.0,115.5,739
45,ok,2008-04-22,115.4,115.4,115.4,115.4,100
46,ok,2008-04-23,116.0,116.0,115.7,115.85,300
47,ok,2008-04-24,115.7,120.0,115.0,119.7,130
48,ok,2008-04-27,118.45,130.0,116.0,121.65,5839
49,ok,2008-04-28,126.0,126.0,113.2,115.2,446
50,ok,2008-04-29,118.95,118.95,115.0,115.0,109
51,ok,2008-05-01,115.0,115.0,115.0,115.0,40
52,ok,2008-05-04,111.35,114.9,111.35,111.6,343
53,ok,2008-05-05,111.6,111.6,111.6,111.6,300
54,ok,2008-05-06,119.9,119.9,110.2,111.05,410
55,ok,2008-05-07,109.35,120.0,109.35,118.0,692
56,ok,2008-05-08,119.95,125.0,117.65,121.7,2257
57,ok,2008-05-11,101.2,119.8,101.2,117.65,2166
58,ok,2008-05-13,112.05,120.0,110.1,115.55,1213
59,ok,2008-05-15,119.9,120.7,115.5,119.9,2300
60,ok,2008-05-19,115.0,119.85,115.0,116.15,182
61,ok,2008-05-20,117.0,124.0,117.0,124.0,200
62,ok,2008-05-21,111.0,129.0,111.0,117.05,430
63,ok,2008-05-22,116.5,126.0,116.0,116.9,291
64,ok,2008-05-25,115.0,115.0,114.05,114.15,360
65,ok,2008-05-26,110.05,120.0,110.05,114.0,218
66,ok,2008-05-27,111.3,113.1,111.25,113.1,500
67,ok,2008-05-28,112.05,117.0,112.05,113.0,114
68,ok,2008-05-29,112.05,117.3,111.15,112.4,2060
69,ok,2008-06-01,111.8,111.8,111.0,111.05,150
