,s,t,o,h,l,c,v
0,ok,2000-01-02,44.67,45.6,43.49,44.62,3227670
1,ok,2000-01-03,44.0,44.53,41.05,41.81,4702763
2,ok,2000-01-04,41.99,42.67,39.33,40.56,1762703
3,ok,2000-01-05,40.93,43.81,40.8,43.13,2751533
4,ok,2000-01-06,42.4,42.4,39.69,39.69,1583318
5,ok,2000-01-09,40.0,40.53,36.52,37.61,2014313
6,ok,2000-01-10,39.59,39.59,35.09,35.9,2713890
7,ok,2000-01-11,38.67,38.77,36.4,38.77,2005725
8,ok,2000-01-12,40.0,40.93,38.0,38.11,1064595
9,ok,2000-01-13,39.07,39.07,36.67,37.72,1615058
10,ok,2000-01-16,38.39,38.87,36.17,37.12,1363095
11,ok,2000-01-17,37.2,38.67,36.68,37.63,1820220
12,ok,2000-01-18,38.53,40.6,37.88,40.02,2966745
13,ok,2000-01-19,40.6,42.53,37.2,37.89,4972485
14,ok,2000-01-20,38.67,40.0,38.4,39.56,2240003
15,ok,2000-01-23,39.62,39.73,38.13,38.35,1313940
16,ok,2000-01-24,38.01,38.4,35.75,36.43,1847888
17,ok,2000-01-26,37.33,37.71,36.2,37.01,833918
18,ok,2000-01-27,36.93,37.47,36.53,36.65,981668
19,ok,2000-01-30,36.67,37.33,36.13,37.06,1138830
20,ok,2000-01-31,36.69,38.93,36.69,37.84,1880363
21,ok,2000-02-01,38.0,38.0,37.0,37.5,1649858
22,ok,2000-02-02,37.73,38.13,37.47,37.95,544313
23,ok,2000-02-03,38.8,39.07,37.87,38.25,963338
24,ok,2000-02-06,38.39,39.67,38.0,39.31,1121940
25,ok,2000-02-07,40.53,42.46,38.68,42.06,1487978
26,ok,2000-02-08,45.07,45.31,40.67,41.38,3579143
27,ok,2000-02-09,41.2,41.99,40.33,41.29,890393
28,ok,2000-02-10,41.87,42.89,40.99,41.73,1286370
29,ok,2000-02-13,40.67,42.0,40.67,41.65,1627103
30,ok,2000-02-14,41.47,41.85,40.67,41.13,1380638
31,ok,2000-02-15,38.67,41.32,38.67,39.59,595920
32,ok,2000-02-16,41.33,41.33,39.33,39.87,298703
33,ok,2000-02-17,39.33,39.6,37.81,38.63,1436325
34,ok,2000-02-20,38.13,39.07,37.33,38.23,800475
35,ok,2000-02-21,38.93,39.6,35.17,38.0,2753618
