,s,t,o,h,l,c,v
0,ok,2000-01-02,32.1,34.6,32.1,33.75,1200
1,ok,2000-01-03,34.5,34.5,32.0,32.85,5100
2,ok,2000-01-04,32.2,33.5,32.15,33.0,2300
3,ok,2000-01-05,35.0,35.0,31.2,32.3,4850
4,ok,2000-01-06,34.0,34.0,31.95,32.0,7000
5,ok,2000-01-09,32.75,32.75,31.35,31.55,1400
6,ok,2000-01-10,31.55,32.0,29.5,29.6,6000
7,ok,2000-01-11,29.75,30.95,29.5,30.9,550
8,ok,2000-01-12,31.7,31.7,30.0,30.5,1300
9,ok,2000-01-13,30.95,31.3,30.0,31.3,2350
10,ok,2000-01-16,31.3,33.8,31.3,32.15,6300
11,ok,2000-01-17,32.0,32.0,30.0,30.4,11350
12,ok,2000-01-18,30.0,30.0,29.05,29.45,6800
13,ok,2000-01-19,30.0,30.0,28.0,28.0,4350
14,ok,2000-01-20,28.25,29.0,28.25,28.5,2150
15,ok,2000-01-23,28.5,29.0,27.5,27.5,5450
16,ok,2000-01-24,27.5,28.0,26.7,27.0,10600
17,ok,2000-01-26,28.0,28.95,26.0,27.7,3400
18,ok,2000-01-27,26.0,29.6,26.0,28.0,1950
19,ok,2000-01-30,26.55,30.0,26.55,29.75,7200
20,ok,2000-01-31,31.9,32.0,28.1,29.5,2300
21,ok,2000-02-01,31.0,31.0,28.0,28.15,3300
22,ok,2000-02-02,28.2,30.0,28.2,29.95,2500
23,ok,2000-02-03,28.15,29.5,28.1,28.6,2900
24,ok,2000-02-06,27.5,28.0,27.05,27.55,3350
25,ok,2000-02-07,27.0,28.0,27.0,27.0,1300
26,ok,2000-02-08,27.9,28.0,25.6,25.6,6200
27,ok,2000-02-09,25.1,26.75,24.6,26.7,2150
28,ok,2000-02-10,26.0,26.0,25.5,25.55,2000
29,ok,2000-02-13,24.1,25.8,24.1,24.65,3000
30,ok,2000-02-14,24.5,24.9,24.0,24.35,3700
31,ok,2000-02-15,26.0,26.0,24.0,24.4,850
32,ok,2000-02-16,25.4,25.5,23.0,25.4,3000
33,ok,2000-02-17,25.75,26.0,25.75,26.0,600
34,ok,2000-02-20,25.0,25.0,24.2,25.0,800
35,ok,2000-02-21,24.1,25.0,23.0,23.5,9850
36,ok,2000-02-22,23.0,25.0,23.0,23.75,2900
37,ok,2000-02-23,23.25,24.0,23.0,24.0,5500
38,ok,2000-02-24,23.0,23.75,22.55,23.35,10300
39,ok,2000-02-27,22.5,23.95,22.0,23.05,4650
40,ok,2000-02-28,22.5,24.9,22.5,24.75,3700
41,ok,2000-02-29,23.0,25.5,23.0,25.0,3200
42,ok,2000-03-01,24.0,25.25,23.25,24.2,7100
43,ok,2000-03-02,24.0,24.1,23.0,23.4,2950
44,ok,2000-03-05,23.3,24.0,22.0,23.05,5600
45,ok,2000-03-06,22.1,22.5,21.25,21.25,6000
46,ok,2000-03-07,21.0,21.0,19.7,19.75,3400
47,ok,2000-03-08,20.05,20.05,19.7,20.0,6050
48,ok,2000-03-09,20.0,20.95,20.0,20.9,1300
49,ok,2000-03-12,19.35,19.6,19.25,19.25,4750
50,ok,2000-03-13,19.5,20.0,19.0,19.2,10200
51,ok,2000-03-14,21.0,23.9,21.0,23.85,2800
52,ok,2000-03-15,22.5,25.75,22.5,25.6,2850
53,ok,2000-03-20,26.7,27.65,26.7,27.4,7750
54,ok,2000-03-21,29.0,29.0,27.5,27.5,9000
55,ok,2000-03-22,29.0,29.0,27.05,27.35,7750
56,ok,2000-03-23,27.85,29.0,25.8,29.0,50500
57,ok,2000-03-26,27.0,28.0,26.8,27.15,23400
58,ok,2000-03-27,27.0,29.0,27.0,28.55,8750
59,ok,2000-03-28,28.9,28.95,27.6,28.95,2500
60,ok,2000-03-29,27.6,28.0,27.5,28.0,3350
61,ok,2000-03-30,28.0,28.95,28.0,28.95,1550
62,ok,2000-04-02,28.2,29.0,28.2,29.0,2950
63,ok,2000-04-03,28.0,28.1,26.7,26.85,2600
64,ok,2000-04-04,27.4,27.5,27.4,27.5,450
65,ok,2000-04-05,27.0,27.0,26.95,26.95,300
