,s,t,o,h,l,c,v
0,ok,2021-12-13,600.0,615.0,565.55,583.55,13930950
1,ok,2021-12-14,585.0,598.8,578.0,584.95,1337812
2,ok,2021-12-15,586.0,594.5,566.1,570.9,664868
3,ok,2021-12-16,570.8,578.95,564.95,568.75,664213
4,ok,2021-12-19,555.0,560.65,542.6,551.55,790254
5,ok,2021-12-20,552.0,578.4,552.0,574.65,571786
6,ok,2021-12-21,570.0,588.95,570.0,580.5,302623
7,ok,2021-12-22,580.5,587.0,570.05,576.1,205315
8,ok,2021-12-23,574.1,577.3,565.6,571.4,148467
9,ok,2021-12-26,563.1,572.95,563.1,571.45,218861
10,ok,2021-12-27,572.0,578.0,567.0,572.05,235878
11,ok,2021-12-28,570.1,602.05,568.2,583.15,373429
12,ok,2021-12-29,580.15,605.0,580.15,585.75,637277
13,ok,2021-12-30,587.95,606.0,585.0,588.5,383891
14,ok,2022-01-02,595.0,642.5,592.05,632.75,1123074
15,ok,2022-01-03,629.7,654.0,618.35,639.8,943975
16,ok,2022-01-04,635.9,648.5,631.4,637.1,345322
17,ok,2022-01-05,634.9,642.0,624.0,634.7,300674
18,ok,2022-01-06,646.0,649.0,608.0,619.45,949045
19,ok,2022-01-09,610.1,644.4,597.05,629.3,1185655
20,ok,2022-01-10,629.7,640.75,619.0,626.0,378459
21,ok,2022-01-11,630.7,634.9,610.1,618.45,161687
22,ok,2022-01-12,623.45,627.9,613.8,619.9,353212
23,ok,2022-01-13,623.9,629.0,616.55,622.95,166453
24,ok,2022-01-16,628.5,638.05,616.1,619.0,269120
25,ok,2022-01-17,626.0,630.05,610.0,613.5,154614
26,ok,2022-01-18,613.0,621.0,599.7,610.85,145045
27,ok,2022-01-19,605.1,626.4,602.75,605.05,309974
28,ok,2022-01-20,596.0,620.9,595.95,603.1,212651
29,ok,2022-01-23,604.9,608.3,571.0,580.05,317612
30,ok,2022-01-24,580.0,600.8,574.25,592.45,150277
31,ok,2022-01-26,590.0,599.0,582.8,593.7,49623
32,ok,2022-01-27,596.9,610.95,590.0,594.2,98971
33,ok,2022-01-30,599.65,604.0,581.0,584.5,200431
34,ok,2022-01-31,589.0,598.0,580.0,589.1,140359
35,ok,2022-02-01,591.1,601.0,589.1,593.45,67753
36,ok,2022-02-02,589.25,595.95,586.35,587.0,40506
37,ok,2022-02-03,588.0,590.05,574.0,587.5,66736
38,ok,2022-02-06,587.0,589.65,580.0,583.4,37641
39,ok,2022-02-07,583.0,590.0,570.15,583.15,102788
40,ok,2022-02-08,586.0,591.0,570.0,581.85,134125
41,ok,2022-02-09,583.0,607.75,582.15,605.7,193406
42,ok,2022-02-10,612.95,613.8,550.0,591.8,186326
43,ok,2022-02-13,575.4,585.95,554.5,568.7,231591
44,ok,2022-02-14,566.0,592.4,557.25,586.15,294912
45,ok,2022-02-15,585.0,591.5,570.1,571.75,63886
46,ok,2022-02-16,573.0,578.0,562.0,572.85,134045
47,ok,2022-02-17,567.1,573.3,560.2,566.2,110431
48,ok,2022-02-20,559.8,568.15,556.0,563.2,81389
49,ok,2022-02-21,550.1,564.0,546.1,560.45,141915
50,ok,2022-02-22,557.1,572.4,556.4,560.9,21214
51,ok,2022-02-23,550.85,556.65,542.05,551.4,159114
52,ok,2022-02-24,555.0,564.9,555.0,559.8,128129
53,ok,2022-02-27,559.8,561.45,554.05,559.0,27790
54,ok,2022-03-01,554.1,565.0,552.1,555.7,39794
55,ok,2022-03-02,555.0,566.9,555.0,562.3,37897
56,ok,2022-03-03,554.0,564.65,554.0,556.9,30004
57,ok,2022-03-06,555.0,561.2,552.0,559.15,35960
58,ok,2022-03-07,556.1,601.8,556.1,583.65,221988
59,ok,2022-03-08,590.5,590.5,572.4,584.5,108550
60,ok,2022-03-09,589.75,590.0,570.0,578.1,78707
61,ok,2022-03-10,580.0,584.0,570.75,572.85,137947
62,ok,2022-03-13,569.0,577.45,560.75,568.45,75359
63,ok,2022-03-14,570.0,573.4,563.0,564.25,20416
64,ok,2022-03-15,576.75,576.75,569.2,573.85,23949
65,ok,2022-03-16,579.75,580.5,567.5,570.05,43670
66,ok,2022-03-20,572.0,578.5,566.15,576.2,44046
67,ok,2022-03-21,580.7,589.25,578.0,586.7,74431
68,ok,2022-03-22,590.0,596.05,582.0,588.35,77295
69,ok,2022-03-23,585.0,592.45,585.0,591.55,29237
70,ok,2022-03-24,593.0,597.8,591.0,594.0,46448
71,ok,2022-03-27,594.45,596.4,589.05,593.8,22276
72,ok,2022-03-28,595.0,599.0,588.55,595.15,159873
73,ok,2022-03-29,604.8,623.0,602.0,606.5,231414
74,ok,2022-03-30,610.0,612.4,603.0,606.3,63685
75,ok,2022-03-31,617.0,617.0,605.2,608.4,32767
76,ok,2022-04-03,610.0,618.25,606.0,614.5,89938
77,ok,2022-04-04,615.0,619.0,611.25,612.3,37100
78,ok,2022-04-05,612.0,636.0,611.05,621.25,82435
79,ok,2022-04-06,620.0,625.0,606.0,609.8,103797
80,ok,2022-04-07,609.0,621.8,609.0,610.9,41255
81,ok,2022-04-10,611.0,612.7,606.25,610.0,35653
