,s,t,o,h,l,c,v
0,ok,2000-01-02,25.65,25.65,25.65,25.65,100
1,ok,2000-01-03,27.0,27.7,26.5,27.7,5300
2,ok,2000-01-04,29.8,29.9,27.5,28.1,15200
3,ok,2000-01-05,29.0,29.0,27.5,28.25,6700
4,ok,2000-01-06,29.0,29.0,26.05,26.6,2800
5,ok,2000-01-09,27.5,27.5,26.25,26.5,3500
6,ok,2000-01-10,27.0,27.0,25.3,25.6,5300
7,ok,2000-01-11,25.95,25.95,25.85,25.85,300
8,ok,2000-01-12,25.0,25.5,24.0,24.0,9900
9,ok,2000-01-13,23.15,24.25,23.15,24.25,1800
10,ok,2000-01-16,24.5,25.8,24.5,25.25,7500
11,ok,2000-01-17,24.5,25.45,24.5,25.25,2700
12,ok,2000-01-18,25.0,26.45,25.0,25.0,1700
13,ok,2000-01-19,24.7,25.45,24.5,25.0,1300
14,ok,2000-01-20,26.75,26.75,24.25,24.25,400
15,ok,2000-01-23,24.5,25.45,24.3,24.7,1400
16,ok,2000-01-24,25.0,25.9,24.5,24.95,4500
17,ok,2000-01-26,24.1,24.1,24.1,24.1,100
18,ok,2000-01-27,25.0,25.0,24.25,24.25,2400
19,ok,2000-01-30,24.1,24.65,23.6,23.75,8100
20,ok,2000-01-31,24.4,25.0,24.4,25.0,2600
21,ok,2000-02-01,24.5,24.9,24.3,24.9,1100
22,ok,2000-02-02,24.5,24.5,23.5,24.0,2200
23,ok,2000-02-03,23.55,24.45,23.5,24.3,2600
24,ok,2000-02-06,23.05,23.55,23.05,23.5,300
25,ok,2000-02-07,23.0,23.9,23.0,23.4,2900
26,ok,2000-02-08,25.25,25.3,25.1,25.3,800
27,ok,2000-02-09,27.0,27.25,25.5,27.25,5000
28,ok,2000-02-10,27.75,27.75,26.0,26.0,3500
29,ok,2000-02-13,24.3,24.5,24.05,24.05,700
30,ok,2000-02-14,23.0,24.95,22.75,24.95,2200
31,ok,2000-02-15,25.2,25.2,24.75,24.75,300
32,ok,2000-02-16,23.85,24.75,23.85,23.85,800
33,ok,2000-02-17,25.25,25.25,24.0,25.25,1200
34,ok,2000-02-20,25.75,25.75,23.25,23.25,4700
35,ok,2000-02-21,23.95,24.5,23.0,23.4,6300
36,ok,2000-02-22,24.9,24.9,23.15,24.0,700
37,ok,2000-02-23,23.55,23.65,22.5,22.85,47700
38,ok,2000-02-24,24.6,24.6,21.5,21.65,2400
39,ok,2000-02-27,21.55,23.0,21.5,22.1,6100
40,ok,2000-02-28,23.25,23.75,23.0,23.25,5200
41,ok,2000-02-29,23.0,24.0,22.75,22.75,1000
42,ok,2000-03-01,22.75,22.75,20.95,21.0,67700
43,ok,2000-03-02,21.2,21.4,21.0,21.25,7000
44,ok,2000-03-05,21.8,22.0,21.5,21.95,5600
45,ok,2000-03-06,21.0,21.75,20.5,21.5,3900
46,ok,2000-03-07,21.7,21.85,21.5,21.5,1700
47,ok,2000-03-08,21.0,23.0,21.0,23.0,800
48,ok,2000-03-09,22.0,22.65,21.75,22.0,1900
49,ok,2000-03-12,21.8,21.8,20.25,20.25,600
50,ok,2000-03-13,21.0,21.75,20.0,21.75,3500
51,ok,2000-03-14,20.5,21.7,20.5,21.5,900
52,ok,2000-03-15,20.0,21.55,20.0,21.5,1900
53,ok,2000-03-20,21.1,22.95,21.1,22.05,4900
54,ok,2000-03-21,23.0,23.5,23.0,23.5,1000
55,ok,2000-03-22,23.25,23.25,23.25,23.25,100
56,ok,2000-03-23,23.0,23.0,22.6,22.6,1100
57,ok,2000-03-26,23.05,23.05,23.0,23.0,700
58,ok,2000-03-27,23.0,23.0,22.6,22.6,1000
59,ok,2000-03-28,23.9,24.15,23.1,23.35,2900
60,ok,2000-03-29,21.65,23.4,21.65,22.5,2700
61,ok,2000-03-30,23.0,23.0,23.0,23.0,200
62,ok,2000-04-02,24.0,24.0,22.5,23.5,1700
63,ok,2000-04-03,22.5,22.9,21.7,21.75,3800
64,ok,2000-04-04,22.5,22.5,22.5,22.5,200
65,ok,2000-04-05,22.25,22.25,22.25,22.25,1000
66,ok,2000-04-06,23.0,23.0,22.05,22.5,3200
67,ok,2000-04-09,20.8,22.9,20.8,22.4,800
68,ok,2000-04-12,22.1,22.1,22.1,22.1,100
69,ok,2000-04-17,22.5,22.5,21.0,22.05,1400
70,ok,2000-04-19,21.0,22.0,21.0,21.6,300
