,s,t,o,h,l,c,v
0,ok,2020-10-04,275.0,296.7,257.0,275.8,8546238
1,ok,2020-10-05,274.0,274.15,261.55,266.25,2721384
2,ok,2020-10-06,262.9,270.0,262.5,265.55,820136
3,ok,2020-10-07,267.05,273.35,264.55,270.85,738241
4,ok,2020-10-08,270.85,276.0,270.0,274.85,556877
5,ok,2020-10-11,275.0,276.9,265.0,269.45,440911
6,ok,2020-10-12,266.35,272.0,263.0,269.8,369077
7,ok,2020-10-13,267.15,269.0,260.6,261.8,231804
8,ok,2020-10-14,263.0,266.15,255.0,257.25,215948
9,ok,2020-10-15,257.1,260.5,243.0,245.1,229542
10,ok,2020-10-18,247.0,248.3,234.3,235.85,309611
11,ok,2020-10-19,235.85,236.85,223.8,224.65,297360
12,ok,2020-10-20,222.2,243.8,222.2,238.95,1258953
13,ok,2020-10-21,238.5,244.6,233.05,238.95,392676
14,ok,2020-10-22,241.45,242.95,235.6,240.05,383393
15,ok,2020-10-25,241.0,251.2,240.2,248.75,320284
16,ok,2020-10-26,267.0,298.5,267.0,298.5,4710027
17,ok,2020-10-27,305.9,335.9,278.85,315.85,7045997
18,ok,2020-10-28,300.0,329.95,296.95,325.75,1977364
19,ok,2020-10-29,327.95,379.0,327.0,353.35,4462994
20,ok,2020-11-01,353.65,354.0,314.3,315.9,933339
21,ok,2020-11-02,312.5,328.9,296.5,298.9,848752
22,ok,2020-11-03,299.05,322.8,290.65,309.7,768906
23,ok,2020-11-04,315.2,320.0,304.8,311.2,288705
24,ok,2020-11-05,311.9,317.45,309.05,311.55,359419
25,ok,2020-11-08,312.05,342.7,309.15,334.5,2120253
26,ok,2020-11-09,339.9,345.9,323.0,327.85,721991
27,ok,2020-11-10,327.7,338.8,323.35,332.05,505739
28,ok,2020-11-11,333.0,343.5,326.6,338.05,517305
29,ok,2020-11-12,335.25,364.1,335.25,352.2,915610
30,ok,2020-11-13,351.0,355.0,346.6,351.8,149447
31,ok,2020-11-16,348.05,356.5,345.0,349.5,632194
32,ok,2020-11-17,350.45,354.95,348.65,351.2,204970
33,ok,2020-11-18,346.85,369.35,346.85,358.85,547130
34,ok,2020-11-19,357.5,364.0,353.65,359.8,259500
35,ok,2020-11-22,360.0,363.9,355.75,356.3,178666
36,ok,2020-11-23,356.3,360.0,353.5,354.85,140872
37,ok,2020-11-24,354.85,363.75,351.75,352.5,273223
38,ok,2020-11-25,355.95,358.4,351.5,351.9,134142
39,ok,2020-11-26,352.3,360.3,351.5,357.8,249363
40,ok,2020-11-30,353.1,356.9,350.25,350.55,153972
41,ok,2020-12-01,351.45,353.95,348.75,350.25,119345
42,ok,2020-12-02,351.65,353.1,347.5,348.9,119037
43,ok,2020-12-03,349.1,352.0,347.15,347.85,126982
44,ok,2020-12-06,352.0,408.0,350.05,380.85,1132733
45,ok,2020-12-07,384.4,385.4,360.0,361.55,378460
46,ok,2020-12-08,365.8,378.0,357.25,358.6,478312
47,ok,2020-12-09,360.3,368.75,353.75,360.7,291865
48,ok,2020-12-10,363.0,367.2,354.2,354.95,217875
49,ok,2020-12-13,362.85,363.9,354.5,356.05,164219
50,ok,2020-12-14,353.2,364.85,353.1,358.5,184641
51,ok,2020-12-15,359.0,363.75,357.0,360.45,213563
52,ok,2020-12-16,357.0,363.0,357.0,357.65,75165
53,ok,2020-12-17,358.2,361.9,343.05,348.0,424373
54,ok,2020-12-20,348.0,349.95,316.7,334.55,498025
55,ok,2020-12-21,334.55,340.8,315.05,325.9,348717
56,ok,2020-12-22,326.0,341.0,326.0,338.15,137526
57,ok,2020-12-23,338.5,344.0,335.0,337.7,231309
58,ok,2020-12-27,338.4,342.85,334.5,336.85,146899
59,ok,2020-12-28,338.0,341.85,335.0,336.85,223265
60,ok,2020-12-29,342.95,344.0,329.5,332.35,351295
61,ok,2020-12-30,334.0,339.5,331.45,338.05,164791
62,ok,2020-12-31,338.0,341.2,334.7,336.65,125610
63,ok,2021-01-03,342.0,356.7,336.95,345.0,644292
64,ok,2021-01-04,344.95,357.7,339.3,354.35,843235
65,ok,2021-01-05,355.5,361.0,348.7,352.95,344067
66,ok,2021-01-06,355.1,370.0,352.3,361.25,372362
67,ok,2021-01-07,365.0,375.8,362.0,364.0,404986
68,ok,2021-01-10,365.5,369.6,352.7,356.85,215776
69,ok,2021-01-11,356.0,367.0,356.0,360.8,143789
70,ok,2021-01-12,363.0,366.85,347.0,348.8,256008
71,ok,2021-01-13,349.0,360.0,349.0,355.65,461488
72,ok,2021-01-14,356.0,358.75,348.0,349.1,95157
73,ok,2021-01-17,351.8,353.0,345.75,346.0,98225
74,ok,2021-01-18,348.35,355.0,348.35,353.85,90823
75,ok,2021-01-19,351.5,358.75,351.5,356.85,83613
76,ok,2021-01-20,359.0,370.0,356.6,359.65,241273
77,ok,2021-01-21,361.85,370.5,358.6,365.5,249783
78,ok,2021-01-24,368.8,369.8,351.0,366.25,87582
79,ok,2021-01-26,366.2,370.0,355.75,367.0,144752
80,ok,2021-01-27,366.0,372.95,360.9,369.2,109703
81,ok,2021-01-28,375.0,377.9,337.25,342.5,712678
82,ok,2021-01-31,342.3,342.3,320.85,335.15,378960
