,s,t,o,h,l,c,v
0,ok,2000-01-02,7.9,8.0,7.35,7.75,3800
1,ok,2000-01-03,7.05,7.75,6.25,7.5,6100
2,ok,2000-01-04,7.4,7.5,6.7,7.0,3800
3,ok,2000-01-05,6.75,7.5,5.25,7.05,9900
4,ok,2000-01-06,6.5,7.0,6.5,7.0,1000
5,ok,2000-01-09,7.0,7.75,6.5,6.5,3900
6,ok,2000-01-10,6.05,7.0,6.05,6.15,4400
7,ok,2000-01-11,6.25,6.25,6.0,6.1,500
8,ok,2000-01-12,6.1,6.1,6.1,6.1,1000
9,ok,2000-01-16,5.9,6.15,5.9,6.0,2100
10,ok,2000-01-17,5.25,5.95,5.25,5.6,1200
11,ok,2000-01-18,5.75,5.8,5.75,5.8,500
12,ok,2000-01-19,5.75,5.75,5.75,5.75,400
13,ok,2000-01-20,5.5,5.6,5.5,5.6,1700
14,ok,2000-01-23,5.55,6.5,5.15,5.25,3400
15,ok,2000-01-24,5.35,5.45,5.2,5.2,600
16,ok,2000-01-26,5.1,5.1,5.0,5.0,3600
17,ok,2000-01-27,5.1,5.1,4.95,4.95,3500
18,ok,2000-01-30,5.2,5.2,4.25,4.25,3900
19,ok,2000-01-31,4.85,5.2,4.0,4.35,23000
20,ok,2000-02-01,4.7,4.95,4.6,4.85,5000
21,ok,2000-02-02,4.8,5.25,4.8,5.0,1400
22,ok,2000-02-06,4.1,4.45,4.05,4.45,1600
23,ok,2000-02-07,3.9,4.75,3.9,4.5,2400
24,ok,2000-02-08,4.3,5.25,4.3,5.15,1800
25,ok,2000-02-09,4.6,4.65,4.6,4.65,600
26,ok,2000-02-10,4.75,4.75,4.75,4.75,400
27,ok,2000-02-13,5.25,5.25,4.5,4.55,1800
28,ok,2000-02-14,4.5,4.55,4.25,4.25,1700
29,ok,2000-02-15,4.1,4.5,4.1,4.35,1900
30,ok,2000-02-16,4.5,4.7,4.5,4.7,500
31,ok,2000-02-17,4.8,4.8,4.8,4.8,100
32,ok,2000-02-20,5.0,5.0,4.6,4.95,2500
33,ok,2000-02-21,4.7,4.7,4.25,4.5,2800
34,ok,2000-02-22,4.3,5.0,4.3,5.0,2900
