,s,t,o,h,l,c,v
0,ok,2000-01-02,32.75,32.75,32.75,32.75,4500
1,ok,2000-01-03,35.4,35.4,35.4,35.4,32800
2,ok,2000-01-04,38.2,38.25,33.0,38.25,340800
3,ok,2000-01-05,41.35,41.35,40.0,41.35,279200
4,ok,2000-01-06,44.5,44.7,38.05,38.05,70300
5,ok,2000-01-09,35.05,38.0,35.05,35.05,54900
6,ok,2000-01-10,33.5,33.5,32.25,32.25,35100
7,ok,2000-01-11,29.7,29.7,29.7,29.7,12500
8,ok,2000-01-12,27.35,27.35,27.35,27.35,16000
9,ok,2000-01-13,25.2,25.2,25.2,25.2,11500
10,ok,2000-01-16,23.2,27.25,23.2,27.2,379400
11,ok,2000-01-17,29.3,29.3,25.05,25.05,165600
12,ok,2000-01-18,26.45,27.05,26.0,27.05,257000
13,ok,2000-01-19,29.0,29.0,25.25,25.4,158300
14,ok,2000-01-20,26.5,26.5,24.25,25.45,93100
15,ok,2000-01-23,25.0,26.0,23.45,23.45,86200
16,ok,2000-01-24,23.1,23.1,21.6,21.6,137300
17,ok,2000-01-26,21.75,23.35,21.1,21.5,151100
18,ok,2000-01-27,21.5,21.5,19.8,19.8,134700
19,ok,2000-01-30,16.6,18.2,14.9,16.45,147100
20,ok,2000-01-31,16.6,20.6,16.1,19.45,380500
21,ok,2000-02-01,23.0,24.35,21.2,24.35,543400
22,ok,2000-02-02,25.5,26.3,24.6,26.3,279400
23,ok,2000-02-03,27.6,28.4,27.5,28.35,327400
24,ok,2000-02-06,30.5,30.5,26.5,27.15,276700
25,ok,2000-02-07,25.25,27.95,25.25,26.0,361200
26,ok,2000-02-08,27.8,28.1,26.5,26.7,218700
27,ok,2000-02-09,26.55,27.45,24.8,25.2,97800
28,ok,2000-02-10,25.0,25.75,23.2,23.2,59000
29,ok,2000-02-13,22.95,22.95,21.35,21.4,62800
30,ok,2000-02-14,20.6,21.0,19.7,20.15,114200
31,ok,2000-02-15,20.5,21.8,20.35,21.8,53900
32,ok,2000-02-16,23.5,23.55,23.5,23.55,71900
33,ok,2000-02-17,25.45,25.45,23.0,24.15,171300
34,ok,2000-02-20,25.25,26.1,24.0,24.1,169800
35,ok,2000-02-21,24.5,24.5,22.25,22.5,153600
36,ok,2000-02-22,23.95,24.3,23.05,23.3,119400
37,ok,2000-02-23,23.2,24.0,22.5,23.05,51900
38,ok,2000-02-24,24.9,24.9,21.4,21.55,37500
39,ok,2000-02-27,21.4,21.4,19.85,20.85,71100
40,ok,2000-02-28,21.9,21.9,19.2,19.3,84300
41,ok,2000-02-29,19.25,24.15,19.25,23.3,76600
42,ok,2000-03-01,24.0,25.0,21.85,22.1,95300
43,ok,2000-03-02,21.25,21.95,20.9,21.4,58500
44,ok,2000-03-05,21.0,21.0,19.7,19.75,50600
45,ok,2000-03-06,19.2,20.0,17.6,18.85,106700
46,ok,2000-03-07,21.0,21.75,18.45,18.7,68100
47,ok,2000-03-08,18.9,18.9,16.05,17.75,46900
48,ok,2000-03-09,16.7,17.35,16.0,16.1,25400
49,ok,2000-03-12,15.1,15.75,12.75,13.25,47300
50,ok,2000-03-13,11.5,16.6,11.5,14.7,99600
51,ok,2000-03-14,15.0,16.75,13.65,16.25,46000
52,ok,2000-03-15,16.0,16.0,14.5,14.65,28500
53,ok,2000-03-20,14.75,15.0,13.35,14.5,53000
54,ok,2000-03-21,16.0,16.0,14.05,15.05,27300
55,ok,2000-03-22,15.0,15.2,13.45,13.5,20700
56,ok,2000-03-23,13.25,14.2,12.6,13.85,17700
57,ok,2000-03-26,13.5,14.2,12.6,13.95,29600
58,ok,2000-03-27,12.05,13.4,12.05,12.55,45200
59,ok,2000-03-28,13.8,13.8,12.85,13.2,20100
60,ok,2000-03-29,13.3,13.3,11.65,12.6,22200
61,ok,2000-03-30,11.8,12.25,11.5,12.0,20100
62,ok,2000-04-02,12.25,12.25,10.15,10.6,30500
63,ok,2000-04-03,8.15,9.5,8.15,8.75,43100
64,ok,2000-04-04,6.15,9.7,6.1,9.4,17800
65,ok,2000-04-05,9.0,9.4,8.3,9.25,27700
66,ok,2000-04-06,9.5,13.9,9.3,13.7,74700
67,ok,2000-04-09,16.25,16.25,12.6,12.95,65500
68,ok,2000-04-11,12.9,12.9,11.55,11.85,35200
69,ok,2000-04-12,11.05,11.2,10.1,11.05,22700
70,ok,2000-04-16,9.3,9.65,9.2,9.3,35900
71,ok,2000-04-17,9.5,10.0,9.35,9.55,57100
72,ok,2000-04-18,10.05,10.75,9.1,9.55,34800
73,ok,2000-04-19,9.1,9.4,8.15,9.1,22500
74,ok,2000-04-23,8.45,8.95,7.1,8.0,24800
75,ok,2000-04-24,8.0,8.05,6.65,7.55,33900
76,ok,2000-04-25,9.5,10.4,8.15,9.85,40200
77,ok,2000-04-26,9.4,9.4,8.25,8.35,18600
78,ok,2000-04-27,8.5,8.55,7.85,8.05,13700
79,ok,2000-05-01,8.0,8.0,6.15,6.45,34400
80,ok,2000-05-02,6.5,7.15,5.75,6.65,26900
81,ok,2000-05-03,7.5,7.8,7.0,7.65,31400
82,ok,2000-05-04,7.35,8.65,7.25,8.1,33700
83,ok,2000-05-07,8.25,8.65,7.65,8.3,38700
84,ok,2000-05-08,8.2,8.2,7.65,8.0,25800
85,ok,2000-05-09,7.95,8.0,7.5,7.75,8900
86,ok,2000-05-10,6.85,7.65,6.85,7.55,5600
87,ok,2000-05-11,7.35,7.5,7.2,7.2,11000
88,ok,2000-05-14,6.55,6.9,6.0,6.45,11300
89,ok,2000-05-15,6.05,6.75,6.0,6.45,15000
90,ok,2000-05-16,7.0,7.45,6.5,6.55,19200
91,ok,2000-05-17,6.15,6.5,6.15,6.3,5900
92,ok,2000-05-18,6.05,6.55,6.05,6.2,6200
93,ok,2000-05-21,6.05,6.05,5.75,5.85,22200
94,ok,2000-05-22,5.4,5.6,4.85,5.1,21900
95,ok,2000-05-23,4.75,5.45,4.75,5.35,15200
96,ok,2000-05-24,5.5,5.8,5.4,5.4,13300
97,ok,2000-05-25,5.25,5.7,5.2,5.5,5300
98,ok,2000-05-28,5.1,5.75,5.1,5.5,10800
99,ok,2000-05-29,5.5,6.0,5.5,5.95,19600
100,ok,2000-05-30,7.95,8.0,6.9,7.2,31800
101,ok,2000-05-31,7.6,7.6,6.9,7.15,10800
102,ok,2000-06-01,7.3,7.5,7.0,7.25,8600
103,ok,2000-06-04,8.0,8.0,7.25,7.25,24300
104,ok,2000-06-05,6.1,7.7,6.1,7.65,18500
105,ok,2000-06-06,8.9,8.9,7.1,7.2,18800
106,ok,2000-06-07,7.5,7.75,7.1,7.2,15800
107,ok,2000-06-08,7.25,7.3,6.8,7.2,4500
108,ok,2000-06-11,7.2,7.5,6.7,7.0,8000
109,ok,2000-06-12,6.55,7.0,6.5,6.75,11100
110,ok,2000-06-13,6.85,7.0,6.7,7.0,5600
111,ok,2000-06-14,7.4,7.4,6.5,7.0,4700
112,ok,2000-06-15,6.55,7.0,6.55,6.75,6300
113,ok,2000-06-18,6.85,7.2,6.7,6.95,12600
114,ok,2000-06-19,6.75,7.4,6.75,7.1,15300
115,ok,2000-06-20,7.4,7.6,7.0,7.0,14200
