,s,t,o,h,l,c,v
0,ok,2011-09-19,52.8,52.8,43.5,45.6,292260
1,ok,2011-09-20,43.5,47.9,43.5,47.75,103144
2,ok,2011-09-21,46.5,48.0,45.4,46.95,69493
3,ok,2011-09-22,44.75,47.0,44.6,46.5,44870
4,ok,2011-09-25,44.2,46.0,44.2,44.2,14695
5,ok,2011-09-26,42.7,45.7,42.35,43.05,47601
6,ok,2011-09-27,41.25,43.95,41.25,41.8,27611
7,ok,2011-09-28,40.3,43.0,40.2,42.5,31645
8,ok,2011-09-29,40.7,43.25,40.7,42.25,29079
9,ok,2011-10-02,40.25,42.1,40.25,41.25,24433
10,ok,2011-10-03,40.5,44.0,40.5,41.7,68054
11,ok,2011-10-04,42.0,42.0,40.5,41.05,34987
12,ok,2011-10-06,38.0,43.25,38.0,42.1,53721
13,ok,2011-10-09,40.1,42.5,40.1,41.15,46006
14,ok,2011-10-10,40.6,42.95,40.35,40.7,35220
15,ok,2011-10-11,38.7,42.85,38.7,40.95,22380
16,ok,2011-10-12,40.2,41.2,40.2,40.7,13526
17,ok,2011-10-13,40.5,41.5,40.1,40.45,47030
18,ok,2011-10-16,39.25,41.0,39.25,40.8,34243
19,ok,2011-10-17,39.25,41.45,39.25,40.85,21585
20,ok,2011-10-18,39.25,46.95,39.25,45.4,91085
21,ok,2011-10-19,45.6,46.5,43.95,45.85,96984
22,ok,2011-10-20,44.6,46.65,44.6,45.7,42867
23,ok,2011-10-23,46.1,46.5,44.05,45.05,30920
24,ok,2011-10-24,46.0,46.4,44.3,44.85,26058
25,ok,2011-10-25,44.0,46.0,44.0,45.75,9521
26,ok,2011-10-27,45.75,47.25,44.8,45.35,102095
27,ok,2011-10-30,44.65,45.9,44.55,44.9,25391
28,ok,2011-10-31,44.3,45.2,43.9,44.05,39206
29,ok,2011-11-01,43.1,44.25,43.05,43.35,38265
30,ok,2011-11-02,41.25,44.65,41.25,44.15,82847
31,ok,2011-11-03,43.2,46.0,43.2,45.8,80023
32,ok,2011-11-07,44.75,48.8,44.75,48.4,108426
33,ok,2011-11-08,47.25,49.0,46.25,47.4,240767
34,ok,2011-11-10,46.1,46.5,45.0,45.8,58823
35,ok,2011-11-13,45.6,46.5,43.3,44.9,41570
36,ok,2011-11-14,43.6,45.25,43.3,43.75,25678
37,ok,2011-11-15,43.3,44.0,42.2,42.6,27283
38,ok,2011-11-16,40.55,43.25,40.55,42.15,33582
39,ok,2011-11-17,40.5,41.7,40.0,40.65,33662
40,ok,2011-11-20,40.25,41.9,38.35,40.8,36488
41,ok,2011-11-21,39.25,41.0,38.85,39.9,27672
42,ok,2011-11-22,39.3,40.0,38.2,39.2,27269
43,ok,2011-11-23,38.5,40.75,38.5,40.1,14340
44,ok,2011-11-24,38.3,41.3,38.3,40.6,15105
45,ok,2011-11-27,38.5,41.5,38.5,41.15,7284
