,s,t,o,h,l,c,v
0,ok,2019-11-12,125.37,127.65,122.0,124.48,14349
1,ok,2019-11-13,124.68,126.17,123.0,123.65,25872
2,ok,2019-11-14,125.65,125.65,118.38,118.97,24033
3,ok,2019-11-17,122.47,124.98,118.32,123.55,22347
4,ok,2019-11-18,124.98,124.98,120.0,121.93,17475
5,ok,2019-11-19,123.97,123.98,118.68,120.57,26844
6,ok,2019-11-20,119.33,121.82,118.68,119.53,6123
7,ok,2019-11-21,119.53,123.33,118.33,121.92,17523
8,ok,2019-11-24,120.67,121.65,115.02,116.25,47706
9,ok,2019-11-25,118.33,118.33,113.33,115.17,36459
10,ok,2019-11-26,114.0,116.67,113.3,113.88,18744
11,ok,2019-11-27,113.63,116.48,113.32,115.67,7002
12,ok,2019-11-28,117.8,117.8,113.57,115.35,8844
13,ok,2019-12-01,117.98,117.98,113.42,115.6,4503
14,ok,2019-12-02,114.33,116.33,111.77,113.33,8133
15,ok,2019-12-03,113.33,116.0,111.67,115.07,16026
16,ok,2019-12-04,113.5,116.67,113.42,115.3,4557
17,ok,2019-12-05,118.32,118.32,111.03,113.72,16614
18,ok,2019-12-08,116.32,116.32,110.67,111.72,21603
19,ok,2019-12-09,112.0,112.47,109.0,110.98,19377
20,ok,2019-12-10,113.33,113.33,108.37,110.93,19710
21,ok,2019-12-11,111.67,114.0,109.97,113.13,11616
22,ok,2019-12-12,111.77,117.17,111.75,116.28,13458
23,ok,2019-12-15,117.83,117.83,110.4,114.02,34830
24,ok,2019-12-16,114.42,115.15,111.98,113.37,10476
25,ok,2019-12-17,112.67,115.67,110.45,111.88,23346
26,ok,2019-12-18,112.02,114.67,111.33,114.08,15684
27,ok,2019-12-19,114.8,115.48,112.5,113.17,8559
28,ok,2019-12-22,112.5,116.23,111.65,113.15,9645
29,ok,2019-12-23,111.68,114.0,110.67,111.17,17421
30,ok,2019-12-25,110.67,119.17,110.67,116.97,20514
31,ok,2019-12-26,118.0,118.0,113.0,114.38,14895
32,ok,2019-12-29,114.33,116.95,114.0,114.77,7767
33,ok,2019-12-30,114.33,118.98,113.67,115.27,17148
