,s,t,o,h,l,c,v
0,ok,2015-02-15,66.25,69.55,66.25,69.55,250
1,ok,2015-02-17,73.03,73.03,73.03,73.03,200
2,ok,2015-02-18,76.68,76.68,76.68,76.68,50
3,ok,2015-02-19,80.5,80.5,80.5,80.5,2
4,ok,2015-02-22,84.53,84.53,84.53,84.53,50
5,ok,2015-02-23,88.75,88.75,88.75,88.75,2
6,ok,2015-02-24,93.18,93.18,93.18,93.18,70
7,ok,2015-02-25,97.83,97.83,97.83,97.83,120
8,ok,2015-02-26,102.7,102.7,102.7,102.7,2590
9,ok,2015-02-27,107.83,107.83,102.7,107.35,1140
10,ok,2015-03-01,112.0,112.7,110.0,112.7,778
11,ok,2015-03-02,118.33,118.33,117.5,118.33,232
12,ok,2015-03-03,120.0,124.23,115.55,120.75,1412
13,ok,2015-03-04,126.78,126.78,126.55,126.78,1076
14,ok,2015-03-08,132.5,133.1,131.0,131.58,1742
15,ok,2015-03-09,138.0,138.15,125.25,136.6,1502
16,ok,2015-03-10,137.95,143.43,135.5,143.38,3834
17,ok,2015-03-11,150.43,150.5,136.5,147.5,1608
18,ok,2015-03-12,153.95,153.95,148.5,152.7,160
19,ok,2015-03-15,150.05,150.05,145.08,148.8,216
20,ok,2015-03-16,150.0,150.0,141.38,141.38,200
21,ok,2015-03-17,134.33,134.33,134.33,134.33,180
22,ok,2015-03-18,127.63,127.63,127.63,127.63,350
23,ok,2015-03-19,121.25,132.5,121.25,127.18,5928
24,ok,2015-03-22,121.0,125.0,120.83,123.5,612
25,ok,2015-03-23,120.0,123.13,117.33,117.9,1536
26,ok,2015-03-24,114.5,117.75,112.03,112.03,1710
27,ok,2015-03-25,106.55,106.55,106.43,106.43,472
28,ok,2015-03-26,102.0,102.0,101.13,101.13,332
29,ok,2015-03-29,104.98,104.98,96.08,98.08,2966
30,ok,2015-03-30,97.0,102.2,97.0,102.2,202
31,ok,2015-03-31,97.5,98.5,97.15,97.6,142
32,ok,2015-04-05,99.98,99.98,99.98,99.98,4
33,ok,2015-04-06,98.0,98.0,95.0,95.0,124
34,ok,2015-04-08,90.8,90.8,90.25,90.7,270
35,ok,2015-04-09,86.18,90.5,86.18,86.18,638
36,ok,2015-04-12,87.5,87.5,87.5,87.5,30
37,ok,2015-04-14,87.5,91.75,87.5,91.6,294
38,ok,2015-04-15,95.0,95.0,87.08,87.85,328
39,ok,2015-04-16,85.5,90.0,85.05,89.63,794
40,ok,2015-04-19,85.15,87.5,85.15,87.5,122
41,ok,2015-04-20,87.48,91.73,87.48,91.73,152
42,ok,2015-04-21,91.7,96.0,87.4,96.0,470
43,ok,2015-04-22,92.5,99.0,92.5,98.58,586
44,ok,2015-04-23,99.5,99.5,94.35,98.63,240
45,ok,2015-04-26,103.4,103.4,97.75,100.5,144
46,ok,2015-04-27,96.5,105.45,96.5,105.45,438
47,ok,2015-04-28,100.5,107.0,100.2,100.4,202
48,ok,2015-04-29,96.0,99.5,96.0,98.0,72
49,ok,2015-05-03,99.98,99.98,99.98,99.98,50
50,ok,2015-05-06,103.95,103.95,99.5,99.5,44
51,ok,2015-05-12,100.5,100.5,100.5,100.5,2
52,ok,2015-05-17,95.55,95.55,95.48,95.48,200
53,ok,2015-05-18,92.0,92.5,92.0,92.5,330
54,ok,2015-05-19,92.0,92.0,90.0,90.0,762
55,ok,2015-05-21,94.5,94.5,85.5,85.5,200
56,ok,2015-05-24,85.0,85.0,82.25,83.93,868
57,ok,2015-05-31,88.1,88.1,88.1,88.1,200
58,ok,2015-06-01,84.0,92.5,84.0,91.53,622
59,ok,2015-06-02,92.5,93.5,90.0,90.13,810
60,ok,2015-06-03,94.63,94.63,89.03,89.03,202
61,ok,2015-06-04,92.5,92.5,85.0,85.58,1854
62,ok,2015-06-08,89.5,89.5,89.5,89.5,272
63,ok,2015-06-11,92.5,92.5,86.0,86.5,234
64,ok,2015-06-14,86.5,86.5,82.38,82.38,100
65,ok,2015-06-15,84.0,84.0,81.6,81.68,214
66,ok,2015-06-16,83.6,83.6,83.6,83.6,46
67,ok,2015-06-17,83.6,83.83,83.6,83.83,650
68,ok,2015-06-18,88.0,88.0,88.0,88.0,100
69,ok,2015-06-21,92.4,92.4,92.4,92.4,100
70,ok,2015-06-23,97.0,97.0,97.0,97.0,2
71,ok,2015-06-28,94.4,94.4,94.4,94.4,16
72,ok,2015-07-01,99.0,99.0,99.0,99.0,4
73,ok,2015-07-02,97.6,97.6,95.5,96.25,36
74,ok,2015-07-05,101.05,101.05,101.05,101.05,2
75,ok,2015-07-06,100.0,106.1,98.5,99.95,786
76,ok,2015-07-14,98.25,98.25,98.25,98.25,8
77,ok,2015-07-15,102.5,102.5,102.5,102.5,2
78,ok,2015-07-16,98.25,98.25,97.55,97.6,114
79,ok,2015-07-19,100.0,100.0,94.0,97.5,12
80,ok,2015-07-20,97.63,97.63,94.0,94.0,32
81,ok,2015-07-21,95.0,98.0,89.5,94.98,872
82,ok,2015-07-23,98.5,99.0,98.5,99.0,220
83,ok,2015-07-26,99.0,99.0,99.0,99.0,2
84,ok,2015-07-27,94.25,94.25,94.25,94.25,4
85,ok,2015-07-28,97.5,97.5,97.5,97.5,100
86,ok,2015-08-02,100.0,100.0,100.0,100.0,100
87,ok,2015-08-05,100.0,100.0,100.0,100.0,2
88,ok,2015-08-10,105.0,105.0,95.0,95.0,1402
89,ok,2015-08-12,97.95,97.95,90.25,90.9,222
