,s,t,o,h,l,c,v
0,ok,2021-08-23,333.0,354.8,333.0,346.9,32581493
1,ok,2021-08-24,352.0,356.5,334.15,348.15,3883290
2,ok,2021-08-25,347.0,353.0,345.55,351.55,2794709
3,ok,2021-08-26,351.55,359.0,347.0,355.2,4421191
4,ok,2021-08-29,354.0,358.0,353.1,355.75,2333990
5,ok,2021-08-30,356.0,377.7,356.0,369.45,5823315
6,ok,2021-08-31,371.0,381.4,367.05,377.7,4708569
7,ok,2021-09-01,377.0,380.7,365.15,367.0,1384495
8,ok,2021-09-02,366.0,379.55,366.0,375.8,1886892
9,ok,2021-09-05,377.0,377.85,369.3,374.7,1193895
10,ok,2021-09-06,375.0,376.9,366.8,369.25,1462019
11,ok,2021-09-07,371.0,371.25,359.05,360.45,714841
12,ok,2021-09-08,361.95,366.4,360.0,361.15,661118
13,ok,2021-09-12,361.15,363.95,360.1,362.2,526976
14,ok,2021-09-13,361.0,365.9,360.05,361.3,423733
15,ok,2021-09-14,359.1,364.9,359.1,360.3,557475
16,ok,2021-09-15,360.3,362.95,353.3,356.7,862593
17,ok,2021-09-16,354.0,355.0,340.95,346.9,679293
18,ok,2021-09-19,342.0,349.0,335.1,336.8,484887
19,ok,2021-09-20,334.0,348.4,319.25,344.75,761629
20,ok,2021-09-21,347.0,351.5,336.6,343.05,444049
21,ok,2021-09-22,347.0,353.65,337.3,338.65,563826
22,ok,2021-09-23,342.0,346.4,337.05,339.7,383835
23,ok,2021-09-26,338.0,344.7,278.6,336.9,448833
24,ok,2021-09-27,336.0,339.9,328.25,332.05,468146
25,ok,2021-09-28,330.45,336.55,330.05,332.65,181597
26,ok,2021-09-29,335.65,337.4,313.0,316.45,1492199
27,ok,2021-09-30,317.0,322.0,303.0,308.4,1224476
28,ok,2021-10-03,310.5,315.0,310.0,310.65,315760
29,ok,2021-10-04,312.35,341.9,309.05,339.15,1762675
30,ok,2021-10-05,342.0,349.0,319.85,322.45,1841887
31,ok,2021-10-06,326.25,328.95,322.0,323.4,477820
32,ok,2021-10-07,324.0,331.95,320.55,322.25,212087
33,ok,2021-10-10,325.0,330.0,322.0,324.7,425755
34,ok,2021-10-11,324.7,334.9,321.0,331.0,580331
35,ok,2021-10-12,332.0,334.7,325.0,326.8,421703
36,ok,2021-10-13,327.0,333.4,324.35,326.0,475899
37,ok,2021-10-17,325.05,331.5,320.65,321.55,320672
38,ok,2021-10-18,322.0,336.0,319.2,319.95,391991
39,ok,2021-10-19,320.0,322.5,307.0,311.95,236500
40,ok,2021-10-20,313.8,317.45,310.45,312.95,126720
41,ok,2021-10-21,312.1,323.0,312.1,313.65,219950
42,ok,2021-10-24,312.1,318.7,296.0,311.55,455881
43,ok,2021-10-25,315.0,324.7,307.35,322.2,756645
44,ok,2021-10-26,324.45,329.0,320.5,325.2,463968
45,ok,2021-10-27,320.1,329.8,320.1,324.8,480804
46,ok,2021-10-28,322.25,331.0,322.05,330.0,260522
47,ok,2021-10-31,339.95,339.95,329.7,334.9,334492
48,ok,2021-11-01,335.7,342.0,332.5,338.7,291524
49,ok,2021-11-02,340.1,348.0,336.95,343.55,419616
50,ok,2021-11-03,345.0,350.0,345.0,347.35,218028
51,ok,2021-11-07,349.7,360.35,347.3,358.15,1012267
52,ok,2021-11-08,355.0,364.4,351.1,358.4,604489
53,ok,2021-11-09,357.5,358.85,345.15,349.75,418817
54,ok,2021-11-10,349.05,354.0,347.1,350.1,208519
55,ok,2021-11-11,346.1,360.0,345.5,358.7,747044
56,ok,2021-11-14,362.0,363.0,350.25,351.15,391383
57,ok,2021-11-15,349.1,366.4,349.1,359.85,3639847
58,ok,2021-11-16,361.0,361.0,349.8,354.0,616579
59,ok,2021-11-17,354.0,355.0,347.1,350.1,752145
