,s,t,o,h,l,c,v
0,ok,2008-01-10,160.0,261.0,145.1,251.4,22502724
1,ok,2008-01-13,252.0,264.2,204.2,209.65,6468350
2,ok,2008-01-14,214.9,251.6,197.0,240.75,13563935
3,ok,2008-01-15,228.9,240.95,215.0,222.15,5134605
4,ok,2008-01-16,224.0,233.8,215.05,217.85,1850731
5,ok,2008-01-17,220.1,230.7,206.55,209.35,2366354
6,ok,2008-01-20,205.0,206.7,167.5,175.8,965635
7,ok,2008-01-21,160.5,160.5,140.65,140.65,26437
8,ok,2008-01-22,145.1,154.75,130.25,154.75,151843
9,ok,2008-01-23,161.0,170.0,141.3,144.15,145012
10,ok,2008-01-24,154.4,156.0,145.0,154.35,101194
11,ok,2008-01-27,156.0,169.8,140.0,167.35,259791
12,ok,2008-01-28,170.0,184.1,170.0,182.6,285425
13,ok,2008-01-29,185.0,185.9,173.5,173.5,206232
14,ok,2008-01-30,172.5,175.9,164.9,169.7,119348
15,ok,2008-01-31,174.9,178.0,164.1,168.3,54360
16,ok,2008-02-03,171.0,173.9,166.55,169.05,193940
17,ok,2008-02-04,165.0,175.0,161.35,172.4,60288
18,ok,2008-02-05,164.55,177.0,164.55,173.25,90672
19,ok,2008-02-06,170.3,180.5,164.6,165.0,163201
20,ok,2008-02-07,165.0,169.0,156.75,156.95,28822
21,ok,2008-02-10,150.2,158.8,150.0,153.0,41224
22,ok,2008-02-11,159.9,159.9,149.0,152.85,27640
23,ok,2008-02-12,153.1,159.0,153.0,156.6,32016
24,ok,2008-02-13,162.0,164.45,159.05,164.2,36787
25,ok,2008-02-14,159.0,165.9,156.0,160.15,19292
26,ok,2008-02-17,161.05,168.0,161.0,165.65,46678
27,ok,2008-02-18,167.0,170.0,161.0,161.45,15250
28,ok,2008-02-19,161.0,162.8,157.0,159.5,17639
29,ok,2008-02-20,162.0,164.45,162.0,163.45,23146
30,ok,2008-02-21,155.95,171.65,155.95,169.6,33155
31,ok,2008-02-24,175.0,175.0,163.1,167.15,13403
32,ok,2008-02-25,170.0,172.0,167.1,170.1,16991
33,ok,2008-02-26,178.5,178.5,171.5,174.6,38994
34,ok,2008-02-27,171.0,183.35,171.0,182.75,63914
35,ok,2008-02-28,184.0,191.0,173.65,176.25,123818
36,ok,2008-03-02,167.95,173.45,167.5,168.3,21885
37,ok,2008-03-03,168.0,168.5,159.9,159.9,12891
38,ok,2008-03-04,160.0,160.0,151.9,152.25,10146
39,ok,2008-03-06,145.0,153.0,144.65,144.9,19805
40,ok,2008-03-09,138.35,150.0,131.05,143.5,14116
41,ok,2008-03-10,137.65,152.95,137.65,149.15,11789
42,ok,2008-03-11,152.1,157.65,136.4,141.95,10097
43,ok,2008-03-12,138.0,143.9,128.0,132.35,14930
44,ok,2008-03-13,134.0,137.0,130.1,135.75,8749
45,ok,2008-03-16,132.0,132.0,122.2,127.0,8205
46,ok,2008-03-17,122.0,126.9,118.0,122.7,10119
47,ok,2008-03-18,125.1,135.0,110.45,121.25,13958
48,ok,2008-03-23,116.55,122.0,110.15,115.95,7495
49,ok,2008-03-24,116.05,119.25,115.6,117.9,8505
50,ok,2008-03-25,118.0,125.0,117.5,121.05,17319
51,ok,2008-03-26,123.75,123.75,116.5,119.2,6249
52,ok,2008-03-27,121.0,130.0,116.65,124.8,9744
53,ok,2008-03-30,121.15,127.0,117.1,120.75,9241
54,ok,2008-03-31,120.0,126.0,120.0,121.85,4439
