,s,t,o,h,l,c,v
0,ok,2021-06-14,26.0,26.56,23.63,25.02,695315
1,ok,2021-06-15,25.36,25.98,24.06,24.31,191485
2,ok,2021-06-16,24.0,24.39,23.14,23.84,80805
3,ok,2021-06-17,24.0,25.72,22.25,25.29,640440
4,ok,2021-06-20,25.54,26.38,24.31,25.81,1035360
5,ok,2021-06-21,26.4,27.3,25.71,26.01,474305
6,ok,2021-06-22,25.92,26.76,25.6,25.74,106815
7,ok,2021-06-23,26.36,26.36,24.73,25.02,81885
8,ok,2021-06-24,25.06,25.9,25.03,25.48,95535
9,ok,2021-06-27,25.7,25.99,25.48,25.83,132590
10,ok,2021-06-28,25.85,25.92,25.24,25.37,94635
11,ok,2021-06-29,25.31,26.21,25.0,25.34,204295
12,ok,2021-06-30,25.71,25.8,25.22,25.3,38675
13,ok,2021-07-01,25.59,26.0,25.07,25.14,68980
14,ok,2021-07-04,25.6,27.05,25.41,25.93,244895
15,ok,2021-07-05,26.2,26.2,25.1,25.18,47320
16,ok,2021-07-06,25.21,27.6,25.2,26.89,343435
17,ok,2021-07-07,26.99,28.39,26.73,27.44,361700
18,ok,2021-07-08,27.98,28.96,27.74,28.75,256485
19,ok,2021-07-11,29.04,29.98,28.79,29.16,170665
20,ok,2021-07-12,29.93,29.93,28.5,29.49,177265
21,ok,2021-07-13,30.0,30.16,29.2,29.97,180695
22,ok,2021-07-14,30.2,33.0,30.16,32.28,509355
23,ok,2021-07-15,33.16,37.85,31.64,34.82,2252630
24,ok,2021-07-18,34.8,37.18,34.02,35.55,866260
25,ok,2021-07-19,35.55,36.14,32.68,33.72,497840
26,ok,2021-07-21,34.47,35.93,32.87,33.24,549800
27,ok,2021-07-22,33.41,33.96,32.4,32.91,439430
28,ok,2021-07-25,33.87,33.87,32.42,32.61,205430
29,ok,2021-07-26,32.8,35.68,32.8,34.88,2861255
30,ok,2021-07-27,35.6,36.36,33.6,35.41,2454435
31,ok,2021-07-28,35.6,36.0,34.69,35.23,1581475
32,ok,2021-07-29,36.2,36.2,34.17,34.54,262840
33,ok,2021-08-01,35.29,35.3,33.5,33.61,358710
34,ok,2021-08-02,34.3,34.3,32.59,32.92,218110
35,ok,2021-08-03,33.75,34.2,32.08,32.6,156110
36,ok,2021-08-04,33.1,33.18,30.8,31.09,223325
37,ok,2021-08-05,31.21,31.87,30.2,30.81,238940
38,ok,2021-08-08,30.79,31.0,27.8,29.03,400900
39,ok,2021-08-09,29.02,29.39,26.51,26.97,343765
40,ok,2021-08-10,27.4,27.8,25.09,26.07,326085
41,ok,2021-08-11,26.4,31.28,26.28,31.18,2675790
42,ok,2021-08-12,31.18,34.08,29.53,31.97,2668730
43,ok,2021-08-15,30.74,31.9,30.0,30.27,226620
44,ok,2021-08-16,30.96,31.19,29.72,30.67,129370
45,ok,2021-08-17,31.39,31.39,29.7,29.82,99205
46,ok,2021-08-19,30.0,30.0,27.0,27.98,229905
47,ok,2021-08-22,28.04,29.03,25.49,25.83,258260
48,ok,2021-08-23,25.33,30.39,25.33,29.67,586220
49,ok,2021-08-24,28.83,29.72,28.08,28.35,144290
50,ok,2021-08-25,28.41,29.6,28.08,28.64,130505
51,ok,2021-08-26,29.2,29.59,28.4,29.05,100540
52,ok,2021-08-29,30.0,30.3,28.0,29.81,122330
53,ok,2021-08-30,29.63,30.02,29.4,29.63,271030
54,ok,2021-08-31,29.05,29.95,27.8,28.46,203220
55,ok,2021-09-01,28.4,28.84,27.67,27.94,180325
56,ok,2021-09-02,28.25,28.4,27.82,28.09,182635
57,ok,2021-09-05,28.64,28.9,27.9,28.04,81965
58,ok,2021-09-06,28.23,28.75,27.32,27.73,124735
59,ok,2021-09-07,27.8,28.63,27.6,27.74,177650
60,ok,2021-09-08,27.38,28.4,27.24,27.7,198275
61,ok,2021-09-12,27.98,30.68,27.4,28.03,1124315
62,ok,2021-09-13,28.4,28.9,27.64,27.8,509395
63,ok,2021-09-14,28.11,28.22,27.64,27.84,164365
64,ok,2021-09-15,28.28,28.28,27.76,27.85,116560
65,ok,2021-09-16,28.19,28.19,27.0,27.32,177070
66,ok,2021-09-19,27.42,28.6,27.01,27.62,330345
67,ok,2021-09-20,27.6,28.0,27.01,27.91,145220
68,ok,2021-09-21,28.06,28.25,27.5,27.55,77115
69,ok,2021-09-22,27.61,28.8,27.6,28.05,902585
70,ok,2021-09-23,28.2,28.57,27.3,27.41,490205
71,ok,2021-09-26,27.84,28.39,27.84,28.31,457645
72,ok,2021-09-27,28.4,29.4,28.2,28.49,456295
73,ok,2021-09-28,28.49,28.49,27.9,28.11,93580
74,ok,2021-09-29,28.55,28.55,27.8,28.05,97530
75,ok,2021-09-30,28.05,28.3,27.2,27.85,204035
76,ok,2021-10-03,27.61,28.4,27.61,27.79,152515
77,ok,2021-10-04,27.74,28.0,27.33,27.63,236450
78,ok,2021-10-05,27.96,28.2,26.98,27.5,231630
79,ok,2021-10-06,28.0,29.8,27.38,29.2,1070190
80,ok,2021-10-07,29.6,29.6,28.6,29.12,227950
81,ok,2021-10-10,29.56,29.56,28.72,29.08,296140
82,ok,2021-10-11,29.0,29.39,28.57,28.96,188550
83,ok,2021-10-12,28.96,31.0,28.65,29.69,772710
84,ok,2021-10-13,29.71,30.23,28.8,29.08,213230
85,ok,2021-10-17,29.57,30.4,29.5,29.74,380125
86,ok,2021-10-18,30.17,30.3,28.82,29.87,435995
87,ok,2021-10-19,29.89,29.89,28.4,28.57,175285
88,ok,2021-10-20,29.17,29.32,27.75,28.09,187220
89,ok,2021-10-21,28.1,28.89,28.0,28.2,221335
90,ok,2021-10-24,28.1,28.24,27.31,27.7,76085
91,ok,2021-10-25,27.6,28.18,27.4,27.75,108745
92,ok,2021-10-26,27.99,28.3,27.78,28.0,68735
93,ok,2021-10-27,28.78,28.78,27.41,27.61,66435
94,ok,2021-10-28,27.61,28.0,25.59,27.45,314170
95,ok,2021-10-31,27.45,29.56,26.91,29.16,434905
96,ok,2021-11-01,29.31,31.36,29.22,31.04,819460
97,ok,2021-11-02,31.48,32.15,31.04,31.33,453405
98,ok,2021-11-03,31.38,32.62,31.38,32.16,312275
99,ok,2021-11-07,32.14,33.78,31.85,32.39,1103460
100,ok,2021-11-08,32.74,32.8,31.9,32.05,153270
101,ok,2021-11-09,32.38,32.94,32.06,32.59,438200
102,ok,2021-11-10,32.59,33.08,30.32,30.63,539010
103,ok,2021-11-11,31.32,31.32,29.29,29.78,360285
104,ok,2021-11-14,29.62,30.7,29.62,30.56,181325
105,ok,2021-11-15,31.09,31.92,30.55,30.77,135325
106,ok,2021-11-16,31.4,31.48,30.5,31.16,252345
107,ok,2021-11-17,31.36,31.51,30.42,30.71,122095
108,ok,2021-11-21,31.0,31.01,28.22,28.82,201200
