,s,t,o,h,l,c,v
0,ok,2016-06-13,249.55,249.55,217.1,234.95,407
1,ok,2016-06-14,239.95,249.0,220.1,229.3,1216
2,ok,2016-06-15,244.95,244.95,231.05,231.05,14
3,ok,2016-06-16,240.0,240.0,229.5,229.5,139
4,ok,2016-06-19,249.95,249.95,230.15,238.95,714
5,ok,2016-06-20,239.0,239.45,234.95,238.95,519
6,ok,2016-06-21,242.85,242.85,235.0,235.0,140
7,ok,2016-06-22,230.3,248.95,230.0,237.95,862
8,ok,2016-06-23,221.15,234.0,198.3,228.0,4043
9,ok,2016-06-26,230.0,241.0,230.0,235.05,3857
10,ok,2016-06-27,238.0,244.75,238.0,241.1,5888
11,ok,2016-06-28,243.0,244.8,240.0,243.0,4177
12,ok,2016-06-29,244.0,291.0,224.0,260.8,365789
13,ok,2016-06-30,278.4,289.5,256.35,267.6,324207
14,ok,2016-07-03,268.0,270.0,256.9,260.35,76073
15,ok,2016-07-04,260.35,268.0,252.1,261.8,39972
16,ok,2016-07-06,259.9,265.5,255.05,256.4,27671
17,ok,2016-07-07,256.0,263.8,250.55,251.9,17054
18,ok,2016-07-10,255.05,264.7,255.0,263.0,38010
19,ok,2016-07-11,265.0,270.0,265.0,266.8,35832
20,ok,2016-07-12,269.5,270.0,264.15,266.5,30540
21,ok,2016-07-13,265.1,266.4,255.4,262.65,13955
22,ok,2016-07-14,262.5,264.95,257.75,258.3,7398
23,ok,2016-07-17,259.1,262.45,255.1,256.0,12492
24,ok,2016-07-18,255.05,259.9,252.55,255.95,5632
25,ok,2016-07-19,259.85,262.0,256.0,258.45,12862
26,ok,2016-07-20,258.05,262.0,257.0,257.9,6009
27,ok,2016-07-21,262.45,286.3,261.95,277.7,136513
28,ok,2016-07-24,279.9,300.0,275.0,293.55,128241
29,ok,2016-07-25,292.15,297.0,276.0,285.15,62042
30,ok,2016-07-26,285.3,300.0,272.05,294.95,89676
31,ok,2016-07-27,303.5,325.0,284.35,289.65,358009
32,ok,2016-07-28,290.0,298.95,287.0,289.65,50752
33,ok,2016-07-31,294.5,298.0,273.6,279.55,50707
34,ok,2016-08-01,282.0,294.5,271.1,276.2,39874
35,ok,2016-08-02,277.0,277.0,256.5,261.6,71925
36,ok,2016-08-03,262.1,268.9,253.0,259.8,18584
37,ok,2016-08-04,263.25,274.0,261.0,269.4,27569
38,ok,2016-08-07,278.0,286.0,262.1,282.1,61222
39,ok,2016-08-08,286.0,286.0,272.0,277.85,15525
40,ok,2016-08-09,278.0,281.85,258.0,261.5,31975
41,ok,2016-08-10,284.0,284.0,256.2,257.9,30249
42,ok,2016-08-11,258.25,269.3,255.3,261.4,13430
43,ok,2016-08-15,267.95,269.0,255.3,256.65,11829
44,ok,2016-08-16,264.4,264.4,251.0,253.65,17578
45,ok,2016-08-17,250.0,265.0,250.0,263.1,29161
46,ok,2016-08-18,257.0,265.75,257.0,260.05,22750
47,ok,2016-08-21,258.0,259.8,250.05,253.7,13307
