,s,t,o,h,l,c,v
0,ok,2007-05-24,43.25,45.78,43.25,43.89,450
1,ok,2007-05-27,44.45,44.45,44.45,44.45,409
2,ok,2007-05-28,44.89,44.89,44.0,44.45,2890
3,ok,2007-05-29,44.89,44.89,43.72,43.85,1354
4,ok,2007-05-30,44.89,44.89,44.45,44.45,787
5,ok,2007-06-03,42.94,42.94,42.94,42.94,225
6,ok,2007-06-04,44.22,44.22,43.67,43.67,900
7,ok,2007-06-05,43.34,43.34,43.12,43.12,837
8,ok,2007-06-06,41.47,44.36,41.47,41.89,337
9,ok,2007-06-10,41.78,41.78,38.85,39.67,3150
10,ok,2007-06-13,39.58,43.34,39.56,40.94,1725
11,ok,2007-06-18,40.89,40.89,40.89,40.89,67
12,ok,2007-06-19,39.56,39.56,39.56,39.56,1125
13,ok,2007-06-20,40.89,40.89,40.0,40.89,931
14,ok,2007-06-24,37.94,40.32,37.87,38.29,342
15,ok,2007-06-25,38.89,39.82,37.78,38.05,9168
16,ok,2007-06-26,38.05,40.0,38.05,39.94,958
17,ok,2007-06-27,40.0,40.0,37.78,39.92,1372
18,ok,2007-06-28,38.72,39.92,37.6,37.85,2922
19,ok,2007-07-01,37.87,38.32,36.96,37.6,1417
20,ok,2007-07-02,39.92,39.92,37.8,37.8,469
21,ok,2007-07-03,39.12,40.0,37.56,38.89,7759
22,ok,2007-07-05,38.85,38.89,38.85,38.89,573
23,ok,2007-07-08,39.12,39.82,39.12,39.52,438
24,ok,2007-07-09,40.0,42.65,38.02,41.34,1342
25,ok,2007-07-10,40.0,40.0,40.0,40.0,225
26,ok,2007-07-11,39.12,42.22,39.12,41.09,1395
27,ok,2007-07-12,42.22,42.22,41.22,41.38,940
28,ok,2007-07-15,41.82,44.4,40.0,43.34,5085
29,ok,2007-07-16,44.45,44.45,35.82,42.56,4699
30,ok,2007-07-17,42.56,44.0,40.92,43.87,4020
31,ok,2007-07-18,42.98,45.78,42.98,45.38,1446
32,ok,2007-07-19,45.34,46.07,45.34,45.8,3262
33,ok,2007-07-22,45.78,46.22,41.8,43.69,4996
34,ok,2007-07-23,42.22,46.22,42.22,46.22,541
35,ok,2007-07-24,37.92,48.22,37.92,47.34,8862
36,ok,2007-07-25,47.29,47.29,45.78,46.25,1251
37,ok,2007-07-26,45.09,45.34,44.0,45.34,1684
38,ok,2007-07-29,46.67,47.56,46.67,47.56,1054
39,ok,2007-07-30,47.78,48.0,47.78,47.98,459
40,ok,2007-07-31,45.78,47.12,45.45,45.49,838
41,ok,2007-08-01,45.78,46.18,42.22,43.58,3825
