,s,t,o,h,l,c,v
0,ok,2015-05-20,419.1,424.61,387.83,417.84,2376
1,ok,2015-05-21,422.84,438.71,420.04,427.27,2932
2,ok,2015-05-24,385.5,437.77,385.5,415.42,2592
3,ok,2015-05-25,433.11,433.11,403.33,416.82,1869
4,ok,2015-05-26,413.5,429.37,373.37,409.96,2201
5,ok,2015-05-27,404.17,420.04,373.37,393.3,3935
6,ok,2015-05-28,384.57,433.48,373.83,421.72,8119
7,ok,2015-05-31,459.24,462.04,431.29,441.41,14697
8,ok,2015-06-01,438.71,445.24,418.87,424.33,9759
9,ok,2015-06-02,434.04,434.04,379.29,405.76,6698
10,ok,2015-06-03,399.6,401.37,377.75,387.27,3256
11,ok,2015-06-04,391.1,398.62,379.9,382.79,4596
12,ok,2015-06-07,392.97,402.3,367.49,380.32,1085
13,ok,2015-06-08,373.37,381.67,361.23,363.33,1680
14,ok,2015-06-09,364.97,386.43,364.03,367.3,598
15,ok,2015-06-10,380.23,401.32,357.64,369.35,4072
16,ok,2015-06-11,362.17,387.32,345.41,354.51,1163
17,ok,2015-06-14,359.37,359.37,334.96,337.94,4380
18,ok,2015-06-15,336.54,348.16,326.79,332.39,2026
19,ok,2015-06-16,332.3,369.63,332.3,359.79,14063
20,ok,2015-06-17,364.45,373.37,350.03,356.05,4762
21,ok,2015-06-18,354.7,362.17,351.15,360.02,4900
22,ok,2015-06-21,368.7,369.63,340.7,349.52,4482
23,ok,2015-06-22,350.03,356.57,341.26,353.86,3907
24,ok,2015-06-23,347.74,361.37,345.36,348.49,601
25,ok,2015-06-24,348.16,350.03,334.82,340.32,2448
26,ok,2015-06-25,338.83,347.7,337.01,341.58,2076
27,ok,2015-06-28,336.03,381.53,327.72,368.14,7073
28,ok,2015-06-29,368.75,441.74,363.19,439.83,26359
29,ok,2015-06-30,460.17,471.38,434.13,443.33,26926
30,ok,2015-07-01,456.44,456.81,420.04,442.72,9148
31,ok,2015-07-02,442.72,447.57,432.59,438.47,4552
32,ok,2015-07-05,448.04,507.13,430.31,476.51,44331
33,ok,2015-07-06,489.95,490.0,449.91,458.63,5192
34,ok,2015-07-07,453.69,464.79,438.66,444.21,7540
35,ok,2015-07-08,438.71,446.5,429.0,436.61,5218
36,ok,2015-07-09,452.71,452.71,406.04,429.33,6872
37,ok,2015-07-12,429.37,443.37,420.04,432.87,5312
38,ok,2015-07-13,431.24,445.19,427.5,430.91,4350
39,ok,2015-07-14,436.84,484.44,430.45,466.48,21936
40,ok,2015-07-15,482.9,483.51,455.46,459.57,6484
41,ok,2015-07-16,459.57,476.04,448.97,453.03,1593
42,ok,2015-07-19,450.84,452.66,441.55,443.37,844
43,ok,2015-07-20,449.81,483.51,440.71,460.27,15557
44,ok,2015-07-21,455.51,482.58,455.51,478.47,11825
45,ok,2015-07-22,482.58,493.78,476.04,489.76,11894
46,ok,2015-07-23,485.38,498.16,476.09,481.5,5263
47,ok,2015-07-26,476.04,483.51,438.71,459.89,2624
48,ok,2015-07-27,468.58,468.58,444.87,449.49,6376
49,ok,2015-07-28,462.04,489.76,448.04,468.25,9851
50,ok,2015-07-29,475.11,476.04,448.51,457.42,3138
51,ok,2015-07-30,457.42,466.71,452.71,456.39,3333
52,ok,2015-08-02,457.37,483.51,415.37,448.27,6807
53,ok,2015-08-03,454.48,457.37,441.55,451.73,7264
54,ok,2015-08-04,457.37,466.24,448.04,449.44,5164
55,ok,2015-08-05,449.91,454.99,430.87,438.8,8444
56,ok,2015-08-06,439.17,447.85,426.57,429.75,5953
57,ok,2015-08-09,431.52,438.33,427.46,430.96,4751
58,ok,2015-08-10,438.66,452.24,426.71,435.07,7059
59,ok,2015-08-11,438.52,438.52,417.24,419.9,4332
60,ok,2015-08-12,417.94,439.03,409.72,430.54,8798
61,ok,2015-08-13,427.5,443.37,427.5,441.51,24705
62,ok,2015-08-16,448.04,462.04,434.09,449.35,15133
63,ok,2015-08-17,457.37,458.63,443.37,456.81,10727
64,ok,2015-08-18,448.13,520.43,448.04,501.85,64127
65,ok,2015-08-19,517.95,517.95,485.38,489.48,15054
66,ok,2015-08-20,458.31,498.44,457.37,489.86,5757
67,ok,2015-08-23,499.38,499.38,420.04,426.57,29387
68,ok,2015-08-24,419.99,465.77,368.7,434.04,24408
69,ok,2015-08-25,420.04,451.49,406.97,432.17,9726
70,ok,2015-08-26,438.71,463.44,438.71,458.49,15082
71,ok,2015-08-27,464.56,471.28,447.99,455.18,5332
72,ok,2015-08-30,446.41,448.04,434.32,440.34,5509
73,ok,2015-08-31,412.57,434.13,375.75,416.63,9693
74,ok,2015-09-01,412.57,437.73,411.64,415.7,3206
75,ok,2015-09-02,410.75,438.71,401.37,433.76,3954
76,ok,2015-09-03,404.64,434.04,388.35,399.88,11694
77,ok,2015-09-06,381.77,406.04,368.47,372.76,4447
78,ok,2015-09-07,375.28,390.07,368.7,379.53,8277
79,ok,2015-09-08,385.87,420.04,385.87,409.54,9315
80,ok,2015-09-09,410.7,429.37,397.4,412.29,16232
81,ok,2015-09-10,411.68,420.04,399.55,406.78,3487
82,ok,2015-09-13,413.78,415.37,403.24,410.14,4712
83,ok,2015-09-14,418.17,418.17,395.77,406.22,2343
84,ok,2015-09-15,410.7,418.12,399.5,401.79,2859
85,ok,2015-09-17,406.08,414.44,381.49,404.12,8424
86,ok,2015-09-20,401.37,408.84,399.5,400.06,1256
87,ok,2015-09-21,420.04,429.37,392.04,406.46,10666
88,ok,2015-09-22,392.13,420.08,392.13,413.41,4626
89,ok,2015-09-23,420.04,494.52,406.04,484.54,64839
90,ok,2015-09-27,488.18,493.78,457.14,462.79,30939
91,ok,2015-09-28,452.75,462.04,434.04,457.37,9040
92,ok,2015-09-29,457.37,466.43,438.94,450.98,7675
93,ok,2015-09-30,476.04,476.04,435.91,439.78,6635
94,ok,2015-10-04,435.91,465.77,434.69,462.37,8092
95,ok,2015-10-05,477.54,541.38,463.91,520.29,95628
96,ok,2015-10-06,524.58,524.58,493.45,501.15,13603
97,ok,2015-10-07,522.43,523.09,488.83,511.93,7589
98,ok,2015-10-08,514.31,514.31,499.47,503.48,2639
99,ok,2015-10-11,505.87,523.09,490.14,496.25,3937
100,ok,2015-10-12,493.78,512.35,480.71,504.28,9678
101,ok,2015-10-13,518.05,539.33,494.85,519.26,20632
102,ok,2015-10-14,523.65,523.65,507.5,513.89,5983
103,ok,2015-10-15,527.33,527.33,501.99,508.85,5704
104,ok,2015-10-18,535.78,610.59,514.31,610.59,97919
105,ok,2015-10-19,643.96,653.3,586.28,599.21,91563
106,ok,2015-10-20,602.05,631.92,588.99,620.35,28511
107,ok,2015-10-22,625.39,634.72,564.76,581.1,18074
108,ok,2015-10-25,588.05,599.21,561.26,566.4,12744
109,ok,2015-10-26,562.06,574.05,548.9,558.6,7049
110,ok,2015-10-27,560.05,587.12,552.58,570.04,9175
111,ok,2015-10-28,578.67,628.19,574.05,613.44,30501
112,ok,2015-10-29,579.65,625.39,579.65,582.83,8217
113,ok,2015-11-01,580.96,597.25,562.85,574.84,9151
114,ok,2015-11-02,583.39,616.06,569.38,590.29,12914
115,ok,2015-11-03,606.72,614.65,584.32,593.19,8064
116,ok,2015-11-04,606.72,610.92,583.43,594.59,6576
117,ok,2015-11-05,601.96,601.96,570.92,575.22,5856
118,ok,2015-11-08,574.05,616.06,553.52,600.79,10296
119,ok,2015-11-09,612.32,620.63,602.52,616.06,7145
120,ok,2015-11-10,618.86,643.12,598.41,608.31,2817
121,ok,2015-11-12,597.39,630.06,592.72,626.93,8458
122,ok,2015-11-15,619.42,662.73,615.07,628.7,14443
123,ok,2015-11-16,626.32,643.92,623.52,637.2,5664
124,ok,2015-11-17,633.32,717.0,633.32,672.06,59193
125,ok,2015-11-18,667.39,698.1,634.63,688.53,14715
126,ok,2015-11-19,686.06,745.8,686.06,722.42,30474
127,ok,2015-11-22,719.66,732.73,679.67,683.45,12805
128,ok,2015-11-23,700.06,702.96,681.39,684.38,6409
129,ok,2015-11-25,686.06,695.35,663.75,678.92,7716
130,ok,2015-11-26,676.73,681.72,658.25,674.95,5687
131,ok,2015-11-29,686.01,709.4,673.93,701.46,7160
132,ok,2015-11-30,702.86,731.75,702.86,719.15,10930
133,ok,2015-12-01,715.74,715.74,671.97,695.16,13565
134,ok,2015-12-02,694.51,711.26,689.05,703.05,4635
135,ok,2015-12-03,694.46,708.88,673.09,679.06,5743
136,ok,2015-12-06,681.63,694.42,662.73,667.67,2618
137,ok,2015-12-07,672.25,680.46,626.79,644.9,5540
138,ok,2015-12-08,644.9,677.66,590.43,622.31,10335
139,ok,2015-12-09,625.39,643.12,611.39,628.89,4640
140,ok,2015-12-10,616.52,639.39,616.01,617.83,2969
141,ok,2015-12-13,625.39,625.39,597.39,608.26,5505
142,ok,2015-12-14,625.39,625.39,591.51,603.59,2368
143,ok,2015-12-15,616.99,657.78,597.9,637.8,19543
144,ok,2015-12-16,632.86,695.4,619.51,690.26,20620
145,ok,2015-12-17,706.6,710.33,666.46,675.14,8587
146,ok,2015-12-20,662.73,691.66,658.29,685.92,4670
147,ok,2015-12-21,686.71,788.74,686.01,773.2,61627
148,ok,2015-12-22,780.71,806.85,765.4,769.32,26893
149,ok,2015-12-23,773.9,792.47,756.07,776.46,12236
150,ok,2015-12-27,769.14,788.69,752.33,759.57,7525
151,ok,2015-12-28,764.61,770.12,738.43,744.21,3020
152,ok,2015-12-29,751.4,797.6,736.28,769.04,12223
153,ok,2015-12-30,776.56,781.27,747.67,760.55,3764
154,ok,2015-12-31,777.54,777.54,734.51,752.43,1949
155,ok,2016-01-03,746.92,773.8,733.67,748.65,4877
156,ok,2016-01-04,741.13,759.8,737.91,750.33,4229
157,ok,2016-01-05,748.65,765.22,744.91,748.41,3025
158,ok,2016-01-06,737.4,741.13,696.42,710.61,8075
159,ok,2016-01-07,704.73,779.4,701.0,758.59,17484
160,ok,2016-01-10,755.13,755.97,709.4,736.0,5501
161,ok,2016-01-11,752.33,754.2,714.06,718.03,14117
162,ok,2016-01-12,732.73,738.75,616.06,674.35,22095
163,ok,2016-01-13,653.39,699.13,622.17,662.12,12784
164,ok,2016-01-14,664.59,678.59,630.06,636.08,6620
165,ok,2016-01-17,634.72,671.13,546.05,559.49,20927
166,ok,2016-01-18,564.72,606.72,536.71,584.23,9330
167,ok,2016-01-19,586.65,597.39,543.53,590.67,8452
168,ok,2016-01-20,593.65,614.61,560.05,582.5,5395
169,ok,2016-01-21,602.99,606.72,583.39,602.05,4201
170,ok,2016-01-24,606.72,613.77,591.04,595.61,2455
171,ok,2016-01-26,596.45,660.53,576.85,649.89,11277
172,ok,2016-01-27,629.12,643.96,627.72,631.92,2495
173,ok,2016-01-28,623.52,647.51,623.52,637.29,2440
174,ok,2016-01-31,675.79,681.49,623.57,644.24,4177
175,ok,2016-02-01,634.72,662.73,607.75,621.0,5986
176,ok,2016-02-02,614.98,629.59,570.78,578.67,9208
177,ok,2016-02-03,587.87,602.94,574.05,581.1,4520
178,ok,2016-02-04,588.05,596.36,581.05,586.05,2313
179,ok,2016-02-07,588.52,611.39,546.05,549.78,14070
180,ok,2016-02-08,550.72,550.72,514.36,516.51,14958
181,ok,2016-02-09,523.97,535.64,491.96,500.22,7468
182,ok,2016-02-10,487.24,499.33,411.73,419.85,22872
183,ok,2016-02-11,392.97,419.1,354.75,407.11,18142
184,ok,2016-02-14,401.42,447.81,398.94,447.81,6824
185,ok,2016-02-15,452.75,492.56,446.87,461.39,20641
186,ok,2016-02-16,469.51,480.62,414.53,475.62,8525
187,ok,2016-02-17,494.71,507.78,448.04,455.32,5517
188,ok,2016-02-18,448.04,466.66,443.37,455.55,2158
189,ok,2016-02-21,452.71,462.97,452.71,454.62,1992
190,ok,2016-02-22,450.09,456.81,424.8,428.9,4267
191,ok,2016-02-23,428.9,444.12,412.62,416.72,7244
192,ok,2016-02-24,406.04,419.94,379.43,392.41,7172
193,ok,2016-02-25,396.7,407.9,378.03,383.12,5744
194,ok,2016-02-28,382.75,404.17,368.7,395.07,3296
195,ok,2016-02-29,391.1,434.55,391.1,434.55,5852
196,ok,2016-03-01,457.37,477.91,448.04,458.91,7063
197,ok,2016-03-02,467.64,480.71,452.71,461.71,4642
198,ok,2016-03-03,466.71,471.38,443.37,447.53,6566
199,ok,2016-03-07,459.24,459.24,421.81,433.29,13481
200,ok,2016-03-08,448.04,448.04,408.84,413.64,12156
201,ok,2016-03-09,414.86,481.64,413.97,463.63,31347
202,ok,2016-03-10,464.84,476.04,448.97,450.47,8185
203,ok,2016-03-13,448.97,459.15,429.37,433.76,9946
204,ok,2016-03-14,429.37,453.64,429.37,440.43,15172
205,ok,2016-03-15,429.51,447.01,429.37,436.09,2491
206,ok,2016-03-16,450.7,496.58,441.51,473.43,35914
207,ok,2016-03-17,480.71,485.38,457.84,471.19,6308
208,ok,2016-03-20,476.04,479.78,465.77,471.05,5887
