,s,t,o,h,l,c,v
0,ok,2009-12-13,164.85,166.5,150.0,160.85,22190
1,ok,2009-12-14,170.0,191.2,168.0,183.15,634664
2,ok,2009-12-15,184.5,188.7,177.35,181.85,160901
3,ok,2009-12-16,182.0,191.9,180.0,188.15,130306
4,ok,2009-12-17,189.9,194.0,180.8,187.95,93692
5,ok,2009-12-20,187.95,191.7,181.0,183.1,24887
6,ok,2009-12-21,183.25,185.05,181.1,183.4,8955
7,ok,2009-12-22,184.9,186.9,180.1,182.2,12282
8,ok,2009-12-23,181.2,189.5,181.2,186.05,28273
9,ok,2009-12-28,194.0,200.0,186.1,191.55,57573
10,ok,2009-12-29,195.0,196.0,190.0,191.35,7114
11,ok,2009-12-30,192.0,198.95,188.0,189.0,9165
12,ok,2010-01-03,189.0,195.6,188.05,189.9,16728
13,ok,2010-01-04,192.0,193.9,187.65,190.7,15074
14,ok,2010-01-05,191.0,192.0,188.5,190.65,3617
15,ok,2010-01-06,188.0,193.75,187.15,188.75,6383
16,ok,2010-01-07,189.95,190.0,185.0,185.4,6999
17,ok,2010-01-10,185.05,197.65,183.5,193.2,28788
18,ok,2010-01-11,194.95,195.0,186.1,188.7,7622
19,ok,2010-01-12,194.0,194.0,187.3,192.45,5567
20,ok,2010-01-13,195.0,195.0,190.4,191.45,2545
21,ok,2010-01-14,193.0,195.0,190.0,190.6,9026
22,ok,2010-01-17,193.5,204.0,192.2,201.4,35552
23,ok,2010-01-18,205.0,209.6,198.0,201.45,14796
24,ok,2010-01-19,207.9,215.0,202.0,206.95,23067
25,ok,2010-01-20,205.35,208.9,195.0,198.15,8848
26,ok,2010-01-21,187.0,204.1,185.2,200.7,16696
27,ok,2010-01-24,200.7,200.7,190.0,190.3,9677
28,ok,2010-01-26,190.0,193.0,182.2,185.0,10898
29,ok,2010-01-27,187.0,189.9,183.4,185.35,1534
30,ok,2010-01-28,180.0,188.0,180.0,186.75,4118
31,ok,2010-01-31,180.5,198.0,180.5,192.55,7459
32,ok,2010-02-01,200.0,200.0,192.0,192.15,7919
33,ok,2010-02-02,194.05,194.05,190.0,190.0,3871
34,ok,2010-02-03,189.95,189.95,180.2,183.2,6625
35,ok,2010-02-04,180.0,195.0,175.25,190.45,15233
36,ok,2010-02-05,194.5,194.5,190.0,192.05,272
37,ok,2010-02-07,191.95,192.8,187.0,189.85,717
38,ok,2010-02-08,187.05,193.0,186.15,190.75,4345
39,ok,2010-02-09,190.5,212.0,189.25,191.2,226509
40,ok,2010-02-10,196.8,200.15,193.1,197.0,34580
41,ok,2010-02-14,201.0,201.0,189.0,193.25,10042
42,ok,2010-02-15,192.0,195.8,185.0,192.1,11188
43,ok,2010-02-16,196.9,196.9,186.0,187.85,11191
44,ok,2010-02-17,180.0,191.0,180.0,187.0,5653
45,ok,2010-02-18,189.85,189.85,179.0,180.75,18523
46,ok,2010-02-21,183.0,184.7,180.0,180.2,6853
47,ok,2010-02-22,180.0,184.0,180.0,180.35,1906
48,ok,2010-02-23,184.0,184.0,175.15,177.15,7909
49,ok,2010-02-24,180.95,180.95,171.5,174.15,6433
50,ok,2010-02-25,172.0,177.95,169.0,175.05,3442
51,ok,2010-03-01,179.0,187.0,176.05,184.15,7144
52,ok,2010-03-02,185.0,187.0,180.1,180.4,13495
53,ok,2010-03-03,180.1,182.7,177.1,178.9,2279
54,ok,2010-03-04,179.0,190.0,179.0,183.3,15753
55,ok,2010-03-07,184.8,187.9,179.85,183.9,3603
56,ok,2010-03-08,180.0,191.0,179.45,186.15,9406
57,ok,2010-03-09,186.3,188.0,182.75,185.1,3083
58,ok,2010-03-10,185.1,185.1,181.5,182.5,979
59,ok,2010-03-11,182.55,193.9,180.0,181.85,40953
60,ok,2010-03-14,182.1,184.8,174.1,175.0,215164
61,ok,2010-03-15,175.9,182.95,175.9,181.1,4759
62,ok,2010-03-16,180.0,182.85,165.6,178.0,4419
63,ok,2010-03-17,184.0,184.0,175.25,177.05,3089
64,ok,2010-03-18,182.35,182.35,175.3,177.2,3882
65,ok,2010-03-21,178.9,184.0,176.0,179.8,206820
66,ok,2010-03-22,184.0,187.0,176.05,184.3,13088
67,ok,2010-03-24,184.0,185.65,180.3,181.25,6558
68,ok,2010-03-25,185.25,200.1,183.0,187.95,45484
69,ok,2010-03-28,191.95,193.95,185.0,185.8,5635
70,ok,2010-03-29,186.5,188.8,182.0,183.3,4474
71,ok,2010-03-30,183.3,192.75,181.35,182.8,17931
72,ok,2010-03-31,185.4,189.65,179.05,180.55,10196
73,ok,2010-04-04,184.9,212.0,181.1,204.35,115445
74,ok,2010-04-05,208.0,219.65,207.2,213.6,86946
75,ok,2010-04-06,213.5,217.0,208.0,210.1,13745
76,ok,2010-04-07,202.2,243.5,202.2,236.6,162160
77,ok,2010-04-08,234.0,241.0,226.25,230.1,32729
78,ok,2010-04-11,231.0,234.5,216.1,219.8,21721
79,ok,2010-04-12,224.75,228.8,216.5,225.8,15710
80,ok,2010-04-14,220.25,236.5,218.0,220.75,19395
81,ok,2010-04-15,224.0,225.0,218.5,221.6,4261
82,ok,2010-04-18,220.85,220.85,211.05,217.1,6453
83,ok,2010-04-19,221.0,224.9,215.0,219.7,11247
84,ok,2010-04-20,228.8,228.8,215.0,216.25,10615
85,ok,2010-04-21,218.75,221.0,212.25,214.6,15056
86,ok,2010-04-22,218.7,218.7,208.25,210.85,10267
87,ok,2010-04-25,225.0,225.0,212.0,212.35,11025
