,s,t,o,h,l,c,v
0,ok,2000-01-02,6.08,6.1,5.85,6.1,477060
1,ok,2000-01-03,6.15,6.5,5.76,6.39,724380
2,ok,2000-01-04,6.0,6.4,5.9,6.07,1593400
3,ok,2000-01-05,6.2,6.55,6.15,6.55,2446180
4,ok,2000-01-06,6.55,7.08,6.55,7.01,3881000
5,ok,2000-01-09,7.1,7.5,6.76,6.89,3515280
6,ok,2000-01-10,6.5,7.1,6.41,6.59,2099440
7,ok,2000-01-11,6.75,6.75,6.06,6.07,1551440
8,ok,2000-01-12,6.25,6.35,6.05,6.17,956960
9,ok,2000-01-13,6.28,6.66,6.28,6.66,1872860
10,ok,2000-01-16,6.75,7.2,6.75,7.14,5336240
11,ok,2000-01-17,7.2,7.2,6.7,7.02,1294900
12,ok,2000-01-18,7.1,7.1,6.6,6.65,1697380
13,ok,2000-01-19,6.75,6.75,6.46,6.51,1248500
14,ok,2000-01-20,6.6,6.84,6.56,6.71,2135620
15,ok,2000-01-23,6.78,6.95,6.6,6.82,1592500
16,ok,2000-01-24,6.75,7.1,6.33,6.57,3705280
17,ok,2000-01-26,6.99,7.1,6.35,6.39,2427920
18,ok,2000-01-27,6.5,6.5,6.05,6.12,1407100
19,ok,2000-01-30,6.15,6.15,5.7,6.05,1968700
20,ok,2000-01-31,6.15,6.28,6.0,6.03,1859880
21,ok,2000-02-01,6.3,6.3,5.71,5.82,2525820
22,ok,2000-02-02,5.75,5.94,5.35,5.39,4677580
23,ok,2000-02-03,5.43,5.62,5.35,5.5,1932600
24,ok,2000-02-06,5.5,5.55,5.16,5.22,2576740
25,ok,2000-02-07,5.2,5.25,4.97,5.04,2752780
26,ok,2000-02-08,5.33,5.45,5.2,5.25,2816380
27,ok,2000-02-09,5.25,5.35,5.24,5.28,665500
28,ok,2000-02-10,5.3,5.3,4.86,4.96,1836240
29,ok,2000-02-13,4.93,4.95,4.57,4.57,1416900
30,ok,2000-02-14,4.57,4.57,4.2,4.2,2554380
31,ok,2000-02-15,4.25,4.3,3.87,3.87,3816200
32,ok,2000-02-16,4.13,4.18,3.65,4.18,15914000
33,ok,2000-02-17,4.51,4.51,4.36,4.51,2352960
34,ok,2000-02-20,4.87,4.87,4.2,4.78,11381720
35,ok,2000-02-21,5.05,5.12,4.51,5.0,5165920
36,ok,2000-02-22,5.18,5.4,5.1,5.35,5873060
37,ok,2000-02-23,5.4,5.48,4.95,5.08,1284780
38,ok,2000-02-24,5.1,5.1,4.73,4.79,1229020
39,ok,2000-02-27,4.75,4.9,4.41,4.49,2180960
40,ok,2000-02-28,4.53,4.64,4.14,4.14,5409240
41,ok,2000-02-29,4.21,4.3,4.0,4.03,3575600
42,ok,2000-03-01,3.95,4.09,3.71,3.73,3092500
43,ok,2000-03-02,3.51,3.55,3.43,3.43,2114040
44,ok,2000-03-05,3.43,3.7,3.16,3.17,4050840
45,ok,2000-03-06,3.28,3.28,2.92,2.98,2817020
46,ok,2000-03-07,3.2,3.2,3.03,3.08,1484540
47,ok,2000-03-08,3.25,3.25,3.0,3.09,3170580
48,ok,2000-03-09,3.1,3.18,2.96,3.04,1837820
49,ok,2000-03-12,2.93,3.08,2.85,2.93,980980
50,ok,2000-03-13,2.95,3.12,2.8,2.99,3821580
51,ok,2000-03-14,3.05,3.22,2.95,3.13,3778380
52,ok,2000-03-15,2.92,3.38,2.92,3.31,3462880
53,ok,2000-03-20,3.5,3.57,3.3,3.57,1763700
54,ok,2000-03-21,3.8,3.86,3.73,3.79,3226180
55,ok,2000-03-22,3.7,3.94,3.55,3.63,2083640
56,ok,2000-03-23,3.75,3.75,3.43,3.6,861820
57,ok,2000-03-26,3.46,3.7,3.45,3.49,1188560
