,s,t,o,h,l,c,v
0,ok,2000-01-02,112.0,113.0,109.85,111.75,2850
1,ok,2000-01-03,116.0,116.0,110.0,112.25,4350
2,ok,2000-01-04,107.0,112.95,105.0,107.05,15550
3,ok,2000-01-05,106.5,114.0,106.5,110.05,5800
4,ok,2000-01-06,110.0,112.95,109.0,111.15,1850
5,ok,2000-01-09,106.15,111.0,106.15,110.05,4450
6,ok,2000-01-10,111.0,111.0,108.0,109.7,8350
7,ok,2000-01-11,112.0,113.9,109.05,109.85,1450
8,ok,2000-01-12,110.25,111.5,110.0,111.25,3200
9,ok,2000-01-13,110.0,110.95,109.0,110.9,2500
10,ok,2000-01-16,109.1,111.9,109.0,110.05,3800
11,ok,2000-01-17,108.25,112.0,108.05,108.7,3650
12,ok,2000-01-18,112.95,112.95,108.0,109.1,2850
13,ok,2000-01-19,107.0,109.0,105.0,107.45,1150
14,ok,2000-01-20,110.0,110.0,107.5,109.2,2250
15,ok,2000-01-23,107.15,109.8,105.0,109.0,5650
16,ok,2000-01-24,105.1,109.95,105.0,108.45,4050
17,ok,2000-01-26,105.1,111.0,105.1,107.1,2300
18,ok,2000-01-27,107.5,108.0,106.0,106.6,1350
19,ok,2000-01-30,105.1,110.0,104.0,108.5,8000
20,ok,2000-01-31,106.0,108.0,105.0,105.25,1500
21,ok,2000-02-01,106.0,109.0,105.0,105.95,2700
22,ok,2000-02-02,106.0,107.4,105.0,106.05,1850
23,ok,2000-02-03,106.0,106.5,105.65,106.25,2350
24,ok,2000-02-06,105.0,105.0,100.0,101.9,7200
25,ok,2000-02-07,100.05,104.0,95.0,103.25,9500
26,ok,2000-02-08,105.0,105.0,100.0,102.2,16000
27,ok,2000-02-09,102.0,103.0,98.05,101.55,2800
28,ok,2000-02-10,102.9,103.0,97.1,97.95,6950
29,ok,2000-02-13,101.5,101.5,93.05,97.9,7650
30,ok,2000-02-14,93.25,96.95,93.25,94.9,3050
31,ok,2000-02-15,95.5,96.0,93.5,93.85,3700
32,ok,2000-02-16,95.0,98.0,95.0,95.85,5500
33,ok,2000-02-17,92.2,96.0,92.2,95.5,3350
34,ok,2000-02-20,96.0,96.0,93.05,94.0,1500
35,ok,2000-02-21,91.0,94.45,90.0,92.0,7000
36,ok,2000-02-22,93.1,95.0,92.5,92.75,1050
37,ok,2000-02-23,97.0,98.0,92.25,98.0,800
38,ok,2000-02-24,98.7,98.9,96.05,96.2,1150
39,ok,2000-02-27,96.5,102.0,92.5,100.25,1350
40,ok,2000-02-28,103.45,108.0,100.75,102.8,5050
41,ok,2000-02-29,106.0,106.0,101.15,102.3,1200
42,ok,2000-03-01,98.5,98.5,95.0,96.5,1350
43,ok,2000-03-02,89.0,94.0,88.8,91.0,850
44,ok,2000-03-05,85.0,90.0,84.7,89.95,1700
45,ok,2000-03-06,89.5,91.0,86.25,88.3,5000
46,ok,2000-03-07,87.0,90.0,87.0,89.95,950
47,ok,2000-03-08,88.0,92.0,88.0,90.05,900
48,ok,2000-03-09,90.0,93.75,90.0,91.9,1950
49,ok,2000-03-12,91.3,96.9,91.3,96.9,3200
50,ok,2000-03-13,90.1,93.95,89.25,90.0,3700
51,ok,2000-03-14,96.3,97.2,96.3,97.2,650
52,ok,2000-03-15,103.9,103.9,97.55,99.0,1160
53,ok,2000-03-20,94.3,96.85,91.1,93.1,4055
54,ok,2000-03-21,96.9,96.9,95.5,96.9,374
55,ok,2000-03-22,95.5,98.0,95.5,96.0,850
56,ok,2000-03-23,95.0,98.4,95.0,97.75,844
57,ok,2000-03-26,99.0,99.0,94.5,98.35,1610
58,ok,2000-03-27,105.5,105.5,95.1,95.15,469
59,ok,2000-03-28,98.15,101.5,95.0,101.5,1246
60,ok,2000-03-29,100.0,101.75,97.65,101.75,650
61,ok,2000-03-30,98.85,107.8,98.85,106.05,695
62,ok,2000-04-02,105.0,105.0,102.7,102.95,350
63,ok,2000-04-03,101.0,102.0,96.0,97.55,1581
64,ok,2000-04-04,98.5,101.95,98.5,99.1,310
65,ok,2000-04-05,104.5,104.5,97.5,97.5,255
66,ok,2000-04-06,100.0,100.0,99.0,99.2,90
67,ok,2000-04-09,100.0,102.6,93.1,100.0,386
68,ok,2000-04-11,101.9,102.9,101.9,101.95,259
69,ok,2000-04-12,94.3,101.0,93.8,100.0,1030
70,ok,2000-04-16,99.0,99.0,93.05,94.3,540
71,ok,2000-04-17,94.0,98.0,91.1,92.35,1263
72,ok,2000-04-18,96.0,98.5,96.0,98.5,265
73,ok,2000-04-19,92.0,99.5,92.0,98.9,360
74,ok,2000-04-23,94.0,96.8,94.0,95.0,412
75,ok,2000-04-24,92.0,97.5,87.5,87.55,1375
76,ok,2000-04-25,83.15,92.0,83.15,87.65,236
77,ok,2000-04-26,85.0,88.9,85.0,87.0,71
78,ok,2000-04-27,90.0,90.0,87.5,89.9,238
79,ok,2000-05-01,84.0,90.0,83.0,83.0,2105
80,ok,2000-05-02,77.15,84.9,77.15,84.8,300
81,ok,2000-05-03,91.5,91.5,86.05,87.8,790
82,ok,2000-05-04,91.0,92.5,86.1,86.1,1355
83,ok,2000-05-07,88.1,92.7,80.1,88.75,251
84,ok,2000-05-08,82.0,88.75,82.0,87.95,450
85,ok,2000-05-09,94.45,94.5,86.0,87.0,210
86,ok,2000-05-10,87.0,87.9,85.5,86.35,331
87,ok,2000-05-11,90.0,90.0,88.0,89.5,250
88,ok,2000-05-14,85.05,86.9,83.4,83.5,146
89,ok,2000-05-15,84.0,90.0,83.8,89.0,1812
90,ok,2000-05-16,87.0,88.05,85.6,86.5,110
91,ok,2000-05-17,84.0,84.5,83.5,84.5,42
92,ok,2000-05-18,85.0,89.9,84.0,85.5,1221
93,ok,2000-05-21,82.5,84.0,81.75,84.0,267
94,ok,2000-05-22,85.0,88.0,83.1,86.45,447
95,ok,2000-05-23,86.0,91.65,83.65,89.9,350
96,ok,2000-05-24,93.5,93.5,90.0,90.85,1155
97,ok,2000-05-25,94.9,94.9,87.15,91.1,300
98,ok,2000-05-28,90.0,92.0,89.3,89.3,648
99,ok,2000-05-29,91.0,91.0,86.05,88.25,1924
100,ok,2000-05-30,92.0,93.0,85.0,86.5,3403
101,ok,2000-05-31,92.0,92.5,90.1,91.75,2196
102,ok,2000-06-01,93.0,95.0,91.55,92.65,944
103,ok,2000-06-04,87.05,93.4,87.05,90.75,505
104,ok,2000-06-05,91.0,93.0,90.0,92.8,2574
105,ok,2000-06-06,93.0,93.0,90.8,91.4,1800
106,ok,2000-06-07,95.0,95.0,91.0,92.2,2641
107,ok,2000-06-08,91.0,92.0,91.0,91.85,5010
108,ok,2000-06-11,90.5,91.0,89.8,89.95,9931
109,ok,2000-06-12,90.0,91.0,89.9,90.7,10795
110,ok,2000-06-13,89.0,89.9,86.5,87.1,5678
111,ok,2000-06-14,85.4,87.75,85.35,86.75,2054
112,ok,2000-06-15,88.75,88.75,85.0,85.2,3536
113,ok,2000-06-18,85.8,86.0,83.0,84.95,5328
114,ok,2000-06-19,84.9,85.0,83.0,85.0,4620
115,ok,2000-06-20,85.0,85.0,83.0,84.9,2650
116,ok,2000-06-21,84.45,84.45,82.3,83.0,2230
