,s,t,o,h,l,c,v
0,ok,2009-11-24,83.0,90.7,83.0,84.0,13242907
1,ok,2009-11-25,84.0,87.2,82.5,83.05,3703145
2,ok,2009-11-26,82.5,84.0,82.0,82.55,896638
3,ok,2009-11-29,83.0,86.1,83.0,84.0,1174907
4,ok,2009-11-30,84.5,85.35,83.05,83.45,663636
5,ok,2009-12-01,84.25,93.8,83.25,89.65,4680247
6,ok,2009-12-02,90.9,95.5,90.05,90.75,3690873
7,ok,2009-12-03,90.4,92.1,86.25,86.9,1074270
8,ok,2009-12-06,87.8,92.25,87.0,87.85,1172633
9,ok,2009-12-07,88.45,93.5,88.45,91.85,2156263
10,ok,2009-12-08,91.45,96.25,91.2,93.5,2346418
11,ok,2009-12-09,94.35,95.4,92.1,92.6,1063530
12,ok,2009-12-10,94.1,94.4,90.65,91.1,866238
13,ok,2009-12-13,91.15,91.95,87.1,87.7,543563
14,ok,2009-12-14,89.35,91.0,85.7,86.15,815861
15,ok,2009-12-15,85.6,86.9,84.5,85.95,478618
16,ok,2009-12-16,86.5,86.7,83.5,84.55,238415
17,ok,2009-12-17,83.2,86.25,82.0,82.25,390097
18,ok,2009-12-20,83.0,84.1,82.0,82.2,361884
19,ok,2009-12-21,83.35,83.35,82.1,82.6,192501
20,ok,2009-12-22,83.35,83.9,82.1,82.55,212052
21,ok,2009-12-23,83.2,83.2,82.0,82.05,221397
22,ok,2009-12-28,82.1,83.95,82.0,82.2,249666
23,ok,2009-12-29,82.9,86.45,82.8,84.2,467406
24,ok,2009-12-30,84.9,88.0,83.5,84.0,555510
25,ok,2010-01-03,84.75,87.0,83.6,84.1,193481
26,ok,2010-01-04,85.0,90.5,84.2,87.4,1291883
27,ok,2010-01-05,89.8,95.0,86.15,87.1,784017
28,ok,2010-01-06,88.0,100.0,85.9,86.4,487810
29,ok,2010-01-07,87.0,87.35,84.6,85.2,313755
30,ok,2010-01-10,86.8,87.85,84.3,85.45,254418
31,ok,2010-01-11,86.55,86.6,83.35,83.95,251181
32,ok,2010-01-12,83.5,85.3,83.0,83.7,116693
33,ok,2010-01-13,83.75,88.3,83.75,86.55,942387
34,ok,2010-01-14,87.7,88.25,85.05,85.65,192809
35,ok,2010-01-17,83.5,86.2,83.5,84.15,109712
36,ok,2010-01-18,84.25,85.5,82.5,83.0,143555
37,ok,2010-01-19,84.0,85.3,82.2,82.7,137617
38,ok,2010-01-20,82.1,83.7,82.0,82.1,176261
39,ok,2010-01-21,81.0,81.55,76.05,77.65,139787
40,ok,2010-01-24,78.5,81.5,75.0,78.0,222889
41,ok,2010-01-26,79.5,79.5,72.0,73.2,207557
42,ok,2010-01-27,74.0,76.0,68.5,69.85,138080
43,ok,2010-01-28,71.0,71.75,67.25,68.8,199543
44,ok,2010-01-31,65.5,71.5,65.5,69.7,194171
45,ok,2010-02-01,70.45,83.65,70.45,83.65,2289303
46,ok,2010-02-02,86.1,86.95,66.95,67.4,8149478
47,ok,2010-02-03,68.0,72.3,65.0,67.65,4076616
48,ok,2010-02-04,65.0,66.0,61.15,63.6,826823
49,ok,2010-02-05,64.5,64.9,63.9,64.15,147992
50,ok,2010-02-07,64.45,65.7,62.25,62.65,482964
51,ok,2010-02-08,62.5,65.8,62.2,62.95,731004
52,ok,2010-02-09,63.75,65.0,61.0,61.15,475728
53,ok,2010-02-10,62.15,62.15,59.5,59.75,549499
54,ok,2010-02-14,60.25,61.2,57.4,57.85,436867
55,ok,2010-02-15,58.0,58.5,54.35,54.95,489409
56,ok,2010-02-16,55.0,59.7,54.5,56.8,965962
57,ok,2010-02-17,57.45,58.5,55.2,55.7,343332
58,ok,2010-02-18,54.75,55.75,53.25,53.5,336342
59,ok,2010-02-21,55.4,55.4,51.35,51.9,293062
60,ok,2010-02-22,50.0,51.75,48.1,49.25,409137
61,ok,2010-02-23,48.35,49.5,47.4,47.75,405908
62,ok,2010-02-24,48.0,49.0,46.5,47.1,304014
