,s,t,o,h,l,c,v
0,ok,2000-01-02,118.0,123.95,118.0,123.95,3000
1,ok,2000-01-03,125.0,126.0,118.0,123.9,12600
2,ok,2000-01-04,118.0,123.25,117.75,118.95,5200
3,ok,2000-01-05,117.75,122.3,117.75,121.35,4100
4,ok,2000-01-06,125.0,131.0,123.2,126.95,8700
5,ok,2000-01-09,130.0,137.15,128.0,137.15,7800
6,ok,2000-01-10,145.0,145.5,130.0,133.25,20800
7,ok,2000-01-11,137.5,140.5,133.5,134.55,7200
8,ok,2000-01-12,139.9,140.0,124.8,124.8,8500
9,ok,2000-01-13,123.0,129.9,123.0,128.25,2300
10,ok,2000-01-16,130.0,130.0,121.0,122.1,5000
11,ok,2000-01-17,116.5,120.0,112.5,119.55,4900
12,ok,2000-01-18,124.0,126.4,122.0,122.4,7900
13,ok,2000-01-19,115.55,125.4,115.55,120.0,5100
14,ok,2000-01-20,116.0,123.0,116.0,120.55,5600
15,ok,2000-01-23,125.85,125.9,116.25,117.2,7400
16,ok,2000-01-24,115.55,120.0,115.55,118.25,6100
17,ok,2000-01-26,119.9,120.0,112.05,115.0,12900
18,ok,2000-01-27,113.4,115.0,109.9,110.05,6100
19,ok,2000-01-30,111.1,112.95,108.0,108.0,3200
20,ok,2000-01-31,108.0,109.0,99.4,102.5,8300
21,ok,2000-02-01,107.5,107.5,98.0,104.5,8600
22,ok,2000-02-02,106.0,112.5,102.25,104.85,10500
23,ok,2000-02-03,104.0,105.75,99.1,99.95,11800
24,ok,2000-02-06,103.8,103.8,95.0,98.65,7000
25,ok,2000-02-07,97.5,100.0,95.1,96.4,9200
26,ok,2000-02-08,99.9,103.95,99.9,100.5,2600
27,ok,2000-02-09,103.75,103.75,98.0,99.8,3200
28,ok,2000-02-10,101.0,103.0,98.2,101.65,4300
29,ok,2000-02-13,101.9,102.0,94.0,94.55,6700
30,ok,2000-02-14,94.15,94.75,87.3,91.9,6000
31,ok,2000-02-15,87.3,94.95,84.65,85.05,9500
32,ok,2000-02-16,84.0,91.85,82.1,88.55,10100
33,ok,2000-02-17,91.5,92.8,85.55,89.45,6600
34,ok,2000-02-20,90.0,90.95,86.05,86.4,9800
35,ok,2000-02-21,85.85,90.0,82.6,84.15,10400
36,ok,2000-02-22,89.85,90.0,85.0,85.4,3500
37,ok,2000-02-23,84.0,84.0,82.25,83.85,2400
38,ok,2000-02-24,86.5,86.9,82.5,83.15,2000
39,ok,2000-02-27,85.0,86.0,82.25,84.35,5000
40,ok,2000-02-28,86.0,91.1,80.5,82.1,10800
41,ok,2000-02-29,87.0,87.0,77.0,78.15,14200
42,ok,2000-03-01,73.0,79.7,71.9,73.8,13000
43,ok,2000-03-02,78.4,78.4,68.0,69.5,7700
44,ok,2000-03-05,70.0,71.0,64.3,64.7,9100
45,ok,2000-03-06,65.0,65.0,61.5,63.65,7700
46,ok,2000-03-07,65.0,66.0,61.35,63.0,8400
47,ok,2000-03-08,64.0,64.0,60.1,62.5,5800
48,ok,2000-03-09,60.0,67.0,59.5,62.65,7600
49,ok,2000-03-12,63.0,63.0,60.05,62.75,6500
50,ok,2000-03-13,60.2,62.0,59.05,61.2,11700
51,ok,2000-03-14,63.0,66.1,63.0,66.1,3300
52,ok,2000-03-15,70.0,71.4,66.1,71.4,7300
53,ok,2000-03-20,67.25,75.75,67.25,69.45,12600
54,ok,2000-03-21,73.45,73.45,70.0,72.05,7300
55,ok,2000-03-22,68.5,71.5,68.0,70.35,4700
56,ok,2000-03-23,72.35,72.35,66.05,67.85,2900
57,ok,2000-03-26,69.0,69.0,66.1,68.9,1900
58,ok,2000-03-27,68.0,68.95,65.0,65.6,3300
59,ok,2000-03-28,68.7,68.8,67.0,67.0,1300
60,ok,2000-03-29,65.05,66.9,64.0,66.5,1300
61,ok,2000-03-30,65.0,67.0,65.0,67.0,5100
62,ok,2000-04-02,71.5,72.35,69.5,72.35,6600
63,ok,2000-04-03,67.0,71.0,66.6,66.6,5300
64,ok,2000-04-04,66.2,68.5,66.0,68.0,1600
65,ok,2000-04-05,68.0,68.0,63.0,65.0,2900
66,ok,2000-04-06,67.9,67.9,65.5,66.0,1100
67,ok,2000-04-09,63.15,65.0,63.15,64.55,2800
68,ok,2000-04-11,61.2,64.0,61.2,63.5,2100
69,ok,2000-04-12,63.0,64.5,60.0,62.2,5500
70,ok,2000-04-16,62.0,62.0,59.0,59.85,3000
71,ok,2000-04-17,57.05,60.0,56.5,58.95,2600
72,ok,2000-04-18,62.5,63.6,59.5,60.0,5200
73,ok,2000-04-19,59.95,62.0,56.05,62.0,5000
74,ok,2000-04-23,62.25,62.5,57.05,57.05,2900
75,ok,2000-04-24,53.1,56.0,52.5,53.6,5400
76,ok,2000-04-25,53.0,57.0,53.0,56.85,3900
77,ok,2000-04-26,54.0,55.25,52.5,54.45,3400
78,ok,2000-04-27,53.0,54.0,51.0,53.0,4800
79,ok,2000-05-01,52.0,52.95,48.9,49.0,5500
80,ok,2000-05-02,46.05,52.0,46.0,51.75,3000
81,ok,2000-05-03,51.4,51.5,50.0,50.55,5100
82,ok,2000-05-04,51.5,51.5,50.1,50.25,2900
83,ok,2000-05-07,48.6,50.95,48.6,48.6,2600
84,ok,2000-05-08,50.0,50.0,47.0,47.4,2100
85,ok,2000-05-09,48.5,50.0,48.5,49.0,3200
86,ok,2000-05-10,47.05,50.9,47.05,49.95,1600
87,ok,2000-05-11,50.0,50.0,48.5,48.5,2500
88,ok,2000-05-14,49.4,50.9,47.6,49.15,700
89,ok,2000-05-15,49.0,49.0,46.05,47.3,2300
90,ok,2000-05-16,48.0,48.0,47.05,48.0,800
91,ok,2000-05-17,48.5,48.5,46.0,46.5,900
92,ok,2000-05-18,48.25,49.0,47.1,48.75,1900
93,ok,2000-05-21,47.25,49.5,47.25,49.25,1400
94,ok,2000-05-22,50.0,53.2,50.0,53.2,5300
95,ok,2000-05-23,49.9,57.5,49.05,57.5,11500
96,ok,2000-05-24,61.9,62.1,61.7,62.0,11900
97,ok,2000-05-25,64.0,66.95,57.1,60.5,22600
98,ok,2000-05-28,59.0,64.0,59.0,60.3,6000
99,ok,2000-05-29,62.85,65.0,60.05,63.65,13500
100,ok,2000-05-30,68.7,68.75,65.2,66.25,5900
101,ok,2000-05-31,64.05,65.5,63.0,63.05,4500
102,ok,2000-06-01,63.0,65.0,61.55,63.5,5400
103,ok,2000-06-04,64.9,64.9,61.05,61.2,3300
104,ok,2000-06-05,60.0,61.5,59.75,61.0,2200
105,ok,2000-06-06,61.0,61.4,59.1,61.0,2400
106,ok,2000-06-07,63.9,63.9,59.0,60.25,2400
107,ok,2000-06-08,59.1,60.0,58.0,60.0,2100
