,s,t,o,h,l,c,v
0,ok,2000-01-02,90.0,94.9,86.0,86.15,10500
1,ok,2000-01-03,82.0,85.0,82.0,84.2,3950
2,ok,2000-01-04,81.0,84.0,81.0,82.0,4400
3,ok,2000-01-05,82.2,85.9,82.1,85.9,2900
4,ok,2000-01-06,85.0,86.0,82.1,84.55,7350
5,ok,2000-01-09,83.1,87.55,83.1,84.8,2900
6,ok,2000-01-10,85.0,85.0,82.25,83.8,2300
7,ok,2000-01-11,87.0,88.0,80.0,82.7,57350
8,ok,2000-01-12,80.25,80.3,80.0,80.0,1850
9,ok,2000-01-13,81.0,81.0,80.0,80.35,3800
10,ok,2000-01-16,80.15,81.6,80.05,80.95,6500
11,ok,2000-01-17,80.0,83.35,80.0,82.75,3200
12,ok,2000-01-18,82.75,86.0,82.5,85.75,4050
13,ok,2000-01-19,85.0,86.5,85.0,85.25,5700
14,ok,2000-01-20,85.0,86.9,85.0,85.95,3450
15,ok,2000-01-23,85.0,85.0,83.0,84.2,6350
16,ok,2000-01-24,84.0,90.95,84.0,90.95,12450
17,ok,2000-01-26,97.9,97.9,93.0,94.5,1500
18,ok,2000-01-27,94.0,94.35,92.15,93.2,800
19,ok,2000-01-30,90.0,93.0,90.0,91.05,450
20,ok,2000-01-31,93.0,93.0,85.0,85.0,900
21,ok,2000-02-01,89.0,89.0,85.0,85.0,500
22,ok,2000-02-02,85.0,89.9,84.0,84.5,1600
23,ok,2000-02-03,85.0,85.0,85.0,85.0,250
24,ok,2000-02-06,86.9,89.9,82.0,84.25,1950
25,ok,2000-02-07,89.0,90.0,80.5,89.9,1350
26,ok,2000-02-08,90.0,90.0,86.0,87.5,200
27,ok,2000-02-09,86.0,88.0,83.1,85.25,1000
28,ok,2000-02-10,84.9,85.0,80.0,80.0,2100
29,ok,2000-02-13,82.0,83.0,77.0,77.0,2250
30,ok,2000-02-14,75.0,75.0,73.0,73.1,200
31,ok,2000-02-15,72.0,72.0,70.0,70.0,200
32,ok,2000-02-16,70.0,71.0,70.0,71.0,400
33,ok,2000-02-17,68.0,69.0,68.0,68.9,500
34,ok,2000-02-20,68.0,68.0,64.9,64.9,1050
35,ok,2000-02-21,60.1,60.1,60.0,60.0,200
36,ok,2000-02-22,55.25,59.85,55.25,59.85,1150
37,ok,2000-02-27,55.55,57.0,55.55,56.05,350
38,ok,2000-02-28,52.0,55.9,52.0,52.4,1300
39,ok,2000-02-29,52.0,56.5,52.0,55.0,700
40,ok,2000-03-01,55.0,55.5,53.0,53.0,400
41,ok,2000-03-02,50.0,50.0,49.0,49.0,250
42,ok,2000-03-05,46.0,52.5,46.0,52.5,250
43,ok,2000-03-07,48.5,49.0,48.35,48.4,450
44,ok,2000-03-08,45.0,48.0,45.0,47.0,700
45,ok,2000-03-09,46.8,46.8,46.8,46.8,50
46,ok,2000-03-12,47.5,47.5,46.0,46.0,500
47,ok,2000-03-13,46.0,46.0,42.6,45.7,3700
48,ok,2000-03-14,45.9,46.0,45.0,45.6,300
49,ok,2000-03-15,44.85,44.85,43.0,43.0,1150
50,ok,2000-03-20,46.4,46.4,44.0,44.75,25850
