,s,t,o,h,l,c,v
0,ok,2007-01-30,230.0,287.7,230.0,257.15,5335774
1,ok,2007-01-31,255.0,265.85,246.3,250.45,1754230
2,ok,2007-02-01,254.25,300.55,245.0,300.55,5443156
3,ok,2007-02-04,305.4,346.45,303.1,325.75,6191042
4,ok,2007-02-05,325.7,390.9,323.0,390.9,5331757
5,ok,2007-02-06,400.0,430.0,400.0,430.0,2565524
6,ok,2007-02-07,460.0,463.7,387.0,405.1,3882845
7,ok,2007-02-08,418.8,439.9,408.15,415.75,3313926
8,ok,2007-02-11,421.0,457.0,377.05,385.65,2383333
9,ok,2007-02-12,388.75,418.7,359.2,390.75,2562807
10,ok,2007-02-13,385.0,394.95,371.0,375.55,1096658
11,ok,2007-02-14,381.0,413.15,381.0,412.85,1980041
12,ok,2007-02-18,420.0,439.7,418.0,422.65,1568375
13,ok,2007-02-19,424.05,429.3,384.05,395.9,1007865
14,ok,2007-02-20,402.5,425.0,396.5,420.25,2000238
15,ok,2007-02-21,425.8,428.4,398.1,403.7,1049777
16,ok,2007-02-22,398.9,398.9,363.35,363.35,580396
17,ok,2007-02-25,368.0,368.0,327.05,327.05,148735
18,ok,2007-02-26,327.05,327.05,310.7,310.7,17915
19,ok,2007-02-27,295.2,295.2,295.2,295.2,5433
20,ok,2007-02-28,280.45,280.45,280.45,280.45,6868
21,ok,2007-03-01,266.45,294.5,266.45,270.45,1014143
22,ok,2007-03-04,270.0,270.0,256.95,256.95,55662
23,ok,2007-03-05,256.0,267.8,244.1,244.1,229778
24,ok,2007-03-06,231.9,235.0,231.9,231.9,16038
25,ok,2007-03-07,217.95,225.0,217.95,218.3,103055
26,ok,2007-03-08,215.1,224.7,207.4,207.4,264730
27,ok,2007-03-11,215.9,215.9,197.05,197.05,250228
28,ok,2007-03-12,195.0,206.9,193.0,206.9,114060
29,ok,2007-03-13,202.05,217.25,197.3,217.25,230549
30,ok,2007-03-14,226.85,228.15,225.0,228.15,72091
31,ok,2007-03-15,238.0,239.6,217.3,234.85,291839
32,ok,2007-03-18,237.0,238.9,223.55,230.15,74351
33,ok,2007-03-19,234.8,236.85,225.1,227.0,93662
34,ok,2007-03-20,228.0,229.9,224.0,226.75,62712
35,ok,2007-03-21,231.4,231.4,222.0,227.35,105729
36,ok,2007-03-22,229.0,230.0,222.1,225.25,65452
37,ok,2007-03-25,225.0,228.0,220.0,224.7,51948
38,ok,2007-03-27,225.0,225.0,213.55,217.8,47456
39,ok,2007-03-28,215.0,218.0,209.15,210.35,43895
40,ok,2007-03-29,211.0,220.9,209.0,220.9,40052
41,ok,2007-04-01,219.0,222.9,209.85,209.85,82573
42,ok,2007-04-02,212.0,214.5,201.1,201.85,35173
43,ok,2007-04-03,206.0,211.95,203.0,211.95,67808
44,ok,2007-04-04,215.0,222.0,204.15,213.1,74840
45,ok,2007-04-08,218.0,223.8,214.5,223.8,81096
46,ok,2007-04-09,233.65,233.65,217.8,220.3,68286
47,ok,2007-04-10,224.0,234.7,219.0,224.85,62133
48,ok,2007-04-11,215.0,223.95,202.45,218.5,17860
49,ok,2007-04-12,223.0,231.0,220.0,224.65,72739
50,ok,2007-04-15,229.0,234.45,225.05,230.55,62463
51,ok,2007-04-16,230.9,232.0,218.7,220.35,39922
52,ok,2007-04-17,222.0,227.0,218.0,219.7,20026
53,ok,2007-04-18,219.1,228.5,212.1,218.4,31788
54,ok,2007-04-19,223.0,225.0,218.6,220.1,14849
55,ok,2007-04-22,224.0,224.0,216.2,218.75,20822
56,ok,2007-04-23,218.05,240.65,215.05,240.65,135926
57,ok,2007-04-24,247.7,260.5,243.0,248.2,182797
58,ok,2007-04-25,250.1,256.0,235.0,236.45,86368
59,ok,2007-04-26,238.0,238.0,224.8,227.15,58663
60,ok,2007-04-29,223.0,234.0,219.0,227.9,23509
61,ok,2007-05-02,233.0,233.9,224.25,225.45,38564
62,ok,2007-05-03,227.0,228.95,212.5,216.8,63423
63,ok,2007-05-06,222.0,226.0,218.55,223.4,123444
64,ok,2007-05-07,224.0,232.0,216.0,217.8,57320
65,ok,2007-05-08,219.0,219.9,215.5,216.25,20493
66,ok,2007-05-09,220.0,237.9,217.0,237.9,77568
67,ok,2007-05-10,261.7,261.7,235.1,239.0,277957
68,ok,2007-05-13,244.4,244.4,232.0,233.45,51900
69,ok,2007-05-14,230.05,237.8,225.1,226.35,42801
70,ok,2007-05-15,227.15,235.0,227.0,227.9,41365
71,ok,2007-05-16,228.1,233.0,224.1,224.95,29380
72,ok,2007-05-17,222.05,234.0,222.05,227.3,61688
73,ok,2007-05-20,231.9,246.8,230.0,236.65,127462
74,ok,2007-05-21,238.8,240.0,229.05,231.0,35869
75,ok,2007-05-22,232.0,235.0,228.1,229.7,32403
76,ok,2007-05-23,232.45,244.9,228.0,236.4,97877
77,ok,2007-05-24,230.0,239.0,230.0,234.75,47441
78,ok,2007-05-27,238.8,255.0,224.1,228.2,347781
79,ok,2007-05-28,234.5,234.5,229.9,232.6,39191
80,ok,2007-05-29,232.6,234.0,226.0,230.4,35079
81,ok,2007-05-30,234.8,234.9,228.0,229.5,16838
82,ok,2007-05-31,230.1,233.75,227.0,227.8,24914
83,ok,2007-06-03,232.5,232.5,224.65,226.15,23449
84,ok,2007-06-04,225.0,248.8,215.25,243.1,398677
85,ok,2007-06-05,247.7,247.7,238.0,240.3,131005
86,ok,2007-06-06,236.2,240.0,235.5,238.0,33032
87,ok,2007-06-07,227.0,238.5,227.0,235.3,34180
88,ok,2007-06-10,236.0,247.0,236.0,240.3,50906
89,ok,2007-06-11,240.0,240.0,227.0,230.9,49621
90,ok,2007-06-12,231.0,235.0,227.1,231.25,16320
91,ok,2007-06-13,235.45,237.9,230.05,233.2,15198
92,ok,2007-06-14,234.0,237.7,230.2,232.2,18677
93,ok,2007-06-17,234.95,234.95,226.1,227.7,10446
94,ok,2007-06-18,226.0,229.4,225.2,226.55,11660
95,ok,2007-06-19,232.0,233.85,222.1,225.4,115905
96,ok,2007-06-20,224.0,228.1,220.5,221.6,26865
97,ok,2007-06-21,219.15,224.95,219.15,220.25,7837
98,ok,2007-06-24,221.2,224.0,215.0,217.7,9659
99,ok,2007-06-25,217.0,222.5,217.0,218.5,9423
100,ok,2007-06-26,217.6,221.9,217.6,218.7,12885
101,ok,2007-06-27,219.0,222.5,214.0,214.95,9926
102,ok,2007-06-28,218.5,218.5,212.5,213.6,10664
103,ok,2007-07-01,215.0,224.5,212.55,216.15,27353
104,ok,2007-07-02,219.4,220.0,215.0,217.2,18427
105,ok,2007-07-03,217.25,219.35,212.2,215.4,16741
106,ok,2007-07-04,218.25,218.25,211.25,212.65,10551
107,ok,2007-07-05,214.6,221.0,213.0,216.7,19272
108,ok,2007-07-08,217.4,220.0,212.1,212.9,11522
109,ok,2007-07-09,215.95,216.8,210.1,211.35,12618
110,ok,2007-07-10,200.1,218.0,200.05,213.0,17372
111,ok,2007-07-11,216.45,216.45,211.25,212.3,9510
112,ok,2007-07-12,215.0,216.0,210.0,211.45,11913
113,ok,2007-07-15,211.15,213.0,207.05,208.85,13442
114,ok,2007-07-16,212.45,212.45,206.0,206.85,15757
115,ok,2007-07-17,209.0,209.0,202.5,203.35,13941
116,ok,2007-07-18,205.0,209.6,202.15,206.05,34672
117,ok,2007-07-19,207.7,211.5,197.0,198.0,49535
118,ok,2007-07-22,194.9,199.0,192.0,196.5,18583
119,ok,2007-07-23,198.0,217.0,198.0,212.35,119230
120,ok,2007-07-24,209.7,210.0,201.0,205.85,29788
121,ok,2007-07-25,209.35,209.5,204.1,205.1,12397
122,ok,2007-07-26,198.7,208.0,195.5,204.3,21486
123,ok,2007-07-29,203.0,204.9,196.5,197.8,13482
124,ok,2007-07-30,200.95,200.95,194.0,196.75,9716
125,ok,2007-07-31,190.65,198.0,190.65,193.9,8815
126,ok,2007-08-01,188.1,198.7,188.1,192.45,5620
127,ok,2007-08-02,194.0,195.0,187.75,189.1,12423
128,ok,2007-08-05,188.0,195.0,182.35,192.3,11477
129,ok,2007-08-06,196.5,199.8,192.1,193.3,10710
130,ok,2007-08-07,194.0,201.0,192.7,195.85,11490
131,ok,2007-08-08,195.0,198.9,190.1,193.7,26682
132,ok,2007-08-09,185.15,189.55,185.15,187.4,7271
133,ok,2007-08-12,187.1,189.8,184.1,186.15,12503
134,ok,2007-08-13,186.0,214.8,186.0,203.3,155082
