,s,t,o,h,l,c,v
0,ok,2007-03-08,5.35,5.35,5.05,5.3,12480
1,ok,2007-03-11,5.11,5.2,5.1,5.2,4440
2,ok,2007-03-12,5.4,5.48,5.28,5.41,5500
3,ok,2007-03-13,4.71,5.5,4.66,5.21,23140
4,ok,2007-03-14,5.5,5.5,5.33,5.33,10020
5,ok,2007-03-15,5.23,5.67,5.23,5.28,97760
6,ok,2007-03-18,5.12,5.45,5.12,5.45,2520
7,ok,2007-03-19,5.33,5.53,5.15,5.18,31440
8,ok,2007-03-20,4.75,5.24,4.75,5.12,14840
9,ok,2007-03-21,5.25,5.3,5.1,5.25,27960
10,ok,2007-03-22,5.09,5.24,5.09,5.1,9040
11,ok,2007-03-25,5.1,5.31,5.01,5.06,11580
12,ok,2007-03-27,5.1,5.1,4.88,4.99,19180
13,ok,2007-03-28,5.1,5.1,4.95,4.97,6120
14,ok,2007-03-29,5.1,5.18,4.83,5.03,12580
15,ok,2007-04-02,5.05,5.05,4.9,4.9,4740
16,ok,2007-04-03,5.05,5.05,4.66,4.92,4680
17,ok,2007-04-04,5.05,5.05,4.8,4.89,71780
18,ok,2007-04-08,5.0,5.0,4.83,4.95,22000
19,ok,2007-04-09,5.05,5.1,5.0,5.1,3500
20,ok,2007-04-10,5.0,5.14,4.63,5.07,11640
21,ok,2007-04-11,5.0,5.21,5.0,5.05,9000
22,ok,2007-04-12,5.05,5.05,5.0,5.02,500
23,ok,2007-04-15,5.0,5.3,5.0,5.23,14240
24,ok,2007-04-16,5.2,5.45,5.2,5.21,11700
25,ok,2007-04-17,5.25,5.4,5.16,5.25,2460
26,ok,2007-04-18,5.0,5.48,4.9,5.33,23360
27,ok,2007-04-19,5.33,5.71,5.33,5.54,74180
28,ok,2007-04-22,5.15,5.88,5.15,5.36,15360
29,ok,2007-04-23,5.26,5.4,5.18,5.27,9900
30,ok,2007-04-24,5.2,5.33,5.15,5.26,25000
31,ok,2007-04-25,5.11,5.26,5.11,5.11,10820
32,ok,2007-04-26,5.07,5.07,5.01,5.01,4220
33,ok,2007-04-29,5.3,5.42,5.12,5.42,39240
34,ok,2007-05-02,5.45,5.6,5.43,5.46,63640
35,ok,2007-05-03,5.31,5.4,5.25,5.38,14400
36,ok,2007-05-06,5.11,5.27,5.1,5.13,7300
37,ok,2007-05-07,5.25,5.45,5.11,5.14,30960
38,ok,2007-05-08,5.15,5.15,5.05,5.13,14200
39,ok,2007-05-09,5.4,5.4,5.06,5.06,8820
40,ok,2007-05-10,5.07,5.1,4.8,4.99,36360
41,ok,2007-05-13,5.1,5.1,4.96,5.0,16620
42,ok,2007-05-14,4.97,5.1,4.97,5.1,4200
43,ok,2007-05-15,4.91,4.93,4.91,4.92,5920
44,ok,2007-05-16,4.92,4.93,4.88,4.89,8300
45,ok,2007-05-17,4.86,5.0,4.86,5.0,9000
46,ok,2007-05-20,5.35,5.35,4.96,4.97,18420
47,ok,2007-05-21,4.91,5.09,4.91,4.98,10200
48,ok,2007-05-22,4.69,5.0,4.69,4.86,28480
49,ok,2007-05-23,4.92,4.92,4.92,4.92,1000
50,ok,2007-05-24,4.76,4.94,4.76,4.88,14500
51,ok,2007-05-27,4.8,4.91,4.8,4.86,6000
52,ok,2007-05-28,5.0,5.0,4.81,4.82,28880
53,ok,2007-05-29,4.95,4.95,4.81,4.81,10640
54,ok,2007-05-30,4.75,4.95,4.75,4.85,1660
55,ok,2007-05-31,4.85,4.85,4.75,4.75,10800
56,ok,2007-06-03,4.76,4.76,4.73,4.73,11620
57,ok,2007-06-04,4.85,4.85,4.65,4.68,4420
58,ok,2007-06-05,4.83,4.85,4.72,4.72,5060
59,ok,2007-06-06,4.72,4.72,4.66,4.67,1540
60,ok,2007-06-07,4.53,4.85,4.5,4.62,18380
61,ok,2007-06-10,4.56,4.68,4.56,4.62,15200
62,ok,2007-06-11,4.65,4.65,4.35,4.43,7600
63,ok,2007-06-12,4.58,4.65,4.5,4.58,18040
64,ok,2007-06-13,4.52,4.75,4.52,4.75,1700
65,ok,2007-06-14,4.72,4.72,4.61,4.61,8600
66,ok,2007-06-18,4.7,4.7,4.65,4.66,2380
67,ok,2007-06-19,4.51,4.64,4.37,4.51,6840
68,ok,2007-06-20,4.5,4.68,4.5,4.6,7160
69,ok,2007-06-21,4.6,4.75,4.6,4.7,2680
70,ok,2007-06-24,4.7,4.9,4.63,4.74,19780
71,ok,2007-06-25,4.8,4.8,4.68,4.8,3440
72,ok,2007-06-26,4.87,4.87,4.62,4.78,9200
73,ok,2007-06-27,4.79,4.8,4.65,4.73,22320
74,ok,2007-06-28,4.58,4.8,4.58,4.75,11280
75,ok,2007-07-01,4.9,5.2,4.7,5.05,108620
76,ok,2007-07-02,5.5,5.5,4.9,5.06,21680
77,ok,2007-07-03,5.45,5.5,4.77,4.9,30540
78,ok,2007-07-04,5.05,5.09,4.85,5.0,12240
79,ok,2007-07-05,5.1,5.1,4.97,5.1,26500
80,ok,2007-07-08,5.05,5.05,4.87,5.0,39880
81,ok,2007-07-09,5.07,5.07,4.92,4.99,13520
82,ok,2007-07-10,5.09,5.09,4.96,4.96,12640
83,ok,2007-07-11,5.0,5.12,4.94,5.12,16000
84,ok,2007-07-12,5.02,5.15,5.0,5.01,39700
85,ok,2007-07-15,5.0,5.15,4.82,5.0,20300
86,ok,2007-07-16,5.05,5.05,5.0,5.01,6220
87,ok,2007-07-17,5.05,5.1,4.95,4.96,25680
88,ok,2007-07-18,5.08,5.3,5.08,5.21,71480
89,ok,2007-07-19,5.2,5.25,5.09,5.23,20100
90,ok,2007-07-22,4.96,5.25,4.96,4.98,24040
91,ok,2007-07-23,4.95,5.13,4.12,4.52,47360
92,ok,2007-07-24,4.75,5.0,4.75,4.86,24140
93,ok,2007-07-25,4.78,4.94,4.76,4.84,20080
94,ok,2007-07-26,4.42,4.94,4.42,4.72,73100
95,ok,2007-07-29,4.89,4.89,4.57,4.61,42320
96,ok,2007-07-30,4.74,4.74,4.56,4.68,43440
97,ok,2007-07-31,4.63,4.85,4.41,4.56,41560
98,ok,2007-08-01,4.7,4.7,4.54,4.67,40000
99,ok,2007-08-02,4.51,4.51,4.41,4.44,7720
100,ok,2007-08-05,4.41,4.7,4.25,4.37,45300
101,ok,2007-08-06,4.6,4.6,4.55,4.55,2900
102,ok,2007-08-07,4.6,4.6,4.45,4.55,20140
103,ok,2007-08-08,4.67,4.67,4.5,4.5,40540
104,ok,2007-08-09,4.5,4.58,4.4,4.5,9300
105,ok,2007-08-12,4.5,4.5,4.48,4.5,9900
106,ok,2007-08-13,4.52,4.52,4.37,4.45,28020
107,ok,2007-08-15,4.3,4.6,4.3,4.55,53080
108,ok,2007-08-16,4.4,4.52,4.31,4.44,20440
109,ok,2007-08-19,4.04,4.85,4.04,4.55,1760
110,ok,2007-08-20,4.7,4.7,4.1,4.33,7740
111,ok,2007-08-21,4.35,4.45,4.27,4.38,8000
112,ok,2007-08-22,4.55,4.63,4.26,4.49,57260
113,ok,2007-08-23,4.28,4.49,4.28,4.39,3500
114,ok,2007-08-26,4.26,4.45,4.26,4.39,6260
115,ok,2007-08-27,4.28,4.43,4.28,4.4,16000
116,ok,2007-08-28,4.2,4.35,4.2,4.31,48680
117,ok,2007-08-29,4.3,4.75,4.3,4.5,18300
118,ok,2007-08-30,4.5,4.5,4.3,4.36,36680
119,ok,2007-09-02,4.35,4.5,4.28,4.49,12280
120,ok,2007-09-03,4.34,4.49,4.33,4.35,7100
121,ok,2007-09-04,4.39,4.49,4.38,4.43,48000
122,ok,2007-09-05,4.37,4.58,4.37,4.42,18700
123,ok,2007-09-06,4.6,5.3,4.56,4.92,199360
124,ok,2007-09-09,5.05,5.15,4.9,4.9,62060
125,ok,2007-09-10,4.91,4.91,4.86,4.86,8300
126,ok,2007-09-11,5.1,5.1,4.8,5.04,43400
127,ok,2007-09-12,4.95,4.95,4.7,4.95,16880
128,ok,2007-09-13,4.95,4.95,4.7,4.71,29480
129,ok,2007-09-16,4.75,4.85,4.53,4.73,48120
130,ok,2007-09-17,4.68,4.8,4.61,4.79,16420
131,ok,2007-09-18,4.78,4.9,4.78,4.81,19460
132,ok,2007-09-19,4.81,4.93,4.7,4.86,26580
133,ok,2007-09-20,4.71,4.87,4.62,4.65,29260
134,ok,2007-09-23,4.8,4.94,4.51,4.63,37240
135,ok,2007-09-24,4.63,4.7,4.56,4.63,34620
136,ok,2007-09-25,4.43,4.65,4.43,4.51,21940
137,ok,2007-09-26,4.26,4.58,4.26,4.55,9880
138,ok,2007-09-27,4.45,5.25,4.45,4.83,73500
139,ok,2007-09-30,4.9,5.25,4.85,4.96,62700
140,ok,2007-10-02,4.67,4.96,4.67,4.77,12880
141,ok,2007-10-03,4.85,4.85,4.71,4.75,8600
142,ok,2007-10-04,4.74,4.82,4.5,4.57,16280
143,ok,2007-10-07,4.52,4.74,4.41,4.42,11500
144,ok,2007-10-08,4.5,4.7,4.5,4.51,15500
145,ok,2007-10-09,4.4,4.75,4.08,4.55,21920
146,ok,2007-10-10,4.4,4.65,4.4,4.65,4400
147,ok,2007-10-11,4.43,4.6,4.43,4.57,6800
148,ok,2007-10-14,4.57,4.58,4.49,4.49,14000
149,ok,2007-10-15,4.4,4.59,4.4,4.44,17420
150,ok,2007-10-16,3.62,5.0,3.62,4.31,7920
151,ok,2007-10-17,4.38,4.45,4.33,4.45,4400
152,ok,2007-10-18,4.11,4.3,3.8,4.2,9420
153,ok,2007-10-21,4.4,4.48,4.15,4.48,10300
154,ok,2007-10-22,4.55,4.55,4.36,4.38,12020
155,ok,2007-10-23,4.45,5.25,4.45,5.25,213720
156,ok,2007-10-24,5.57,6.2,5.45,5.56,660240
157,ok,2007-10-25,5.75,5.75,5.27,5.46,102680
158,ok,2007-10-28,5.6,5.7,5.31,5.44,27440
159,ok,2007-10-29,5.3,5.3,4.77,4.98,68660
160,ok,2007-10-30,5.2,5.2,4.71,4.98,42140
161,ok,2007-10-31,4.9,5.0,4.63,4.86,45780
162,ok,2007-11-01,4.83,4.83,4.55,4.73,63060
163,ok,2007-11-04,4.8,5.0,4.5,4.95,44220
164,ok,2007-11-05,4.64,5.19,4.64,4.83,41760
165,ok,2007-11-06,4.7,4.9,4.7,4.83,9600
166,ok,2007-11-07,4.8,4.9,4.66,4.66,3380
167,ok,2007-11-08,4.66,4.98,4.66,4.82,5300
168,ok,2007-11-11,4.65,4.74,4.46,4.73,13640
169,ok,2007-11-12,4.75,4.84,4.6,4.67,22580
170,ok,2007-11-13,4.65,4.74,4.65,4.74,19080
171,ok,2007-11-14,4.9,4.98,4.65,4.76,35580
172,ok,2007-11-15,4.65,4.79,4.61,4.63,22420
