,s,t,o,h,l,c,v
0,ok,2022-02-07,227.0,271.25,227.0,268.25,135533461
1,ok,2022-02-08,273.65,321.9,272.0,321.9,70655011
2,ok,2022-02-09,356.7,386.25,345.0,386.25,56509643
3,ok,2022-02-10,408.7,419.9,351.25,381.0,88580117
4,ok,2022-02-13,364.2,398.9,352.1,376.3,43047644
5,ok,2022-02-14,394.7,405.0,378.8,383.85,17777133
6,ok,2022-02-15,390.0,392.95,375.2,377.05,11831948
7,ok,2022-02-16,382.0,382.9,356.35,359.8,10520787
8,ok,2022-02-17,352.6,370.0,351.15,354.3,10072444
9,ok,2022-02-20,351.9,356.6,325.2,327.6,14932711
10,ok,2022-02-21,308.6,323.6,305.0,314.3,13158494
11,ok,2022-02-22,326.0,345.7,323.0,345.05,9030118
12,ok,2022-02-23,324.1,365.4,322.15,332.95,27347337
13,ok,2022-02-24,358.65,366.2,350.5,366.1,18895946
14,ok,2022-02-27,367.1,395.9,367.05,379.35,23433903
15,ok,2022-03-01,381.45,393.0,376.1,382.3,13334439
16,ok,2022-03-02,392.0,395.0,378.0,380.25,8165851
17,ok,2022-03-03,376.25,378.95,359.1,360.8,8905308
18,ok,2022-03-06,346.0,351.0,337.25,340.8,9228324
19,ok,2022-03-07,347.0,357.8,338.3,342.8,9620159
20,ok,2022-03-08,347.6,351.55,339.25,340.4,8115674
21,ok,2022-03-09,350.0,354.0,342.05,343.4,6619860
22,ok,2022-03-10,343.9,358.8,338.0,344.2,10801113
23,ok,2022-03-13,345.55,347.35,340.3,341.1,3889380
24,ok,2022-03-14,343.5,355.0,338.45,340.25,8759343
25,ok,2022-03-15,350.0,351.95,342.1,346.25,4512997
26,ok,2022-03-16,350.0,380.85,348.1,379.8,31782591
27,ok,2022-03-20,390.0,398.75,382.3,391.25,19955446
28,ok,2022-03-21,394.45,397.7,387.0,393.1,9561082
29,ok,2022-03-22,393.8,419.3,390.15,397.25,30739072
30,ok,2022-03-23,397.0,414.7,395.05,407.1,11671061
31,ok,2022-03-24,414.0,423.9,410.0,419.25,17327956
32,ok,2022-03-27,424.9,461.15,424.05,461.0,29209300
33,ok,2022-03-28,474.4,507.0,474.0,499.95,37794382
34,ok,2022-03-29,508.7,514.0,480.15,492.3,25219865
35,ok,2022-03-30,493.3,516.9,493.0,516.9,17742646
36,ok,2022-03-31,526.0,542.7,521.0,542.7,18150045
37,ok,2022-04-03,560.0,569.8,522.75,552.35,31396534
38,ok,2022-04-04,559.95,579.95,553.5,579.95,14412302
39,ok,2022-04-05,596.4,608.9,590.0,608.9,9965188
40,ok,2022-04-06,639.3,639.3,578.5,578.5,10867407
41,ok,2022-04-07,549.6,549.6,549.6,549.6,2282751
42,ok,2022-04-10,550.1,577.05,550.1,577.05,5734232
43,ok,2022-04-11,603.5,605.9,572.0,605.9,22706296
44,ok,2022-04-12,622.9,636.15,606.1,636.15,16821307
45,ok,2022-04-17,637.0,667.95,622.6,667.95,19453143
46,ok,2022-04-18,690.55,701.3,651.55,677.9,25254020
47,ok,2022-04-19,703.4,709.0,655.0,667.9,23058972
48,ok,2022-04-20,679.0,701.25,667.25,699.7,17843608
49,ok,2022-04-21,706.25,732.0,706.25,728.55,19690115
50,ok,2022-04-24,743.0,764.95,736.6,764.95,21441429
51,ok,2022-04-25,799.0,803.15,787.0,803.15,9075524
52,ok,2022-04-26,832.3,843.3,776.6,841.0,37860816
53,ok,2022-04-27,860.0,878.0,798.95,798.95,29004435
54,ok,2022-04-28,785.0,834.15,759.05,780.4,32673177
55,ok,2022-05-01,758.0,783.0,748.2,753.6,11750710
56,ok,2022-05-03,745.0,771.85,715.95,715.95,12572099
57,ok,2022-05-04,681.0,694.45,680.2,680.2,1088061
58,ok,2022-05-05,646.2,660.0,646.2,646.2,2695071
59,ok,2022-05-08,613.9,613.9,613.9,613.9,624222
60,ok,2022-05-09,583.25,583.25,583.25,583.25,978990
61,ok,2022-05-10,554.1,612.4,554.1,612.4,6256562
62,ok,2022-05-11,589.0,612.0,581.8,581.8,3280219
63,ok,2022-05-12,595.0,608.2,555.25,568.6,2779961
64,ok,2022-05-15,559.45,595.0,540.2,577.4,2551705
65,ok,2022-05-16,584.0,606.25,579.9,606.25,1723099
66,ok,2022-05-17,635.0,636.55,628.0,636.55,984525
67,ok,2022-05-18,628.0,668.35,604.75,668.15,4692335
68,ok,2022-05-19,689.9,701.55,685.0,701.55,1327185
69,ok,2022-05-22,732.0,736.6,721.0,736.6,2321841
70,ok,2022-05-23,769.0,769.0,699.8,699.8,4060741
71,ok,2022-05-24,666.0,684.4,664.85,664.85,1260744
72,ok,2022-05-25,636.0,698.05,631.65,698.05,2297423
73,ok,2022-05-26,709.0,729.95,676.6,710.15,2998870
74,ok,2022-05-29,719.8,723.7,690.0,696.4,1894859
75,ok,2022-05-30,670.0,691.1,661.6,668.55,1897011
76,ok,2022-05-31,657.0,675.0,635.15,645.85,2009818
77,ok,2022-06-01,644.0,678.1,631.0,678.1,1887742
78,ok,2022-06-02,687.0,688.0,651.6,662.75,1525390
79,ok,2022-06-05,665.0,690.05,636.0,679.85,1438315
80,ok,2022-06-06,666.25,675.0,655.0,662.85,851786
81,ok,2022-06-07,669.0,669.0,650.0,651.7,933358
82,ok,2022-06-08,650.0,658.9,632.9,643.2,1148628
83,ok,2022-06-09,629.0,639.8,620.5,622.6,1052098
84,ok,2022-06-12,591.5,612.8,591.5,591.5,2232214
85,ok,2022-06-13,590.0,621.05,580.0,621.0,1786917
86,ok,2022-06-14,631.15,649.0,621.0,632.9,940691
87,ok,2022-06-15,648.0,650.0,601.3,601.3,1342407
88,ok,2022-06-16,581.0,621.4,571.5,584.7,6004473
89,ok,2022-06-19,579.0,587.7,555.5,555.5,1690266
