,s,t,o,h,l,c,v
0,ok,2001-01-08,74.25,74.25,66.25,66.5,76
1,ok,2001-01-09,65.0,70.0,65.0,70.0,301
2,ok,2001-01-10,65.0,70.95,65.0,70.15,420
3,ok,2001-01-11,65.0,65.0,65.0,65.0,100
4,ok,2001-01-14,62.0,62.0,60.0,60.0,385
5,ok,2001-01-15,58.0,64.8,57.0,57.0,1175
6,ok,2001-01-16,57.0,61.0,57.0,61.0,500
7,ok,2001-01-17,61.05,61.05,61.05,61.05,100
8,ok,2001-01-18,61.0,65.0,61.0,65.0,1100
9,ok,2001-01-21,63.0,66.9,63.0,66.9,5085
10,ok,2001-01-22,67.5,68.0,64.5,64.75,725
11,ok,2001-01-23,61.6,66.0,60.0,66.0,810
12,ok,2001-01-24,61.1,62.5,61.1,62.1,300
13,ok,2001-01-28,61.5,61.5,60.0,60.0,175
14,ok,2001-01-29,62.5,64.8,61.05,61.05,760
15,ok,2001-01-30,62.5,62.5,61.15,62.5,1700
16,ok,2001-01-31,61.0,61.0,57.5,60.0,600
17,ok,2001-02-01,59.95,59.95,59.95,59.95,300
18,ok,2001-02-04,55.9,55.9,55.75,55.75,100
19,ok,2001-02-05,52.55,52.55,52.5,52.5,6
20,ok,2001-02-06,50.0,50.0,48.35,48.35,200
21,ok,2001-02-07,48.0,52.25,46.5,51.0,1375
22,ok,2001-02-08,54.8,54.8,50.1,50.1,300
23,ok,2001-02-11,53.8,54.0,46.2,48.0,700
24,ok,2001-02-12,48.1,48.1,46.0,46.6,1305
25,ok,2001-02-13,44.55,50.0,43.5,49.05,1181
26,ok,2001-02-14,52.0,52.8,52.0,52.4,398
27,ok,2001-02-15,50.5,50.5,48.9,48.9,295
28,ok,2001-02-18,45.7,45.7,45.25,45.5,400
29,ok,2001-02-19,46.8,46.9,45.0,46.9,475
30,ok,2001-02-20,49.0,49.0,46.2,46.2,850
31,ok,2001-02-21,45.0,45.0,44.0,44.5,350
32,ok,2001-02-22,43.0,43.0,42.0,42.0,250
33,ok,2001-02-25,40.0,40.0,40.0,40.0,99
34,ok,2001-02-26,38.1,40.75,38.0,40.75,850
35,ok,2001-02-27,40.0,42.5,38.7,42.5,600
36,ok,2001-02-28,40.05,43.7,39.55,39.8,1155
37,ok,2001-03-08,36.65,36.65,36.65,36.65,5
38,ok,2001-03-13,33.75,33.75,33.75,33.75,210
39,ok,2001-03-14,31.5,31.5,31.1,31.1,110
40,ok,2001-03-15,29.0,29.0,28.65,28.65,2910
41,ok,2001-03-18,28.0,28.0,26.5,26.5,160
42,ok,2001-03-19,28.0,28.0,28.0,28.0,100
43,ok,2001-03-20,27.0,27.0,26.0,26.0,1200
44,ok,2001-03-21,26.0,28.0,26.0,28.0,1140
45,ok,2001-03-22,26.0,26.0,26.0,26.0,510
46,ok,2001-03-25,24.5,28.0,24.5,28.0,201
47,ok,2001-03-27,28.0,28.0,28.0,28.0,6100
48,ok,2001-03-28,29.0,29.0,29.0,29.0,5050
49,ok,2001-03-29,30.95,31.0,30.0,30.0,350
50,ok,2001-04-01,30.0,30.0,30.0,30.0,1
51,ok,2001-04-02,30.5,31.0,30.5,30.5,1993
52,ok,2001-04-09,29.9,29.9,29.9,29.9,50
53,ok,2001-04-10,27.6,27.6,27.6,27.6,250
54,ok,2001-04-11,25.5,25.5,25.5,25.5,50
55,ok,2001-04-15,25.5,25.5,25.5,25.5,200
56,ok,2001-04-16,25.5,25.5,23.5,23.5,950
57,ok,2001-04-17,22.0,22.0,21.95,21.95,200
58,ok,2001-04-18,23.75,23.75,21.35,21.35,950
59,ok,2001-04-19,21.6,21.6,20.0,20.0,1000
60,ok,2001-04-22,21.6,21.6,21.6,21.6,50
61,ok,2001-04-23,22.5,22.5,21.25,21.25,700
62,ok,2001-04-24,22.5,22.9,21.0,21.7,3250
63,ok,2001-04-25,22.5,22.5,22.5,22.5,900
64,ok,2001-04-26,22.5,24.0,22.5,23.0,1451
65,ok,2001-04-29,23.0,23.0,21.5,21.5,1610
66,ok,2001-05-01,23.2,23.2,22.95,22.95,600
67,ok,2001-05-02,24.75,24.75,21.5,22.55,1640
68,ok,2001-05-03,21.6,22.55,20.75,20.8,730
69,ok,2001-05-06,21.0,21.0,20.25,20.35,800
70,ok,2001-05-07,20.25,20.75,20.25,20.75,600
71,ok,2001-05-08,20.5,20.7,20.5,20.7,225
72,ok,2001-05-09,20.5,20.5,20.0,20.0,1460
73,ok,2001-05-10,20.45,20.5,19.7,19.7,951
74,ok,2001-05-13,20.9,21.2,20.9,21.2,700
75,ok,2001-05-14,20.1,20.9,20.1,20.5,100
76,ok,2001-05-16,21.0,21.7,21.0,21.7,120
77,ok,2001-05-17,21.55,23.3,21.55,22.3,215
78,ok,2001-05-20,22.7,22.7,22.7,22.7,300
79,ok,2001-05-21,23.0,23.65,22.0,22.95,2705
80,ok,2001-05-22,24.3,24.8,23.5,24.75,3420
81,ok,2001-05-23,25.7,26.3,23.1,23.5,2250
82,ok,2001-05-24,23.3,25.4,23.25,25.0,2875
83,ok,2001-05-27,24.9,27.0,24.05,25.5,8874
84,ok,2001-05-28,25.25,27.55,25.0,27.55,18215
85,ok,2001-05-29,29.65,29.75,29.25,29.45,15270
86,ok,2001-05-30,29.95,29.95,29.85,29.85,400
87,ok,2001-05-31,31.2,31.5,28.5,28.55,2224
88,ok,2001-06-03,27.25,29.75,27.25,27.6,1082
89,ok,2001-06-04,27.25,27.8,26.0,26.1,1950
90,ok,2001-06-05,25.6,26.45,24.45,26.45,1215
91,ok,2001-06-06,28.0,28.55,25.5,25.5,1501
92,ok,2001-06-07,27.4,27.5,27.4,27.5,75
93,ok,2001-06-10,29.65,29.65,28.65,28.7,95
94,ok,2001-06-11,29.5,29.5,28.85,28.85,125
95,ok,2001-06-12,29.05,29.05,29.05,29.05,25
96,ok,2001-06-13,30.2,30.2,27.1,28.95,337
97,ok,2001-06-14,26.65,26.7,26.65,26.65,385
98,ok,2001-06-17,24.6,25.8,24.55,25.15,1020
99,ok,2001-06-18,24.0,24.0,23.5,23.5,190
100,ok,2001-06-19,23.1,24.45,23.0,24.45,110
101,ok,2001-06-20,25.0,25.0,22.5,22.55,410
102,ok,2001-06-21,23.6,23.6,23.6,23.6,100
103,ok,2001-06-24,24.4,25.4,22.25,22.35,984
104,ok,2001-06-25,24.0,24.0,22.0,22.6,1126
105,ok,2001-06-26,24.4,24.4,23.0,23.0,300
106,ok,2001-06-27,24.45,24.45,22.1,23.45,469
107,ok,2001-06-28,22.1,22.35,21.85,22.1,1111
108,ok,2001-07-01,23.7,23.7,21.0,21.35,655
109,ok,2001-07-02,22.0,22.0,22.0,22.0,100
110,ok,2001-07-03,20.35,20.4,20.35,20.35,800
111,ok,2001-07-08,21.65,21.65,21.65,21.65,10
112,ok,2001-07-11,21.05,21.1,20.05,20.05,465
113,ok,2001-07-12,19.0,19.5,19.0,19.5,300
114,ok,2001-07-16,20.0,20.0,20.0,20.0,200
115,ok,2001-07-17,19.25,19.95,18.4,18.4,1140
116,ok,2001-07-18,16.55,16.55,16.25,16.35,1600
117,ok,2001-07-19,14.6,14.6,14.0,14.55,500
118,ok,2001-07-24,14.05,14.05,14.0,14.0,150
119,ok,2001-07-25,14.0,14.0,13.15,13.15,3350
120,ok,2001-07-29,14.0,15.0,12.25,15.0,305
121,ok,2001-08-01,13.0,14.9,13.0,14.9,600
122,ok,2001-08-05,12.2,13.0,12.2,13.0,800
123,ok,2001-08-06,12.15,12.5,12.0,12.5,415
124,ok,2001-08-07,12.95,15.4,12.5,12.5,210
125,ok,2001-08-08,13.5,13.5,13.5,13.5,50
126,ok,2001-08-09,12.05,12.05,12.0,12.0,400
127,ok,2001-08-12,12.25,12.25,12.05,12.05,1700
128,ok,2001-08-13,12.05,12.05,12.0,12.0,200
129,ok,2001-08-15,12.5,12.5,12.5,12.5,100
130,ok,2001-08-20,12.0,14.9,12.0,14.9,95
131,ok,2001-08-22,14.5,14.5,14.5,14.5,200
