,s,t,o,h,l,c,v
0,ok,2015-08-13,120.0,129.65,117.35,128.15,115424
1,ok,2015-08-16,132.0,134.55,121.95,132.65,48733
2,ok,2015-08-17,130.0,139.25,129.9,138.9,105146
3,ok,2015-08-18,141.0,145.8,136.0,145.8,116061
4,ok,2015-08-19,149.4,152.0,139.0,140.95,135955
5,ok,2015-08-20,139.0,140.0,134.5,136.85,37502
6,ok,2015-08-23,130.1,130.1,130.05,130.05,4993
7,ok,2015-08-24,123.55,123.55,123.55,123.55,2684
8,ok,2015-08-25,117.4,117.4,117.4,117.4,12670
9,ok,2015-08-26,111.55,119.3,111.55,116.15,192407
10,ok,2015-08-27,120.9,120.95,110.35,110.35,50914
11,ok,2015-08-30,104.85,110.0,104.85,107.5,39047
12,ok,2015-08-31,102.55,106.95,102.15,102.15,26025
13,ok,2015-09-01,101.95,107.25,97.05,103.45,79560
14,ok,2015-09-02,104.85,108.6,104.0,108.6,9332
15,ok,2015-09-03,110.8,110.8,103.2,103.5,52690
16,ok,2015-09-06,100.1,103.7,98.35,98.35,24846
17,ok,2015-09-07,93.55,97.75,93.45,93.7,61657
18,ok,2015-09-08,96.45,98.35,91.5,98.35,48925
19,ok,2015-09-09,97.0,103.25,94.0,103.25,51697
20,ok,2015-09-10,107.4,108.4,105.0,108.4,100728
21,ok,2015-09-13,113.4,113.8,108.7,113.8,70184
22,ok,2015-09-14,117.4,119.45,112.2,116.05,140370
23,ok,2015-09-15,116.5,117.9,110.25,111.45,22669
24,ok,2015-09-17,114.5,117.0,113.0,117.0,119597
25,ok,2015-09-20,117.0,118.5,111.3,117.85,12028
26,ok,2015-09-21,119.8,123.7,112.65,115.15,100578
27,ok,2015-09-22,116.7,120.0,113.2,115.65,40053
28,ok,2015-09-23,113.1,118.0,113.1,114.75,14335
29,ok,2015-09-27,117.8,117.8,109.05,109.25,35167
30,ok,2015-09-28,104.2,108.65,103.8,104.25,71539
31,ok,2015-09-29,106.45,109.45,104.3,106.6,30874
32,ok,2015-09-30,109.55,110.5,106.0,106.05,208869
33,ok,2015-10-04,110.5,113.55,107.3,108.95,62227
34,ok,2015-10-05,109.05,109.9,104.65,106.7,39205
35,ok,2015-10-06,106.05,107.0,104.0,104.35,18085
36,ok,2015-10-07,104.05,105.0,98.05,102.3,45866
37,ok,2015-10-08,102.8,105.05,96.5,97.35,65456
38,ok,2015-10-11,97.5,100.75,97.5,99.8,46056
39,ok,2015-10-12,100.8,100.8,96.0,96.55,54028
