,s,t,o,h,l,c,v
0,ok,2008-05-25,58.96,60.82,49.23,50.02,32011460
1,ok,2008-05-26,49.62,60.03,48.26,54.5,44261590
2,ok,2008-05-27,55.42,65.4,55.42,62.98,46700170
3,ok,2008-05-28,64.52,69.08,59.74,62.14,46023830
4,ok,2008-05-29,63.12,65.64,57.81,63.28,31118150
5,ok,2008-06-01,63.87,68.68,61.12,67.5,22871960
6,ok,2008-06-02,66.03,67.78,62.15,66.04,23401010
7,ok,2008-06-03,66.23,66.23,55.67,58.85,28828870
8,ok,2008-06-04,59.25,62.87,56.23,62.09,13685240
9,ok,2008-06-05,62.81,63.17,59.75,61.99,8087950
10,ok,2008-06-08,60.92,63.67,56.99,61.89,7718230
11,ok,2008-06-09,60.73,66.33,60.73,65.76,9558110
12,ok,2008-06-10,66.03,67.01,62.99,64.21,7640080
13,ok,2008-06-11,61.81,62.73,59.05,59.54,4216570
14,ok,2008-06-12,59.64,61.36,56.28,57.07,4666330
15,ok,2008-06-15,58.47,60.73,57.7,60.34,5052300
16,ok,2008-06-16,59.94,61.51,59.46,60.04,2532570
17,ok,2008-06-17,60.43,60.65,57.49,58.17,1449070
18,ok,2008-06-18,56.99,61.41,56.8,60.12,4763260
19,ok,2008-06-19,59.25,60.75,52.27,54.53,2944760
20,ok,2008-06-22,54.14,56.59,54.04,55.56,5241120
21,ok,2008-06-23,55.57,56.21,52.77,53.96,2996810
22,ok,2008-06-24,53.26,62.15,53.06,56.71,1264640
23,ok,2008-06-25,56.79,58.96,56.79,58.0,1368390
24,ok,2008-06-26,57.48,57.48,54.04,55.22,1739950
25,ok,2008-06-29,55.52,56.01,51.1,52.85,1072450
26,ok,2008-06-30,52.57,52.76,49.39,50.87,875530
27,ok,2008-07-01,50.21,52.08,48.64,51.35,2293060
28,ok,2008-07-02,48.66,50.49,43.82,47.02,2966460
29,ok,2008-07-03,46.32,49.13,43.92,49.1,1004550
30,ok,2008-07-06,48.6,53.45,48.6,51.27,4296690
31,ok,2008-07-07,46.75,50.9,46.75,50.21,2404650
32,ok,2008-07-08,54.04,54.04,50.31,50.9,926530
33,ok,2008-07-09,50.6,51.08,49.13,49.8,852060
34,ok,2008-07-10,51.09,51.1,45.85,47.06,465740
35,ok,2008-07-13,48.93,48.93,44.71,45.39,804490
36,ok,2008-07-14,43.92,45.49,42.85,44.07,534810
37,ok,2008-07-15,43.23,44.41,41.02,41.76,2741340
38,ok,2008-07-16,43.14,43.14,40.79,41.44,3984130
39,ok,2008-07-17,39.83,42.06,38.13,40.36,1698860
40,ok,2008-07-20,40.39,41.43,40.1,40.36,1109870
41,ok,2008-07-21,39.54,41.76,39.54,41.27,1272320
42,ok,2008-07-22,42.55,44.21,42.06,43.02,5335330
43,ok,2008-07-23,43.14,47.21,43.14,44.36,1494640
44,ok,2008-07-24,42.84,44.71,42.84,43.85,397510
45,ok,2008-07-27,42.94,44.41,42.45,42.85,154470
46,ok,2008-07-28,42.74,42.74,41.86,42.24,549340
47,ok,2008-07-29,40.13,43.48,40.13,42.99,145870
48,ok,2008-07-30,42.15,43.92,42.15,43.5,141190
49,ok,2008-07-31,42.25,44.21,41.56,43.53,240280
50,ok,2008-08-03,42.38,44.7,42.38,44.48,124020
51,ok,2008-08-04,44.48,46.67,43.04,45.98,159520
52,ok,2008-08-05,45.69,48.84,45.69,47.38,470970
53,ok,2008-08-06,48.64,52.57,46.2,50.63,1295540
54,ok,2008-08-07,50.11,52.08,49.62,50.85,414380
55,ok,2008-08-10,52.57,58.17,51.88,53.11,2398030
