,s,t,o,h,l,c,v
0,ok,2000-01-02,7.85,7.85,7.85,7.85,592
1,ok,2000-01-03,8.36,8.48,8.05,8.05,20722
2,ok,2000-01-04,8.02,8.45,7.85,8.11,6513
3,ok,2000-01-05,8.28,8.28,7.95,7.96,3552
4,ok,2000-01-06,8.02,8.02,8.02,8.02,592
5,ok,2000-01-09,8.17,8.17,8.17,8.17,2368
6,ok,2000-01-10,7.6,7.85,7.6,7.81,9473
7,ok,2000-01-11,8.36,8.36,8.36,8.36,1184
8,ok,2000-01-12,8.01,8.01,8.01,8.01,1184
9,ok,2000-01-13,7.77,7.77,7.77,7.77,1776
10,ok,2000-01-16,7.77,7.77,7.19,7.19,4144
11,ok,2000-01-17,7.18,7.26,7.09,7.26,4737
12,ok,2000-01-18,7.35,7.51,7.35,7.51,4144
13,ok,2000-01-19,7.43,7.43,7.01,7.35,4144
14,ok,2000-01-23,6.92,7.09,6.92,7.09,2960
15,ok,2000-01-24,6.67,6.76,6.6,6.71,8881
16,ok,2000-01-27,6.34,6.46,6.33,6.46,5921
17,ok,2000-01-30,6.76,6.76,6.33,6.33,6513
18,ok,2000-02-02,6.0,6.0,5.94,5.94,1184
19,ok,2000-02-03,5.74,6.16,5.74,6.16,7697
20,ok,2000-02-06,6.29,6.29,6.29,6.29,592
21,ok,2000-02-07,6.17,6.17,6.08,6.08,3552
22,ok,2000-02-08,6.57,6.57,6.57,6.57,1184
23,ok,2000-02-09,7.1,7.1,7.1,7.1,10065
24,ok,2000-02-10,7.67,7.67,7.43,7.67,8881
25,ok,2000-02-13,8.11,8.28,7.61,7.61,31380
26,ok,2000-02-14,7.85,7.85,7.6,7.85,12433
27,ok,2000-02-15,8.02,8.11,7.77,8.11,28419
28,ok,2000-02-16,8.06,8.28,8.02,8.02,50326
29,ok,2000-02-17,8.02,8.45,8.02,8.26,112493
30,ok,2000-02-20,8.28,8.78,8.28,8.28,20130
31,ok,2000-02-21,8.2,8.45,8.19,8.23,66311
32,ok,2000-02-22,8.02,8.28,8.02,8.02,6513
33,ok,2000-02-23,8.28,8.28,8.02,8.02,15986
34,ok,2000-02-24,8.28,8.45,8.28,8.45,32564
35,ok,2000-02-27,7.77,8.02,7.77,8.02,29603
36,ok,2000-02-28,8.11,8.36,8.06,8.36,51510
37,ok,2000-02-29,7.69,8.61,7.69,8.55,52102
38,ok,2000-03-01,8.19,8.61,8.19,8.61,309651
39,ok,2000-03-02,8.19,8.28,8.19,8.28,3552
40,ok,2000-03-06,8.45,8.87,8.11,8.87,342806
41,ok,2000-03-07,8.45,8.45,8.36,8.36,7697
42,ok,2000-03-08,8.02,8.02,8.02,8.02,3552
43,ok,2000-03-09,8.02,8.02,7.43,7.43,3552
44,ok,2000-03-13,7.09,7.43,7.09,7.1,8289
45,ok,2000-03-14,7.18,7.6,7.18,7.6,8289
46,ok,2000-03-15,7.18,7.47,7.18,7.47,3552
47,ok,2000-03-20,8.06,8.06,7.77,7.77,5329
48,ok,2000-03-22,7.85,7.85,7.85,7.85,5921
49,ok,2000-03-23,7.77,8.15,7.77,8.11,56838
50,ok,2000-03-27,8.45,8.53,8.42,8.53,20722
51,ok,2000-03-28,8.61,8.61,8.34,8.34,21906
52,ok,2000-03-30,7.83,7.83,7.83,7.83,1184
53,ok,2000-04-02,7.95,7.95,7.95,7.95,1184
54,ok,2000-04-03,7.98,7.99,7.94,7.99,2960
55,ok,2000-04-05,7.65,7.65,7.65,7.65,1184
56,ok,2000-04-06,8.19,8.19,8.19,8.19,1184
57,ok,2000-04-09,8.36,8.36,8.19,8.36,2368
58,ok,2000-04-16,7.74,8.02,7.74,7.78,10065
59,ok,2000-04-17,7.9,7.9,7.9,7.9,1184
60,ok,2000-04-19,8.02,8.02,8.02,8.02,592
61,ok,2000-04-24,8.62,8.62,8.62,8.62,592
62,ok,2000-04-25,7.94,7.94,7.94,7.94,2368
63,ok,2000-04-26,8.36,8.45,7.68,7.68,7697
64,ok,2000-05-01,7.94,8.3,7.94,8.3,30195
65,ok,2000-05-02,7.94,8.36,7.94,8.36,16578
66,ok,2000-05-03,8.32,8.35,8.26,8.29,13618
67,ok,2000-05-04,8.28,8.45,8.28,8.45,5329
68,ok,2000-05-08,8.45,8.78,8.36,8.45,85850
69,ok,2000-05-09,8.45,8.45,8.45,8.45,13618
70,ok,2000-05-10,8.45,8.45,8.36,8.45,24867
71,ok,2000-05-11,8.45,8.45,8.07,8.07,1776
72,ok,2000-05-14,8.36,8.45,8.36,8.45,7105
73,ok,2000-05-15,8.45,8.49,8.45,8.49,7697
74,ok,2000-05-16,8.45,8.45,8.15,8.15,8289
75,ok,2000-05-17,8.45,8.45,8.45,8.45,5921
76,ok,2000-05-21,8.45,8.45,8.45,8.45,592
77,ok,2000-05-22,8.07,8.45,8.07,8.45,1776
78,ok,2000-05-23,8.45,8.45,8.45,8.45,3552
79,ok,2000-05-24,8.11,8.45,8.11,8.2,3552
80,ok,2000-05-25,8.28,8.45,8.28,8.45,2368
81,ok,2000-05-28,8.45,8.45,8.12,8.12,1184
82,ok,2000-05-29,8.45,8.45,8.45,8.45,1184
83,ok,2000-05-30,8.45,8.45,8.45,8.45,1776
84,ok,2000-05-31,8.45,8.45,8.45,8.45,23683
85,ok,2000-06-01,8.45,8.45,8.28,8.4,8289
86,ok,2000-06-04,8.45,8.45,8.45,8.45,2960
87,ok,2000-06-05,8.45,8.45,8.45,8.45,3552
88,ok,2000-06-06,8.02,8.02,8.02,8.02,592
89,ok,2000-06-07,8.45,8.45,8.36,8.36,3552
90,ok,2000-06-08,7.85,8.45,7.85,8.45,6513
91,ok,2000-06-11,8.12,8.45,8.12,8.21,4144
92,ok,2000-06-12,8.45,8.45,8.28,8.28,1776
93,ok,2000-06-13,8.28,8.28,8.28,8.28,1184
94,ok,2000-06-19,7.78,7.78,7.77,7.77,1184
95,ok,2000-06-20,7.79,8.36,7.78,8.36,2380
