,s,t,o,h,l,c,v
0,ok,2000-01-02,348.0,356.85,340.0,356.6,116243
1,ok,2000-01-03,363.0,374.0,358.0,362.65,163424
2,ok,2000-01-04,346.0,389.9,346.0,371.0,154773
3,ok,2000-01-05,383.0,400.7,382.0,400.7,256075
4,ok,2000-01-06,414.0,431.9,398.45,406.3,502490
5,ok,2000-01-09,417.0,432.0,413.0,424.0,382131
6,ok,2000-01-10,422.0,426.5,390.1,390.1,256877
7,ok,2000-01-11,398.0,415.0,395.25,410.1,161905
8,ok,2000-01-12,411.9,421.0,408.5,411.3,227228
9,ok,2000-01-13,418.85,419.75,394.0,408.6,269676
10,ok,2000-01-16,418.7,435.0,415.0,419.5,413830
11,ok,2000-01-17,423.5,423.5,405.0,414.35,248380
12,ok,2000-01-18,420.0,431.5,413.1,422.85,374584
13,ok,2000-01-19,428.0,428.0,398.0,409.1,269082
14,ok,2000-01-20,415.0,418.0,404.1,406.95,262636
15,ok,2000-01-23,407.0,409.0,388.0,389.1,225642
16,ok,2000-01-24,385.15,389.0,365.0,369.5,363742
17,ok,2000-01-26,379.75,380.0,368.0,371.15,131256
18,ok,2000-01-27,372.9,382.0,360.0,364.6,290617
19,ok,2000-01-30,371.0,371.0,356.0,358.7,91491
20,ok,2000-01-31,351.25,363.9,351.25,355.35,238656
21,ok,2000-02-01,364.0,369.0,359.1,364.0,126243
22,ok,2000-02-02,370.0,384.0,370.0,371.65,258083
23,ok,2000-02-03,373.0,373.0,355.05,357.7,124107
24,ok,2000-02-06,355.0,363.0,355.0,357.2,119361
25,ok,2000-02-07,360.0,368.0,352.0,360.85,275327
26,ok,2000-02-08,384.0,384.9,355.0,357.15,158392
27,ok,2000-02-09,360.0,363.0,354.1,358.25,89628
28,ok,2000-02-10,358.4,364.0,352.0,355.3,80374
29,ok,2000-02-13,357.7,357.7,338.1,342.4,119849
30,ok,2000-02-14,336.2,342.5,326.0,329.25,185358
31,ok,2000-02-15,337.95,339.6,333.0,334.2,98153
32,ok,2000-02-16,331.0,337.0,329.2,330.4,84139
33,ok,2000-02-17,328.1,329.0,315.5,321.25,137829
34,ok,2000-02-20,321.0,346.95,318.0,346.95,146313
35,ok,2000-02-21,349.9,369.7,335.1,340.65,199684
36,ok,2000-02-22,341.1,349.0,315.0,319.65,122067
37,ok,2000-02-23,322.9,335.0,319.15,321.65,46553
38,ok,2000-02-24,320.0,320.0,305.0,306.65,80452
39,ok,2000-02-27,308.0,314.9,300.1,312.6,53025
40,ok,2000-02-28,315.0,332.0,292.15,300.9,193016
41,ok,2000-02-29,302.0,309.9,292.15,301.95,89712
42,ok,2000-03-01,306.8,307.6,280.0,282.8,86946
43,ok,2000-03-02,279.4,290.0,260.2,278.15,314487
44,ok,2000-03-05,285.0,300.4,284.0,300.4,151851
45,ok,2000-03-06,310.0,318.0,294.0,313.95,534997
46,ok,2000-03-07,309.0,318.95,289.0,301.95,138576
47,ok,2000-03-08,306.0,307.95,297.5,305.35,90037
48,ok,2000-03-09,307.9,307.9,290.0,299.1,108920
49,ok,2000-03-12,300.0,323.0,297.2,306.4,131662
50,ok,2000-03-13,310.0,324.7,301.55,319.3,203502
51,ok,2000-03-14,334.0,344.85,323.15,338.05,173062
52,ok,2000-03-15,344.0,349.5,326.1,331.8,105332
53,ok,2000-03-20,315.1,358.35,310.0,350.55,176776
54,ok,2000-03-21,359.0,367.8,358.0,367.8,293359
55,ok,2000-03-22,394.9,394.9,360.0,363.0,212959
56,ok,2000-03-23,350.1,367.0,350.0,362.5,190893
57,ok,2000-03-26,353.15,381.8,353.15,375.1,179276
58,ok,2000-03-27,379.0,388.0,367.0,376.25,155681
59,ok,2000-03-28,399.9,405.0,381.1,384.65,257778
60,ok,2000-03-29,380.1,384.0,355.0,379.9,187724
61,ok,2000-03-30,386.4,389.0,370.0,385.3,119480
62,ok,2000-04-02,389.9,390.0,371.05,382.25,218707
63,ok,2000-04-03,375.05,384.0,358.75,371.15,423075
64,ok,2000-04-04,375.0,375.0,365.0,367.1,74052
65,ok,2000-04-05,371.95,376.0,359.95,369.55,189089
66,ok,2000-04-06,377.0,379.45,365.0,371.95,264453
67,ok,2000-04-09,374.8,379.9,362.0,376.4,480904
68,ok,2000-04-11,372.9,375.0,368.5,371.7,46207
69,ok,2000-04-12,366.0,392.95,365.6,388.0,301914
70,ok,2000-04-16,378.65,382.0,357.0,372.35,156098
71,ok,2000-04-17,375.0,375.0,366.5,369.4,150024
72,ok,2000-04-18,375.0,375.0,369.0,370.35,36864
73,ok,2000-04-19,368.95,372.5,367.25,370.3,101109
74,ok,2000-04-23,375.0,375.0,369.4,370.05,42408
75,ok,2000-04-24,368.6,371.0,360.0,368.7,151282
76,ok,2000-04-25,370.8,370.8,360.0,365.25,112139
77,ok,2000-04-26,360.55,363.4,360.0,360.2,35665
78,ok,2000-04-27,358.05,361.85,353.0,356.05,164929
79,ok,2000-05-01,360.0,364.0,341.0,344.4,111531
80,ok,2000-05-02,335.25,350.75,333.0,348.85,44842
81,ok,2000-05-03,347.0,352.8,344.2,345.15,44756
82,ok,2000-05-04,350.0,354.0,348.0,350.0,75025
83,ok,2000-05-07,354.0,354.0,348.25,350.0,31916
84,ok,2000-05-08,346.1,352.4,346.1,350.45,41225
85,ok,2000-05-09,365.0,365.0,346.0,347.6,76419
86,ok,2000-05-10,325.0,348.8,325.0,346.55,9521
87,ok,2000-05-11,345.05,350.0,339.05,340.8,82998
88,ok,2000-05-14,333.35,352.9,326.0,349.6,72677
89,ok,2000-05-15,347.0,351.5,341.25,349.7,74862
90,ok,2000-05-16,356.75,375.0,354.6,361.15,142406
91,ok,2000-05-17,357.0,362.0,355.25,357.4,19916
92,ok,2000-05-18,354.0,357.25,350.55,352.35,22385
93,ok,2000-05-21,350.1,353.0,338.0,344.85,35384
94,ok,2000-05-22,340.0,346.9,340.0,344.8,30464
95,ok,2000-05-23,340.0,350.0,335.0,344.3,17303
96,ok,2000-05-24,346.5,351.0,344.0,347.8,18558
97,ok,2000-05-25,343.5,352.7,343.5,348.65,11430
98,ok,2000-05-28,347.25,360.0,347.25,359.15,26866
99,ok,2000-05-29,358.25,364.0,358.25,363.35,24734
100,ok,2000-05-30,368.0,371.55,361.0,363.65,27118
101,ok,2000-05-31,353.05,363.0,353.05,359.65,9116
102,ok,2000-06-01,363.0,374.95,358.05,366.95,60053
103,ok,2000-06-04,369.0,374.0,364.3,368.2,53584
104,ok,2000-06-05,372.0,375.85,367.3,373.85,84980
105,ok,2000-06-06,377.0,377.0,367.0,368.75,14207
106,ok,2000-06-07,352.0,373.0,351.0,361.85,44267
107,ok,2000-06-08,360.0,362.0,358.0,360.3,35182
108,ok,2000-06-11,364.9,385.0,356.1,359.15,20279
109,ok,2000-06-12,355.0,358.0,354.5,355.3,61172
110,ok,2000-06-13,358.0,363.95,356.25,362.25,54340
111,ok,2000-06-14,364.0,366.9,362.0,362.7,8462
112,ok,2000-06-15,362.05,364.5,359.0,360.95,34009
113,ok,2000-06-18,358.0,365.0,358.0,360.45,15556
114,ok,2000-06-19,359.1,362.85,357.3,360.55,32976
115,ok,2000-06-20,363.0,363.0,359.1,361.2,19250
116,ok,2000-06-21,360.6,367.7,360.1,365.25,40602
117,ok,2000-06-22,367.8,370.0,365.0,368.75,64909
118,ok,2000-06-25,363.65,364.5,360.25,362.55,18227
119,ok,2000-06-26,362.3,364.0,360.0,362.7,28210
120,ok,2000-06-27,359.15,365.0,359.15,364.75,15667
121,ok,2000-06-28,362.0,367.5,362.0,363.1,19305
122,ok,2000-06-29,361.1,362.0,342.0,354.85,37919
123,ok,2000-07-02,352.75,353.1,340.0,348.7,78118
124,ok,2000-07-03,349.0,355.0,347.0,352.15,91420
125,ok,2000-07-04,355.1,361.45,355.1,358.35,41370
126,ok,2000-07-05,355.1,359.9,354.0,358.55,13110
127,ok,2000-07-06,360.0,360.0,355.0,356.4,40618
128,ok,2000-07-09,355.05,360.9,355.05,358.6,23039
129,ok,2000-07-10,362.0,367.0,360.65,362.15,28115
130,ok,2000-07-11,367.0,367.0,359.1,361.3,24211
131,ok,2000-07-12,364.0,364.0,360.0,362.0,15229
132,ok,2000-07-13,361.0,362.75,358.5,359.45,35962
133,ok,2000-07-16,355.25,362.9,355.25,360.2,19777
134,ok,2000-07-17,357.0,360.0,357.0,357.85,32949
135,ok,2000-07-18,362.0,362.0,355.25,357.1,10647
136,ok,2000-07-19,358.5,359.0,347.1,356.4,22563
137,ok,2000-07-20,358.9,358.9,348.1,350.8,23083
138,ok,2000-07-23,346.0,350.0,335.0,336.1,29773
139,ok,2000-07-24,331.0,340.0,331.0,338.05,41456
140,ok,2000-07-25,343.0,345.0,335.0,337.2,24980
141,ok,2000-07-26,338.0,345.95,335.6,344.75,33273
142,ok,2000-07-27,340.0,350.0,340.0,348.55,41850
143,ok,2000-07-30,355.0,361.9,349.0,353.45,103133
144,ok,2000-07-31,355.0,358.55,354.0,356.15,75138
145,ok,2000-08-01,356.0,358.6,343.2,346.8,152340
146,ok,2000-08-02,344.0,351.2,344.0,350.8,103019
147,ok,2000-08-03,354.0,355.0,348.3,350.3,67404
148,ok,2000-08-06,356.4,359.9,350.05,355.15,96478
149,ok,2000-08-07,354.05,358.0,354.05,357.25,102536
150,ok,2000-08-08,355.0,359.0,355.0,355.35,47460
151,ok,2000-08-09,355.05,357.0,355.05,355.6,27809
152,ok,2000-08-10,356.9,360.3,356.9,358.65,118946
153,ok,2000-08-13,361.0,362.0,359.05,360.7,80381
154,ok,2000-08-15,362.9,365.0,362.9,363.95,56837
155,ok,2000-08-16,361.0,365.0,361.0,363.45,32294
156,ok,2000-08-17,363.0,364.0,361.1,363.7,40253
157,ok,2000-08-20,364.5,364.5,360.05,360.8,29431
158,ok,2000-08-21,360.2,363.0,360.1,361.8,30810
159,ok,2000-08-22,361.5,363.5,360.1,362.25,19458
160,ok,2000-08-23,360.25,363.0,360.25,362.15,14386
161,ok,2000-08-24,360.55,363.75,360.05,360.2,28473
162,ok,2000-08-27,360.1,360.1,353.35,356.55,23377
163,ok,2000-08-28,354.35,357.35,354.3,355.95,17072
164,ok,2000-08-29,354.5,359.9,352.6,353.1,18571
165,ok,2000-08-30,355.0,357.9,349.0,357.0,15767
166,ok,2000-09-03,354.05,364.7,354.05,358.9,38544
167,ok,2000-09-04,360.0,362.4,358.05,358.9,21656
168,ok,2000-09-05,363.0,363.0,358.1,360.0,16157
169,ok,2000-09-06,359.0,360.9,358.0,359.95,15243
170,ok,2000-09-07,360.9,361.0,358.6,359.25,21516
171,ok,2000-09-10,360.0,364.8,359.0,359.65,9545
172,ok,2000-09-11,360.0,363.9,359.0,362.45,26125
173,ok,2000-09-12,363.0,363.9,358.3,360.9,8482
174,ok,2000-09-13,360.05,362.7,360.05,361.85,19579
175,ok,2000-09-14,361.9,363.5,360.5,361.1,33637
176,ok,2000-09-17,361.95,363.0,359.25,359.8,43179
177,ok,2000-09-18,359.0,360.0,356.0,358.45,32779
178,ok,2000-09-19,363.0,363.0,353.7,354.8,43862
179,ok,2000-09-20,355.0,356.0,354.05,355.75,9408
180,ok,2000-09-21,355.95,355.95,348.7,351.8,37831
181,ok,2000-09-24,342.05,353.6,342.05,352.5,43377
182,ok,2000-09-25,347.55,356.0,342.15,345.05,195377
183,ok,2000-09-26,334.0,340.0,325.0,333.55,43151
184,ok,2000-09-27,335.7,335.7,331.0,332.85,24318
185,ok,2000-09-28,349.0,349.0,333.0,333.95,20036
186,ok,2000-10-02,326.5,332.1,320.35,327.4,43928
187,ok,2000-10-03,318.0,325.95,309.05,315.15,67368
188,ok,2000-10-04,319.8,320.0,310.0,313.3,35575
189,ok,2000-10-05,317.4,328.0,313.1,324.5,43376
190,ok,2000-10-08,321.05,325.95,315.0,316.3,32937
191,ok,2000-10-09,316.0,319.9,310.0,312.05,43616
192,ok,2000-10-10,310.0,310.0,298.6,307.75,31004
193,ok,2000-10-11,302.0,322.0,300.25,319.75,27931
194,ok,2000-10-12,315.0,330.0,312.25,314.75,24101
195,ok,2000-10-15,325.0,331.0,317.05,329.2,53134
196,ok,2000-10-16,321.05,329.95,320.1,328.35,36040
197,ok,2000-10-17,324.75,324.75,303.8,309.7,170353
198,ok,2000-10-18,302.1,302.1,286.05,289.8,122604
199,ok,2000-10-19,289.0,296.45,289.0,289.85,55598
200,ok,2000-10-22,290.0,292.95,281.95,287.25,83774
201,ok,2000-10-23,285.0,302.9,283.15,299.95,81630
202,ok,2000-10-24,292.55,292.55,264.0,268.15,130830
203,ok,2000-10-25,273.0,281.9,266.1,278.85,29440
204,ok,2000-10-26,272.1,279.95,261.0,266.8,72811
205,ok,2000-10-29,265.15,268.8,260.0,264.85,49656
206,ok,2000-10-30,262.75,265.4,258.0,262.7,91434
207,ok,2000-10-31,262.05,265.0,260.0,261.75,53983
208,ok,2000-11-01,261.25,262.5,254.0,255.5,53872
209,ok,2000-11-02,258.7,262.25,255.25,258.15,95693
210,ok,2000-11-05,261.0,273.9,250.2,255.6,187818
211,ok,2000-11-06,250.5,253.4,242.0,246.05,119635
212,ok,2000-11-07,244.0,255.0,241.1,250.35,73888
213,ok,2000-11-08,249.0,253.95,244.0,251.4,59042
214,ok,2000-11-09,252.0,254.5,249.0,253.25,57134
215,ok,2000-11-12,246.05,253.0,242.15,247.4,45528
216,ok,2000-11-13,245.55,252.0,245.55,249.05,54134
217,ok,2000-11-14,254.0,269.0,252.65,262.35,174903
218,ok,2000-11-15,266.5,267.0,257.55,258.95,82488
219,ok,2000-11-16,255.5,260.0,255.5,258.35,32269
220,ok,2000-11-19,259.9,262.7,257.55,261.45,28819
221,ok,2000-11-20,260.0,261.9,257.4,259.95,96836
222,ok,2000-11-21,262.5,262.5,258.5,259.5,26703
223,ok,2000-11-22,258.0,267.0,258.0,263.6,75137
224,ok,2000-11-23,265.0,265.25,260.5,261.25,47026
225,ok,2000-11-26,263.5,265.0,261.25,263.6,37171
226,ok,2000-11-27,264.0,284.0,262.2,267.0,202895
227,ok,2000-11-28,267.9,273.5,264.0,265.0,97789
228,ok,2000-11-29,266.25,267.5,258.1,262.95,75499
229,ok,2000-11-30,261.5,262.0,254.55,256.45,116133
230,ok,2000-12-03,257.4,262.45,255.0,259.3,64450
231,ok,2000-12-04,262.8,263.0,256.0,256.55,100272
232,ok,2000-12-05,263.0,263.95,259.05,259.6,78814
233,ok,2000-12-06,260.5,265.35,259.0,264.95,100883
234,ok,2000-12-07,266.0,280.0,266.0,272.25,524115
235,ok,2000-12-10,275.0,277.0,267.1,268.0,182085
236,ok,2000-12-11,269.8,272.05,262.05,263.95,212482
237,ok,2000-12-12,265.0,269.95,264.1,267.0,96111
238,ok,2000-12-13,269.7,271.0,263.25,264.45,122159
239,ok,2000-12-14,266.5,266.5,248.0,250.5,199334
240,ok,2000-12-17,250.8,254.5,249.8,253.6,98558
241,ok,2000-12-18,252.0,256.5,250.0,250.5,165211
242,ok,2000-12-19,252.0,255.3,248.1,254.45,64810
243,ok,2000-12-20,250.1,254.0,249.25,251.65,81926
244,ok,2000-12-21,254.65,254.65,231.55,232.5,176543
245,ok,2000-12-26,225.0,229.85,223.6,225.75,66785
246,ok,2000-12-28,226.0,228.5,223.4,226.65,123695
247,ok,2000-12-31,228.4,233.05,226.85,229.2,141078
248,ok,2001-01-01,230.4,232.0,221.25,226.2,116970
249,ok,2001-01-02,216.0,235.0,215.0,231.6,225956
250,ok,2001-01-03,234.75,242.0,233.0,233.5,323502
251,ok,2001-01-04,233.95,235.75,230.1,231.9,128185
252,ok,2001-01-07,232.0,236.4,230.0,232.3,124563
253,ok,2001-01-08,233.7,234.8,229.3,230.35,163276
254,ok,2001-01-09,232.6,236.0,232.0,235.25,142983
255,ok,2001-01-10,234.6,245.0,234.0,243.35,322665
256,ok,2001-01-11,244.9,269.0,241.65,263.45,635791
257,ok,2001-01-14,263.4,277.4,256.05,274.4,435005
258,ok,2001-01-15,274.45,274.45,246.5,253.5,308803
259,ok,2001-01-16,246.0,250.9,240.1,248.7,366429
260,ok,2001-01-17,251.0,260.0,248.0,259.2,308767
261,ok,2001-01-18,259.9,269.9,257.1,266.45,234368
262,ok,2001-01-21,268.0,299.8,266.5,291.15,510084
263,ok,2001-01-22,289.1,310.0,283.55,303.8,449361
264,ok,2001-01-23,308.9,310.0,286.55,296.85,377929
265,ok,2001-01-24,294.5,294.5,283.3,289.65,291404
266,ok,2001-01-28,286.15,296.0,278.0,291.3,148209
267,ok,2001-01-29,290.5,302.0,288.25,298.75,172425
268,ok,2001-01-30,295.05,298.7,287.1,297.9,244199
269,ok,2001-01-31,296.0,298.0,292.0,293.8,101528
270,ok,2001-02-01,292.5,298.0,292.5,296.65,86949
271,ok,2001-02-04,299.0,344.15,298.9,320.95,265783
272,ok,2001-02-05,321.0,328.5,319.1,327.15,219537
273,ok,2001-02-06,328.0,328.0,310.0,319.2,98647
274,ok,2001-02-07,314.1,336.9,310.0,333.4,718188
275,ok,2001-02-08,332.5,335.0,320.0,324.85,233554
276,ok,2001-02-11,327.0,327.0,315.25,321.1,158385
277,ok,2001-02-12,319.1,326.0,315.45,317.2,149008
278,ok,2001-02-13,310.1,317.95,310.1,316.55,99946
279,ok,2001-02-14,318.9,323.8,318.9,322.0,106858
280,ok,2001-02-15,324.0,330.0,322.0,323.3,176335
281,ok,2001-02-18,325.0,345.0,319.0,322.85,234275
282,ok,2001-02-19,325.0,325.0,317.5,318.95,190168
283,ok,2001-02-20,317.1,320.0,313.1,316.15,72399
284,ok,2001-02-21,313.5,315.0,307.05,313.05,76800
285,ok,2001-02-22,314.0,315.0,304.1,307.55,108451
286,ok,2001-02-25,304.5,319.75,300.0,317.1,117436
287,ok,2001-02-26,313.0,320.0,311.0,315.3,84361
288,ok,2001-02-27,311.05,334.0,311.05,324.05,393793
289,ok,2001-02-28,329.9,345.0,325.0,337.95,371259
290,ok,2001-03-01,336.1,348.25,328.1,330.6,128241
291,ok,2001-03-04,338.0,351.0,329.75,338.45,236904
292,ok,2001-03-06,340.25,344.0,313.35,316.45,96936
293,ok,2001-03-07,321.0,323.0,305.0,314.75,39459
294,ok,2001-03-08,310.5,339.0,301.1,305.5,44281
295,ok,2001-03-11,291.25,313.5,287.0,294.05,36224
296,ok,2001-03-12,272.1,294.9,272.1,281.25,45191
297,ok,2001-03-13,294.0,297.9,284.0,290.65,21011
298,ok,2001-03-14,281.0,292.0,280.0,288.65,20887
299,ok,2001-03-15,289.85,289.85,271.0,274.25,19212
300,ok,2001-03-18,271.0,274.0,257.0,259.7,35119
301,ok,2001-03-19,256.05,259.0,250.25,252.3,29680
302,ok,2001-03-20,260.0,260.0,250.0,251.1,26781
303,ok,2001-03-21,251.0,255.5,250.0,251.3,38600
304,ok,2001-03-22,252.9,253.0,249.0,250.25,40324
305,ok,2001-03-25,250.0,251.0,249.0,250.5,58800
306,ok,2001-03-26,245.2,267.9,245.2,258.0,144953
307,ok,2001-03-27,271.8,271.8,259.25,260.1,66039
308,ok,2001-03-28,258.25,267.0,258.25,265.4,52673
309,ok,2001-03-29,267.8,267.8,255.2,258.3,46134
310,ok,2001-04-01,253.0,258.0,238.5,249.8,70907
311,ok,2001-04-02,254.75,260.0,245.1,251.65,55814
312,ok,2001-04-03,246.0,256.5,246.0,253.9,144111
313,ok,2001-04-05,259.0,259.0,250.05,250.65,27500
314,ok,2001-04-08,253.95,254.0,249.0,251.1,58451
315,ok,2001-04-09,247.1,250.75,238.6,247.35,20758
316,ok,2001-04-10,244.0,250.0,242.25,247.9,6794
317,ok,2001-04-11,243.5,249.0,238.1,244.6,17549
318,ok,2001-04-15,248.0,248.0,242.35,247.9,8370
319,ok,2001-04-16,247.9,250.0,245.0,248.05,53714
320,ok,2001-04-17,255.0,255.0,245.15,250.05,38563
321,ok,2001-04-18,252.5,258.6,235.0,237.5,48528
322,ok,2001-04-19,237.0,237.9,227.1,234.95,63945
