,s,t,o,h,l,c,v
0,ok,2000-01-02,12.0,12.65,12.0,12.65,263500
1,ok,2000-01-03,13.6,13.66,12.8,13.53,446070
2,ok,2000-01-04,13.8,13.98,12.8,13.22,304075
3,ok,2000-01-05,13.6,13.98,13.24,13.51,347780
4,ok,2000-01-06,13.91,13.98,13.09,13.44,239820
5,ok,2000-01-09,14.0,14.0,13.46,13.51,226315
6,ok,2000-01-10,13.11,13.6,12.5,12.63,438995
7,ok,2000-01-11,12.9,13.6,12.85,12.99,144540
8,ok,2000-01-12,13.0,13.19,12.53,12.6,161975
9,ok,2000-01-13,13.3,13.3,12.58,12.64,325340
10,ok,2000-01-16,12.9,13.1,12.45,12.59,224005
11,ok,2000-01-17,12.67,12.68,12.23,12.37,334015
12,ok,2000-01-18,12.6,13.36,12.58,13.08,661360
13,ok,2000-01-19,13.4,13.62,12.45,12.56,760020
14,ok,2000-01-20,12.6,12.64,12.01,12.38,679100
15,ok,2000-01-23,12.59,13.37,12.59,13.04,1151285
16,ok,2000-01-24,13.2,13.2,12.7,12.88,690635
17,ok,2000-01-26,13.4,13.6,12.75,12.89,412600
18,ok,2000-01-27,12.8,12.8,12.29,12.45,425970
19,ok,2000-01-30,12.32,12.5,11.63,11.76,187345
20,ok,2000-01-31,11.45,11.8,11.15,11.24,481575
21,ok,2000-02-01,11.6,12.1,11.38,11.58,476105
22,ok,2000-02-02,11.7,11.7,11.38,11.48,297715
23,ok,2000-02-03,11.31,11.78,11.31,11.51,322855
24,ok,2000-02-06,11.2,11.6,11.2,11.33,278865
25,ok,2000-02-07,11.32,11.48,10.48,10.6,345915
26,ok,2000-02-08,10.96,11.15,10.48,10.59,320300
27,ok,2000-02-09,10.41,10.6,9.82,10.28,808435
28,ok,2000-02-10,10.3,10.38,10.1,10.28,172540
29,ok,2000-02-13,10.6,10.6,9.46,9.53,937365
30,ok,2000-02-14,8.9,9.98,8.9,9.65,537255
31,ok,2000-02-15,9.6,10.43,9.23,10.22,774795
32,ok,2000-02-16,10.77,10.88,10.1,10.82,699355
33,ok,2000-02-17,10.98,11.6,10.14,10.82,614960
34,ok,2000-02-20,10.8,10.81,9.96,9.98,352275
35,ok,2000-02-21,9.6,10.37,9.6,10.05,565815
36,ok,2000-02-22,10.78,10.8,9.9,9.91,294995
37,ok,2000-02-23,10.19,10.2,9.9,10.11,2736740
38,ok,2000-02-24,10.19,10.3,9.74,10.06,328250
39,ok,2000-02-27,10.4,10.4,9.82,9.91,175805
40,ok,2000-02-28,10.0,10.2,9.7,9.71,374920
41,ok,2000-02-29,10.0,10.3,9.0,9.39,252950
42,ok,2000-03-01,9.77,9.78,9.12,9.21,874395
43,ok,2000-03-02,9.05,9.2,8.9,8.94,466970
44,ok,2000-03-05,8.8,8.98,8.24,8.38,226580
45,ok,2000-03-06,8.02,8.49,8.02,8.27,569555
46,ok,2000-03-07,8.39,8.4,8.1,8.35,214910
47,ok,2000-03-08,8.4,8.4,8.2,8.3,369750
48,ok,2000-03-09,8.02,8.94,8.02,8.71,258010
49,ok,2000-03-12,8.8,9.19,8.57,8.81,181060
50,ok,2000-03-13,8.97,9.05,8.44,8.63,303960
51,ok,2000-03-14,9.18,9.32,8.7,9.32,111325
52,ok,2000-03-15,9.78,9.96,9.21,9.42,232545
53,ok,2000-03-20,9.88,10.18,9.39,10.18,248835
54,ok,2000-03-21,10.8,11.0,10.62,10.65,424235
55,ok,2000-03-22,10.6,10.84,9.8,9.8,206535
56,ok,2000-03-23,9.6,9.78,9.35,9.62,125565
57,ok,2000-03-26,9.59,9.6,8.92,9.02,157200
58,ok,2000-03-27,9.05,9.26,8.62,8.77,291055
59,ok,2000-03-28,9.2,9.48,9.1,9.48,39300
60,ok,2000-03-29,10.23,10.23,9.5,10.06,317980
61,ok,2000-03-30,9.8,10.49,9.64,10.35,263955
62,ok,2000-04-02,10.2,10.52,9.6,10.09,290920
63,ok,2000-04-03,10.2,10.2,9.29,9.29,332330
64,ok,2000-04-04,8.66,10.04,8.66,10.04,155195
65,ok,2000-04-05,10.64,10.85,9.61,10.7,383815
66,ok,2000-04-06,11.22,11.56,10.8,11.56,717265
67,ok,2000-04-09,11.0,11.95,11.0,11.69,545650
68,ok,2000-04-11,13.26,13.28,12.72,13.28,1678300
69,ok,2000-04-12,13.2,14.05,12.6,13.53,1595240
70,ok,2000-04-16,13.0,13.14,12.5,12.72,899990
71,ok,2000-04-17,13.09,13.5,11.72,11.85,962390
72,ok,2000-04-18,12.78,12.78,11.24,11.81,382515
73,ok,2000-04-19,11.4,11.57,10.87,11.16,303295
74,ok,2000-04-23,11.05,11.15,10.7,10.8,209230
75,ok,2000-04-24,10.22,10.75,9.94,10.18,361405
76,ok,2000-04-25,10.5,11.0,10.4,10.9,488220
77,ok,2000-04-26,10.88,11.1,10.61,10.68,158675
78,ok,2000-04-27,10.6,10.8,10.51,10.59,104075
79,ok,2000-05-01,10.7,11.0,9.76,9.83,313980
80,ok,2000-05-02,9.28,10.15,9.2,9.95,227155
81,ok,2000-05-03,10.2,10.32,10.0,10.13,96800
82,ok,2000-05-04,10.18,11.35,10.11,11.35,462850
83,ok,2000-05-07,12.1,12.72,11.42,12.31,1017065
84,ok,2000-05-08,12.12,12.34,11.41,12.03,219470
85,ok,2000-05-09,11.7,12.37,11.2,11.41,194645
86,ok,2000-05-10,10.9,11.2,10.88,10.99,93280
87,ok,2000-05-11,11.0,11.78,11.0,11.42,191230
88,ok,2000-05-14,10.92,11.19,10.82,11.05,198400
89,ok,2000-05-15,11.01,11.2,10.3,10.82,243700
90,ok,2000-05-16,11.03,11.3,10.81,10.94,142965
91,ok,2000-05-17,10.85,11.16,10.83,10.87,85625
92,ok,2000-05-18,10.9,11.16,10.41,10.57,112025
93,ok,2000-05-21,10.57,10.6,10.1,10.36,65265
94,ok,2000-05-22,10.6,10.76,10.24,10.47,123840
95,ok,2000-05-23,10.28,10.57,10.26,10.4,107140
96,ok,2000-05-24,10.4,10.79,10.27,10.62,73615
97,ok,2000-05-25,10.68,11.0,10.38,10.47,165890
98,ok,2000-05-28,10.8,11.31,10.79,11.28,207215
99,ok,2000-05-29,11.4,12.64,11.4,12.64,250645
100,ok,2000-05-30,13.0,13.34,12.22,12.81,664200
101,ok,2000-05-31,12.4,12.6,12.01,12.16,240420
102,ok,2000-06-01,11.86,12.4,11.85,12.21,196745
103,ok,2000-06-04,12.88,13.4,12.75,12.83,686720
104,ok,2000-06-05,13.0,13.0,12.42,12.7,470195
105,ok,2000-06-06,12.92,12.92,12.2,12.23,221755
106,ok,2000-06-07,12.4,12.55,11.8,12.08,526675
107,ok,2000-06-08,11.82,12.42,11.81,12.34,166915
108,ok,2000-06-11,12.02,13.82,12.02,13.82,627410
109,ok,2000-06-12,13.46,15.16,13.4,14.84,1699960
110,ok,2000-06-13,15.15,15.56,14.2,14.38,1135635
111,ok,2000-06-14,14.34,14.54,13.24,13.88,253695
112,ok,2000-06-15,13.72,14.8,13.71,14.47,414250
113,ok,2000-06-18,15.17,15.17,14.22,14.45,496590
114,ok,2000-06-19,14.23,15.61,14.03,15.44,1114410
115,ok,2000-06-20,16.38,16.38,15.0,15.33,1158560
116,ok,2000-06-21,15.4,15.6,15.0,15.14,406590
117,ok,2000-06-22,15.0,15.34,14.8,14.87,331695
118,ok,2000-06-25,15.0,15.2,14.71,14.9,1159550
119,ok,2000-06-26,14.9,15.1,14.4,14.45,595260
120,ok,2000-06-27,14.52,14.6,14.03,14.39,180035
121,ok,2000-06-28,14.45,14.61,14.32,14.38,189445
122,ok,2000-06-29,13.83,15.0,13.83,14.46,554510
123,ok,2000-07-02,14.7,14.7,14.38,14.49,406810
124,ok,2000-07-03,14.26,14.54,14.02,14.16,353260
125,ok,2000-07-04,14.3,14.56,14.21,14.33,93735
126,ok,2000-07-05,14.2,14.4,14.04,14.13,185975
127,ok,2000-07-06,14.11,14.25,14.01,14.19,160510
128,ok,2000-07-09,14.9,14.9,14.1,14.14,153025
129,ok,2000-07-10,14.07,15.18,14.07,14.68,720930
130,ok,2000-07-11,15.5,15.58,14.97,15.28,836440
131,ok,2000-07-12,15.01,15.3,14.85,14.94,285270
132,ok,2000-07-13,14.71,15.08,14.46,14.51,239680
