,s,t,o,h,l,c,v
0,ok,2000-01-02,30.95,31.0,28.8,30.95,1700
1,ok,2000-01-03,32.5,33.2,31.0,31.5,2300
2,ok,2000-01-04,30.3,30.5,30.3,30.45,500
3,ok,2000-01-05,29.0,29.25,29.0,29.25,500
4,ok,2000-01-06,30.0,30.0,28.0,28.0,900
5,ok,2000-01-09,27.5,28.0,27.5,27.5,1300
6,ok,2000-01-10,26.5,26.5,25.3,25.3,4100
7,ok,2000-01-11,25.4,25.4,25.3,25.3,300
8,ok,2000-01-12,23.4,23.45,23.4,23.45,200
9,ok,2000-01-13,23.5,23.5,22.0,22.1,1500
10,ok,2000-01-16,23.5,23.75,21.0,21.0,1200
11,ok,2000-01-17,22.6,22.7,20.0,20.4,3000
12,ok,2000-01-18,20.0,21.95,20.0,21.95,600
13,ok,2000-01-19,23.0,23.0,23.0,23.0,100
14,ok,2000-01-20,23.45,23.5,23.45,23.5,500
15,ok,2000-01-23,22.9,25.3,22.9,25.0,3200
16,ok,2000-01-24,23.25,26.3,23.25,23.4,1200
17,ok,2000-01-27,24.0,24.0,24.0,24.0,100
18,ok,2000-01-30,23.85,23.95,22.25,23.0,600
19,ok,2000-01-31,24.0,24.8,24.0,24.8,500
20,ok,2000-02-01,23.5,23.5,23.1,23.1,600
21,ok,2000-02-02,23.5,23.5,22.55,22.65,1300
22,ok,2000-02-03,23.45,23.45,23.25,23.25,500
23,ok,2000-02-06,23.0,23.0,22.5,22.55,800
24,ok,2000-02-07,22.1,22.1,20.8,21.0,2000
25,ok,2000-02-08,22.7,22.7,21.25,22.0,600
26,ok,2000-02-09,21.0,23.65,21.0,23.65,400
27,ok,2000-02-10,21.8,21.9,21.8,21.85,600
28,ok,2000-02-14,20.5,20.55,20.5,20.55,300
29,ok,2000-02-15,20.0,20.0,19.05,19.25,700
30,ok,2000-02-16,19.5,19.5,19.25,19.25,200
31,ok,2000-02-17,20.8,21.25,20.5,21.25,4800
32,ok,2000-02-20,21.25,22.0,21.2,21.25,500
33,ok,2000-02-21,19.7,19.75,19.6,19.65,800
34,ok,2000-02-22,21.45,22.0,18.8,18.8,500
35,ok,2000-02-23,18.5,18.5,18.5,18.5,100
36,ok,2000-02-24,18.0,22.4,17.55,21.65,1000
37,ok,2000-02-27,22.5,22.5,20.1,20.2,500
38,ok,2000-02-28,19.2,19.2,19.2,19.2,100
39,ok,2000-02-29,22.3,22.35,22.3,22.35,500
40,ok,2000-03-01,21.0,24.1,21.0,22.0,2100
41,ok,2000-03-02,23.7,23.7,21.0,21.0,600
42,ok,2000-03-05,22.0,22.5,20.0,22.5,1700
43,ok,2000-03-06,21.1,24.3,20.7,24.3,1800
44,ok,2000-03-07,25.0,26.25,25.0,26.25,1000
45,ok,2000-03-08,26.25,27.95,24.15,24.5,3200
46,ok,2000-03-09,22.55,24.0,22.55,24.0,600
47,ok,2000-03-12,22.2,25.0,22.2,25.0,500
48,ok,2000-03-13,23.75,23.95,23.0,23.0,2300
49,ok,2000-03-15,23.95,24.8,21.2,21.9,3700
50,ok,2000-03-20,22.05,23.5,20.15,20.55,1900
51,ok,2000-03-21,22.1,22.1,19.3,19.4,300
52,ok,2000-03-22,18.5,18.5,18.25,18.35,300
53,ok,2000-03-23,21.0,21.9,18.0,18.75,4200
54,ok,2000-03-26,21.5,21.9,20.0,20.0,3000
55,ok,2000-03-27,19.5,21.6,18.4,20.0,3000
56,ok,2000-03-28,18.85,18.85,18.85,18.85,100
57,ok,2000-03-29,21.9,21.9,14.35,18.75,1900
58,ok,2000-03-30,20.4,22.8,14.1,17.7,2300
59,ok,2000-04-02,19.6,22.0,15.9,20.0,1100
60,ok,2000-04-03,18.45,18.45,18.4,18.4,300
61,ok,2000-04-04,21.7,22.4,17.55,21.6,1900
62,ok,2000-04-05,19.9,23.3,19.9,21.3,1100
63,ok,2000-04-06,23.0,23.0,20.15,23.0,600
64,ok,2000-04-09,21.25,21.25,21.2,21.2,800
65,ok,2000-04-11,20.0,20.0,20.0,20.0,100
66,ok,2000-04-12,19.0,19.0,19.0,19.0,100
67,ok,2000-04-23,19.0,19.0,19.0,19.0,100
68,ok,2000-04-24,18.0,18.0,17.5,17.5,300
69,ok,2000-04-26,17.5,17.5,17.5,17.5,400
70,ok,2000-04-27,17.0,20.0,17.0,20.0,300
71,ok,2000-05-02,19.0,19.0,19.0,19.0,500
72,ok,2000-05-04,17.25,17.25,17.25,17.25,100
73,ok,2000-05-07,18.95,18.95,18.95,18.95,100
74,ok,2000-05-10,16.25,16.25,16.2,16.2,200
75,ok,2000-05-11,18.95,18.95,18.95,18.95,100
76,ok,2000-05-14,16.15,16.75,16.15,16.15,700
77,ok,2000-05-21,16.05,16.05,16.0,16.05,300
78,ok,2000-05-22,15.1,15.1,15.0,15.0,600
79,ok,2000-05-23,14.0,14.0,14.0,14.0,500
80,ok,2000-06-06,11.3,12.05,11.3,12.05,200
81,ok,2000-06-08,14.75,14.75,14.75,14.75,100
82,ok,2000-06-11,14.3,14.3,14.25,14.25,500
83,ok,2000-06-12,13.65,15.9,13.65,14.15,400
84,ok,2000-06-14,17.0,17.0,17.0,17.0,100
85,ok,2000-06-15,18.35,18.35,18.35,18.35,200
86,ok,2000-06-18,16.95,17.0,16.95,17.0,300
87,ok,2000-06-19,19.5,19.5,15.0,15.0,300
88,ok,2000-06-21,15.25,15.25,15.25,15.25,100
89,ok,2000-06-26,15.0,15.0,15.0,15.0,100
90,ok,2000-06-28,14.05,14.05,14.0,14.0,200
91,ok,2000-06-29,14.0,14.0,14.0,14.0,100
92,ok,2000-07-05,13.05,13.05,13.05,13.05,100
93,ok,2000-07-09,12.5,13.0,12.5,13.0,200
94,ok,2000-07-19,12.0,12.0,12.0,12.0,100
95,ok,2000-07-25,10.1,10.1,10.1,10.1,100
96,ok,2000-07-26,12.0,12.0,12.0,12.0,200
97,ok,2000-07-27,11.05,13.95,11.0,13.85,800
98,ok,2000-07-30,11.5,14.0,11.5,14.0,500
99,ok,2000-07-31,13.2,14.95,11.0,12.6,2300
100,ok,2000-08-01,11.15,14.95,9.45,11.4,2900
101,ok,2000-08-02,11.75,14.15,11.5,12.75,3100
102,ok,2000-08-03,12.9,15.65,11.65,13.4,4000
103,ok,2000-08-06,12.55,12.55,12.5,12.5,300
104,ok,2000-08-07,13.65,15.3,13.65,15.25,900
105,ok,2000-08-10,14.0,14.95,12.6,12.6,1000
106,ok,2000-08-13,14.85,15.0,13.0,14.95,700
107,ok,2000-08-15,13.5,13.5,13.5,13.5,100
108,ok,2000-08-16,12.0,13.75,12.0,13.75,300
109,ok,2000-08-17,14.7,15.95,14.7,15.95,400
110,ok,2000-08-21,13.1,13.1,12.6,12.6,600
111,ok,2000-08-22,15.75,15.75,15.75,15.75,100
112,ok,2000-08-23,16.9,17.95,14.5,16.15,3100
113,ok,2000-08-24,16.0,18.45,15.4,18.45,3600
114,ok,2000-08-27,20.2,22.5,18.75,20.0,4300
115,ok,2000-08-28,18.5,18.5,18.5,18.5,200
116,ok,2000-08-29,17.25,17.25,17.2,17.2,200
117,ok,2000-08-30,15.6,15.6,15.6,15.6,100
118,ok,2000-09-03,16.05,16.05,15.3,15.3,500
119,ok,2000-09-05,16.85,18.95,16.85,18.95,1100
120,ok,2000-09-06,18.3,18.5,17.4,17.4,700
121,ok,2000-09-07,17.5,19.7,17.5,19.7,700
122,ok,2000-09-10,19.9,20.0,19.9,20.0,500
123,ok,2000-09-11,19.35,19.5,18.55,18.55,800
124,ok,2000-09-14,16.5,16.5,16.5,16.5,300
125,ok,2000-09-17,16.05,16.05,16.05,16.05,100
126,ok,2000-09-18,16.3,16.4,16.3,16.4,700
127,ok,2000-09-19,15.0,16.0,15.0,15.8,300
128,ok,2000-09-21,16.5,17.0,15.8,16.05,700
129,ok,2000-09-24,15.85,15.85,14.1,14.2,2100
130,ok,2000-09-25,15.45,15.5,15.45,15.5,500
131,ok,2000-09-27,15.1,15.1,15.05,15.05,500
132,ok,2000-10-02,14.6,14.6,14.6,14.6,100
133,ok,2000-10-03,12.55,18.0,12.55,17.8,500
134,ok,2000-10-04,17.65,17.65,17.65,17.65,100
135,ok,2000-10-09,14.3,14.3,14.3,14.3,100
136,ok,2000-10-11,12.05,12.2,12.05,12.2,200
137,ok,2000-10-16,12.6,12.6,12.6,12.6,100
138,ok,2000-11-05,12.3,12.3,12.25,12.25,200
139,ok,2000-11-07,13.5,13.5,13.5,13.5,100
140,ok,2000-11-12,12.75,12.75,12.75,12.75,100
141,ok,2000-11-15,12.75,12.75,12.75,12.75,100
142,ok,2000-11-21,12.65,12.65,11.0,12.2,1400
143,ok,2000-12-11,11.5,13.4,11.5,13.4,500
144,ok,2000-12-12,13.1,13.15,13.1,13.15,300
145,ok,2000-12-13,13.5,13.75,13.5,13.75,300
146,ok,2000-12-18,13.7,13.7,13.7,13.7,100
147,ok,2000-12-21,13.95,13.95,13.95,13.95,100
148,ok,2000-12-28,13.7,13.75,13.7,13.75,200
149,ok,2001-01-03,12.15,12.15,12.15,12.15,100
150,ok,2001-01-07,11.8,11.8,11.75,11.75,500
151,ok,2001-01-09,11.3,11.3,10.5,10.5,400
152,ok,2001-01-10,10.55,11.55,10.55,11.55,300
153,ok,2001-01-11,10.65,10.65,10.6,10.6,200
154,ok,2001-02-12,9.35,9.35,9.3,9.3,200
155,ok,2001-02-13,9.3,9.3,9.1,9.1,800
156,ok,2001-02-14,9.5,9.5,9.2,9.2,300
157,ok,2001-02-19,9.25,9.25,9.25,9.25,100
158,ok,2011-12-28,28.5,28.5,28.5,28.5,2
159,ok,2011-12-29,28.5,28.5,28.5,28.5,11
160,ok,2012-01-08,28.5,28.5,28.5,28.5,6
161,ok,2012-01-18,29.9,29.9,29.9,29.9,11
162,ok,2012-01-19,31.4,31.4,31.4,31.4,12
163,ok,2012-01-22,32.95,32.95,32.95,32.95,8
164,ok,2012-01-23,34.6,34.6,34.6,34.6,129
165,ok,2012-01-24,36.3,36.3,36.3,36.3,2
166,ok,2012-01-26,37.5,37.5,37.5,37.5,2
167,ok,2012-01-29,36.0,36.0,35.65,35.65,112
168,ok,2012-01-31,34.0,34.0,34.0,34.0,100
169,ok,2012-02-06,34.05,35.7,34.0,35.7,120
170,ok,2012-02-09,37.0,37.0,37.0,37.0,1
171,ok,2012-02-12,37.0,37.0,37.0,37.0,220
172,ok,2012-02-13,35.9,35.9,35.85,35.85,110
173,ok,2012-02-14,37.05,37.05,37.0,37.0,110
174,ok,2012-02-16,35.25,35.25,35.2,35.2,110
175,ok,2012-02-20,35.65,35.65,35.65,35.65,110
176,ok,2012-02-22,36.0,36.0,35.5,35.5,25
177,ok,2012-03-01,33.8,36.95,33.75,36.95,119
178,ok,2012-04-19,32.0,33.6,31.0,32.85,245
179,ok,2012-04-23,33.0,33.0,33.0,33.0,5
180,ok,2012-07-22,30.0,30.0,28.6,28.6,120
181,ok,2012-07-23,28.05,30.0,28.05,30.0,200
182,ok,2012-07-24,31.5,31.5,31.5,31.5,340
183,ok,2012-08-26,29.9,29.9,29.9,29.9,114
184,ok,2012-08-27,31.35,31.35,31.35,31.35,200
185,ok,2012-08-28,32.9,32.9,29.9,29.9,570
186,ok,2012-08-29,31.25,31.25,31.25,31.25,4
187,ok,2012-08-30,31.0,31.25,31.0,31.25,113
188,ok,2012-09-02,31.25,31.25,31.25,31.25,1
189,ok,2012-09-05,31.25,31.25,31.25,31.25,100
190,ok,2012-09-19,29.6,29.6,29.6,29.6,110
191,ok,2012-09-20,29.65,29.65,29.65,29.65,10
192,ok,2012-10-09,31.25,31.25,31.25,31.25,110
193,ok,2012-10-21,32.9,32.9,32.9,32.9,320
194,ok,2012-10-22,32.9,34.3,32.9,34.3,314
195,ok,2012-11-14,31.7,33.25,31.7,31.7,111
196,ok,2012-11-19,30.2,30.2,30.2,30.2,115
197,ok,2012-11-21,28.7,28.75,28.7,28.75,214
198,ok,2012-11-22,27.8,27.8,27.8,27.8,122
199,ok,2012-11-25,26.45,27.85,26.45,27.85,11
200,ok,2012-11-28,26.75,27.05,26.75,27.05,112
201,ok,2012-12-06,27.25,28.4,27.25,28.4,220
202,ok,2012-12-10,29.8,29.8,29.8,29.8,1
203,ok,2012-12-11,31.25,31.25,31.25,31.25,1
204,ok,2012-12-13,30.3,30.3,30.3,30.3,1
205,ok,2012-12-17,30.3,30.3,30.3,30.3,10
206,ok,2012-12-25,29.0,29.35,29.0,29.05,11
207,ok,2012-12-26,29.05,29.05,29.05,29.05,25
208,ok,2013-01-02,30.5,30.5,30.5,30.5,111
209,ok,2013-01-03,32.0,32.0,32.0,32.0,1
210,ok,2013-01-06,33.6,33.6,33.6,33.6,110
211,ok,2013-01-13,35.25,35.25,35.25,35.25,100
212,ok,2013-01-16,37.0,37.0,37.0,37.0,220
213,ok,2013-01-17,38.85,38.85,38.85,38.85,110
214,ok,2013-01-21,40.75,40.75,40.75,40.75,114
215,ok,2013-01-22,42.75,42.75,42.75,42.75,1
216,ok,2013-01-23,44.85,44.85,44.85,44.85,130
217,ok,2013-01-24,47.05,47.05,47.05,47.05,59
218,ok,2013-01-27,49.4,49.4,49.4,49.4,110
219,ok,2013-01-28,51.85,51.85,51.85,51.85,55
220,ok,2013-01-29,54.4,54.4,51.1,53.95,2011
221,ok,2013-01-30,56.6,56.6,53.0,53.0,125
222,ok,2013-01-31,54.85,54.85,51.0,51.05,21
223,ok,2013-02-10,47.45,47.45,47.45,47.45,1
224,ok,2013-02-25,38.0,38.0,38.0,38.0,110
225,ok,2013-02-26,36.1,36.1,36.1,36.1,223
226,ok,2013-02-28,36.1,36.1,36.1,36.1,26
227,ok,2013-03-14,35.8,35.8,35.8,35.8,104
228,ok,2013-03-18,34.15,34.15,34.15,34.15,20
229,ok,2013-03-21,32.45,32.45,32.45,32.45,37
230,ok,2013-03-25,31.0,31.0,31.0,31.0,26
231,ok,2013-04-02,29.65,29.75,29.65,29.75,700
232,ok,2013-04-04,30.1,30.1,30.1,30.1,3
233,ok,2013-04-15,30.0,30.0,30.0,30.0,50
234,ok,2013-05-09,30.05,30.05,30.05,30.05,60
235,ok,2013-05-12,30.0,30.0,30.0,30.0,100
236,ok,2013-06-27,31.45,31.45,31.45,31.45,100
237,ok,2013-10-13,29.9,29.9,29.9,29.9,100
238,ok,2013-12-05,30.5,30.5,30.5,30.5,100
239,ok,2013-12-08,30.0,30.0,30.0,30.0,41
240,ok,2013-12-30,28.5,28.5,28.5,28.5,745
241,ok,2014-01-05,27.1,27.1,27.1,27.1,110
242,ok,2014-01-12,25.75,25.75,25.75,25.75,5
243,ok,2014-01-13,25.0,25.05,25.0,25.05,230
244,ok,2014-01-14,24.8,24.8,24.8,24.8,28
245,ok,2014-01-15,24.8,24.8,24.8,24.8,20
246,ok,2014-01-16,24.2,24.2,24.2,24.2,770
247,ok,2014-01-20,25.4,25.4,25.4,25.4,90
248,ok,2014-01-22,25.0,25.25,25.0,25.25,1610
249,ok,2014-01-26,24.05,24.05,24.05,24.05,200
250,ok,2014-01-27,23.15,23.15,23.15,23.15,75
251,ok,2014-01-30,24.3,24.3,24.3,24.3,120
252,ok,2014-02-06,25.5,25.5,25.5,25.5,1500
253,ok,2014-02-13,26.6,26.6,26.6,26.6,5
254,ok,2014-02-19,25.3,27.65,25.3,27.65,125
255,ok,2014-02-20,28.65,28.65,28.65,28.65,10
256,ok,2014-03-17,27.25,27.25,27.25,27.25,1
257,ok,2014-03-18,26.3,26.9,26.3,26.9,6
258,ok,2014-03-19,25.95,25.95,25.95,25.95,1
259,ok,2014-03-20,25.65,25.65,24.9,24.9,220
260,ok,2014-03-25,25.25,26.0,24.1,25.65,911
261,ok,2014-03-26,25.1,25.1,24.5,24.6,65
262,ok,2014-03-27,23.65,25.8,23.65,25.8,210
263,ok,2014-03-30,24.95,26.8,24.95,26.8,444
264,ok,2014-03-31,25.55,26.8,25.5,26.75,1214
265,ok,2014-04-01,28.05,28.05,25.55,28.0,355
266,ok,2014-04-02,27.95,27.95,27.95,27.95,10
267,ok,2014-04-03,29.3,29.3,29.2,29.2,170
268,ok,2014-04-06,29.3,29.3,29.2,29.25,150
269,ok,2014-04-08,27.8,30.7,27.8,30.7,200
270,ok,2014-04-09,30.7,32.2,29.3,32.2,223
271,ok,2014-04-10,30.6,33.8,30.6,33.8,90
272,ok,2014-04-14,32.15,32.15,32.15,32.15,110
273,ok,2014-04-15,32.3,32.3,30.6,31.25,439
274,ok,2014-04-16,29.75,30.75,29.75,30.75,360
275,ok,2014-04-21,30.8,30.8,30.75,30.75,100
276,ok,2014-04-22,29.65,31.6,29.65,31.45,4225
277,ok,2014-04-24,32.3,32.3,32.3,32.3,10
278,ok,2014-05-11,29.1,31.95,29.1,31.95,1180
279,ok,2014-05-12,28.9,35.0,28.9,28.9,5896
280,ok,2014-05-13,30.95,30.95,26.1,29.8,760
281,ok,2014-05-14,32.6,32.6,27.2,27.7,436
282,ok,2014-05-15,28.45,29.0,28.45,29.0,520
283,ok,2014-05-18,26.6,26.6,26.6,26.6,110
284,ok,2014-05-19,27.25,29.25,27.25,29.25,420
285,ok,2014-05-20,32.15,32.15,31.5,32.15,880
286,ok,2014-05-21,32.15,35.25,32.15,33.85,1569
287,ok,2014-05-22,35.0,35.0,35.0,35.0,1000
288,ok,2014-05-25,35.5,36.65,35.45,35.55,3148
289,ok,2014-05-26,34.0,35.9,34.0,34.95,2300
290,ok,2014-05-27,36.15,36.15,36.15,36.15,200
291,ok,2014-05-28,36.5,36.5,34.35,36.4,3345
292,ok,2014-05-29,37.95,37.95,34.6,36.3,1502
293,ok,2014-06-01,36.2,36.2,36.2,36.2,1100
294,ok,2014-06-02,35.8,38.0,35.5,37.2,4689
295,ok,2014-06-03,36.0,36.0,35.35,35.35,315
296,ok,2014-06-04,34.25,36.7,34.05,36.4,5684
297,ok,2014-06-05,34.6,36.95,34.6,36.0,740
298,ok,2014-06-08,35.5,36.1,34.5,34.7,3886
299,ok,2014-06-09,35.0,35.9,34.3,35.85,1505
300,ok,2014-06-10,35.5,35.6,35.1,35.1,610
301,ok,2014-06-11,35.2,35.45,35.1,35.1,720
302,ok,2014-06-12,35.1,36.45,34.35,34.4,221
303,ok,2014-06-15,34.45,34.45,34.45,34.45,110
304,ok,2014-06-16,35.25,36.15,34.5,35.85,3897
305,ok,2014-06-17,35.85,35.85,34.9,35.35,553
306,ok,2014-06-18,35.05,36.25,34.05,36.2,2072
307,ok,2014-06-19,37.0,37.5,35.2,35.45,8234
308,ok,2014-06-22,35.4,36.75,35.3,36.45,10053
309,ok,2014-06-23,37.3,37.3,36.55,37.15,1857
310,ok,2014-06-24,36.25,38.95,36.25,38.3,6526
311,ok,2014-06-25,38.5,38.5,37.05,37.5,7209
312,ok,2014-06-26,36.0,36.0,34.0,34.05,270
313,ok,2014-06-29,33.0,34.65,33.0,33.35,1656
314,ok,2014-06-30,33.1,34.6,33.1,34.6,365
315,ok,2014-07-01,33.2,35.15,33.2,35.0,734
316,ok,2014-07-02,34.95,34.95,34.95,34.95,200
317,ok,2014-07-03,35.0,35.0,33.25,33.95,755
318,ok,2014-07-06,34.0,34.1,33.5,34.1,1675
319,ok,2014-07-07,34.0,34.0,33.55,33.55,2175
320,ok,2014-07-08,34.2,34.2,31.25,31.25,20
321,ok,2014-07-10,31.5,31.5,31.5,31.5,150
322,ok,2014-07-14,33.5,33.85,30.1,30.1,202
323,ok,2014-07-16,31.5,32.1,31.5,32.1,210
324,ok,2014-07-17,31.05,34.85,31.05,33.9,270
325,ok,2014-07-20,33.9,33.9,32.15,32.15,115
326,ok,2014-07-22,34.95,35.0,31.75,34.5,3197
327,ok,2014-07-23,37.95,37.95,34.5,36.5,318
328,ok,2014-07-24,38.95,38.95,34.0,36.5,5848
329,ok,2014-07-27,36.05,37.9,34.05,36.4,7154
330,ok,2014-07-29,37.0,37.0,36.0,36.0,5237
331,ok,2014-07-30,37.0,38.9,37.0,38.9,4337
332,ok,2014-07-31,37.5,37.5,36.0,37.0,630
333,ok,2014-08-03,34.55,39.5,34.55,39.35,5
334,ok,2014-08-04,37.0,38.8,37.0,38.8,700
335,ok,2014-08-05,38.25,38.25,34.7,34.95,2485
336,ok,2014-08-06,38.85,38.85,34.6,38.6,1109
337,ok,2014-08-07,37.0,37.9,33.85,37.3,135
338,ok,2014-08-11,36.95,36.95,35.0,36.0,2301
339,ok,2014-08-12,39.0,39.0,35.1,38.65,2402
340,ok,2014-08-13,36.0,36.0,35.3,35.65,100
341,ok,2014-08-17,36.0,38.35,36.0,38.1,111
342,ok,2014-08-18,38.35,38.35,38.35,38.35,199
343,ok,2014-08-19,38.0,38.0,33.7,35.4,522
344,ok,2014-08-20,36.0,36.1,34.65,36.0,355
345,ok,2014-08-21,35.3,38.0,35.25,38.0,2655
346,ok,2014-08-24,38.95,40.0,36.3,38.45,7050
347,ok,2014-08-25,38.15,38.15,38.15,38.15,10
348,ok,2014-08-26,36.05,37.95,35.05,35.65,2399
349,ok,2014-08-31,37.45,37.45,34.5,34.5,815
350,ok,2014-09-01,37.5,37.5,37.5,37.5,5
351,ok,2014-09-02,36.0,37.95,35.5,37.95,1006
352,ok,2014-09-03,36.75,39.85,35.15,35.15,6812
353,ok,2014-09-04,35.8,38.6,35.8,36.95,7463
354,ok,2014-09-07,37.0,38.0,36.0,38.0,991
355,ok,2014-09-08,36.85,45.6,36.85,45.6,21790
356,ok,2014-09-09,50.0,54.7,48.0,54.45,86215
357,ok,2014-09-10,55.1,56.4,52.0,54.65,47768
358,ok,2014-09-11,59.0,59.0,52.0,53.45,21023
359,ok,2014-09-14,54.0,54.8,51.5,52.05,8176
360,ok,2014-09-15,48.65,51.95,46.85,46.85,4053
361,ok,2014-09-16,44.25,50.25,44.25,48.15,7765
362,ok,2014-09-17,48.75,51.5,47.0,50.95,5128
363,ok,2014-09-18,53.75,53.8,48.55,49.7,6899
364,ok,2014-09-21,50.0,50.0,47.75,48.95,1187
365,ok,2014-09-22,46.8,48.8,46.8,47.4,2261
366,ok,2014-09-23,43.2,48.4,43.2,47.0,3328
367,ok,2014-09-24,47.0,48.45,45.35,48.05,2406
368,ok,2014-09-25,43.6,51.5,43.6,47.9,2955
369,ok,2014-09-28,46.2,50.5,46.2,47.0,1393
370,ok,2014-09-29,47.9,49.6,47.8,47.8,2772
371,ok,2014-09-30,46.05,49.4,46.0,46.4,992
372,ok,2014-10-06,44.0,49.45,44.0,46.15,845
373,ok,2014-10-07,44.25,49.6,44.25,45.05,1954
374,ok,2014-10-08,44.25,49.05,44.25,48.3,2777
375,ok,2014-10-09,46.5,47.75,44.25,45.05,2782
376,ok,2014-10-12,45.0,47.0,42.3,47.0,2786
377,ok,2014-10-13,45.0,47.8,43.95,45.6,5947
378,ok,2014-10-15,43.65,44.95,43.0,43.4,4375
379,ok,2014-10-16,43.55,43.55,41.25,42.5,1044
380,ok,2014-10-19,43.95,43.95,41.15,43.1,1161
381,ok,2014-10-20,41.5,43.0,41.5,43.0,1300
382,ok,2014-10-21,50.45,50.45,41.7,42.9,2037
383,ok,2014-10-22,42.5,46.9,40.6,42.25,625
384,ok,2014-10-26,44.95,45.95,44.0,45.0,1829
385,ok,2014-10-27,46.5,47.45,46.0,47.45,2501
386,ok,2014-10-28,49.5,50.0,47.0,49.15,5748
387,ok,2014-10-29,50.5,52.0,50.5,51.65,10746
388,ok,2014-10-30,53.9,59.0,46.0,46.95,12689
389,ok,2014-11-02,46.95,48.9,45.1,48.45,3928
390,ok,2014-11-04,46.5,48.9,46.0,46.4,1636
391,ok,2014-11-06,46.0,46.7,43.05,44.05,5310
392,ok,2014-11-09,44.2,46.25,42.25,45.45,4671
393,ok,2014-11-10,47.0,47.0,44.5,45.25,2367
394,ok,2014-11-11,48.4,54.3,47.05,54.3,22969
395,ok,2014-11-12,55.65,57.0,52.25,53.75,31072
396,ok,2014-11-13,53.9,53.9,50.05,52.5,5231
397,ok,2014-11-16,53.95,57.0,52.65,56.65,18010
398,ok,2014-11-17,57.55,57.75,54.0,54.25,5832
399,ok,2014-11-18,52.5,63.8,52.0,59.5,61722
400,ok,2014-11-19,59.5,64.45,53.85,58.15,55651
401,ok,2014-11-20,58.0,59.2,52.65,54.45,23481
402,ok,2014-11-23,56.1,57.0,54.5,55.65,9053
