,s,t,o,h,l,c,v
0,ok,2018-03-26,499.0,499.0,455.0,476.85,91036634
1,ok,2018-03-27,463.85,478.9,463.0,469.05,12056881
2,ok,2018-04-01,474.9,485.0,472.0,475.7,5239378
3,ok,2018-04-02,474.0,485.9,469.15,483.45,2796977
4,ok,2018-04-03,484.6,488.8,478.0,486.05,2459030
5,ok,2018-04-04,490.0,514.9,487.3,509.2,8163440
6,ok,2018-04-05,512.5,517.7,505.2,508.25,1844654
7,ok,2018-04-08,508.8,519.9,496.05,514.45,2656272
8,ok,2018-04-09,515.0,520.8,510.2,518.65,1731872
9,ok,2018-04-10,519.9,535.0,513.0,533.5,3555719
10,ok,2018-04-11,530.0,540.8,526.1,534.75,1884412
11,ok,2018-04-12,533.0,536.95,526.4,528.65,1057977
12,ok,2018-04-15,523.9,532.35,516.1,518.8,760439
13,ok,2018-04-16,520.0,521.4,500.0,505.1,1156139
14,ok,2018-04-17,508.0,513.5,501.0,504.15,815508
15,ok,2018-04-18,505.2,508.9,502.0,505.1,589106
16,ok,2018-04-19,505.1,510.5,493.1,495.05,949874
17,ok,2018-04-22,496.0,504.3,481.75,498.35,2474228
18,ok,2018-04-23,500.0,502.3,486.0,489.85,1200876
19,ok,2018-04-24,490.05,497.1,485.25,494.3,1313604
20,ok,2018-04-25,497.1,501.4,491.1,495.0,1878261
21,ok,2018-04-26,498.8,522.95,498.5,506.45,5635987
22,ok,2018-04-29,509.5,515.9,502.7,513.45,1461600
23,ok,2018-05-01,513.0,520.9,511.0,515.85,1319363
24,ok,2018-05-02,511.95,515.0,496.4,502.05,861937
25,ok,2018-05-03,503.0,506.0,500.5,504.6,1078225
26,ok,2018-05-06,507.0,508.0,492.65,494.5,764766
27,ok,2018-05-07,496.95,497.0,490.0,494.35,568372
28,ok,2018-05-08,492.0,495.25,485.3,488.6,505802
29,ok,2018-05-09,490.0,493.9,484.05,486.45,251959
30,ok,2018-05-10,486.55,492.2,480.25,484.35,1030945
31,ok,2018-05-13,484.0,489.4,478.4,479.95,377154
32,ok,2018-05-14,483.9,489.8,473.5,483.85,1463884
33,ok,2018-05-15,479.9,484.9,475.0,482.5,432584
34,ok,2018-05-16,483.0,487.0,477.65,483.85,477080
35,ok,2018-05-17,481.05,485.05,478.0,479.55,294337
36,ok,2018-05-20,474.0,481.2,463.2,468.8,363194
37,ok,2018-05-21,468.8,477.4,468.0,470.35,243251
38,ok,2018-05-22,471.8,500.0,469.3,495.95,1809012
39,ok,2018-05-23,489.8,495.1,474.6,477.2,435390
40,ok,2018-05-24,483.75,487.0,476.85,483.1,289819
41,ok,2018-05-27,486.7,488.4,481.0,484.55,228736
42,ok,2018-05-28,485.1,488.5,478.25,479.75,172900
43,ok,2018-05-29,477.0,478.95,468.2,469.9,372779
44,ok,2018-05-30,472.2,474.0,463.1,470.5,375833
45,ok,2018-05-31,470.0,478.75,470.0,475.1,347149
46,ok,2018-06-03,479.0,479.0,470.4,473.95,331178
47,ok,2018-06-04,474.0,474.0,456.15,470.05,535857
48,ok,2018-06-05,471.0,503.6,467.0,495.7,2580270
49,ok,2018-06-06,501.0,502.9,491.2,498.05,767664
50,ok,2018-06-07,496.9,502.35,492.3,498.1,971489
51,ok,2018-06-10,501.0,529.0,496.05,512.2,3530631
52,ok,2018-06-11,510.1,525.5,505.55,520.2,1061375
53,ok,2018-06-12,521.05,539.85,518.55,535.7,1541850
54,ok,2018-06-13,538.0,560.0,538.0,547.2,3171005
55,ok,2018-06-14,544.4,553.8,531.4,550.15,1468910
56,ok,2018-06-17,548.05,557.9,545.2,551.95,653866
57,ok,2018-06-18,546.25,549.95,532.0,534.2,603528
58,ok,2018-06-19,536.95,551.4,535.15,539.7,617216
59,ok,2018-06-20,541.0,547.9,535.15,537.55,327133
60,ok,2018-06-21,537.55,544.0,533.15,536.1,293938
61,ok,2018-06-24,538.35,542.0,533.05,534.5,308692
62,ok,2018-06-25,532.1,542.0,528.05,531.5,1183515
63,ok,2018-06-26,535.0,535.0,520.05,523.85,855250
64,ok,2018-06-27,522.0,523.85,508.0,512.2,260547
65,ok,2018-06-28,514.95,530.0,512.25,526.55,346849
