,s,t,o,h,l,c,v
0,ok,2000-01-02,21.85,21.85,20.1,20.9,178826
1,ok,2000-01-03,20.0,21.2,20.0,20.3,180424
2,ok,2000-01-04,20.25,20.5,19.55,19.95,92160
3,ok,2000-01-05,19.8,20.3,19.65,19.75,126155
4,ok,2000-01-06,19.9,20.2,19.5,19.9,95303
5,ok,2000-01-09,20.2,20.25,19.2,19.8,56365
6,ok,2000-01-10,19.5,19.85,19.05,19.05,171409
7,ok,2000-01-11,19.4,19.7,19.15,19.5,46313
8,ok,2000-01-12,19.2,19.6,19.2,19.25,46171
9,ok,2000-01-13,19.15,19.25,18.9,19.0,66902
10,ok,2000-01-16,19.2,19.5,19.0,19.1,78583
11,ok,2000-01-17,19.05,19.4,19.0,19.1,110400
12,ok,2000-01-18,19.4,19.5,19.2,19.3,54792
13,ok,2000-01-19,19.1,19.55,19.1,19.2,61613
14,ok,2000-01-20,19.2,19.3,19.0,19.15,49107
15,ok,2000-01-23,18.75,19.0,18.65,18.7,29961
16,ok,2000-01-24,18.8,18.9,18.55,18.65,61090
17,ok,2000-01-26,18.7,19.2,18.5,18.6,98701
18,ok,2000-01-27,19.0,19.7,18.6,19.05,194843
19,ok,2000-01-30,19.25,19.45,18.4,18.5,124329
20,ok,2000-01-31,18.8,18.8,18.2,18.3,131326
21,ok,2000-02-01,18.7,19.15,18.5,18.65,183784
22,ok,2000-02-02,18.95,18.95,18.5,18.7,153214
23,ok,2000-02-03,18.95,19.5,18.5,18.7,131537
24,ok,2000-02-06,18.75,18.9,17.9,18.15,148984
25,ok,2000-02-07,18.6,18.6,17.6,17.85,198623
26,ok,2000-02-08,18.25,18.4,17.95,18.05,75520
27,ok,2000-02-09,18.0,18.1,17.4,17.85,68360
28,ok,2000-02-10,18.0,18.1,17.5,17.6,71259
29,ok,2000-02-13,17.5,18.5,17.5,18.4,134822
30,ok,2000-02-14,18.25,18.65,17.85,17.9,153922
31,ok,2000-02-15,18.25,18.3,17.5,17.9,80030
32,ok,2000-02-16,17.95,18.1,17.8,17.95,46629
33,ok,2000-02-17,17.8,18.0,17.4,17.5,87143
34,ok,2000-02-20,17.3,17.75,17.25,17.4,107517
35,ok,2000-02-21,17.1,17.7,17.0,17.15,107457
36,ok,2000-02-22,17.1,17.75,17.0,17.7,47461
37,ok,2000-02-23,17.05,17.8,17.0,17.2,84893
38,ok,2000-02-24,17.0,17.15,16.8,17.05,50802
39,ok,2000-02-27,17.05,18.35,16.95,18.05,108788
40,ok,2000-02-28,18.5,19.75,17.5,17.8,314565
41,ok,2000-02-29,18.5,18.6,17.7,18.45,66297
42,ok,2000-03-01,18.4,18.9,17.7,17.95,76378
43,ok,2000-03-02,17.75,18.75,16.9,17.85,90931
44,ok,2000-03-05,17.4,17.8,16.7,17.05,59459
45,ok,2000-03-06,16.7,17.0,16.25,16.3,89303
46,ok,2000-03-07,16.4,16.85,15.85,16.0,69888
47,ok,2000-03-08,15.15,17.0,15.0,16.8,148975
48,ok,2000-03-09,16.9,16.9,15.25,15.45,52410
49,ok,2000-03-12,15.4,15.6,15.15,15.25,54635
50,ok,2000-03-13,15.0,16.0,14.9,15.55,124622
51,ok,2000-03-14,16.9,16.95,15.15,15.65,87515
52,ok,2000-03-15,15.4,15.75,15.05,15.15,81560
53,ok,2000-03-20,14.75,15.5,14.55,14.75,99190
54,ok,2000-03-21,15.25,15.45,15.0,15.15,45100
55,ok,2000-03-22,15.2,15.25,14.75,14.85,28650
56,ok,2000-03-23,14.5,15.0,14.3,14.7,68865
57,ok,2000-03-26,14.95,14.95,14.25,14.6,32650
58,ok,2000-03-27,14.75,14.75,14.1,14.55,85242
59,ok,2000-03-28,14.65,14.9,14.5,14.75,77432
60,ok,2000-03-29,15.2,16.2,14.3,15.85,102780
61,ok,2000-03-30,15.3,15.8,15.0,15.65,46658
62,ok,2000-04-02,15.95,16.5,15.1,15.45,100919
63,ok,2000-04-03,15.2,15.5,14.1,14.35,272356
64,ok,2000-04-04,14.95,15.5,14.9,15.15,80000
65,ok,2000-04-05,15.8,15.95,15.0,15.5,128001
66,ok,2000-04-06,15.75,15.75,15.15,15.45,97596
67,ok,2000-04-09,15.7,15.95,15.1,15.55,83050
68,ok,2000-04-11,15.3,15.8,15.3,15.7,46600
69,ok,2000-04-12,15.3,15.65,15.3,15.4,27505
70,ok,2000-04-16,15.1,16.7,15.0,15.75,79197
