,s,t,o,h,l,c,v
0,ok,2000-01-02,134.95,135.0,128.75,130.15,10993
1,ok,2000-01-03,131.0,134.0,126.6,128.65,22049
2,ok,2000-01-04,128.1,134.8,125.7,126.35,20756
3,ok,2000-01-05,126.1,134.5,126.0,129.75,16043
4,ok,2000-01-06,131.0,135.0,128.0,128.8,26917
5,ok,2000-01-09,133.0,135.0,128.0,134.3,14446
6,ok,2000-01-10,135.0,139.0,130.1,132.45,17923
7,ok,2000-01-11,130.0,138.5,130.0,134.8,8241
8,ok,2000-01-12,133.8,136.9,132.3,132.4,8108
9,ok,2000-01-13,132.05,132.85,130.0,130.35,7175
10,ok,2000-01-16,133.75,133.8,131.0,131.0,5308
11,ok,2000-01-17,141.5,141.5,128.1,129.05,8164
12,ok,2000-01-18,131.5,134.0,129.65,130.0,14742
13,ok,2000-01-19,129.5,131.8,126.5,128.7,16368
14,ok,2000-01-20,129.5,129.5,122.65,124.1,21624
15,ok,2000-01-23,126.0,128.5,119.0,119.85,16416
16,ok,2000-01-24,118.95,122.0,117.0,118.1,18345
17,ok,2000-01-26,123.0,125.0,118.0,118.4,19995
18,ok,2000-01-27,119.0,119.0,113.1,113.8,17348
19,ok,2000-01-30,112.1,118.0,109.25,114.6,17478
20,ok,2000-01-31,120.0,123.8,120.0,123.8,16000
21,ok,2000-02-01,133.7,133.7,130.0,133.65,71316
22,ok,2000-02-02,137.0,137.0,126.3,127.6,34951
23,ok,2000-02-03,127.5,128.75,119.2,121.1,25819
24,ok,2000-02-06,119.4,122.0,116.0,118.75,24231
25,ok,2000-02-07,118.0,119.9,115.1,115.6,31576
26,ok,2000-02-08,119.35,121.0,117.05,117.4,14225
27,ok,2000-02-09,117.0,119.5,115.5,119.2,6757
28,ok,2000-02-10,118.0,118.5,116.0,116.5,10810
29,ok,2000-02-13,116.0,120.0,113.0,113.75,20799
30,ok,2000-02-14,110.1,116.95,110.1,113.05,18093
31,ok,2000-02-15,115.0,115.95,111.25,112.35,19048
32,ok,2000-02-16,110.0,112.5,110.0,112.15,29166
33,ok,2000-02-17,114.0,114.4,108.0,108.85,19455
34,ok,2000-02-20,109.95,111.65,107.05,107.95,19025
35,ok,2000-02-21,110.0,110.0,105.0,106.25,17757
36,ok,2000-02-22,107.95,108.0,103.7,104.5,23290
37,ok,2000-02-23,106.0,109.0,98.1,100.05,17279
38,ok,2000-02-24,95.2,103.0,95.2,97.65,14187
39,ok,2000-02-27,103.5,103.5,96.0,98.15,27284
40,ok,2000-02-28,92.5,103.0,92.5,97.45,44258
41,ok,2000-02-29,99.9,105.25,99.9,105.25,8756
42,ok,2000-03-01,113.15,113.15,100.0,100.25,23853
43,ok,2000-03-02,100.0,100.0,92.25,93.05,14331
44,ok,2000-03-05,95.0,97.0,91.5,93.3,23439
45,ok,2000-03-06,93.0,93.85,88.6,90.2,15404
46,ok,2000-03-07,90.1,97.0,86.0,92.15,11323
47,ok,2000-03-08,92.5,92.5,88.3,91.9,7629
48,ok,2000-03-09,94.0,94.0,86.05,87.5,12345
49,ok,2000-03-12,90.3,91.4,88.0,88.2,10484
50,ok,2000-03-13,90.0,95.25,89.0,94.3,22333
51,ok,2000-03-14,100.0,101.85,98.0,101.85,19440
52,ok,2000-03-15,105.0,107.0,95.25,98.5,13589
53,ok,2000-03-20,103.0,106.35,98.55,106.0,21100
54,ok,2000-03-21,112.8,114.5,111.0,112.25,38846
55,ok,2000-03-22,118.0,118.0,106.0,107.1,18041
56,ok,2000-03-23,103.6,108.0,101.2,107.25,10965
57,ok,2000-03-26,108.8,109.5,105.0,106.0,9396
58,ok,2000-03-27,105.0,107.8,101.0,106.6,20266
59,ok,2000-03-28,113.4,113.5,107.0,110.25,8822
60,ok,2000-03-29,112.0,112.0,105.0,108.0,3529
61,ok,2000-03-30,106.5,110.9,106.0,109.15,9231
62,ok,2000-04-02,111.85,117.9,110.15,117.9,18985
63,ok,2000-04-03,114.5,127.0,109.0,124.8,73475
64,ok,2000-04-04,124.0,124.7,111.3,118.65,47207
65,ok,2000-04-05,115.0,117.6,109.55,115.25,17153
66,ok,2000-04-06,120.0,120.0,112.15,114.55,38574
67,ok,2000-04-09,115.0,115.45,111.15,112.6,18125
68,ok,2000-04-11,108.95,109.9,106.1,107.45,9535
69,ok,2000-04-12,105.0,106.1,100.25,105.1,15400
70,ok,2000-04-16,101.05,105.0,98.1,104.5,11236
71,ok,2000-04-17,110.0,110.0,102.35,104.0,8581
72,ok,2000-04-18,100.15,104.0,100.0,101.4,14404
73,ok,2000-04-19,100.0,100.0,96.5,99.2,8306
74,ok,2000-04-23,98.55,99.95,94.05,94.95,16066
75,ok,2000-04-24,90.1,93.75,87.4,89.15,31102
76,ok,2000-04-25,93.5,95.8,90.65,95.15,12215
77,ok,2000-04-26,91.3,93.7,91.3,91.5,3293
78,ok,2000-04-27,89.0,91.4,88.25,90.15,8154
79,ok,2000-05-01,88.35,89.0,85.5,87.55,9839
80,ok,2000-05-02,89.85,89.85,84.05,87.2,5444
81,ok,2000-05-03,90.1,91.7,87.55,88.0,5923
82,ok,2000-05-04,88.5,91.9,87.7,90.6,6761
83,ok,2000-05-07,90.15,93.0,90.15,90.95,4504
84,ok,2000-05-08,90.0,92.0,88.5,90.95,4544
85,ok,2000-05-09,92.0,92.0,88.5,91.0,4301
86,ok,2000-05-10,88.25,89.0,84.8,85.05,11521
87,ok,2000-05-11,82.0,84.1,81.0,81.7,12930
88,ok,2000-05-14,77.1,84.0,75.25,82.25,6942
89,ok,2000-05-15,82.0,83.8,81.0,82.15,7741
90,ok,2000-05-16,84.0,84.0,81.05,82.45,2941
91,ok,2000-05-17,82.6,82.6,80.0,81.85,2129
92,ok,2000-05-18,81.85,82.0,80.05,80.9,4516
93,ok,2000-05-21,80.55,81.9,80.55,81.6,3214
