,s,t,o,h,l,c,v
0,ok,2000-01-02,530.0,562.5,530.0,539.25,1000
1,ok,2000-01-03,525.5,543.0,520.0,527.85,2300
2,ok,2000-01-04,495.0,539.0,495.0,529.1,1500
3,ok,2000-01-05,519.9,530.0,510.0,530.0,500
4,ok,2000-01-06,511.0,540.0,510.0,539.5,700
5,ok,2000-01-09,520.0,540.0,520.0,525.0,1400
6,ok,2000-01-10,523.0,523.0,485.0,497.0,3800
7,ok,2000-01-11,514.0,515.0,510.05,510.05,400
8,ok,2000-01-12,522.0,522.0,521.0,521.0,200
9,ok,2000-01-13,515.0,515.0,510.0,515.0,300
10,ok,2000-01-16,518.0,519.0,510.1,516.5,900
11,ok,2000-01-17,501.0,530.0,501.0,530.0,500
12,ok,2000-01-18,540.0,572.3,540.0,572.3,10800
13,ok,2000-01-19,600.0,618.0,590.0,599.65,6600
14,ok,2000-01-20,601.0,609.95,580.25,584.3,2700
15,ok,2000-01-23,595.0,595.5,551.0,577.2,3100
16,ok,2000-01-24,572.0,575.0,552.0,555.85,4400
17,ok,2000-01-26,600.35,600.35,597.0,599.6,18400
18,ok,2000-01-27,598.0,609.9,590.0,603.4,8100
19,ok,2000-01-30,601.4,601.4,594.0,595.65,2200
20,ok,2000-01-31,592.0,597.0,591.5,595.5,5100
21,ok,2000-02-01,597.9,597.9,587.0,590.0,2700
22,ok,2000-02-02,580.0,580.0,564.0,564.0,5900
23,ok,2000-02-03,548.8,573.95,548.8,568.6,2800
24,ok,2000-02-06,541.05,541.05,530.75,536.0,3200
25,ok,2000-02-07,529.0,549.9,520.1,545.5,3100
26,ok,2000-02-08,558.5,558.95,533.0,535.1,11200
27,ok,2000-02-09,538.0,540.0,523.0,533.85,2600
28,ok,2000-02-10,539.95,539.95,520.0,520.0,1100
29,ok,2000-02-13,521.0,521.0,486.0,498.5,2300
30,ok,2000-02-14,504.0,504.0,473.0,484.45,5100
31,ok,2000-02-15,477.0,477.0,445.75,448.5,3300
32,ok,2000-02-16,417.5,443.0,412.7,439.65,10100
33,ok,2000-02-17,445.0,455.0,435.15,449.9,2800
34,ok,2000-02-20,448.0,448.0,421.3,430.0,3100
35,ok,2000-02-21,421.0,425.0,400.1,404.05,7700
36,ok,2000-02-22,416.0,430.0,416.0,428.4,3500
37,ok,2000-02-23,431.0,439.0,426.0,426.0,2800
38,ok,2000-02-24,414.1,415.0,413.0,413.0,400
39,ok,2000-02-27,400.25,416.0,400.25,413.45,3200
40,ok,2000-02-28,420.0,445.0,402.0,408.55,7100
41,ok,2000-02-29,423.95,435.95,416.05,427.05,1800
42,ok,2000-03-01,436.0,436.0,401.1,419.0,4500
43,ok,2000-03-02,401.0,401.0,385.5,385.5,1400
44,ok,2000-03-05,373.0,373.0,354.8,355.5,3700
45,ok,2000-03-06,365.0,365.0,333.0,348.5,4700
46,ok,2000-03-07,345.0,359.0,345.0,357.0,800
47,ok,2000-03-08,350.0,362.95,340.0,345.0,900
48,ok,2000-03-09,321.05,344.9,321.05,340.0,1000
49,ok,2000-03-12,360.0,367.2,360.0,367.2,600
50,ok,2000-03-13,380.0,396.6,380.0,391.65,6600
51,ok,2000-03-14,419.0,422.0,400.0,421.5,4200
52,ok,2000-03-15,450.0,455.0,425.0,440.0,3600
53,ok,2000-03-20,450.0,459.0,432.05,444.25,7000
54,ok,2000-03-21,459.95,479.7,449.0,475.0,1900
55,ok,2000-03-22,504.5,512.25,490.0,512.0,3800
56,ok,2000-03-23,512.0,512.0,474.0,490.0,2000
57,ok,2000-03-26,470.0,471.9,462.2,462.2,1800
58,ok,2000-03-27,451.0,451.0,425.5,425.55,1400
59,ok,2000-03-28,438.7,440.0,437.0,438.75,500
60,ok,2000-03-29,415.0,415.0,408.0,408.0,400
61,ok,2000-03-30,400.0,430.0,400.0,428.25,1100
62,ok,2000-04-02,430.0,430.0,417.0,423.75,600
63,ok,2000-04-03,400.0,400.0,389.85,389.85,2800
64,ok,2000-04-04,390.0,399.85,375.0,399.85,1800
65,ok,2000-04-05,390.0,390.0,368.0,372.45,2000
66,ok,2000-04-06,394.95,402.25,394.95,402.25,800
67,ok,2000-04-09,410.0,421.8,391.2,421.8,2000
68,ok,2000-04-12,376.25,404.95,376.25,404.95,200
69,ok,2000-04-16,399.95,399.95,376.1,385.15,900
70,ok,2000-04-17,376.5,400.0,376.5,385.0,1600
71,ok,2000-04-18,391.0,399.0,376.25,376.25,2600
72,ok,2000-04-19,355.1,365.6,346.5,349.7,2700
73,ok,2000-04-23,349.0,349.0,322.0,322.0,2100
74,ok,2000-04-24,300.25,306.0,300.25,304.6,1600
75,ok,2000-04-25,319.4,328.95,319.4,328.95,1000
76,ok,2000-04-26,330.0,330.0,320.5,320.5,500
77,ok,2000-04-27,310.0,310.1,300.1,302.85,1400
78,ok,2000-05-01,300.05,300.05,278.8,279.0,1700
79,ok,2000-05-02,270.25,287.4,270.2,271.6,5800
80,ok,2000-05-03,288.95,289.0,249.9,249.9,8100
81,ok,2000-05-04,235.1,244.0,229.95,229.95,17200
82,ok,2000-05-07,216.05,233.95,216.05,227.7,2000
83,ok,2000-05-08,225.0,241.85,225.0,239.65,2500
84,ok,2000-05-09,242.0,254.0,230.0,232.0,5200
85,ok,2000-05-10,222.05,222.05,213.75,213.75,4900
86,ok,2000-05-11,210.0,219.9,210.0,216.85,2400
87,ok,2000-05-14,209.9,221.7,209.9,219.15,1400
88,ok,2000-05-15,219.85,220.0,214.05,219.5,1900
89,ok,2000-05-16,220.0,232.0,220.0,232.0,1500
90,ok,2000-05-17,231.8,232.0,231.8,232.0,400
91,ok,2000-05-18,236.0,247.9,236.0,245.0,1200
92,ok,2000-05-21,240.0,249.8,237.05,241.25,900
93,ok,2000-05-22,252.95,252.95,230.05,245.0,1100
94,ok,2000-05-23,251.0,251.0,251.0,251.0,100
95,ok,2000-05-24,250.0,255.0,246.05,252.0,500
96,ok,2000-05-25,240.25,261.0,240.25,261.0,1100
97,ok,2000-05-28,261.65,278.0,261.65,278.0,1000
98,ok,2000-05-29,280.0,299.6,280.0,296.75,2400
99,ok,2000-05-30,318.85,320.0,292.05,297.25,10400
100,ok,2000-05-31,319.0,319.0,285.0,290.0,5800
101,ok,2000-06-01,292.0,295.4,288.05,293.7,2400
