,s,t,o,h,l,c,v
0,ok,2018-10-30,39.0,40.0,39.0,40.0,9000
1,ok,2018-10-31,40.5,40.5,40.5,40.5,3000
2,ok,2018-11-04,40.5,40.5,40.0,40.0,9000
3,ok,2018-11-05,40.5,46.0,40.5,45.95,15000
4,ok,2018-11-06,45.95,47.95,45.95,47.85,27000
5,ok,2018-11-08,48.0,50.0,48.0,49.95,18000
6,ok,2018-11-11,51.0,51.0,51.0,51.0,6000
7,ok,2018-11-12,52.0,52.0,51.0,51.0,9000
8,ok,2018-11-13,52.0,52.0,52.0,52.0,6000
9,ok,2018-11-19,51.0,51.0,49.0,49.0,12000
10,ok,2018-11-21,47.0,47.0,41.0,44.3,42000
11,ok,2018-11-25,43.5,48.5,43.5,48.5,21000
12,ok,2018-11-26,48.45,48.45,47.5,47.5,6000
13,ok,2018-11-28,48.0,48.0,48.0,48.0,3000
14,ok,2018-11-29,48.0,48.0,48.0,48.0,3000
15,ok,2018-12-02,46.05,48.25,45.5,48.25,120000
16,ok,2018-12-03,48.5,48.5,48.5,48.5,3000
17,ok,2018-12-06,49.0,49.0,49.0,49.0,15000
18,ok,2018-12-27,49.5,49.5,49.5,49.5,3000
19,ok,2018-12-31,47.0,47.0,47.0,47.0,3000
20,ok,2019-01-06,47.0,48.0,47.0,48.0,6000
21,ok,2019-01-07,46.5,49.0,46.0,49.0,18000
22,ok,2019-01-08,48.5,48.5,48.5,48.5,3000
23,ok,2019-01-09,49.0,49.0,49.0,49.0,3000
24,ok,2019-01-16,47.0,47.0,47.0,47.0,3000
25,ok,2019-01-20,46.5,46.5,46.5,46.5,3000
26,ok,2019-01-21,45.5,45.5,45.5,45.5,6000
27,ok,2019-01-22,45.0,45.0,44.0,44.2,27000
28,ok,2019-01-24,49.1,52.0,49.1,51.4,33000
29,ok,2019-01-27,46.0,47.0,46.0,47.0,6000
30,ok,2019-02-04,46.0,46.0,46.0,46.0,3000
31,ok,2019-02-05,46.0,46.0,46.0,46.0,3000
32,ok,2019-02-10,46.0,46.0,45.5,45.5,6000
33,ok,2019-02-12,46.0,46.0,46.0,46.0,3000
34,ok,2019-02-13,47.0,47.0,47.0,47.0,138000
35,ok,2019-03-05,48.0,48.0,48.0,48.0,6000
36,ok,2019-03-07,49.9,49.9,49.9,49.9,24000
37,ok,2019-03-10,48.0,48.0,46.0,46.0,9000
38,ok,2019-03-12,48.5,48.5,46.0,46.0,9000
39,ok,2019-03-14,45.5,47.9,45.5,47.9,21000
40,ok,2019-03-17,46.0,54.0,46.0,48.0,39000
41,ok,2019-03-18,47.0,47.0,47.0,47.0,3000
42,ok,2019-03-19,46.55,48.95,46.55,47.0,12000
43,ok,2019-03-27,47.0,47.0,47.0,47.0,6000
44,ok,2019-04-08,47.5,47.5,47.5,47.5,3000
45,ok,2019-04-11,48.0,48.0,48.0,48.0,6000
46,ok,2019-04-14,46.0,46.0,46.0,46.0,3000
