,s,t,o,h,l,c,v
0,ok,2015-05-07,13.61,13.61,13.61,13.61,13542
1,ok,2015-05-10,14.28,14.28,14.28,14.28,400317
2,ok,2015-05-11,14.62,14.98,13.73,14.98,3577052
3,ok,2015-05-12,15.41,15.72,15.24,15.72,891118
4,ok,2015-05-13,16.49,16.49,15.72,16.49,1461458
5,ok,2015-05-14,16.9,16.9,15.67,15.67,836015
6,ok,2015-05-17,15.62,15.62,14.9,14.9,514772
7,ok,2015-05-18,14.47,15.65,14.4,15.65,264717
8,ok,2015-05-19,16.18,16.32,15.6,15.89,436985
9,ok,2015-05-20,16.32,16.68,15.43,16.34,1194757
10,ok,2015-05-21,16.8,17.16,16.54,17.06,1645755
11,ok,2015-05-24,17.62,17.66,16.82,17.26,765667
12,ok,2015-05-25,17.26,17.5,16.42,16.42,1140633
13,ok,2015-05-26,16.08,16.08,15.6,15.6,1354313
14,ok,2015-05-27,15.19,16.37,15.19,16.37,654273
15,ok,2015-05-28,16.73,17.18,15.84,17.18,987332
16,ok,2015-05-31,17.76,18.02,17.04,17.57,1393735
17,ok,2015-06-01,17.98,18.12,17.18,17.3,687490
18,ok,2015-06-02,17.95,17.95,16.44,16.49,876255
19,ok,2015-06-03,15.74,17.3,15.74,17.3,564757
20,ok,2015-06-04,17.04,18.89,16.8,18.5,2356960
21,ok,2015-06-07,18.72,19.2,18.36,18.62,1208100
22,ok,2015-06-08,18.84,20.47,18.72,20.45,3311585
23,ok,2015-06-09,21.02,22.37,20.74,22.27,3815672
24,ok,2015-06-10,22.61,22.66,21.17,21.17,1057232
25,ok,2015-06-11,20.11,20.11,20.11,20.11,30647
26,ok,2015-06-14,19.13,19.66,19.13,19.13,1060318
27,ok,2015-06-15,18.43,19.61,18.41,18.82,2230838
28,ok,2015-06-16,19.18,19.58,18.41,18.6,1179755
29,ok,2015-06-17,18.55,18.6,17.69,17.69,534238
30,ok,2015-06-18,17.09,18.55,16.82,17.52,1851130
31,ok,2015-06-21,17.33,18.19,16.94,17.35,776532
32,ok,2015-06-22,17.62,18.22,17.21,18.19,763122
33,ok,2015-06-23,18.41,19.08,17.83,18.19,1374023
34,ok,2015-06-24,18.19,18.19,17.52,17.71,373485
35,ok,2015-06-25,17.4,18.0,17.33,17.45,524630
36,ok,2015-06-28,16.85,17.02,16.58,16.63,540377
37,ok,2015-06-29,16.03,16.75,15.82,15.82,1448177
38,ok,2015-06-30,16.46,16.58,15.12,15.41,1563908
39,ok,2015-07-01,15.55,16.18,15.29,16.15,2202513
40,ok,2015-07-02,15.48,16.13,15.36,15.36,2035792
41,ok,2015-07-05,14.66,16.01,14.62,15.1,1380017
42,ok,2015-07-06,15.02,15.84,15.02,15.77,2798955
43,ok,2015-07-07,15.62,16.54,15.48,16.46,2654440
44,ok,2015-07-08,16.46,17.04,15.86,15.94,1369943
45,ok,2015-07-09,16.22,16.32,15.36,15.6,807583
46,ok,2015-07-12,15.41,15.98,15.41,15.84,1023650
47,ok,2015-07-13,15.72,16.3,15.72,15.84,818073
48,ok,2015-07-14,15.94,16.54,15.91,16.22,737760
49,ok,2015-07-15,16.32,16.73,15.94,16.1,1212332
50,ok,2015-07-16,15.89,16.25,15.77,15.86,966485
51,ok,2015-07-19,15.89,16.01,15.6,15.77,1511850
52,ok,2015-07-20,15.94,16.22,15.5,15.55,1497492
53,ok,2015-07-21,15.41,15.84,15.41,15.7,971780
54,ok,2015-07-22,15.84,16.46,15.6,16.46,1352952
55,ok,2015-07-23,16.73,17.14,15.86,15.96,1156882
56,ok,2015-07-26,15.98,15.98,15.17,15.24,636865
57,ok,2015-07-27,15.26,15.6,14.74,14.93,781815
58,ok,2015-07-28,15.1,15.67,14.88,15.67,680218
59,ok,2015-07-29,16.03,16.18,15.02,15.07,950968
60,ok,2015-07-30,15.1,15.65,14.93,15.14,733858
61,ok,2015-08-02,15.36,15.89,15.31,15.86,1128760
62,ok,2015-08-03,16.2,16.27,15.67,15.72,863768
63,ok,2015-08-04,16.22,16.22,15.6,15.96,864450
64,ok,2015-08-05,15.77,16.08,15.62,15.98,503777
65,ok,2015-08-06,16.15,17.57,16.15,17.47,2978857
66,ok,2015-08-09,17.86,18.62,17.28,17.69,2741555
67,ok,2015-08-10,18.72,19.03,17.42,17.66,2786642
68,ok,2015-08-11,17.57,17.93,15.91,15.91,4034068
69,ok,2015-08-12,16.68,16.68,14.45,14.64,1957968
70,ok,2015-08-13,14.4,15.36,14.4,14.86,1449958
71,ok,2015-08-16,14.88,15.6,14.71,15.1,787415
72,ok,2015-08-17,15.0,15.65,14.93,15.02,1031940
73,ok,2015-08-18,15.31,15.36,14.93,15.02,789880
74,ok,2015-08-19,14.88,15.26,13.75,13.99,1333225
75,ok,2015-08-20,13.92,14.83,13.25,14.69,1050898
76,ok,2015-08-23,13.92,14.16,13.22,13.22,1612952
77,ok,2015-08-24,13.18,13.58,11.9,12.43,1865018
78,ok,2015-08-25,12.96,13.66,12.24,12.96,985352
79,ok,2015-08-26,13.63,13.63,13.06,13.25,657443
80,ok,2015-08-27,13.34,13.44,12.72,13.01,1011590
81,ok,2015-08-30,12.62,13.25,12.62,13.03,680202
82,ok,2015-08-31,12.96,13.08,12.12,12.53,1077590
83,ok,2015-09-01,12.26,12.86,12.24,12.43,991535
84,ok,2015-09-02,12.48,12.77,12.12,12.26,1052160
85,ok,2015-09-03,12.05,12.53,11.14,11.26,904772
86,ok,2015-09-06,11.26,11.64,10.15,10.15,5299390
87,ok,2015-09-07,10.06,10.06,9.65,9.65,276375
88,ok,2015-09-08,9.46,10.13,9.17,10.13,978908
89,ok,2015-09-09,10.49,10.63,10.2,10.63,1340497
90,ok,2015-09-10,11.16,11.16,11.16,11.16,62433
91,ok,2015-09-13,11.71,11.71,11.28,11.71,1394373
92,ok,2015-09-14,12.29,12.29,11.42,11.9,7837130
93,ok,2015-09-15,12.36,12.48,12.12,12.48,1325288
94,ok,2015-09-17,12.82,13.1,12.67,13.1,1922302
95,ok,2015-09-20,13.58,13.75,12.46,12.5,3315183
96,ok,2015-09-21,12.48,12.48,11.88,11.88,1488243
97,ok,2015-09-22,11.95,12.46,11.33,12.38,2032392
98,ok,2015-09-23,12.36,12.77,11.9,12.05,1006693
99,ok,2015-09-27,12.43,12.65,12.0,12.65,746935
100,ok,2015-09-28,12.62,13.27,12.07,13.27,790213
101,ok,2015-09-29,13.56,13.9,13.03,13.2,1255657
102,ok,2015-09-30,13.22,13.49,12.77,12.98,619563
103,ok,2015-10-04,13.34,13.34,12.65,12.74,661875
104,ok,2015-10-05,12.94,12.96,12.14,12.31,592073
105,ok,2015-10-06,12.7,12.91,11.86,12.89,1021793
106,ok,2015-10-07,12.91,13.2,12.34,12.58,634115
107,ok,2015-10-08,12.5,13.08,12.26,12.58,543663
108,ok,2015-10-11,12.72,12.86,12.12,12.34,682860
109,ok,2015-10-12,12.55,12.94,12.05,12.94,936293
110,ok,2015-10-13,13.06,13.34,12.74,12.96,828257
111,ok,2015-10-14,13.2,13.2,12.65,12.7,794850
112,ok,2015-10-15,12.94,12.94,12.55,12.65,456117
113,ok,2015-10-18,13.15,13.15,12.5,12.6,475068
114,ok,2015-10-19,12.6,12.7,12.41,12.48,727133
115,ok,2015-10-20,12.84,12.84,12.41,12.48,653933
116,ok,2015-10-22,12.5,12.82,12.48,12.6,872717
117,ok,2015-10-25,12.72,12.96,12.5,12.7,956780
118,ok,2015-10-26,12.79,13.32,12.55,13.32,3115475
119,ok,2015-10-27,13.75,13.97,13.1,13.49,1646268
120,ok,2015-10-28,13.49,13.78,13.13,13.63,560057
121,ok,2015-10-29,13.68,13.87,13.3,13.34,428467
122,ok,2015-11-01,13.39,13.68,13.13,13.46,1623142
123,ok,2015-11-02,13.75,14.14,13.39,13.61,1992043
124,ok,2015-11-03,13.68,13.82,13.42,13.44,542817
125,ok,2015-11-04,13.42,13.87,13.42,13.58,425858
126,ok,2015-11-05,13.7,14.06,13.61,13.82,613773
127,ok,2015-11-08,13.44,13.78,13.22,13.49,994982
128,ok,2015-11-09,13.44,13.63,12.91,12.98,450427
129,ok,2015-11-10,13.56,13.56,13.18,13.27,269342
130,ok,2015-11-12,13.58,13.82,13.25,13.66,783577
131,ok,2015-11-15,13.9,15.0,13.87,14.74,3271013
132,ok,2015-11-16,14.88,16.2,14.74,16.2,3769835
133,ok,2015-11-17,16.68,17.69,15.65,17.02,4703977
134,ok,2015-11-18,17.28,17.76,16.18,16.25,3791202
135,ok,2015-11-19,16.06,16.56,15.46,15.6,1814133
136,ok,2015-11-22,15.82,15.82,15.0,15.14,1066777
137,ok,2015-11-23,15.36,15.36,14.5,14.57,1229592
138,ok,2015-11-25,14.47,15.29,14.45,15.24,3393733
139,ok,2015-11-26,15.5,15.5,14.62,14.64,1045488
140,ok,2015-11-29,14.88,14.88,14.28,14.45,1101130
141,ok,2015-11-30,14.45,15.0,14.16,14.74,1679072
142,ok,2015-12-01,15.07,15.24,14.78,15.1,1070225
143,ok,2015-12-02,15.29,15.29,14.71,14.78,647258
144,ok,2015-12-03,14.59,14.81,14.35,14.47,1441038
145,ok,2015-12-06,14.88,14.88,14.21,14.28,458263
146,ok,2015-12-07,14.16,14.47,13.7,13.85,736802
147,ok,2015-12-08,13.92,13.92,13.06,13.13,1003975
148,ok,2015-12-09,12.72,14.23,12.72,13.63,590030
149,ok,2015-12-10,13.73,13.97,13.01,13.3,507493
150,ok,2015-12-13,12.77,13.97,12.77,13.63,604988
151,ok,2015-12-14,13.66,13.85,13.2,13.32,333155
152,ok,2015-12-15,13.54,13.7,13.13,13.3,684638
153,ok,2015-12-16,13.56,13.92,13.2,13.73,582940
154,ok,2015-12-17,13.92,13.97,13.44,13.7,642375
155,ok,2015-12-20,13.87,14.78,13.49,14.28,1259032
156,ok,2015-12-21,14.35,15.7,14.35,15.55,3650502
157,ok,2015-12-22,15.77,16.27,15.41,15.65,1648882
158,ok,2015-12-23,15.82,15.82,15.12,15.19,550200
159,ok,2015-12-27,15.5,15.5,14.74,14.98,1008702
160,ok,2015-12-28,15.22,15.22,14.59,14.64,654257
161,ok,2015-12-29,14.88,15.1,14.66,14.71,334102
162,ok,2015-12-30,14.83,15.0,14.5,14.62,357935
163,ok,2015-12-31,14.62,16.39,14.62,15.82,3648083
164,ok,2016-01-03,15.84,16.8,15.6,16.66,2937613
165,ok,2016-01-04,16.87,17.57,16.56,16.75,4313477
166,ok,2016-01-05,16.78,17.35,16.34,16.56,2872805
167,ok,2016-01-06,16.08,16.3,15.36,15.77,1772455
168,ok,2016-01-07,15.72,16.18,15.12,15.41,1542682
169,ok,2016-01-10,15.31,15.84,14.9,15.62,1395582
170,ok,2016-01-11,15.6,15.79,14.69,15.0,852788
171,ok,2016-01-12,15.22,15.31,13.56,14.3,1591132
172,ok,2016-01-13,13.01,14.4,12.96,13.82,840230
173,ok,2016-01-14,14.4,14.69,12.72,12.91,1371857
174,ok,2016-01-17,12.55,13.2,11.04,11.86,1656380
175,ok,2016-01-18,11.76,12.86,11.28,12.02,5158000
176,ok,2016-01-19,12.07,12.19,11.16,11.59,1415768
177,ok,2016-01-20,11.93,12.48,11.76,11.95,3493213
178,ok,2016-01-21,12.48,12.77,11.76,12.48,3986207
179,ok,2016-01-24,12.77,13.44,12.48,13.13,2197233
180,ok,2016-01-26,13.2,13.51,12.7,12.82,850485
181,ok,2016-01-27,12.82,13.01,12.6,12.65,935855
182,ok,2016-01-28,12.67,13.25,12.67,13.06,951308
183,ok,2016-01-31,13.15,13.58,13.15,13.39,1595397
184,ok,2016-02-01,13.46,14.4,13.46,13.7,1960332
185,ok,2016-02-02,13.54,14.09,12.82,13.13,1208685
186,ok,2016-02-03,13.46,13.58,12.67,12.74,943365
187,ok,2016-02-04,12.55,13.3,12.55,13.18,548685
188,ok,2016-02-07,14.4,15.1,13.7,14.11,9531275
189,ok,2016-02-08,14.26,14.95,13.51,14.45,3430205
190,ok,2016-02-09,14.28,14.4,13.01,13.22,2556122
191,ok,2016-02-10,13.2,13.2,11.88,12.1,1719210
192,ok,2016-02-11,12.46,12.46,10.68,11.93,1619182
193,ok,2016-02-14,12.26,13.08,12.24,12.96,983373
194,ok,2016-02-15,13.06,13.25,11.81,11.9,948647
195,ok,2016-02-16,12.0,12.0,10.99,11.88,1014017
196,ok,2016-02-17,12.07,12.24,11.09,11.3,1632140
197,ok,2016-02-18,11.35,11.78,11.09,11.5,445910
198,ok,2016-02-21,11.52,12.29,11.3,11.88,775140
199,ok,2016-02-22,12.0,12.0,11.42,11.66,424068
200,ok,2016-02-23,11.83,11.83,10.94,11.04,965540
201,ok,2016-02-24,11.28,11.28,10.75,10.82,423915
202,ok,2016-02-25,11.09,11.11,10.73,10.87,893667
203,ok,2016-02-28,10.75,11.11,10.75,10.82,1137827
204,ok,2016-02-29,10.87,11.57,10.63,11.47,799313
205,ok,2016-03-01,11.78,12.48,11.42,11.57,852157
206,ok,2016-03-02,11.74,12.29,11.54,12.07,769677
207,ok,2016-03-03,12.19,12.43,11.64,11.81,1004392
208,ok,2016-03-07,11.81,12.19,11.66,11.81,675780
209,ok,2016-03-08,11.71,11.86,11.28,11.35,1091530
210,ok,2016-03-09,11.52,11.88,11.38,11.78,1200033
211,ok,2016-03-10,11.66,12.07,11.62,11.69,545817
212,ok,2016-03-13,11.98,11.98,11.33,11.62,815532
213,ok,2016-03-14,11.78,11.78,11.28,11.38,492780
214,ok,2016-03-15,11.35,11.35,9.12,9.12,10738897
215,ok,2016-03-16,8.47,10.25,8.23,9.74,10837418
216,ok,2016-03-17,10.01,10.46,9.5,9.82,2663875
217,ok,2016-03-20,10.08,10.1,9.43,9.5,1187010
218,ok,2016-03-21,9.79,9.79,9.07,9.14,1063307
219,ok,2016-03-22,9.24,9.48,8.69,8.88,945498
220,ok,2016-03-27,8.88,9.29,8.88,8.95,1427827
221,ok,2016-03-28,8.88,9.07,7.99,8.11,1840523
222,ok,2016-03-29,8.4,8.42,6.84,8.16,3647302
223,ok,2016-03-30,8.16,9.34,7.87,9.02,1613172
224,ok,2016-03-31,9.12,9.5,8.83,9.24,815782
225,ok,2016-04-03,9.58,10.22,9.5,9.79,2285515
226,ok,2016-04-04,9.82,9.89,9.19,9.43,885033
227,ok,2016-04-05,9.5,9.82,9.36,9.72,1170363
228,ok,2016-04-06,9.77,9.84,9.41,9.58,830075
229,ok,2016-04-07,9.58,9.6,9.12,9.22,681185
230,ok,2016-04-10,9.22,9.41,9.02,9.1,876963
231,ok,2016-04-11,9.19,9.36,8.74,8.83,589963
232,ok,2016-04-12,9.02,9.12,8.62,8.74,915182
233,ok,2016-04-17,8.35,8.86,8.35,8.52,1249558
234,ok,2016-04-19,8.86,9.46,8.69,9.26,9526402
235,ok,2016-04-20,9.5,9.84,9.43,9.65,4132697
236,ok,2016-04-21,9.6,10.03,9.41,9.7,4358422
237,ok,2016-04-24,9.79,9.84,9.38,9.5,3413443
238,ok,2016-04-25,9.31,9.62,8.76,9.02,1391415
239,ok,2016-04-26,9.07,9.17,8.64,8.83,2496763
240,ok,2016-04-27,9.05,9.05,8.76,8.81,519427
241,ok,2016-04-28,9.0,9.26,8.69,8.9,6268393
242,ok,2016-05-01,8.9,9.07,8.59,8.69,2541633
243,ok,2016-05-02,8.71,8.98,8.64,8.71,4940283
244,ok,2016-05-03,8.74,8.9,8.74,8.76,630825
245,ok,2016-05-04,8.86,8.93,8.59,8.66,667492
246,ok,2016-05-05,8.74,8.81,8.52,8.62,454783
247,ok,2016-05-08,8.74,8.83,8.54,8.62,522343
248,ok,2016-05-09,8.71,8.78,8.38,8.45,2322583
249,ok,2016-05-10,8.54,8.54,7.94,8.14,745597
250,ok,2016-05-11,8.16,8.42,8.16,8.3,659832
251,ok,2016-05-12,8.4,8.4,8.06,8.26,436917
252,ok,2016-05-15,8.33,8.35,7.68,7.8,1032785
253,ok,2016-05-16,7.87,8.04,7.63,7.9,898330
254,ok,2016-05-17,8.26,8.26,7.82,7.87,313377
255,ok,2016-05-18,7.9,8.04,7.82,7.87,292257
256,ok,2016-05-19,7.92,7.97,7.56,7.63,941582
257,ok,2016-05-22,7.8,7.85,7.44,7.61,745427
258,ok,2016-05-23,7.63,7.73,7.44,7.54,3095180
259,ok,2016-05-24,7.8,7.8,7.34,7.44,1381297
260,ok,2016-05-25,7.46,8.74,7.34,8.4,3032350
261,ok,2016-05-26,8.62,9.26,8.52,9.12,2179297
262,ok,2016-05-29,9.58,9.84,8.28,8.78,2062047
263,ok,2016-05-30,9.02,9.65,9.0,9.55,2319375
264,ok,2016-05-31,9.72,9.74,9.14,9.24,943718
265,ok,2016-06-01,9.14,9.14,8.81,8.88,705325
266,ok,2016-06-02,8.86,8.88,8.38,8.54,923730
267,ok,2016-06-05,8.62,8.64,8.02,8.06,905998
268,ok,2016-06-06,8.16,8.21,7.87,7.99,868980
269,ok,2016-06-07,8.04,8.57,7.97,8.16,1049692
270,ok,2016-06-08,8.18,8.35,8.06,8.11,1152835
271,ok,2016-06-09,8.3,8.3,7.82,7.9,1319218
272,ok,2016-06-12,7.7,7.99,7.27,7.68,1156385
