,s,t,o,h,l,c,v
0,ok,2022-06-12,860.0,920.0,856.65,891.05,35240
1,ok,2022-06-13,900.9,907.55,880.35,898.2,28868
2,ok,2022-06-14,912.0,912.0,877.0,885.75,19270
3,ok,2022-06-15,893.05,901.9,830.0,839.8,26846
4,ok,2022-06-16,830.05,878.85,821.4,856.8,23874
5,ok,2022-06-19,850.0,853.1,813.65,825.95,19984
6,ok,2022-06-20,834.0,925.0,832.35,837.8,25254
7,ok,2022-06-21,837.8,837.8,815.0,820.75,15922
8,ok,2022-06-22,827.1,848.65,812.3,818.3,71433
9,ok,2022-06-23,829.8,842.15,805.6,822.55,52741
10,ok,2022-06-26,835.1,850.0,829.05,836.1,26162
11,ok,2022-06-27,844.45,844.45,825.0,834.05,23319
12,ok,2022-06-28,823.5,848.2,820.05,833.05,57136
13,ok,2022-06-29,833.0,857.0,820.0,822.75,37223
14,ok,2022-06-30,824.6,873.0,798.1,850.8,53425
15,ok,2022-07-03,840.0,928.0,840.0,915.0,40719
16,ok,2022-07-04,925.1,984.0,910.25,954.6,87902
17,ok,2022-07-05,965.15,998.0,942.4,957.25,33532
18,ok,2022-07-06,966.25,984.85,933.0,946.35,25433
19,ok,2022-07-07,958.5,974.0,925.0,933.05,24030
20,ok,2022-07-10,933.1,950.0,922.0,933.35,24967
21,ok,2022-07-11,933.35,960.0,922.35,939.3,61589
22,ok,2022-07-12,950.55,959.95,940.0,949.75,33607
23,ok,2022-07-13,970.0,970.0,917.95,927.95,30674
24,ok,2022-07-14,934.0,984.0,921.95,967.7,50066
25,ok,2022-07-17,970.0,980.0,952.65,961.45,20054
26,ok,2022-07-18,960.0,1039.0,951.1,999.3,102386
27,ok,2022-07-19,1005.0,1005.0,972.4,980.05,20989
28,ok,2022-07-20,983.0,1012.0,970.0,974.4,23471
29,ok,2022-07-21,974.95,989.0,951.0,958.7,29021
30,ok,2022-07-24,960.0,975.0,938.95,959.6,25156
31,ok,2022-07-25,945.2,971.0,922.75,931.3,36062
32,ok,2022-07-26,945.2,970.7,930.3,954.1,54318
33,ok,2022-07-27,969.0,991.4,950.0,961.1,34417
34,ok,2022-07-28,968.95,973.95,955.0,957.1,23095
35,ok,2022-07-31,969.5,981.9,960.35,969.8,50486
36,ok,2022-08-01,979.0,989.6,952.0,969.1,23455
37,ok,2022-08-02,956.0,980.0,952.5,957.05,22139
38,ok,2022-08-03,961.75,973.0,957.0,961.2,29491
39,ok,2022-08-04,969.85,1008.0,955.05,968.75,88984
40,ok,2022-08-07,994.0,994.0,963.95,969.2,76415
41,ok,2022-08-09,978.25,978.45,950.1,964.95,36209
42,ok,2022-08-10,985.0,985.0,942.8,948.95,19049
43,ok,2022-08-11,950.5,974.0,944.05,954.8,26875
44,ok,2022-08-15,965.25,965.25,945.0,951.15,15353
45,ok,2022-08-16,959.25,960.0,930.05,934.6,127391
46,ok,2022-08-17,934.6,943.25,916.95,921.25,33366
47,ok,2022-08-18,917.0,936.65,905.0,908.35,23874
48,ok,2022-08-21,910.0,935.0,876.95,908.9,27619
49,ok,2022-08-22,915.0,961.75,909.0,915.45,39539
50,ok,2022-08-23,916.0,929.0,893.85,901.05,51028
51,ok,2022-08-24,909.25,934.9,905.85,915.2,24053
52,ok,2022-08-25,923.3,939.95,905.0,909.7,55505
53,ok,2022-08-28,893.25,946.95,890.0,922.9,42475
54,ok,2022-08-29,929.25,1107.45,915.5,1107.45,1815549
55,ok,2022-08-31,1175.0,1328.9,1150.0,1306.95,1490877
56,ok,2022-09-01,1306.0,1322.0,1219.0,1231.75,578048
57,ok,2022-09-04,1261.0,1298.5,1235.0,1247.35,110821
58,ok,2022-09-05,1249.95,1259.95,1209.6,1221.65,42235
59,ok,2022-09-06,1214.45,1268.65,1204.15,1254.35,86747
60,ok,2022-09-07,1261.95,1280.0,1215.05,1224.85,55745
61,ok,2022-09-08,1235.8,1278.0,1223.9,1251.3,93511
62,ok,2022-09-11,1250.0,1345.0,1242.05,1310.0,137125
63,ok,2022-09-12,1339.0,1360.0,1260.0,1269.6,138586
64,ok,2022-09-13,1255.0,1278.0,1238.3,1250.2,43202
65,ok,2022-09-14,1274.9,1315.0,1237.05,1269.25,60426
66,ok,2022-09-15,1275.0,1275.0,1210.0,1223.25,36670
67,ok,2022-09-18,1220.0,1245.0,1178.55,1212.1,76260
68,ok,2022-09-19,1209.45,1279.8,1198.05,1252.2,1145485
69,ok,2022-09-20,1259.9,1309.05,1242.55,1260.9,450621
70,ok,2022-09-21,1253.6,1290.0,1236.0,1265.0,75903
71,ok,2022-09-22,1268.8,1282.0,1227.05,1238.75,56857
72,ok,2022-09-25,1229.85,1243.0,1161.3,1198.0,107135
73,ok,2022-09-26,1198.0,1245.0,1170.0,1227.7,343089
74,ok,2022-09-27,1215.0,1260.0,1206.45,1217.8,104892
75,ok,2022-09-28,1239.0,1249.9,1190.1,1200.0,39587
76,ok,2022-09-29,1210.0,1293.65,1189.9,1255.5,221128
77,ok,2022-10-02,1243.0,1340.0,1231.1,1276.25,172651
78,ok,2022-10-03,1291.1,1330.0,1283.85,1304.5,75784
79,ok,2022-10-05,1310.0,1349.5,1290.0,1327.65,97360
80,ok,2022-10-06,1336.0,1430.0,1316.45,1402.1,358472
81,ok,2022-10-09,1382.15,1441.0,1382.0,1392.3,154809
82,ok,2022-10-10,1400.0,1413.45,1330.0,1340.8,88106
83,ok,2022-10-11,1341.0,1357.45,1291.35,1328.75,68669
84,ok,2022-10-12,1328.9,1336.85,1281.0,1303.45,58206
85,ok,2022-10-13,1326.85,1383.0,1271.0,1283.8,49174
86,ok,2022-10-16,1284.0,1346.95,1275.8,1325.45,169241
87,ok,2022-10-17,1346.0,1457.95,1329.0,1431.55,446390
88,ok,2022-10-18,1444.95,1520.0,1421.4,1474.35,350526
89,ok,2022-10-19,1453.0,1519.25,1443.6,1513.2,262002
90,ok,2022-10-20,1544.0,1555.15,1455.0,1525.3,1125428
91,ok,2022-10-23,1607.0,1607.0,1533.0,1567.25,537510
92,ok,2022-10-24,1550.0,1599.5,1533.0,1542.55,209043
93,ok,2022-10-26,1560.0,1560.0,1489.2,1500.4,176216
94,ok,2022-10-27,1512.95,1512.95,1485.75,1505.2,74267
