,s,t,o,h,l,c,v
0,ok,2008-01-02,840.0,922.7,840.0,901.45,8229039
1,ok,2008-01-03,905.0,989.0,880.05,903.55,3841192
2,ok,2008-01-06,914.0,914.0,871.15,886.65,1428489
3,ok,2008-01-07,945.55,945.55,820.0,838.5,534033
4,ok,2008-01-08,750.0,869.0,750.0,819.85,801716
5,ok,2008-01-09,840.0,840.0,770.0,779.9,309836
6,ok,2008-01-10,793.0,803.0,745.2,785.05,397472
7,ok,2008-01-13,774.8,787.0,757.0,775.8,208940
8,ok,2008-01-14,780.0,842.7,769.0,779.55,484298
9,ok,2008-01-15,768.6,770.0,720.0,737.95,334431
10,ok,2008-01-16,753.0,764.0,738.0,752.0,182511
11,ok,2008-01-17,779.0,779.0,712.25,728.0,173963
12,ok,2008-01-20,723.0,723.0,635.3,661.45,161002
13,ok,2008-01-21,550.0,630.0,529.2,546.95,76820
14,ok,2008-01-22,570.0,620.0,520.0,601.35,170526
15,ok,2008-01-23,616.0,625.0,570.6,599.35,121369
16,ok,2008-01-24,616.25,655.0,600.0,648.9,96319
17,ok,2008-01-27,650.0,650.0,581.0,619.6,86656
18,ok,2008-01-28,622.0,642.9,615.0,617.2,31557
19,ok,2008-01-29,619.5,620.0,603.0,610.5,44051
20,ok,2008-01-30,611.0,634.9,586.1,625.7,52158
21,ok,2008-01-31,616.5,623.0,595.0,612.45,59884
22,ok,2008-02-03,650.0,711.0,617.0,699.95,255981
23,ok,2008-02-04,680.0,703.85,654.0,680.6,114256
24,ok,2008-02-05,650.0,699.0,601.0,683.0,112594
25,ok,2008-02-06,688.0,717.45,671.0,682.55,169776
26,ok,2008-02-07,679.9,689.95,620.0,628.35,76442
27,ok,2008-02-10,640.0,677.9,560.0,614.1,87733
28,ok,2008-02-11,628.0,628.0,565.0,571.55,52194
29,ok,2008-02-12,577.05,592.0,560.0,563.25,45786
30,ok,2008-02-13,618.0,618.0,569.0,573.75,47004
31,ok,2008-02-14,602.3,602.3,560.0,580.75,38489
32,ok,2008-02-17,550.0,595.0,550.0,587.25,29636
33,ok,2008-02-18,597.0,603.0,580.0,583.3,27771
34,ok,2008-02-19,566.1,588.0,560.15,579.1,25634
35,ok,2008-02-20,580.1,602.8,575.0,586.6,81449
36,ok,2008-02-21,580.0,582.95,565.0,569.35,15365
37,ok,2008-02-24,571.0,599.0,556.5,585.2,54793
38,ok,2008-02-25,590.7,596.95,568.0,572.2,31687
39,ok,2008-02-26,589.8,601.95,558.0,564.2,168131
40,ok,2008-02-27,567.0,585.0,556.0,560.0,53518
41,ok,2008-02-28,560.0,568.8,525.0,532.3,59353
42,ok,2008-03-02,520.0,535.0,490.0,498.35,44321
43,ok,2008-03-03,497.0,508.0,480.6,500.7,75434
44,ok,2008-03-04,506.0,509.0,481.05,483.9,26740
45,ok,2008-03-06,478.0,478.0,430.0,446.05,56063
46,ok,2008-03-09,430.1,440.0,392.2,401.15,87833
47,ok,2008-03-10,400.1,436.0,395.0,423.2,81604
48,ok,2008-03-11,446.0,448.0,407.0,411.75,47797
49,ok,2008-03-12,404.0,404.0,382.0,386.25,39090
50,ok,2008-03-13,393.5,397.0,378.05,387.25,32757
51,ok,2008-03-16,385.0,385.0,347.5,351.1,44303
52,ok,2008-03-17,352.0,365.0,339.95,345.1,136156
53,ok,2008-03-18,370.0,370.0,302.1,317.4,46895
54,ok,2008-03-23,320.0,320.0,265.25,284.8,181416
55,ok,2008-03-24,299.0,341.8,292.9,334.3,164103
56,ok,2008-03-25,338.0,366.8,325.0,350.95,173948
57,ok,2008-03-26,350.95,358.75,336.0,347.0,71085
58,ok,2008-03-27,352.0,415.0,352.0,359.6,163888
59,ok,2008-03-30,352.0,377.0,332.05,341.9,123575
60,ok,2008-03-31,345.0,362.0,341.0,352.55,104825
61,ok,2008-04-01,362.0,379.9,358.05,365.05,101222
62,ok,2008-04-02,372.8,374.0,355.1,360.6,34371
63,ok,2008-04-03,357.1,389.0,346.05,358.95,77223
64,ok,2008-04-06,365.0,391.0,354.2,382.7,90740
65,ok,2008-04-07,380.0,399.0,375.0,389.45,58333
66,ok,2008-04-08,385.0,413.9,372.0,405.65,117043
67,ok,2008-04-09,400.05,441.0,400.05,423.7,188046
68,ok,2008-04-10,434.0,445.0,424.0,428.05,80031
69,ok,2008-04-14,421.0,454.4,407.1,450.1,99556
70,ok,2008-04-15,458.9,470.0,441.0,443.4,197099
71,ok,2008-04-16,458.0,464.9,449.0,451.05,74067
72,ok,2008-04-20,453.45,470.0,453.45,460.45,50578
73,ok,2008-04-21,465.0,480.0,440.0,458.05,29211
74,ok,2008-04-22,470.0,470.0,451.15,453.25,22981
75,ok,2008-04-23,459.0,459.0,427.0,433.8,50581
76,ok,2008-04-24,441.7,454.9,435.0,450.6,49713
77,ok,2008-04-27,454.7,459.9,443.05,457.2,26830
78,ok,2008-04-28,451.0,473.9,450.5,459.1,81402
79,ok,2008-04-29,463.95,463.95,440.15,443.8,37648
80,ok,2008-05-01,443.8,468.0,443.8,452.6,88189
81,ok,2008-05-04,450.25,466.0,447.0,453.25,61873
82,ok,2008-05-05,452.5,455.0,381.25,444.15,32986
83,ok,2008-05-06,445.0,450.0,443.0,447.05,25675
84,ok,2008-05-07,440.25,470.0,438.05,464.6,103683
85,ok,2008-05-08,463.0,467.95,445.0,447.3,40817
86,ok,2008-05-11,443.05,445.0,421.0,431.75,31400
87,ok,2008-05-12,434.05,447.8,422.0,428.3,44505
88,ok,2008-05-13,425.05,444.9,425.05,432.65,30697
89,ok,2008-05-14,438.5,449.0,426.0,432.35,66392
90,ok,2008-05-15,439.9,447.4,433.0,441.15,44837
91,ok,2008-05-19,446.3,461.9,437.0,454.0,59949
92,ok,2008-05-20,442.25,480.0,442.25,464.5,183786
93,ok,2008-05-21,460.0,473.0,451.3,455.6,98291
94,ok,2008-05-22,453.15,462.3,435.0,437.05,39973
95,ok,2008-05-25,428.3,434.95,403.1,407.25,35377
96,ok,2008-05-26,407.0,422.0,375.3,380.85,60805
97,ok,2008-05-27,386.0,390.2,360.5,362.8,66968
98,ok,2008-05-28,368.45,379.0,356.0,359.05,79652
99,ok,2008-05-29,363.0,368.5,340.55,344.8,101852
100,ok,2008-06-01,351.7,362.0,325.2,328.95,134413
101,ok,2008-06-02,320.0,335.0,308.3,329.55,60343
102,ok,2008-06-03,329.0,329.0,292.7,296.2,96663
103,ok,2008-06-04,300.0,318.0,295.95,304.15,135170
104,ok,2008-06-05,311.0,328.0,300.2,302.35,75380
105,ok,2008-06-08,298.0,298.0,266.05,270.0,267088
106,ok,2008-06-09,270.0,283.0,265.0,278.6,80224
107,ok,2008-06-10,282.0,292.0,282.0,287.2,74249
108,ok,2008-06-11,283.0,289.8,256.65,285.25,70335
109,ok,2008-06-12,292.0,308.8,282.35,286.45,207211
110,ok,2008-06-15,295.0,304.0,294.9,299.3,113228
111,ok,2008-06-16,302.95,306.5,297.0,304.6,83576
112,ok,2008-06-17,301.0,319.9,301.0,308.15,151768
113,ok,2008-06-18,298.0,304.0,295.1,297.85,53915
114,ok,2008-06-19,296.0,302.0,267.0,273.3,130736
115,ok,2008-06-22,270.1,273.0,258.05,261.75,91558
116,ok,2008-06-23,262.5,268.0,238.65,242.6,93317
117,ok,2008-06-24,238.9,243.0,233.0,237.7,85534
118,ok,2008-06-25,240.0,254.0,240.0,246.3,75174
119,ok,2008-06-26,238.4,238.9,225.0,230.9,57857
120,ok,2008-06-29,232.0,235.95,220.0,221.2,47751
121,ok,2008-06-30,223.0,237.0,205.0,214.65,222837
122,ok,2008-07-01,218.0,232.5,210.1,228.55,168937
