,s,t,o,h,l,c,v
0,ok,2000-01-02,29.9,29.9,28.25,28.25,300
1,ok,2000-01-03,28.5,28.5,28.5,28.5,300
2,ok,2000-01-04,29.0,29.0,28.5,28.5,2900
3,ok,2000-01-05,28.5,30.0,28.5,28.75,600
4,ok,2000-01-06,28.4,29.35,28.4,29.35,400
5,ok,2000-01-09,28.4,30.0,28.4,28.5,2100
6,ok,2000-01-10,29.5,29.5,28.4,28.4,1300
7,ok,2000-01-11,29.05,29.05,29.05,29.05,300
8,ok,2000-01-12,29.0,29.9,29.0,29.9,900
9,ok,2000-01-13,28.45,28.5,28.45,28.5,300
10,ok,2000-01-16,28.4,28.4,28.4,28.4,1800
11,ok,2000-01-17,28.4,29.7,28.4,28.5,1100
12,ok,2000-01-18,28.4,28.45,28.4,28.4,800
13,ok,2000-01-19,28.5,28.5,28.4,28.4,2100
14,ok,2000-01-20,28.4,29.0,28.4,29.0,900
15,ok,2000-01-23,29.0,31.0,28.45,28.45,1300
16,ok,2000-01-24,28.5,28.5,28.25,28.25,300
17,ok,2000-01-26,28.45,29.75,28.45,28.45,500
18,ok,2000-01-27,28.4,28.4,28.4,28.4,300
19,ok,2000-01-30,28.4,28.4,28.4,28.4,300
20,ok,2000-01-31,28.4,28.4,28.4,28.4,400
21,ok,2000-02-01,28.4,29.75,28.4,28.65,900
22,ok,2000-02-02,29.5,29.75,29.05,29.05,500
23,ok,2000-02-03,28.6,28.6,28.4,28.4,200
24,ok,2000-02-06,28.4,28.4,28.4,28.4,300
25,ok,2000-02-07,28.4,28.4,28.4,28.4,2100
26,ok,2000-02-08,28.45,28.45,28.45,28.45,300
27,ok,2000-02-09,28.4,28.4,28.4,28.4,300
28,ok,2000-02-10,29.75,29.75,28.4,28.75,500
29,ok,2000-02-13,28.4,28.45,28.4,28.45,1900
30,ok,2000-02-14,29.0,29.0,28.4,28.4,900
31,ok,2000-02-15,28.4,28.5,28.4,28.4,1000
32,ok,2000-02-16,28.2,28.45,28.2,28.45,1000
33,ok,2000-02-17,28.4,28.4,28.4,28.4,400
34,ok,2000-02-20,27.5,28.5,27.5,28.5,300
35,ok,2000-02-21,27.0,28.4,27.0,28.4,400
36,ok,2000-02-22,28.4,28.4,28.4,28.4,200
37,ok,2000-02-23,28.5,28.55,28.5,28.55,300
38,ok,2000-02-24,28.5,28.5,28.5,28.5,300
39,ok,2000-03-01,28.4,28.4,28.4,28.4,400
40,ok,2000-03-05,26.5,26.5,26.5,26.5,300
41,ok,2000-03-06,26.25,28.4,26.25,28.4,1400
42,ok,2000-03-08,28.0,28.0,28.0,28.0,800
43,ok,2000-03-20,28.4,28.7,27.9,28.05,3000
44,ok,2000-03-21,27.95,28.1,27.95,28.1,500
45,ok,2000-03-22,25.9,25.9,25.9,25.9,100
46,ok,2000-03-23,27.0,27.0,27.0,27.0,200
47,ok,2000-03-27,26.0,26.0,26.0,26.0,100
48,ok,2000-03-30,25.5,25.5,24.0,24.0,500
49,ok,2000-04-03,24.0,24.0,24.0,24.0,300
50,ok,2000-04-04,25.75,25.75,25.75,25.75,2000
51,ok,2000-04-05,27.85,27.85,27.85,27.85,300
52,ok,2000-04-06,27.0,27.0,27.0,27.0,100
53,ok,2000-04-11,27.5,28.0,27.5,28.0,500
54,ok,2000-04-12,27.0,27.75,27.0,27.3,400
55,ok,2000-04-19,26.0,26.0,26.0,26.0,200
56,ok,2000-04-24,25.5,25.5,25.5,25.5,300
57,ok,2000-04-25,25.5,25.5,25.5,25.5,100
58,ok,2000-05-01,25.7,25.7,25.6,25.65,200
59,ok,2000-05-03,23.6,23.6,23.6,23.6,200
60,ok,2000-05-07,25.5,25.5,25.5,25.5,100
61,ok,2000-05-08,25.5,25.5,25.5,25.5,200
62,ok,2000-05-09,27.55,27.55,27.55,27.55,700
63,ok,2000-05-10,27.0,27.0,26.5,26.5,600
64,ok,2000-05-11,28.0,28.5,28.0,28.5,400
