,s,t,o,h,l,c,v
0,ok,2016-03-31,47.25,47.25,44.9,45.55,4470641
1,ok,2016-04-03,45.5,45.5,43.35,43.95,558140
2,ok,2016-04-04,43.3,44.0,41.8,41.8,31748
3,ok,2016-04-05,41.0,41.0,39.75,40.2,64852
4,ok,2016-04-06,41.4,42.2,38.5,42.0,246683
5,ok,2016-04-07,40.3,44.1,40.3,44.1,1391646
6,ok,2016-04-10,45.9,45.9,44.05,44.55,24383
7,ok,2016-04-11,44.0,45.0,42.6,44.2,1283321
8,ok,2016-04-12,44.0,44.95,44.0,44.8,47186
9,ok,2016-04-17,44.55,45.0,42.8,44.85,29324
10,ok,2016-04-19,45.9,45.9,44.0,45.1,114959
11,ok,2016-04-20,45.8,45.8,43.85,44.25,58009
12,ok,2016-04-21,44.25,44.3,43.05,43.2,14051
13,ok,2016-04-24,44.3,44.3,42.0,42.15,11632
14,ok,2016-04-25,42.25,43.3,41.1,41.6,14497
15,ok,2016-04-26,42.8,43.0,41.05,41.5,18802
16,ok,2016-04-27,41.1,42.1,39.7,40.5,74586
17,ok,2016-04-28,41.5,41.8,40.0,40.65,32275
18,ok,2016-05-01,41.5,42.1,39.9,41.15,57925
19,ok,2016-05-02,41.0,42.0,40.2,40.55,11123
20,ok,2016-05-03,40.55,41.3,39.75,40.5,9723
21,ok,2016-05-04,42.0,42.0,40.0,40.6,5200
22,ok,2016-05-05,39.5,41.7,39.5,40.7,6271
23,ok,2016-05-08,41.4,41.5,40.1,40.35,5933
24,ok,2016-05-09,40.1,46.8,40.1,45.4,218751
25,ok,2016-05-10,44.45,47.0,43.05,45.7,394923
26,ok,2016-05-11,45.9,46.0,43.5,44.4,12549
27,ok,2016-05-12,44.8,44.8,43.55,43.95,12900
28,ok,2016-05-15,44.0,44.75,42.3,43.7,7056
29,ok,2016-05-16,43.5,43.95,43.0,43.2,5958
30,ok,2016-05-17,43.2,43.2,42.6,42.8,2762
31,ok,2016-05-18,42.4,43.5,41.8,42.05,8545
32,ok,2016-05-19,42.0,42.45,39.75,40.3,30607
33,ok,2016-05-22,42.3,42.3,40.15,40.6,5229
34,ok,2016-05-23,40.25,41.35,40.05,40.75,3964
35,ok,2016-05-24,40.0,41.8,40.0,41.0,3024
36,ok,2016-05-25,41.5,42.25,40.0,40.55,4805
37,ok,2016-05-26,42.0,43.2,41.5,42.4,23255
38,ok,2016-05-29,43.0,43.55,40.2,40.7,18934
39,ok,2016-05-30,41.0,41.0,38.25,40.4,25050
40,ok,2016-05-31,41.0,41.0,40.0,40.25,5031
41,ok,2016-06-01,40.1,42.9,40.0,41.9,124102
42,ok,2016-06-02,42.15,42.3,40.25,41.4,45603
43,ok,2016-06-05,41.95,44.0,40.5,42.0,59001
44,ok,2016-06-06,42.0,43.0,41.1,42.3,36359
45,ok,2016-06-07,42.9,45.7,42.9,44.0,826180
46,ok,2016-06-08,45.45,45.95,44.0,44.85,719534
47,ok,2016-06-09,45.5,45.5,44.1,44.75,50912
48,ok,2016-06-12,44.75,44.75,43.35,43.6,108929
49,ok,2016-06-13,44.85,45.0,43.1,43.5,8061
